Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2004-05-26,19.5,19.53,19.5,19.5,8131800
1.0,2004-05-27,19.5,19.51,19.49,19.5,10778100
2.0,2004-05-28,19.5,19.52,19.5,19.5,5758600
3.0,2004-06-01,19.5,19.57,19.01,19.53,5799900
4.0,2004-06-02,19.54,19.65,19.39,19.47,2931200
5.0,2004-06-03,19.46,19.55,19.25,19.51,2040900
6.0,2004-06-04,19.59,20.04,19.51,19.95,2832600
7.0,2004-06-07,20.02,20.38,20.0,20.37,3320600
8.0,2004-06-08,20.34,20.34,19.9,20.09,1971800
9.0,2004-06-09,19.95,20.08,19.9,20.05,1038900
10.0,2004-06-10,20.1,20.19,20.05,20.12,1395200
11.0,2004-06-14,20.1,20.18,20.0,20.15,1161400
12.0,2004-06-15,20.16,20.17,20.0,20.13,1390100
13.0,2004-06-16,20.07,20.27,20.07,20.23,1007500
14.0,2004-06-17,20.18,21.1,20.15,20.9,2765300
15.0,2004-06-18,20.75,21.77,20.5,21.7,3918000
16.0,2004-06-21,21.6,21.65,21.35,21.44,2146600
17.0,2004-06-22,21.4,21.6,21.0,21.49,1168400
18.0,2004-06-23,21.39,21.74,21.15,21.74,1261300
19.0,2004-06-24,21.6,22.25,21.4,21.95,3988000
20.0,2004-06-25,21.95,22.2,21.82,22.2,6126200
21.0,2004-06-28,22.15,22.49,21.97,22.36,2912500
22.0,2004-06-29,22.48,22.88,22.25,22.57,3135200
23.0,2004-06-30,22.6,23.04,22.45,22.95,4063000
24.0,2004-07-01,22.94,22.95,22.56,22.65,1658400
25.0,2004-07-02,22.55,22.56,21.95,22.3,739400
26.0,2004-07-06,22.25,22.35,21.89,22.22,1148400
27.0,2004-07-07,22.27,22.32,22.14,22.3,1051100
28.0,2004-07-08,22.25,22.33,21.76,21.85,911400
29.0,2004-07-09,22.0,22.0,21.5,21.89,1146500
30.0,2004-07-12,21.84,22.13,21.79,22.1,954800
31.0,2004-07-13,22.24,23.19,22.23,23.0,2330600
32.0,2004-07-14,22.9,23.3,22.68,22.79,1535400
33.0,2004-07-15,22.8,22.9,22.72,22.84,570800
34.0,2004-07-16,22.9,23.05,22.43,22.48,770800
35.0,2004-07-19,22.5,22.8,22.45,22.8,837500
36.0,2004-07-20,23.0,23.24,22.62,23.15,1668700
37.0,2004-07-21,23.15,23.5,23.03,23.2,1315700
38.0,2004-07-22,23.2,23.26,22.83,23.12,979800
39.0,2004-07-23,23.2,23.25,22.87,23.05,1063500
40.0,2004-07-26,22.97,23.17,22.72,22.99,748600
41.0,2004-07-27,22.99,23.03,22.38,22.6,1296900
42.0,2004-07-28,22.73,22.76,22.45,22.52,1213900
43.0,2004-07-29,22.46,22.8,22.45,22.68,517600
44.0,2004-07-30,22.65,22.9,22.55,22.74,591100
45.0,2004-08-02,22.7,22.85,22.5,22.72,391200
46.0,2004-08-03,22.7,22.84,22.55,22.76,936500
47.0,2004-08-04,22.76,22.99,22.35,22.45,719700
48.0,2004-08-05,22.35,22.4,21.75,21.83,877800
49.0,2004-08-06,21.68,21.94,21.19,21.44,1280900
50.0,2004-08-09,21.5,21.6,21.29,21.41,666700
51.0,2004-08-10,21.46,21.55,21.0,21.2,1137000
52.0,2004-08-11,21.1,21.28,20.75,21.05,3912300
53.0,2004-08-12,21.05,21.05,20.81,20.98,763900
54.0,2004-08-13,20.99,21.14,20.95,21.07,769300
55.0,2004-08-16,21.25,21.48,21.19,21.46,907300
56.0,2004-08-17,21.52,21.7,21.4,21.47,321700
57.0,2004-08-18,21.4,21.91,21.05,21.57,674700
58.0,2004-08-19,21.47,21.69,21.35,21.6,532900
59.0,2004-08-20,21.5,21.86,21.5,21.8,1208600
60.0,2004-08-23,21.85,21.87,21.64,21.7,480300
61.0,2004-08-24,21.75,21.78,21.53,21.65,704700
62.0,2004-08-25,21.68,21.98,21.66,21.9,874800
63.0,2004-08-26,21.95,22.4,21.9,22.4,663800
64.0,2004-08-27,22.46,22.49,22.04,22.04,525000
65.0,2004-08-30,22.2,22.4,22.04,22.28,378400
66.0,2004-08-31,22.4,22.73,22.21,22.73,944500
67.0,2004-09-01,22.75,22.82,22.35,22.5,398000
68.0,2004-09-02,22.4,22.7,22.4,22.5,274800
69.0,2004-09-03,22.4,22.72,22.3,22.48,212100
70.0,2004-09-07,22.35,23.06,22.35,22.86,590000
71.0,2004-09-08,22.8,23.25,22.55,23.22,846800
72.0,2004-09-09,23.29,23.3,22.87,22.95,932200
73.0,2004-09-10,22.95,23.02,22.8,22.88,602300
74.0,2004-09-13,23.0,23.0,22.84,22.9,1087900
75.0,2004-09-14,22.85,22.98,22.78,22.9,932200
76.0,2004-09-15,22.95,23.35,22.85,23.3,817000
77.0,2004-09-16,23.4,23.95,23.34,23.9,673500
78.0,2004-09-17,23.99,23.99,23.09,23.13,2456300
79.0,2004-09-20,23.05,23.14,22.59,22.67,828600
80.0,2004-09-21,22.72,23.02,22.7,22.82,531200
81.0,2004-09-22,22.76,22.82,22.35,22.41,706200
82.0,2004-09-23,22.51,22.83,22.35,22.5,1059900
83.0,2004-09-24,22.7,22.85,22.65,22.8,1122600
84.0,2004-09-27,22.83,22.84,22.6,22.6,606000
85.0,2004-09-28,22.68,22.78,22.45,22.6,461000
86.0,2004-09-29,22.56,22.76,22.5,22.73,605000
87.0,2004-09-30,22.85,23.55,22.85,23.3,944400
88.0,2004-10-01,23.45,24.3,23.41,23.99,1763800
89.0,2004-10-04,24.05,24.49,23.8,24.45,1389000
90.0,2004-10-05,24.65,24.69,24.25,24.45,766600
91.0,2004-10-06,24.55,24.7,24.32,24.47,702700
92.0,2004-10-07,24.35,24.59,24.05,24.38,516500
93.0,2004-10-08,24.6,25.48,24.6,24.88,857900
94.0,2004-10-11,24.87,25.05,24.67,24.75,723200
95.0,2004-10-12,24.75,24.75,23.9,23.99,730400
96.0,2004-10-13,24.11,24.2,23.75,23.79,534800
97.0,2004-10-14,23.64,23.9,22.79,23.49,835700
98.0,2004-10-15,23.7,24.09,22.77,23.98,1178800
99.0,2004-10-18,23.83,23.95,23.6,23.72,204900
100.0,2004-10-19,23.71,23.82,22.8,22.91,1104000
101.0,2004-10-20,22.85,23.6,22.8,23.45,448500
102.0,2004-10-21,23.4,23.98,22.96,23.6,340100
103.0,2004-10-22,23.65,24.15,23.39,23.75,478300
104.0,2004-10-25,23.65,23.99,23.4,23.75,336200
105.0,2004-10-26,24.02,24.11,23.48,24.05,558400
106.0,2004-10-27,24.06,24.12,23.7,23.97,587100
107.0,2004-10-28,23.9,24.02,23.6,23.97,379800
108.0,2004-10-29,24.05,24.12,23.59,23.86,322200
109.0,2004-11-01,24.0,24.1,23.9,24.05,731800
110.0,2004-11-02,24.3,24.92,24.21,24.62,957100
111.0,2004-11-03,25.0,25.15,24.7,24.85,275500
112.0,2004-11-04,25.0,25.36,24.9,25.2,319100
