Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2014-06-27,32.97,40.47,29.498,35.76,45727200
1.0,2014-06-30,39.44,41.19,37.83,40.55,24706000
2.0,2014-07-01,45.0,49.9,44.4,48.8,41795200
3.0,2014-07-02,46.9,46.98,41.53,42.04,29324100
4.0,2014-07-03,43.97,45.24,40.74,41.58,15536600
5.0,2014-07-07,42.98,44.44,41.76,43.96,17032400
6.0,2014-07-08,43.885,44.99,41.53,42.2,10883900
7.0,2014-07-09,43.01,43.7,41.75,43.3,5873700
8.0,2014-07-10,41.73,42.75,40.6,41.94,4988100
9.0,2014-07-11,42.45,42.88,38.73,38.84,9330300
10.0,2014-07-14,38.87,39.1,36.1,36.84,10712400
11.0,2014-07-15,39.09,42.1,38.23,41.63,19809200
12.0,2014-07-16,43.8,44.44,40.8,40.9,11337200
13.0,2014-07-17,40.5,42.13,40.0,40.34,4755000
14.0,2014-07-18,41.07,42.55,40.4,41.43,5215800
15.0,2014-07-21,43.2,43.8,41.5,41.58,9189100
16.0,2014-07-22,42.85,43.25,42.2,43.1,5829200
17.0,2014-07-23,43.83,44.83,40.82,41.74,10362900
18.0,2014-07-24,42.3,42.4,41.32,42.19,3373500
19.0,2014-07-25,41.82,42.4,41.06,41.98,2837900
20.0,2014-07-28,42.3,43.7,41.23,43.25,5882900
21.0,2014-07-29,43.68,44.75,43.29,44.07,5903600
22.0,2014-07-30,44.72,46.34,44.25,46.316,6482100
23.0,2014-07-31,45.1,48.4,44.62,47.97,14662000
24.0,2014-08-01,41.97,44.79,40.52,40.97,13311300
25.0,2014-08-04,41.44,41.8,38.35,38.53,6683600
26.0,2014-08-05,38.64,40.14,38.35,38.87,4010500
27.0,2014-08-06,39.36,40.13,38.53,38.72,2257700
28.0,2014-08-07,39.85,39.85,38.27,38.7,2043300
29.0,2014-08-08,39.16,39.16,37.24,37.65,2423600
30.0,2014-08-11,38.64,38.77,38.1,38.2,1562000
31.0,2014-08-12,38.65,38.692,37.7,38.04,1317700
32.0,2014-08-13,38.49,39.04,38.01,38.19,2162300
33.0,2014-08-14,38.25,39.82,38.05,39.49,2892000
34.0,2014-08-15,39.51,40.25,38.9,39.79,2821800
35.0,2014-08-18,40.5,42.6,40.04,41.85,3901200
36.0,2014-08-19,42.34,43.5,42.05,43.36,4056800
37.0,2014-08-20,42.905,44.6,42.76,43.89,3426300
38.0,2014-08-21,44.6,44.86,43.026,43.17,2688700
39.0,2014-08-22,43.0,43.83,42.7,43.29,1683000
40.0,2014-08-25,43.85,44.35,43.301,43.85,1847800
41.0,2014-08-26,44.8,45.8,44.57,45.29,3774100
42.0,2014-08-27,45.87,46.0,45.29,45.5,1906300
43.0,2014-08-28,45.5,49.86,44.63,48.9,10589100
44.0,2014-08-29,49.47,52.13,49.45,51.8,10254400
45.0,2014-09-02,53.0,55.35,52.52,53.94,9075600
46.0,2014-09-03,55.95,57.45,55.43,56.86,9221200
47.0,2014-09-04,54.3,55.879,52.3,53.08,8197700
48.0,2014-09-05,54.25,59.24,53.51,58.75,7628400
49.0,2014-09-08,58.15,63.72,57.04,63.52,12161700
50.0,2014-09-09,63.47,68.29,63.26,64.19,13437600
51.0,2014-09-10,67.11,69.3,64.75,68.47,12362300
52.0,2014-09-11,70.645,70.9,66.26,68.28,15041100
53.0,2014-09-12,68.74,70.17,67.65,69.18,8370500
54.0,2014-09-15,69.55,71.42,66.17,67.2,10120900
55.0,2014-09-16,65.4,66.69,63.42,65.23,8574000
56.0,2014-09-17,67.0,68.21,66.31,67.22,5890600
57.0,2014-09-18,68.1,68.67,66.01,66.33,5871800
58.0,2014-09-19,66.05,67.3,64.1,67.2,5928500
59.0,2014-09-22,67.05,68.9,66.5,68.27,4185500
60.0,2014-09-23,68.85,73.42,68.34,72.88,8066500
61.0,2014-09-24,74.5,78.84,73.85,78.46,12110400
62.0,2014-09-25,81.5,81.64,76.208,81.31,14393300
63.0,2014-09-26,79.0,82.4,77.51,82.1,13003700
64.0,2014-09-29,81.99,91.77,80.0,90.94,26687400
65.0,2014-09-30,94.775,96.45,88.53,93.7,31756100
66.0,2014-10-01,92.31,93.96,88.87,91.8,12921800
67.0,2014-10-02,87.42,88.95,79.13,85.46,27451200
68.0,2014-10-03,88.5,89.8,86.53,86.97,12098400
69.0,2014-10-06,89.48,94.314,88.5,93.79,13048900
70.0,2014-10-07,92.35,98.47,91.22,93.85,20856600
71.0,2014-10-08,91.0,92.77,87.16,89.93,13035800
72.0,2014-10-09,91.3,92.38,87.3,89.18,8016500
73.0,2014-10-10,87.91,89.89,83.57,85.05,7150000
74.0,2014-10-13,82.35,83.4,73.28,76.67,13263500
75.0,2014-10-14,78.6,80.931,74.44,75.03,6766800
76.0,2014-10-15,71.03,74.85,68.34,72.87,8720400
77.0,2014-10-16,69.1,74.88,68.6,72.69,6142800
78.0,2014-10-17,75.8,76.75,72.79,74.63,4706900
79.0,2014-10-20,75.03,77.59,74.801,76.0,3641600
80.0,2014-10-21,77.96,82.79,77.11,80.92,7325200
81.0,2014-10-22,84.0,84.95,79.68,80.09,8232300
82.0,2014-10-23,82.42,82.81,77.88,79.15,7535900
83.0,2014-10-24,75.63,76.5,70.29,71.91,12231200
84.0,2014-10-27,66.96,69.85,64.75,64.91,9277500
85.0,2014-10-28,66.6,70.9,66.6,69.3,7810700
86.0,2014-10-29,69.3,69.3,66.55,67.89,3096400
87.0,2014-10-30,68.79,69.74,64.141,68.25,10835400
88.0,2014-10-31,80.7,81.13,76.0,77.1,17868900
89.0,2014-11-03,77.64,85.4,76.5,84.32,15492600
90.0,2014-11-04,84.89,87.5,81.67,82.27,13886500
91.0,2014-11-05,84.5,85.5,75.5,75.89,11808000
92.0,2014-11-06,77.8,79.5,76.63,78.76,5230300
93.0,2014-11-07,79.79,80.4,77.77,79.06,4447300
94.0,2014-11-10,75.8,78.1,75.0,75.75,9283100
95.0,2014-11-11,75.75,77.265,74.01,75.0,4419700
96.0,2014-11-12,74.1,78.44,74.08,76.85,4312800
97.0,2014-11-13,77.85,79.65,75.92,76.47,4917900
98.0,2014-11-14,77.99,79.49,76.75,79.15,4460900
99.0,2014-11-17,79.74,83.44,78.8,81.5,8809100
100.0,2014-11-18,83.7,85.78,82.2,84.1,10270600
101.0,2014-11-19,85.22,86.0,79.05,79.09,8276700
102.0,2014-11-20,72.845,75.1,71.58,71.74,24117500
103.0,2014-11-21,73.6,73.6,70.55,70.72,10853600
104.0,2014-11-24,71.01,73.09,69.8,72.54,6378800
105.0,2014-11-25,73.84,75.709,73.27,74.71,8446600
106.0,2014-11-26,76.05,79.35,74.85,79.05,13850000
107.0,2014-11-28,80.38,80.61,75.92,77.97,8840800
108.0,2014-12-01,77.0,77.0,73.39,73.5,6306300
109.0,2014-12-02,74.6,75.42,73.55,73.89,3801800
110.0,2014-12-03,74.12,75.3,72.45,73.65,4223300
111.0,2014-12-04,73.01,74.5,71.28,71.98,3955500
112.0,2014-12-05,72.25,73.75,71.0,72.18,5558700
113.0,2014-12-08,72.25,72.33,66.3,67.65,9027200
114.0,2014-12-09,65.0,68.75,64.36,67.9,6157300
115.0,2014-12-10,66.85,68.5,62.6,62.76,6554600
116.0,2014-12-11,64.0,64.44,57.92,60.05,14233100
117.0,2014-12-12,62.56,63.27,60.52,60.52,7530500
118.0,2014-12-15,61.61,61.85,56.86,57.0,5383500
119.0,2014-12-16,55.91,60.2,55.55,58.27,4913500
120.0,2014-12-17,60.0,60.44,57.9,59.5,2415600
121.0,2014-12-18,60.91,61.03,56.5,57.09,4942500
122.0,2014-12-19,57.2,57.5,53.77,53.9,6385800
123.0,2014-12-22,54.19,58.0,53.64,58.0,6400300
124.0,2014-12-23,59.71,61.99,58.3,61.54,13412700
125.0,2014-12-24,63.5,66.7,62.67,66.41,11264400
126.0,2014-12-26,68.06,69.75,67.45,69.23,14035200
127.0,2014-12-29,67.83,68.8,64.67,64.74,8152300
128.0,2014-12-30,66.27,67.4,64.76,65.4,6389000
129.0,2014-12-31,65.06,65.78,62.81,63.22,4829100
130.0,2015-01-02,64.9,66.9,64.08,66.87,5431400
131.0,2015-01-05,67.6,68.5,65.63,66.19,5382100
132.0,2015-01-06,66.85,67.25,63.31,64.85,3777800
133.0,2015-01-07,65.59,66.45,60.25,62.45,6662000
134.0,2015-01-08,61.43,61.94,59.5,60.09,6881400
135.0,2015-01-09,60.05,61.7,58.8,60.84,4218200
136.0,2015-01-12,59.86,60.0,56.345,56.78,5025600
137.0,2015-01-13,57.06,57.2,48.23,49.87,15263400
138.0,2015-01-14,50.85,52.7,49.75,52.34,7189800
139.0,2015-01-15,52.99,53.0,48.41,48.58,4720700
140.0,2015-01-16,47.85,48.47,45.36,47.51,10652500
141.0,2015-01-20,47.1,48.93,46.12,47.34,4575000
142.0,2015-01-21,47.79,50.67,47.52,50.29,5059900
143.0,2015-01-22,50.8,51.3,47.66,48.35,5123700
144.0,2015-01-23,48.8,52.51,48.44,52.51,7275300
145.0,2015-01-26,52.31,53.176,49.8,50.41,5178000
146.0,2015-01-27,49.24,51.96,49.05,51.42,3430700
147.0,2015-01-28,51.39,54.13,51.1,51.46,4830100
148.0,2015-01-29,51.92,51.92,49.668,50.84,2729800
149.0,2015-01-30,50.93,51.19,48.8,49.75,2415300
150.0,2015-02-02,50.05,52.24,49.01,52.14,4097400
151.0,2015-02-03,52.65,55.17,52.6,54.57,5703800
152.0,2015-02-04,54.75,54.75,51.34,51.87,6080600
153.0,2015-02-05,52.77,54.69,50.5,54.37,20340100
154.0,2015-02-06,47.96,49.75,47.0,47.12,23253300
155.0,2015-02-09,46.34,46.9,44.2,44.48,12099500
156.0,2015-02-10,44.61,45.3,42.65,43.8,9369400
157.0,2015-02-11,43.24,45.65,43.02,44.77,7070100
158.0,2015-02-12,45.0,46.49,44.808,45.29,4546200
159.0,2015-02-13,45.16,46.15,44.3,45.27,5362600
160.0,2015-02-17,46.12,50.95,46.0,50.92,15844300
161.0,2015-02-18,49.65,49.99,45.2,45.21,24479700
162.0,2015-02-19,45.85,46.43,44.9,45.16,8406100
