Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2016-11-11,2.0,2.3,2.0,2.3,40920
1.0,2016-11-14,2.3,3.43,2.3,2.88,97940
2.0,2016-11-15,3.0,3.1,2.4999,2.96,87588
3.0,2016-11-16,3.25,3.25,2.56,2.9,9346
4.0,2016-11-17,2.88,3.15,2.88,2.96,32773
5.0,2016-11-18,3.0,3.0,2.8,2.85,2809
6.0,2016-11-21,2.85,3.0,2.78,2.78,36972
7.0,2016-11-22,2.78,2.78,1.5,2.32,19939
8.0,2016-11-23,2.33,2.95,2.33,2.95,9000
9.0,2016-11-25,2.47,2.65,2.4699,2.65,4900
10.0,2016-11-28,2.7,2.76,2.55,2.55,19200
11.0,2016-11-29,2.34,2.45,2.34,2.45,1400
12.0,2016-11-30,2.6,2.95,2.5,2.51,82651
13.0,2016-12-01,2.57,2.88,2.57,2.78,65604
14.0,2016-12-02,2.9,2.9,2.6431,2.7,17087
15.0,2016-12-05,2.75,2.79,2.55,2.7,48730
16.0,2016-12-06,2.75,2.78,2.6,2.6,11534
17.0,2016-12-07,2.7,2.7385,2.6,2.65,14397
18.0,2016-12-08,2.65,2.65,2.52,2.58,41496
19.0,2016-12-09,2.65,2.681,2.54,2.6,27875
20.0,2016-12-12,2.6,2.6,2.5,2.5,17939
21.0,2016-12-13,2.5,2.55,2.4,2.4,22106
22.0,2016-12-14,2.36,2.39,2.19,2.35,25717
23.0,2016-12-15,2.5,2.5,2.2,2.35,27275
24.0,2016-12-16,2.35,2.4,2.34,2.35,44632
25.0,2016-12-19,2.35,2.4793,2.25,2.25,12877
26.0,2016-12-20,2.25,2.3,2.12,2.16,14248
27.0,2016-12-21,2.15,2.37,2.1,2.27,30982
28.0,2016-12-22,2.45,2.45,2.267,2.28,13331
29.0,2016-12-23,2.305,2.35,2.18,2.25,36633
30.0,2016-12-27,2.1,2.25,2.1,2.18,18260
31.0,2016-12-28,2.2,2.5,2.16,2.25,40710
32.0,2016-12-29,2.28,2.4,2.21,2.37,12847
33.0,2016-12-30,2.39,2.47,2.35,2.35,18136
34.0,2017-01-03,2.35,2.44,2.27,2.44,19010
35.0,2017-01-04,2.45,2.5001,2.15,2.16,98046
36.0,2017-01-05,2.269,2.269,2.12,2.25,29247
37.0,2017-01-06,2.34,2.34,2.12,2.25,8125
38.0,2017-01-09,2.4,2.4,2.18,2.27,12431
39.0,2017-01-10,2.3,2.3001,2.23,2.25,17480
40.0,2017-01-11,2.45,2.45,2.2,2.29,16564
41.0,2017-01-12,2.3,2.3,2.1,2.19,22261
42.0,2017-01-13,2.1,2.19,2.1,2.11,13060
43.0,2017-01-17,2.2,2.29,2.11,2.22,19245
44.0,2017-01-18,2.25,2.26,2.16,2.22,14489
45.0,2017-01-19,2.185,2.2,2.08,2.15,18340
46.0,2017-01-20,2.2,2.5,2.15,2.43,102001
47.0,2017-01-23,2.43,2.43,2.31,2.34,42030
48.0,2017-01-24,2.365,2.41,2.36,2.37,15307
49.0,2017-01-25,2.41,2.6,2.38,2.4,36801
50.0,2017-01-26,2.445,2.45,2.31,2.35,18026
