,DateTime,Open,High,Low,Close,Volume
0,2001-05-30,3.0,3.05,2.98,3.0,52900
1,2001-05-31,3.0,3.1,3.0,3.0,81500
2,2001-06-01,3.0,3.06,2.87,3.05,188500
3,2001-06-04,2.98,3.05,2.98,3.05,134500
4,2001-06-05,3.05,3.05,3.04,3.05,4500
5,2001-06-06,3.05,3.05,3.0,3.0,1200
6,2001-06-07,3.05,3.05,3.05,3.05,2000
7,2001-06-08,3.0,3.0,2.95,2.95,4500
8,2001-06-11,2.95,2.95,2.94,2.94,15000
9,2001-06-12,3.0,3.05,2.95,3.0,9500
10,2001-06-15,2.9,2.9,2.9,2.9,100
11,2001-06-18,2.9,2.9,2.9,2.9,1200
12,2001-06-19,3.0,3.0,3.0,3.0,1000
13,2001-06-20,2.9,2.95,2.8,2.8,4500
14,2001-06-21,2.7,2.78,2.6,2.6,4400
15,2001-06-25,2.5,2.5,2.25,2.25,14700
16,2001-06-26,2.55,2.6,2.5,2.55,2800
17,2001-06-27,2.2,2.2,2.2,2.2,2000
18,2001-06-28,2.05,2.25,2.05,2.25,10900
19,2001-06-29,2.5,2.95,2.5,2.95,8500
20,2001-07-03,2.85,2.85,2.82,2.82,2000
21,2001-07-05,2.85,3.05,2.8,3.0,6500
22,2001-07-06,2.85,3.0,2.7,2.7,5700
23,2001-07-09,2.83,3.0,2.69,2.7,124000
24,2001-07-10,2.65,3.0,2.65,3.0,38200
25,2001-07-11,3.0,3.0,2.75,3.0,19700
26,2001-07-12,2.95,3.0,2.89,2.9,48800
27,2001-07-13,2.9,3.2,2.9,3.2,49500
28,2001-07-16,3.2,3.2,3.0,3.0,18500
29,2001-07-17,2.92,3.0,2.92,3.0,3000
30,2001-07-18,2.9,2.95,2.85,2.95,4300
31,2001-07-19,2.85,2.85,2.85,2.85,1000
32,2001-07-20,2.85,2.9,2.75,2.75,9500
33,2001-07-24,2.75,2.75,2.6,2.65,2900
34,2001-07-25,2.7,2.7,2.68,2.68,10000
35,2001-07-27,2.7,2.95,2.7,2.95,2100
36,2001-07-30,2.95,2.95,2.75,2.9,2900
37,2001-08-01,2.9,2.9,2.9,2.9,100
38,2001-08-02,2.65,2.7,2.65,2.7,5500
39,2001-08-03,2.65,2.7,2.65,2.7,3500
40,2001-08-06,2.65,2.65,2.65,2.65,1800
41,2001-08-07,2.65,2.65,2.5,2.65,7500
42,2001-08-08,2.65,2.65,2.5,2.5,12000
43,2001-08-09,2.4,2.45,2.15,2.3,14500
44,2001-08-10,2.15,2.25,2.05,2.2,38000
45,2001-08-13,2.15,2.25,2.15,2.2,7000
46,2001-08-14,2.25,2.25,2.01,2.1,4500
47,2001-08-15,2.25,2.25,2.0,2.15,14700
48,2001-08-16,2.0,2.0,1.85,1.9,16500
49,2001-08-17,1.85,2.05,1.85,2.0,11600
50,2001-08-20,1.85,1.9,1.85,1.9,3100
51,2001-08-21,1.86,1.9,1.85,1.9,2500
52,2001-08-23,2.15,2.15,1.9,2.05,24500
53,2001-08-24,1.9,2.0,1.9,2.0,2300
54,2001-08-28,2.0,2.0,2.0,2.0,3500
55,2001-08-29,2.0,2.0,1.8,1.8,45500
56,2001-08-30,1.87,1.92,1.82,1.85,50200
57,2001-08-31,1.82,1.9,1.75,1.85,12300
58,2001-09-04,1.92,1.92,1.77,1.77,26400
59,2001-09-05,1.8,1.84,1.7,1.84,28000
60,2001-09-06,1.84,1.9,1.75,1.8,35900
61,2001-09-07,1.82,1.82,1.75,1.78,43800
62,2001-09-10,1.78,1.81,1.52,1.52,50300
63,2001-09-17,1.6,1.63,1.45,1.45,82300
64,2001-09-18,1.5,1.57,1.45,1.5,42600
65,2001-09-19,1.35,1.45,1.35,1.45,3100
66,2001-09-20,1.4,1.4,1.2,1.23,13800
67,2001-09-21,1.2,1.3,1.15,1.26,41800
68,2001-09-24,1.3,1.3,1.16,1.16,20200
69,2001-09-25,1.2,1.23,1.15,1.15,21900
70,2001-09-26,1.15,1.15,1.1,1.13,6100
71,2001-09-27,1.2,1.2,1.0,1.1,21700
72,2001-09-28,1.1,1.3,1.1,1.3,41100
73,2001-10-01,1.3,1.3,1.2,1.3,41200
74,2001-10-02,1.27,1.3,1.15,1.3,35600
75,2001-10-03,1.3,1.45,1.26,1.41,187300
76,2001-10-04,1.45,1.6,1.43,1.45,262600
77,2001-10-05,1.49,1.49,1.44,1.46,71800
78,2001-10-08,1.45,1.45,1.44,1.45,49000
79,2001-10-09,1.59,1.8,1.5,1.8,370400
80,2001-10-10,1.9,2.24,1.9,2.24,435100
81,2001-10-11,2.49,2.79,2.27,2.47,508800
82,2001-10-12,2.48,2.54,2.32,2.53,672500
83,2001-10-15,2.6,2.6,2.48,2.5,98900
84,2001-10-16,2.5,2.52,2.25,2.52,178900
85,2001-10-17,2.55,2.55,2.35,2.51,18600
86,2001-10-18,2.52,2.52,2.48,2.5,110100
87,2001-10-19,2.58,2.65,2.48,2.58,107900
88,2001-10-22,2.65,2.82,2.55,2.74,96800
89,2001-10-23,2.77,2.85,2.75,2.8,110700
90,2001-10-24,2.85,2.85,2.73,2.79,68500
91,2001-10-25,2.8,2.8,2.6,2.65,54900
92,2001-10-26,2.68,2.68,2.47,2.65,148000
93,2001-10-29,2.6,2.6,2.43,2.43,53100
94,2001-10-30,2.35,2.42,2.21,2.31,112000
95,2001-10-31,2.4,2.59,2.35,2.55,155400
96,2001-11-01,2.59,2.6,2.5,2.57,50000
97,2001-11-02,2.55,2.6,2.5,2.52,37100
98,2001-11-05,2.53,2.53,2.4,2.4,101700
99,2001-11-06,2.42,2.42,2.13,2.27,112400
100,2001-11-07,2.18,2.24,2.08,2.1,123000
