,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,4.28,4.5,4.1878,4.31,10600
1,2000-01-04,4.31,4.3791,4.1245,4.13,21000
2,2000-01-05,4.25,4.3803,4.13,4.13,13090
3,2000-01-06,4.16,4.25,4.1276,4.25,21700
4,2000-01-07,4.16,4.5,4.1267,4.16,52590
5,2000-01-10,4.22,4.2538,4.1591,4.19,51400
6,2000-01-11,4.31,4.3784,4.16,4.37,61600
7,2000-01-12,4.28,4.3782,4.1597,4.19,28290
8,2000-01-13,4.2513,4.2513,4.1887,4.1887,35600
9,2000-01-14,4.25,4.37,4.1829,4.31,20400
10,2000-01-18,4.37,4.3746,4.2463,4.37,28900
11,2000-01-19,4.25,4.37,4.2455,4.25,6900
12,2000-01-20,4.2887,4.3513,4.2574,4.3513,22080
13,2000-01-21,4.31,4.37,4.25,4.25,11200
14,2000-01-24,4.34,4.374,4.25,4.25,26100
15,2000-01-25,4.34,4.44,4.3077,4.37,39220
16,2000-01-26,4.44,4.63,4.31,4.56,71590
17,2000-01-27,4.5396,4.5396,4.3204,4.3204,40160
18,2000-01-28,4.37,4.4349,4.3079,4.37,10000
19,2000-01-31,4.37,4.5,4.31,4.5,62210
20,2000-02-01,4.4557,4.5184,4.3929,4.4243,18050
21,2000-02-02,4.5,4.5,4.37,4.47,24500
22,2000-02-03,4.47,4.5,4.3094,4.37,63110
23,2000-02-04,4.44,4.5,4.28,4.37,28560
24,2000-02-07,4.47,4.56,4.31,4.5,33000
25,2000-02-08,4.45,4.45,4.2782,4.34,22280
26,2000-02-09,4.34,4.37,4.2764,4.37,31010
27,2000-02-10,4.28,4.375,4.25,4.25,25700
28,2000-02-11,4.25,4.37,4.2483,4.31,14700
29,2000-02-14,4.2907,4.322,4.2593,4.2593,24180
30,2000-02-15,4.25,4.3742,4.2468,4.25,8200
31,2000-02-16,4.25,4.3119,4.2478,4.25,16600
32,2000-02-17,4.4406,4.5059,4.31,4.31,33720
33,2000-02-18,4.13,4.31,4.09,4.09,19500
34,2000-02-22,4.16,4.25,4.0,4.0,12400
35,2000-02-23,4.2504,4.2504,4.0004,4.1254,14800
36,2000-02-24,4.22,4.25,4.03,4.25,24300
37,2000-02-25,4.34,4.3731,4.249,4.28,22300
38,2000-02-28,4.31,4.3169,4.13,4.31,39000
39,2000-02-29,4.22,4.25,4.03,4.19,50100
40,2000-03-01,4.22,4.25,4.06,4.19,44600
41,2000-03-02,4.16,4.1924,4.1276,4.13,19400
42,2000-03-03,4.19,4.25,4.0,4.13,63190
43,2000-03-06,4.19,4.3102,4.06,4.19,73900
44,2000-03-07,4.19,4.25,4.125,4.25,20300
45,2000-03-08,4.19,4.19,4.0649,4.19,21400
46,2000-03-09,4.2181,4.2181,4.0619,4.0619,44700
47,2000-03-10,4.19,4.31,4.1239,4.25,54210
48,2000-03-13,4.25,4.3164,4.1229,4.13,50090
49,2000-03-14,4.2206,4.2519,4.1268,4.1894,27600
50,2000-03-15,4.25,4.31,4.13,4.25,12200
51,2000-03-16,4.22,4.3146,4.13,4.19,36700
