Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,1.5625,1.5625,1.5,1.5,670300
1.0,2000-01-05,1.5,1.5625,1.5,1.5,232800
2.0,2000-01-06,1.5,1.5625,1.5,1.5625,174200
3.0,2000-01-07,1.5625,1.625,1.5625,1.5625,243000
4.0,2000-01-10,1.5625,1.625,1.5,1.5,248400
5.0,2000-01-11,1.5,1.5625,1.5,1.5625,317100
6.0,2000-01-12,1.5625,1.625,1.5,1.5,189800
7.0,2000-01-13,1.5625,1.5625,1.5,1.5,153700
8.0,2000-01-14,1.5625,1.5625,1.5,1.5,238500
9.0,2000-01-18,1.5,1.5,1.1875,1.25,2373000
10.0,2000-01-19,1.3125,1.4375,1.3125,1.4375,499700
11.0,2000-01-20,1.4375,1.5,1.4375,1.4375,251400
12.0,2000-01-21,1.5,1.5,1.375,1.375,382100
13.0,2000-01-24,1.4375,1.5,1.375,1.4375,339000
14.0,2000-01-25,1.375,1.4375,1.3125,1.4375,317800
15.0,2000-01-26,1.3125,1.375,1.3125,1.3125,286700
16.0,2000-01-27,1.375,1.5,1.3125,1.5,540200
17.0,2000-01-28,1.5,1.5,1.375,1.4375,297600
18.0,2000-01-31,1.4375,1.5,1.375,1.375,195200
19.0,2000-02-01,1.375,1.4375,1.3125,1.375,313900
20.0,2000-02-02,1.4375,1.4375,1.375,1.4375,166000
21.0,2000-02-03,1.4375,1.5,1.375,1.4375,139900
22.0,2000-02-04,1.5,1.8125,1.4375,1.75,1294400
23.0,2000-02-07,1.9375,2.0,1.6875,1.6875,1147000
24.0,2000-02-08,1.625,1.6875,1.4375,1.5,685400
25.0,2000-02-09,1.5625,1.6875,1.5625,1.6875,370500
26.0,2000-02-10,1.6875,1.75,1.625,1.6875,356200
27.0,2000-02-11,1.6875,1.6875,1.5625,1.6875,830900
28.0,2000-02-14,1.75,1.75,1.5625,1.625,233700
29.0,2000-02-15,1.625,1.625,1.5625,1.5625,139300
30.0,2000-02-16,1.5625,1.75,1.5625,1.625,264600
31.0,2000-02-17,1.75,1.75,1.625,1.625,276000
32.0,2000-02-18,1.625,1.6875,1.5625,1.6875,185300
33.0,2000-02-22,1.625,1.6875,1.5625,1.5625,390700
34.0,2000-02-23,1.625,1.625,1.5625,1.5625,283800
35.0,2000-02-24,1.5625,1.625,1.5,1.5,239700
36.0,2000-02-25,1.5,1.5625,1.375,1.375,345300
37.0,2000-02-28,1.5,1.5,1.375,1.4375,171500
38.0,2000-02-29,1.4375,1.4375,1.375,1.4375,91400
39.0,2000-03-01,1.375,1.5,1.375,1.4375,101700
40.0,2000-03-02,1.375,1.4375,1.375,1.375,239000
41.0,2000-03-03,1.4375,1.4375,1.375,1.375,299100
42.0,2000-03-06,1.375,1.4375,1.3125,1.3125,293600
43.0,2000-03-07,1.3125,1.5625,1.3125,1.5625,485600
44.0,2000-03-08,1.5625,1.5625,1.4375,1.5625,185000
45.0,2000-03-09,1.5625,1.625,1.5,1.5625,163600
46.0,2000-03-10,1.5,1.5625,1.4375,1.4375,122600
47.0,2000-03-13,1.4375,1.5,1.4375,1.4375,206800
48.0,2000-03-14,1.5,1.5,1.4375,1.4375,137600
49.0,2000-03-15,1.4375,1.5,1.4375,1.5,160600
50.0,2000-03-16,1.4375,1.5,1.375,1.375,234100
51.0,2000-03-17,1.4375,1.4375,1.375,1.375,167400
52.0,2000-03-20,1.375,1.4375,1.375,1.375,190400
53.0,2000-03-21,1.4375,1.5,1.375,1.5,239000
54.0,2000-03-22,1.5,1.5625,1.4375,1.4375,276800
55.0,2000-03-23,1.4375,1.5,1.375,1.5,250400
56.0,2000-03-24,1.4375,1.5,1.375,1.5,72800
57.0,2000-03-27,1.375,1.5,1.375,1.4375,137300
58.0,2000-03-28,1.375,1.4375,1.375,1.375,220100
59.0,2000-03-29,1.375,1.4375,1.375,1.4375,136600
60.0,2000-03-30,1.375,1.4375,1.375,1.375,149700
61.0,2000-03-31,1.375,1.4375,1.375,1.375,137000
62.0,2000-04-03,1.4375,1.4375,1.375,1.375,124900
63.0,2000-04-04,1.375,1.5,1.375,1.375,291600
64.0,2000-04-05,1.5,1.5,1.375,1.4375,279300
65.0,2000-04-06,1.4375,1.4375,1.3125,1.3125,146800
66.0,2000-04-07,1.375,1.375,1.3125,1.375,158200
67.0,2000-04-10,1.3125,1.375,1.3125,1.375,163500
68.0,2000-04-11,1.375,1.375,1.3125,1.3125,175800
69.0,2000-04-12,1.3125,1.375,1.25,1.3125,237600
70.0,2000-04-13,1.375,1.375,1.3125,1.375,122900
71.0,2000-04-14,1.375,1.375,1.3125,1.375,417600
72.0,2000-04-17,1.3125,1.375,1.25,1.25,177200
73.0,2000-04-18,1.25,1.3125,1.1875,1.25,461200
74.0,2000-04-19,1.25,1.3125,1.25,1.3125,316500
