,DateTime,Open,High,Low,Close,Volume
0,2012-02-29,13.25,13.72,12.8,13.55,5271225
1,2012-03-01,13.6,13.75,13.52,13.7,418720
2,2012-03-02,13.75,13.83,13.65,13.76,307916
3,2012-03-05,13.94,13.94,13.7,13.72,250101
4,2012-03-06,13.7,13.76,13.43,13.62,419517
5,2012-03-07,13.66,13.8,13.5,13.5,360466
6,2012-03-08,13.6,13.65,13.5,13.64,214736
7,2012-03-09,13.69,13.69,13.53,13.56,146587
8,2012-03-12,13.74,13.75,13.62,13.74,229070
9,2012-03-13,13.72,13.84,13.71,13.72,153900
10,2012-03-14,13.72,13.75,13.42,13.555,227086
11,2012-03-15,13.54,13.6,13.5133,13.5395,111379
12,2012-03-16,13.51,13.65,13.5,13.55,161594
13,2012-03-19,13.51,13.58,13.5,13.5,123339
14,2012-03-20,13.45,13.53,13.43,13.43,123368
15,2012-03-21,13.5,13.5274,13.31,13.44,181855
16,2012-03-22,13.4,13.63,13.36,13.55,179907
17,2012-03-23,13.51,13.7,13.41,13.7,107468
18,2012-03-26,13.72,13.9,13.65,13.84,114495
19,2012-03-27,13.85,13.99,13.77,13.94,311637
20,2012-03-28,13.84,13.95,13.84,13.94,263054
21,2012-03-29,13.9,13.97,13.851,13.93,328641
22,2012-03-30,13.96,14.0,13.773,13.91,1270222
23,2012-04-02,13.92,14.0,13.83,13.99,158825
24,2012-04-03,13.9975,14.0,13.875,13.99,129828
25,2012-04-04,13.9,14.0,13.84,13.9,183613
26,2012-04-05,13.89,13.99,13.79,13.91,83142
27,2012-04-09,13.71,13.98,13.5501,13.96,183321
28,2012-04-10,13.95,13.95,13.7,13.7,186394
29,2012-04-11,13.66,13.89,13.66,13.79,83376
30,2012-04-12,13.76,13.8,13.62,13.72,80760
31,2012-04-13,13.79,13.79,13.61,13.66,67125
32,2012-04-16,13.71,13.75,13.53,13.55,51001
33,2012-04-17,13.68,13.68,13.46,13.47,92078
34,2012-04-18,13.45,13.54,13.35,13.47,65060
35,2012-04-19,13.44,13.77,13.32,13.68,107781
36,2012-04-20,13.81,13.81,13.53,13.71,97867
37,2012-04-23,13.51,13.84,13.465,13.72,72554
38,2012-04-24,13.73,13.76,13.55,13.61,81464
39,2012-04-25,13.6,13.62,13.55,13.58,101725
40,2012-04-26,13.34,13.54,13.34,13.45,105213
41,2012-04-27,13.47,13.717,13.4606,13.57,85967
42,2012-04-30,13.52,13.98,13.52,13.85,343793
43,2012-05-01,13.9,13.9,13.64,13.78,92014
44,2012-05-02,13.86,13.94,13.75,13.92,151522
45,2012-05-03,13.97,14.0,13.82,13.85,291542
46,2012-05-04,13.8,13.9,13.62,13.62,138025
47,2012-05-07,13.6,13.915,13.6,13.73,69599
48,2012-05-08,13.65,13.83,13.46,13.53,110332
49,2012-05-09,13.39,13.78,13.39,13.58,145306
50,2012-05-10,13.64,13.76,13.51,13.73,84545
51,2012-05-11,13.66,13.82,13.638,13.73,102684
52,2012-05-14,13.64,13.751,13.46,13.47,150927
53,2012-05-15,13.53,13.68,13.48,13.51,97247
54,2012-05-16,13.56,13.56,13.34,13.35,126018
55,2012-05-17,13.35,13.61,13.21,13.33,123650
56,2012-05-18,13.3,13.6,13.23,13.44,107427
57,2012-05-21,13.44,13.46,13.28,13.41,55622
58,2012-05-22,13.39,13.63,13.26,13.63,113480
59,2012-05-23,13.51,13.595,13.27,13.4,79705
60,2012-05-24,13.4,13.51,13.33,13.4,45272
61,2012-05-25,13.4,13.4328,13.27,13.3,54640
62,2012-05-29,13.39,13.5,13.36,13.46,118320
63,2012-05-30,13.4,13.44,13.28,13.3,77143
64,2012-05-31,13.3,13.39,13.18,13.37,190875
65,2012-06-01,13.18,13.4,13.18,13.26,158136
66,2012-06-04,13.32,13.39,13.2,13.24,135255
67,2012-06-05,13.19,13.62,13.19,13.49,194678
68,2012-06-06,13.55,13.61,13.34,13.58,122122
69,2012-06-07,13.68,13.72,13.55,13.64,171873
70,2012-06-08,13.61,13.7,13.61,13.67,69814
71,2012-06-11,13.7,13.75,13.48,13.48,178288
72,2012-06-12,13.57,13.57,13.41,13.46,131547
73,2012-06-13,13.44,13.52,13.4,13.49,127094
74,2012-06-14,13.51,13.58,13.29,13.5,119547
75,2012-06-15,13.47,13.71,13.43,13.66,209334
76,2012-06-18,13.55,13.59,13.32,13.34,130725
77,2012-06-19,13.44,13.58,13.31,13.47,96279
78,2012-06-20,13.5,13.7,13.44,13.69,60730
79,2012-06-21,13.64,13.69,13.35,13.51,53262
80,2012-06-22,13.57,13.8,13.4555,13.75,675753
81,2012-06-25,13.63,13.8,13.57,13.79,103749
82,2012-06-26,13.78,13.83,13.44,13.45,104504
83,2012-06-27,13.38,13.52,13.3233,13.4,79400
84,2012-06-28,13.39,13.48,13.19,13.38,191031
85,2012-06-29,13.54,13.54,13.2,13.39,109096
86,2012-07-02,13.36,13.6795,13.29,13.66,242732
87,2012-07-03,13.65,13.7,13.45,13.5,71412
88,2012-07-05,13.46,13.5399,13.31,13.44,86107
89,2012-07-06,13.37,13.69,13.37,13.56,109867
90,2012-07-09,13.61,13.72,13.4,13.6,218401
91,2012-07-10,13.66,14.02,13.6,13.81,496249
92,2012-07-11,13.9,14.25,13.8,14.07,556559
93,2012-07-12,14.01,14.05,13.7,13.84,340200
94,2012-07-13,13.89,14.01,13.87,14.0,389351
95,2012-07-16,14.0,14.25,13.95,14.1,332706
96,2012-07-17,14.16,14.23,14.02,14.18,234148
97,2012-07-18,14.13,14.27,14.09,14.2,240710
98,2012-07-19,14.23,14.38,13.91,14.0,195742
99,2012-07-20,13.93,14.25,13.9,14.15,92931
100,2012-07-23,14.14,14.17,14.01,14.09,156251
101,2012-07-24,14.25,14.35,14.17,14.28,321339
102,2012-07-25,14.35,14.5,14.19,14.48,216301
103,2012-07-26,14.5,14.6598,14.27,14.4,268130
104,2012-07-27,14.37,14.6,14.23,14.25,397838
105,2012-07-30,14.37,14.569,14.34,14.45,170376
106,2012-07-31,14.48,14.51,14.37,14.38,152342
107,2012-08-01,14.45,14.48,14.26,14.27,120382
108,2012-08-02,14.22,14.46,14.19,14.31,131662
109,2012-08-03,14.42,14.5,14.3,14.4,133549
110,2012-08-06,14.47,14.6,14.39,14.5,246331
111,2012-08-07,14.47,14.54,14.39,14.5,114896
112,2012-08-08,14.45,14.52,14.45,14.52,121260
113,2012-08-09,14.48,14.52,14.41,14.49,80171
114,2012-08-10,14.5,14.54,14.4,14.51,106649
115,2012-08-13,14.53,14.69,14.39,14.5,134706
116,2012-08-14,14.51,15.25,14.51,15.2,351690
117,2012-08-15,15.23,15.5,15.001,15.46,243138
118,2012-08-16,15.61,15.92,15.43,15.74,573215
119,2012-08-17,15.77,15.8024,15.02,15.15,371951
120,2012-08-20,15.18,15.6,15.16,15.28,192806
121,2012-08-21,15.3,15.429,14.84,15.24,310474
122,2012-08-22,15.16,15.47,14.6,15.28,257465
123,2012-08-23,15.23,15.59,15.095,15.51,173636
124,2012-08-24,15.56,15.85,15.27,15.65,380536
125,2012-08-27,15.67,15.9,15.5,15.62,202585
126,2012-08-28,15.7,16.15,15.57,16.08,332185
127,2012-08-29,16.01,16.44,15.66,16.18,395065
128,2012-08-30,15.98,16.07,15.8,15.92,199712
129,2012-08-31,15.95,15.995,15.37,15.66,200313
130,2012-09-04,15.73,15.92,15.25,15.64,397036
131,2012-09-05,15.73,15.8,15.21,15.34,240484
132,2012-09-06,15.1,15.82,14.93,15.62,1175009
133,2012-09-07,15.52,15.99,15.47,15.75,6906656
134,2012-09-10,15.67,16.05,15.59,15.87,1510367
135,2012-09-11,15.82,16.05,15.76,15.91,1284784
136,2012-09-12,15.85,15.99,15.71,15.74,628550
137,2012-09-13,15.7,16.0,15.55,15.79,662720
138,2012-09-14,15.76,15.88,15.71,15.79,424981
139,2012-09-17,15.85,16.09,15.84,16.03,567719
140,2012-09-18,16.1,16.25,15.81,16.0,510000
141,2012-09-19,16.08,16.2,15.9,16.19,466741
142,2012-09-20,16.12,16.45,15.99,16.23,450494
143,2012-09-21,16.48,16.53,15.99,16.12,322556
144,2012-09-24,16.18,16.46,16.06,16.1,395722
145,2012-09-25,16.1,16.36,16.0,16.01,403959
146,2012-09-26,15.9,16.18,15.9,16.02,582963
147,2012-09-27,16.12,16.32,16.03,16.32,261117
148,2012-09-28,16.24,16.29,15.92,16.28,2510919
149,2012-10-01,16.33,16.81,16.33,16.8,594425
150,2012-10-02,16.8,17.19,16.61,17.04,432301
151,2012-10-03,17.07,17.79,16.88,17.42,1103181
152,2012-10-04,17.5,18.11,17.32,17.83,813654
153,2012-10-05,17.41,17.8985,17.16,17.38,626489
154,2012-10-08,17.43,17.8,17.201,17.71,763156
155,2012-10-09,18.64,18.64,16.92,17.23,1015022
156,2012-10-10,17.34,17.34,16.85,16.98,901190
157,2012-10-11,17.07,17.2451,16.66,17.11,507016
158,2012-10-12,17.1,17.61,17.1,17.2,554717
159,2012-10-15,17.28,17.49,16.86,17.46,570941
160,2012-10-16,17.67,17.9781,17.61,17.9,824238
161,2012-10-17,17.97,18.22,17.86,17.99,538738
162,2012-10-18,18.07,19.2656,17.95,18.59,1601255
163,2012-10-19,18.89,19.39,18.6649,19.36,1271995
164,2012-10-22,19.67,19.9,19.2,19.57,723057
165,2012-10-23,19.41,19.677,19.18,19.49,618549
166,2012-10-24,19.48,19.85,18.97,19.03,1283225
167,2012-10-25,19.12,19.53,18.1156,18.5,1153516
168,2012-10-26,18.46,19.39,18.2463,19.15,544521
169,2012-10-31,19.24,19.62,18.85,19.44,1055617
170,2012-11-01,19.8,19.84,19.48,19.66,911538
171,2012-11-02,19.06,19.7,19.0,19.33,482230
172,2012-11-05,19.45,19.51,18.54,18.8,585940
173,2012-11-06,18.94,20.47,18.93,19.34,462493
174,2012-11-07,19.19,20.07,18.84,19.79,782874
175,2012-11-08,19.85,20.2351,19.3,19.37,579259
176,2012-11-09,19.26,19.5624,19.26,19.5,494323
177,2012-11-12,19.69,19.8,19.2846,19.53,486679
178,2012-11-13,19.52,19.66,18.14,18.69,1217209
179,2012-11-14,18.47,18.79,17.47,17.66,1409989
180,2012-11-15,17.63,18.79,17.36,17.67,1142231
181,2012-11-16,18.61,19.2,18.5,19.02,901650
182,2012-11-19,19.29,19.48,18.73,19.13,678105
183,2012-11-20,19.08,19.52,18.91,19.48,496160
184,2012-11-21,19.54,19.98,19.4,19.78,629060
185,2012-11-23,19.8,19.8,19.23,19.45,219313
186,2012-11-26,19.44,19.44,18.72,19.15,508250
187,2012-11-27,19.4,19.69,19.1,19.1,355256
188,2012-11-28,18.97,19.19,18.7,19.18,332201
189,2012-11-29,19.32,19.5,18.99,19.01,332232
190,2012-11-30,19.03,19.56,18.91,19.55,2440554
191,2012-12-03,19.72,20.46,19.0,19.03,1106891
192,2012-12-04,19.05,19.3,18.98,19.09,482084
193,2012-12-05,19.1,19.31,18.68,18.91,634020
194,2012-12-06,19.04,19.04,18.65,18.76,391807
195,2012-12-07,18.92,19.02,18.55,18.56,377876
196,2012-12-10,18.58,18.9,18.35,18.37,418905
197,2012-12-11,18.48,18.68,18.03,18.13,647858
198,2012-12-12,18.18,18.6,18.18,18.48,460882
199,2012-12-13,18.46,19.1,18.4425,18.79,429991
200,2012-12-14,18.82,19.06,18.69,18.79,228405
201,2012-12-17,18.82,19.1,18.26,18.4,402958
202,2012-12-18,18.21,19.64,18.16,19.46,1333724
203,2012-12-19,19.01,19.1,18.65,18.81,15044222
204,2012-12-20,18.8,19.25,18.8,19.19,2618815
205,2012-12-21,19.03,19.24,18.9,19.08,1061013
206,2012-12-24,19.01,19.225,18.977,19.03,349795
207,2012-12-26,19.0,19.1,18.9,19.06,670809
208,2012-12-27,19.0,19.1,18.64,18.91,722468
209,2012-12-28,18.88,18.94,18.6,18.79,708036
210,2012-12-31,18.75,18.9,18.6001,18.9,1210001
211,2013-01-02,19.14,19.46,18.9,19.12,931645
212,2013-01-03,19.09,19.21,18.95,19.02,788201
213,2013-01-04,19.14,19.43,18.885,19.32,819048
214,2013-01-07,19.32,19.711,19.13,19.64,974920
215,2013-01-08,19.75,20.1,19.39,19.8,975447
216,2013-01-09,19.76,20.02,19.75,20.01,958448
217,2013-01-10,20.03,20.04,19.61,19.85,519261
218,2013-01-11,19.9,19.95,19.65,19.9,338415
219,2013-01-14,19.96,20.0394,19.8,19.96,350373
220,2013-01-15,20.115,20.115,19.9,20.03,405606
221,2013-01-16,20.05,20.05,19.67,19.78,430069
222,2013-01-17,19.95,20.66,19.8512,20.42,1790761
223,2013-01-18,20.55,20.59,20.05,20.34,692952
224,2013-01-22,20.31,20.49,19.6116,20.255,994729
225,2013-01-23,20.19,20.579,20.14,20.48,567995
226,2013-01-24,20.5,20.85,20.24,20.41,899495
227,2013-01-25,20.52,21.07,20.42,20.9401,848092
228,2013-01-28,20.91,21.48,20.69,21.42,1026030
229,2013-01-29,21.31,21.63,21.04,21.4,1061503
230,2013-01-30,21.38,21.43,20.98,21.42,926954
231,2013-01-31,21.35,21.85,21.25,21.75,4330513
232,2013-02-01,21.96,22.12,21.7,21.76,717469
233,2013-02-04,21.73,21.73,21.39,21.49,443787
234,2013-02-05,21.5,21.595,21.25,21.35,642252
235,2013-02-06,21.35,21.56,21.25,21.45,422049
236,2013-02-07,22.1,22.5,19.64,22.17,2531293
237,2013-02-08,22.3,22.345,21.7,21.95,525936
238,2013-02-11,21.96,22.0299,21.76,22.0,516622
239,2013-02-12,21.99,22.1662,21.86,21.98,368361
240,2013-02-13,22.04,23.04,21.93,22.77,987617
241,2013-02-14,22.74,23.37,22.73,22.95,823011
242,2013-02-15,23.07,23.25,22.8199,22.99,949919
243,2013-02-19,22.99,23.2,22.85,23.19,703264
244,2013-02-20,23.2,23.32,22.72,22.8,1075844
245,2013-02-21,22.51,22.69,22.24,22.33,919104
246,2013-02-22,22.37,22.69,22.32,22.59,626286
247,2013-02-25,22.69,22.78,22.295,22.36,710437
248,2013-02-26,22.24,22.48,21.98,22.19,606829
249,2013-02-27,22.06,22.3399,21.7,22.21,721257
250,2013-02-28,22.18,22.61,22.0,22.54,572824
251,2013-03-01,22.44,23.27,22.24,23.01,739305
252,2013-03-04,23.05,23.47,22.8,23.39,936020
253,2013-03-05,23.57,24.08,23.525,23.565,1141155
254,2013-03-06,23.66,23.875,23.01,23.11,480188
255,2013-03-07,23.12,23.71,23.02,23.07,637198
256,2013-03-08,23.25,23.36,22.9,23.27,626055
257,2013-03-11,23.36,23.6,23.315,23.48,546750
258,2013-03-12,23.45,23.5999,22.77,22.87,703383
259,2013-03-13,22.95,23.265,22.89,23.24,431946
260,2013-03-14,23.32,23.92,23.0401,23.81,620782
261,2013-03-15,23.94,24.09,23.66,24.055,786906
262,2013-03-18,23.95,24.03,23.59,23.9,474676
263,2013-03-19,23.96,24.08,22.66,23.19,1652475
264,2013-03-20,23.19,23.4,22.46,22.92,1007815
265,2013-03-21,22.75,22.94,22.54,22.85,681996
266,2013-03-22,22.86,22.9,22.2,22.62,759339
267,2013-03-25,22.61,22.99,22.6,22.9,437355
268,2013-03-26,22.98,23.5,22.9,23.42,672058
269,2013-03-27,23.38,23.63,23.12,23.505,352329
270,2013-03-28,23.55,23.55,22.97,23.32,680173
271,2013-04-01,23.38,23.53,22.95,23.04,567211
272,2013-04-02,23.21,23.55,23.06,23.09,361557
273,2013-04-03,23.11,23.3,22.7,22.94,538106
274,2013-04-04,22.91,23.07,22.5,23.05,472108
275,2013-04-05,22.59,22.81,21.13,22.59,864482
276,2013-04-08,22.58,23.11,22.28,23.09,375746
277,2013-04-09,23.13,23.53,23.03,23.19,337395
278,2013-04-10,23.26,23.55,23.02,23.33,411639
279,2013-04-11,23.32,23.47,22.93,22.94,938332
280,2013-04-12,22.66,22.9935,22.42,22.95,313952
281,2013-04-15,22.96,23.14,22.23,22.63,755076
282,2013-04-16,22.79,23.12,22.43,22.5,574034
283,2013-04-17,22.35,22.6,21.89,22.44,1003627
284,2013-04-18,22.51,23.16,22.01,22.51,878940
285,2013-04-19,22.5,22.85,22.019,22.18,824154
286,2013-04-22,22.21,22.95,21.98,22.7,449975
287,2013-04-23,22.75,23.1,22.6,22.97,280983
288,2013-04-24,22.94,23.18,22.82,23.05,253612
