,DateTime,Open,High,Low,Close,Volume
0,2011-07-28,9.0,9.2,9.0,9.0,564693
1,2011-07-29,9.01,9.1,9.0,9.0,114097
2,2011-08-01,9.04,9.05,9.0,9.02,42661
3,2011-08-02,9.05,9.34,9.0,9.05,202957
4,2011-08-03,9.02,9.02,9.0,9.0,19683
5,2011-08-04,9.0,9.01,9.0,9.0,41595
6,2011-08-05,9.0,9.048,8.95,8.95,232440
7,2011-08-08,8.9,8.95,8.75,8.8,26802
8,2011-08-09,8.75,8.75,8.3,8.43,24705
9,2011-08-10,8.59,8.59,8.35,8.35,4300
10,2011-08-11,8.35,8.45,8.2,8.28,6400
11,2011-08-12,8.2,8.29,8.15,8.16,3324
12,2011-08-15,8.16,8.6,8.14,8.6,20090
13,2011-08-16,8.49,8.59,8.211,8.37,3798
14,2011-08-17,8.4,8.56,8.4,8.51,3312
15,2011-08-18,8.32,8.58,8.17,8.52,8852
16,2011-08-19,8.46,8.73,7.81,8.0,74547
17,2011-08-22,8.01,8.05,7.62,7.85,12110
18,2011-08-23,7.85,8.48,7.85,8.24,28568
19,2011-08-24,8.55,8.55,8.24,8.391,3269
20,2011-08-25,8.68,8.68,8.32,8.38,12999
21,2011-08-26,8.26,8.27,8.0,8.1,7864
22,2011-08-29,8.15,8.35,7.51,7.95,24439
23,2011-08-30,8.1,8.3,8.0,8.0,3500
24,2011-08-31,8.0,8.13,8.0,8.0,5530
25,2011-09-01,8.0,8.6,8.0,8.13,12297
26,2011-09-02,8.01,8.51,8.01,8.3,7000
27,2011-09-06,8.08,8.75,8.0,8.01,9640
28,2011-09-07,8.35,8.56,8.151,8.151,3699
29,2011-09-08,8.12,8.75,8.12,8.74,14461
30,2011-09-09,8.35,8.74,8.0,8.26,32050
31,2011-09-12,7.97,8.25,7.72,7.9,11000
32,2011-09-13,7.86,8.51,7.85,8.19,6200
33,2011-09-14,8.02,8.15,7.99,8.12,3000
34,2011-09-15,8.0,8.25,8.0,8.25,2027
35,2011-09-16,8.64,8.64,7.67,7.83,14742
36,2011-09-19,7.69,8.12,7.63,7.72,4380
37,2011-09-20,8.07,8.18,7.865,8.0,12582
38,2011-09-21,7.86,8.2,7.83,8.19,9600
39,2011-09-22,7.89,8.25,7.72,7.9,11400
40,2011-09-23,7.88,8.09,7.75,8.09,1835
41,2011-09-26,8.06,8.2,7.75,8.2,5840
42,2011-09-27,8.36,8.36,7.84,8.2,2634
43,2011-09-28,8.16,8.16,7.87,7.88,3400
