Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2019-06-03,1.03,1.38,1.015,1.29,2348700
1.0,2019-06-04,1.27,1.27,1.03,1.06,2158200
2.0,2019-06-05,1.05,1.09,1.03,1.07,450800
3.0,2019-06-06,1.04,1.09,0.95,1.08,776100
4.0,2019-06-07,1.06,1.08,1.02,1.04,291400
5.0,2019-06-10,1.04,1.044,0.951,0.999,539200
6.0,2019-06-11,0.99,1.03,0.975,1.02,320400
7.0,2019-06-12,1.03,1.05,0.99,1.02,383200
8.0,2019-06-13,1.02,1.08,1.0,1.04,313400
9.0,2019-06-14,1.05,1.07,1.01,1.02,153500
10.0,2019-06-17,1.02,1.07,1.02,1.04,180800
11.0,2019-06-18,1.05,1.18,1.042,1.13,571700
12.0,2019-06-19,1.12,1.15,1.08,1.15,145500
13.0,2019-06-20,1.19,1.19,1.08,1.1,305200
14.0,2019-06-21,1.08,1.14,1.07,1.1,151200
15.0,2019-06-24,1.12,1.12,1.02,1.06,210500
16.0,2019-06-25,1.07,1.14,1.03,1.1,247900
17.0,2019-06-26,1.1,1.1,1.04,1.05,197900
18.0,2019-06-27,1.06,1.13,1.04,1.05,314400
19.0,2019-06-28,1.05,1.1,1.01,1.02,3303300
20.0,2019-07-01,1.07,1.07,1.01,1.03,297200
21.0,2019-07-02,1.05,1.07,1.03,1.05,166900
22.0,2019-07-03,1.05,1.1,1.05,1.07,104200
23.0,2019-07-05,1.05,1.12,1.05,1.1,254500
24.0,2019-07-08,1.11,1.155,1.087,1.13,167700
25.0,2019-07-09,1.14,1.17,1.11,1.13,191500
26.0,2019-07-10,1.15,1.16,1.1,1.13,179400
27.0,2019-07-11,1.14,1.149,1.08,1.11,135600
28.0,2019-07-12,1.09,1.14,1.07,1.11,124900
29.0,2019-07-15,1.11,1.14,1.08,1.12,91000
30.0,2019-07-16,1.12,1.34,1.12,1.29,823500
31.0,2019-07-17,1.29,1.32,1.17,1.27,316000
32.0,2019-07-18,1.29,1.29,1.2,1.26,106700
33.0,2019-07-19,1.28,1.285,1.19,1.23,119000
34.0,2019-07-22,1.22,1.27,1.199,1.25,147700
35.0,2019-07-23,1.25,1.33,1.203,1.27,431600
36.0,2019-07-24,1.28,1.284,1.18,1.21,235300
37.0,2019-07-25,1.22,1.29,1.17,1.18,227300
38.0,2019-07-26,1.19,1.35,1.19,1.26,228300
39.0,2019-07-29,1.26,1.3,1.24,1.25,74100
40.0,2019-07-30,1.23,1.32,1.22,1.32,108800
41.0,2019-07-31,1.32,1.55,1.31,1.38,864800
42.0,2019-08-01,1.39,1.41,1.22,1.26,224700
43.0,2019-08-02,1.26,1.28,1.21,1.27,168700
44.0,2019-08-05,1.24,1.26,1.15,1.2,201800
45.0,2019-08-06,1.2,1.253,1.18,1.23,125100
46.0,2019-08-07,1.22,1.32,1.22,1.3,190300
47.0,2019-08-08,1.294,1.35,1.25,1.34,198200
48.0,2019-08-09,1.32,1.421,1.32,1.36,193100
49.0,2019-08-12,1.34,1.4,1.3,1.31,69800
50.0,2019-08-13,1.3,1.35,1.29,1.29,56600
51.0,2019-08-14,1.26,1.31,1.26,1.28,80100
52.0,2019-08-15,1.29,1.3,1.22,1.24,108500
53.0,2019-08-16,1.23,1.28,1.23,1.25,47300
54.0,2019-08-19,1.25,1.3,1.25,1.26,82200
55.0,2019-08-20,1.26,1.29,1.25,1.27,56000
56.0,2019-08-21,1.27,1.35,1.269,1.34,97800
57.0,2019-08-22,1.33,1.35,1.31,1.33,30200
58.0,2019-08-23,1.34,1.39,1.27,1.27,91900
59.0,2019-08-26,1.27,1.305,1.16,1.21,184300
60.0,2019-08-27,1.22,1.23,1.17,1.18,78900
61.0,2019-08-28,1.19,1.28,1.161,1.28,53700
62.0,2019-08-29,1.31,1.32,1.24,1.24,117700
63.0,2019-08-30,1.26,1.32,1.26,1.3,63800
64.0,2019-09-03,1.31,1.31,1.2,1.2,84600
65.0,2019-09-04,1.19,1.26,1.16,1.24,54700
66.0,2019-09-05,1.25,1.25,1.2,1.25,50100
67.0,2019-09-06,1.24,1.24,1.2,1.22,85100
68.0,2019-09-09,1.22,1.32,1.22,1.29,76100
69.0,2019-09-10,1.3,1.4,1.3,1.37,156100
70.0,2019-09-11,1.35,1.4,1.321,1.39,131400
71.0,2019-09-12,1.4,1.4,1.32,1.33,170200
72.0,2019-09-13,1.32,1.4,1.31,1.35,76600
73.0,2019-09-16,1.34,1.34,1.28,1.3,142400
74.0,2019-09-17,1.3,1.37,1.3,1.34,75900
75.0,2019-09-18,1.34,1.39,1.34,1.36,84400
76.0,2019-09-19,1.36,1.4,1.32,1.32,216400
77.0,2019-09-20,1.33,1.39,1.29,1.29,126900
78.0,2019-09-23,1.29,1.33,1.18,1.18,188200
79.0,2019-09-24,1.15,1.21,1.13,1.16,116800
80.0,2019-09-25,1.15,1.2,1.15,1.19,44100
81.0,2019-09-26,1.18,1.2,1.13,1.158,85300
82.0,2019-09-27,1.15,1.16,1.04,1.08,334900
83.0,2019-09-30,1.09,1.27,1.08,1.22,190100
84.0,2019-10-01,1.23,1.25,1.142,1.16,30900
85.0,2019-10-02,1.14,1.21,1.07,1.11,74700
86.0,2019-10-03,1.1,1.21,1.09,1.19,145100
87.0,2019-10-04,1.18,1.26,1.17,1.21,82600
88.0,2019-10-07,1.2,1.25,1.19,1.22,47500
89.0,2019-10-08,1.22,1.26,1.12,1.23,115000
90.0,2019-10-09,1.23,1.28,1.19,1.27,70600
91.0,2019-10-10,1.26,1.3,1.25,1.27,29300
92.0,2019-10-11,1.28,1.34,1.22,1.25,136100
