,DateTime,Open,High,Low,Close,Volume
0,2005-11-21,12.45,12.5,12.43,12.45,125700
1,2005-11-22,12.5,12.52,12.35,12.4,740000
2,2005-11-23,12.45,12.45,12.24,12.25,598200
3,2005-11-25,12.18,12.25,12.18,12.22,116200
4,2005-11-28,12.25,12.26,11.86,11.92,205300
5,2005-11-29,11.95,11.95,11.0501,11.15,478100
6,2005-11-30,11.15,11.5,10.97,11.06,620100
7,2005-12-01,11.06,11.9,11.06,11.86,2848800
8,2005-12-02,11.9,12.07,11.35,11.61,2198300
9,2005-12-05,11.75,11.8,11.1601,11.34,2149100
10,2005-12-06,11.36,11.8,11.25,11.34,2494400
11,2005-12-07,11.3,11.53,10.87,10.91,22624800
12,2005-12-08,10.96,11.01,10.67,10.92,2876400
13,2005-12-09,10.9,10.901,10.63,10.84,3397500
14,2005-12-12,10.96,11.24,10.96,11.04,1916500
15,2005-12-13,11.14,11.18,10.7,10.78,1552300
16,2005-12-14,10.72,10.92,10.72,10.84,968300
17,2005-12-15,10.84,10.86,10.78,10.8,689600
18,2005-12-16,10.83,10.84,10.09,10.22,2203800
19,2005-12-19,10.25,10.4,10.18,10.2,717000
20,2005-12-20,10.23,10.29,9.67,10.19,2311700
21,2005-12-21,10.2,10.25,10.09,10.11,708800
22,2005-12-22,10.1,10.16,9.75,9.88,1488500
23,2005-12-23,9.92,9.94,9.75,9.84,1095400
24,2005-12-27,9.9,9.95,9.16,9.53,2153900
25,2005-12-28,9.57,9.65,9.43,9.61,1999300
26,2005-12-29,9.6,9.63,9.36,9.52,1182700
27,2005-12-30,9.37,9.53,9.28,9.45,2397300
28,2006-01-03,9.05,9.6,8.97,9.39,3682200
29,2006-01-04,9.15,9.35,9.01,9.3,5290500
30,2006-01-05,9.25,9.49,8.94,9.06,4397800
31,2006-01-06,9.05,9.1,8.72,8.86,4745000
32,2006-01-09,8.87,9.74,8.87,9.65,5188000
33,2006-01-10,9.7,10.25,9.65,10.18,4158900
34,2006-01-11,10.23,10.23,9.95,10.17,3616700
35,2006-01-12,10.21,10.39,10.2,10.3,1976100
