,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,29.25,29.37,27.5,28.37,1194600
1,2000-01-04,27.88,28.19,24.88,25.75,2229178
2,2000-01-05,25.4375,27.4375,24.875,26.9375,1315500
3,2000-01-06,26.375,27.375,25.5,25.5625,1008900
4,2000-01-07,25.75,28.0,25.75,27.81,1232597
5,2000-01-10,28.06,30.31,28.0,29.19,2299288
6,2000-01-11,29.4375,30.25,28.875,29.0,1860600
7,2000-01-12,29.38,32.19,28.88,31.94,3777895
8,2000-01-13,32.25,32.75,31.125,31.8125,1498500
9,2000-01-14,32.38,34.25,32.38,33.56,2842483
10,2000-01-18,33.25,34.125,33.125,33.625,1875400
11,2000-01-19,33.75,33.8125,32.5625,32.875,1592600
12,2000-01-20,33.94,33.94,31.5,32.25,1968896
13,2000-01-21,32.8136,33.189,31.185,31.686,2328383
14,2000-01-24,31.63,32.0,30.13,30.56,2098789
15,2000-01-25,30.4375,31.0,29.0625,30.25,2174200
16,2000-01-26,30.0317,31.2831,29.0933,29.0933,1703700
17,2000-01-27,29.5,30.125,28.0,28.875,2570800
18,2000-01-28,27.56,29.94,27.5,28.81,1577396
19,2000-01-31,28.62509,29.62618,27.7178,28.4687,1336936
20,2000-02-01,29.0,31.31,28.38,30.19,2341591
21,2000-02-02,30.75,33.375,30.625,33.1875,3839400
22,2000-02-03,33.4683,34.5943,33.03,34.4692,3085967
23,2000-02-04,34.625,35.0,33.75,34.625,1646300
24,2000-02-07,34.55,36.55,34.42,36.39,2680819
25,2000-02-08,36.875,37.5625,36.4375,36.5,3251700
26,2000-02-09,36.4375,36.625,34.5625,35.1875,1046800
27,2000-02-10,35.16,36.09,34.16,36.09,1087439
28,2000-02-11,36.1875,36.875,35.625,36.25,1399100
29,2000-02-14,36.625,36.625,35.625,35.75,732700
30,2000-02-15,35.75,35.81,33.5,34.25,906299
31,2000-02-16,34.34,36.22,34.28,36.03,869029
32,2000-02-17,36.125,38.125,35.75,37.25,1444800
33,2000-02-18,36.88,37.13,36.5,36.75,881798
34,2000-02-22,36.25,36.8125,34.6875,36.375,1071200
35,2000-02-23,36.41,37.66,35.28,37.53,1726423
36,2000-02-24,37.5,37.5,36.38,37.19,1714491
37,2000-02-25,36.8125,37.0,36.375,36.6875,542700
38,2000-02-28,36.5,36.625,34.0,34.5625,1785700
39,2000-02-29,35.3125,38.0,35.25,36.8125,2832700
40,2000-03-01,36.5,38.75,36.5,37.125,2705500
41,2000-03-02,37.4375,38.75,37.125,38.1875,1000300
42,2000-03-03,39.0,41.88,38.5,40.63,2811287
43,2000-03-06,40.94,42.75,40.69,42.31,2732495
44,2000-03-07,43.125,46.0,42.25,43.75,3951400
45,2000-03-08,44.32,44.32,39.62,41.12,1755312
46,2000-03-09,42.25,43.88,41.25,43.81,1796192
47,2000-03-10,43.94,44.5,42.44,43.56,1076500
48,2000-03-13,42.0,42.5,40.63,41.06,983300
49,2000-03-14,41.4039,42.5798,37.38,38.0,1239639
50,2000-03-15,38.81,41.44,37.25,37.5,2100692
51,2000-03-16,37.19,39.0,35.0,38.31,1883997
52,2000-03-17,37.03,40.03292,36.905,38.9695,1433130
53,2000-03-20,39.28,40.34,38.28,39.22,1289201
54,2000-03-21,39.13,40.0,37.13,39.94,1147500
55,2000-03-22,39.44,42.0,39.44,41.5,1061099
56,2000-03-23,41.81,42.56,39.81,40.13,912576
57,2000-03-24,40.1875,41.625,40.1875,40.5625,1043100
58,2000-03-27,40.62608,43.2471,40.62608,42.0614,1016929
59,2000-03-28,41.7421,42.3605,40.443,41.0,1270805
60,2000-03-29,41.25,41.4375,37.75,39.0625,1455200
61,2000-03-30,38.3125,41.25,38.0625,39.1875,1722000
62,2000-03-31,39.875,41.0,38.8125,39.625,1794000
63,2000-04-03,39.0625,39.375,36.5,36.75,963000
64,2000-04-04,37.25,38.25,28.75,35.75,3118000
65,2000-04-05,35.0,40.0,34.875,39.75,1323100
66,2000-04-06,39.88,43.38,39.63,42.94,2816491
67,2000-04-07,43.49,44.98,43.49,44.83,1325227
68,2000-04-10,45.1875,45.75,40.25,40.25,1398600
69,2000-04-11,39.18,45.63,39.06,45.38,4204632
70,2000-04-12,45.2425,45.243,39.88,40.1325,2198620
71,2000-04-13,41.625,43.625,41.125,41.5,2108200
72,2000-04-14,40.125,40.5,35.0,36.03125,1770400
73,2000-04-17,34.0,41.0,33.5625,41.0,1516900
74,2000-04-18,41.5,41.5,38.625,41.125,2295200
75,2000-04-19,41.3125,42.375,39.9375,42.1875,1747800
76,2000-04-20,42.13,44.81,41.75,42.44,1887799
77,2000-04-24,42.141,43.28645,38.9578,43.0,1015108
78,2000-04-25,42.56,44.81,42.5,43.56,3078389
79,2000-04-26,44.0625,48.125,42.375,46.9375,4295500
80,2000-04-27,45.375,50.5,43.625,50.1875,4978200
81,2000-04-28,51.13,51.63,48.0,48.06,3090593
82,2000-05-01,49.375,50.875,47.5,47.875,2194500
83,2000-05-02,49.5324,49.53242,45.905,45.9676,2217651
84,2000-05-03,45.8125,47.375,41.125,44.28125,3186400
85,2000-05-04,44.44,46.75,42.88,46.56,2001900
86,2000-05-05,45.9375,49.75,45.9375,49.4375,2678300
87,2000-05-08,48.75,49.25,47.06,47.38,1184199
88,2000-05-09,47.4041,47.59151,41.2834,41.4084,3252683
89,2000-05-10,41.25,42.375,36.0,40.0,3095400
90,2000-05-11,41.4375,43.75,40.8125,43.59375,1469400
91,2000-05-12,44.75,46.6875,43.0625,43.375,1685700
92,2000-05-15,43.19,43.38,39.44,42.69,1723400
93,2000-05-16,43.75,47.25,43.75,46.8125,3056200
94,2000-05-17,43.75,49.875,42.375,49.125,3524400
95,2000-05-18,48.5625,50.0,46.125,46.375,1416900
96,2000-05-19,45.5625,46.875,44.375,46.125,1554100
97,2000-05-22,45.91,45.94,40.69,43.94,2226399
98,2000-05-23,43.88,44.44,40.5,40.5,1138800
99,2000-05-24,40.56,41.5,34.69,38.0,4001300
100,2000-05-25,39.38,44.34,39.19,41.5,2794899
101,2000-05-26,41.16,43.38,41.13,42.88,1372400
102,2000-05-30,44.88,47.13,44.63,46.19,2331597
103,2000-05-31,46.13,49.0,46.13,47.5,2191999
104,2000-06-01,48.16,48.84,46.84,48.78,2492278
105,2000-06-02,49.88,53.25,49.25,52.69,4912982
106,2000-06-05,52.75,55.94,52.25,54.31,4162694
107,2000-06-06,55.3125,55.3125,51.8125,52.1875,2407600
108,2000-06-07,52.625,54.125,51.0,53.25,1078600
109,2000-06-08,54.13,58.63,54.0,55.44,4289492
110,2000-06-09,57.625,57.75,54.125,54.875,1581300
111,2000-06-12,56.1875,56.1875,52.75,53.0625,1423500
112,2000-06-13,52.22,58.25,50.19,57.5,2448700
113,2000-06-14,58.3061,58.30611,52.2572,52.6314,1717453
114,2000-06-15,53.1875,54.625,49.5,52.625,3066600
115,2000-06-16,52.34,55.47,52.34,54.84,1704369
116,2000-06-19,55.125,58.25,54.875,58.0625,2795800
117,2000-06-20,58.41,61.66,58.03,61.53,3529635
118,2000-06-21,60.905,64.6573,60.3426,64.3446,3878481
119,2000-06-22,64.9375,65.4375,59.5625,59.8125,2533000
120,2000-06-23,59.8125,62.25,59.625,60.0,2137100
121,2000-06-26,62.31,62.56,57.75,58.56,1346799
122,2000-06-27,59.8125,60.5,55.0,56.0625,3461800
123,2000-06-28,56.63,59.5,56.63,57.63,2972591
124,2000-06-29,56.94,59.5,54.88,56.75,4610482
125,2000-06-30,55.5625,60.375,55.5,60.0625,5431300
126,2000-07-03,60.34,61.97,59.53,61.78,514238
127,2000-07-05,60.6875,60.6875,52.5625,54.0625,4648000
128,2000-07-06,55.37,58.5,53.31,58.06,2674100
129,2000-07-07,58.4375,60.5,57.875,58.125,1914900
130,2000-07-10,58.3125,60.25,57.625,58.0,1228200
131,2000-07-11,59.0625,60.625,58.0,59.25,1726300
132,2000-07-12,60.0,69.75,59.56,68.75,4444496
133,2000-07-13,69.125,71.9375,66.375,67.6875,3634000
134,2000-07-14,69.4701,70.5293,66.66639,70.3424,1696798
135,2000-07-17,71.19,74.25,68.5,73.69,2501200
136,2000-07-18,72.75,73.25,68.75,70.88,2718400
137,2000-07-19,73.3125,74.75,71.25,73.09375,4344200
138,2000-07-20,74.125,77.4375,72.9375,73.5,2940200
139,2000-07-21,73.0,74.88,71.0,74.0,3324297
140,2000-07-24,74.0625,76.1875,72.9375,72.9375,2699600
141,2000-07-25,73.875,74.25,68.875,71.375,2702800
142,2000-07-26,69.6875,70.3125,61.4375,64.4375,6243400
143,2000-07-27,60.875,60.875,49.625,50.0,7783700
144,2000-07-28,53.5,54.25,47.63,49.81,9867449
145,2000-07-31,51.5625,54.375,50.5,53.25,4574000
146,2000-08-01,52.94,59.88,52.63,54.69,5344791
147,2000-08-02,53.8125,59.0,52.5,58.3125,3037700
148,2000-08-03,53.0,57.5,48.875,57.125,5717200
149,2000-08-04,58.3125,58.5,52.375,53.5,3454100
150,2000-08-07,53.75,57.125,53.125,57.0,1750300
151,2000-08-08,57.3125,62.625,56.25,62.0,4273700
152,2000-08-09,63.4375,68.4375,60.375,62.25,3931600
153,2000-08-10,62.81,63.88,59.25,59.63,2584700
154,2000-08-11,59.06,67.13,58.38,65.31,3558099
155,2000-08-14,64.75,67.875,63.125,65.875,1550900
156,2000-08-15,67.09375,70.25,66.5,66.875,3345500
157,2000-08-16,68.4375,69.125,65.75,66.6875,1455700
158,2000-08-17,66.3722,69.7535,64.4938,69.38,2407165
159,2000-08-18,70.19,72.998,69.254,72.998,3062839
160,2000-08-21,73.5,74.75,68.63,69.5,2564099
161,2000-08-22,70.0,74.63,69.56,72.44,1570600
162,2000-08-23,71.0,78.1875,71.0,77.375,3641800
163,2000-08-24,78.28,79.59,75.84,79.41,3411537
164,2000-08-25,77.625,80.0,77.3125,78.25,1394100
165,2000-08-28,78.9375,79.0,75.75,77.125,1041100
166,2000-08-29,78.19,78.88,76.38,76.94,971200
167,2000-08-30,76.4375,78.25,75.25,77.375,1111000
168,2000-08-31,77.875,90.375,77.875,87.6875,7392100
169,2000-09-01,90.47,93.56,89.06,92.63,3749400
170,2000-09-05,92.47,93.5,88.38,89.19,1771800
171,2000-09-06,88.3125,88.375,82.5,86.8125,5300600
172,2000-09-07,87.25,95.25,87.13,92.75,4224200
173,2000-09-08,91.0,94.3125,90.1875,93.0,2590000
174,2000-09-11,93.5,93.75,88.88,89.44,3411499
175,2000-09-12,91.25,95.625,89.25,90.03125,3477700
176,2000-09-13,87.45,90.04,85.7,87.45,2704969
177,2000-09-14,90.0625,92.125,88.75,90.75,2585300
178,2000-09-15,89.5,92.5,89.5,90.9375,2558800
179,2000-09-18,90.38748,96.61,89.8895,96.61,3297860
180,2000-09-19,97.37,103.62,95.0,103.37,5346700
181,2000-09-20,103.5,104.0,95.25,103.25,5017700
182,2000-09-21,101.63,102.31,97.94,98.5,2619098
183,2000-09-22,89.5,96.5,86.88,96.0,9419289
184,2000-09-25,99.0,100.875,94.25,95.75,2117500
185,2000-09-26,97.13,100.25,96.19,97.0,2673300
186,2000-09-27,98.88,99.5,87.44,89.19,4334698
187,2000-09-28,86.69,97.31,86.12,96.56,2937500
188,2000-09-29,94.625,95.625,89.125,90.4375,3564400
189,2000-10-02,89.88,95.13,88.13,89.44,1931300
190,2000-10-03,92.59375,94.9375,85.5,86.375,2712000
191,2000-10-04,86.5,89.5,80.375,89.25,4831400
192,2000-10-05,87.94,88.56,80.5,83.0,4528398
193,2000-10-06,82.63,83.75,74.0,76.69,5111898
194,2000-10-09,74.375,80.125,70.5,79.25,3986300
195,2000-10-10,74.625,76.0,70.125,73.0625,5326200
196,2000-10-11,68.96875,79.625,67.5,76.625,5465800
197,2000-10-12,81.5,81.625,72.1875,74.875,4861300
198,2000-10-13,74.44,83.25,73.44,82.38,3690999
199,2000-10-16,83.09,89.56,80.56,88.0,3277899
200,2000-10-17,89.3125,90.25,74.875,76.25,4935100
201,2000-10-18,70.25,80.5,67.38,72.69,6658198
202,2000-10-19,77.5,77.75,67.75,70.5,7093300
203,2000-10-20,70.5625,80.5,70.1875,79.5625,4690400
204,2000-10-23,78.19,84.63,78.13,81.94,3611399
205,2000-10-24,82.56,83.69,72.63,73.63,3384100
206,2000-10-25,70.0625,71.375,61.0,61.1875,5255000
207,2000-10-26,62.88,67.63,60.19,67.0,3964100
208,2000-10-27,67.625,69.5,54.0625,58.0,10546200
209,2000-10-30,55.88,58.75,49.75,50.44,6409088
210,2000-10-31,52.94,56.63,50.63,56.38,7361184
211,2000-11-01,52.95,53.45,50.4,52.8,3475536
212,2000-11-02,54.13,54.75,45.25,50.72,9444451
213,2000-11-03,52.9375,53.875,49.5625,50.25,4648300
214,2000-11-06,51.25,55.13,50.31,52.94,3557697
215,2000-11-07,48.9497,49.075,41.2077,42.30029,12883215
216,2000-11-08,42.69,42.75,39.0,39.69,4358693
217,2000-11-09,38.25,39.25,33.875,36.125,7905800
218,2000-11-10,33.2414,34.85,31.7586,32.5,7244642
219,2000-11-13,30.84375,37.75,30.8125,35.1875,6559500
220,2000-11-14,38.375,41.125,37.125,40.125,8143200
221,2000-11-15,42.38,47.25,41.75,44.94,9704150
222,2000-11-16,43.25,46.38,43.06,44.25,5086394
223,2000-11-17,46.0,46.25,37.75,42.25,8322557
224,2000-11-20,39.8125,46.4375,39.8125,44.875,5132300
225,2000-11-21,45.56,47.13,41.88,42.81,4194594
226,2000-11-22,41.9375,42.9375,40.125,41.5,2215700
227,2000-11-24,43.25,44.75,41.5,44.25,1240497
228,2000-11-27,46.3125,46.375,40.375,41.875,3522600
229,2000-11-28,42.125,43.375,38.1875,38.8125,2995100
230,2000-11-29,38.8125,39.625,34.875,37.03125,3797300
231,2000-11-30,32.75,32.75,27.0625,29.625,12230500
232,2000-12-01,30.75,34.75,30.5,33.5,6490300
233,2000-12-04,32.59,33.78,30.6,32.59,2523272
234,2000-12-05,33.59375,38.0,33.375,37.8125,4043400
235,2000-12-06,37.8125,39.875,35.5625,35.875,4262100
236,2000-12-07,35.0,35.75,32.5,34.0,3140000
237,2000-12-08,38.0625,42.125,37.625,41.25,4448900
238,2000-12-11,42.75,44.88,40.03,42.31,4205993
239,2000-12-12,42.0,42.0,39.13,39.44,1694997
240,2000-12-13,41.125,41.1875,37.25,38.3125,2490000
241,2000-12-14,37.13,38.75,35.69,35.81,1086899
242,2000-12-15,34.69,35.75,33.0,35.56,2510900
243,2000-12-18,35.25,36.0,32.1875,32.5,2227800
244,2000-12-19,32.094,35.479,31.5927,31.7808,2962876
245,2000-12-20,30.5625,31.75,29.0,29.375,3015200
246,2000-12-21,28.47,31.86,27.59,27.72,2715975
247,2000-12-22,29.06,32.75,28.31,32.25,3153687
248,2000-12-26,32.3125,35.375,32.0,33.75,2946400
249,2000-12-27,34.0,36.5,33.12,36.09,2688401
250,2000-12-28,35.31,37.44,34.25,36.38,2777295
251,2000-12-29,33.875,35.875,32.5,33.0,4855800
252,2001-01-02,32.5,34.375,30.5,30.875,2153700
253,2001-01-03,30.01,38.01,29.88,37.98,5046496
254,2001-01-04,37.38,43.68,36.95,42.74,5769380
255,2001-01-05,42.85,42.85,37.5238,38.6514,3984714
256,2001-01-08,38.0625,38.0625,34.5625,36.25,3982500
257,2001-01-09,36.22,39.15,35.6,39.15,2731320
258,2001-01-10,37.3125,42.1875,37.25,42.0,3836700
259,2001-01-11,40.25,50.25,40.0,49.38,8579761
260,2001-01-12,48.5,51.0,45.25,47.81,4304897
261,2001-01-16,47.6875,48.25,44.3125,47.75,4583900
262,2001-01-17,51.75,55.0,50.81,52.88,5264890
263,2001-01-18,52.875,57.0625,50.125,55.9375,5549800
264,2001-01-19,58.875,59.25,50.0,50.25,10325200
265,2001-01-22,49.375,51.4375,47.75,49.625,4037500
266,2001-01-23,50.0,50.0,46.56,47.19,4793592
267,2001-01-24,45.875,47.625,45.125,46.375,3537100
268,2001-01-25,45.75,48.25,45.13,45.56,2910997
269,2001-01-26,43.38,47.44,42.13,46.84,4390893
270,2001-01-29,45.7,46.07,43.57,45.88,2382408
271,2001-01-30,46.75,49.88,45.75,48.0,3050800
272,2001-01-31,48.88,52.19,48.25,48.94,3779000
273,2001-02-01,48.6875,48.75,45.0,46.0,5398900
274,2001-02-02,45.13,45.75,42.38,42.5,4226791
275,2001-02-05,41.6875,42.375,37.5625,39.75,4467900
276,2001-02-06,39.1875,42.5,39.125,40.875,3791500
277,2001-02-07,38.75,40.125,37.8125,38.5,5377500
278,2001-02-08,39.0,41.12,38.0,38.25,2368990
279,2001-02-09,38.0,40.13,37.75,38.06,2229799
280,2001-02-12,38.6875,40.3125,38.25,39.5,2353500
281,2001-02-13,40.38,41.13,37.63,37.81,2636995
282,2001-02-14,38.5,43.625,38.0625,43.5,3936400
283,2001-02-15,44.69,48.0,43.94,45.31,4257194
284,2001-02-16,42.5,43.8125,40.5625,41.9375,3454400
285,2001-02-20,42.22,44.0,37.38,37.56,3531491
286,2001-02-21,36.25,39.25,36.13,38.31,2892596
287,2001-02-22,38.4375,40.75,35.0,37.625,3639900
288,2001-02-23,37.0,38.75,34.5625,38.28125,3752500
289,2001-02-26,39.13,39.25,34.25,34.56,5159067
290,2001-02-27,33.625,34.625,30.375,30.5,6199300
291,2001-02-28,29.03,30.15,28.6,29.03,4709179
292,2001-03-01,28.04,32.42,26.85,32.32,6322276
293,2001-03-02,30.1875,34.6875,30.125,33.4375,6703000
294,2001-03-05,34.0,35.3125,32.875,34.9375,2795200
295,2001-03-06,35.8125,39.0,35.5625,37.1875,5348300
296,2001-03-07,37.5,37.5625,35.25,37.25,2634200
297,2001-03-08,36.375,37.625,35.75,36.875,2282800
298,2001-03-09,35.25,36.0,34.0,34.5,1813600
299,2001-03-12,33.59,34.6,31.5,31.75,2453000
300,2001-03-13,33.06,34.1,32.03,33.99,1783900
301,2001-03-14,32.0,35.25,31.9,34.48,1664600
302,2001-03-15,35.7,36.3,33.28,33.38,958581
303,2001-03-16,32.5,33.4,31.01,32.05,1325900
304,2001-03-19,31.89,33.7,31.27,33.55,1540500
305,2001-03-20,34.3,35.0,30.9,31.11,2217000
306,2001-03-21,31.13,34.69,31.12,33.4,2868000
307,2001-03-22,34.06,37.5,33.4,37.09,3806800
308,2001-03-23,37.61,39.58,36.4,39.26,3764500
309,2001-03-26,39.07,39.5,33.83,34.65,3156200
310,2001-03-27,33.9,36.54,31.9,33.27,5552300
311,2001-03-28,32.51,34.14,30.61,30.68,4023300
312,2001-03-29,30.76,33.21,30.76,31.92,4492600
313,2001-03-30,32.01,32.09,29.5,29.6,5425100
314,2001-04-02,29.59,31.13,28.47,29.12,4123500
315,2001-04-03,28.66,29.74,27.35,28.03,6363000
316,2001-04-04,27.9,27.91,22.9,24.21,6199600
317,2001-04-05,25.2,26.5,22.75,26.45,9919300
318,2001-04-06,24.99,25.99,24.55,25.11,3659300
319,2001-04-09,24.86,25.9,23.26,24.47,3045800
320,2001-04-10,24.37,28.39,23.8,28.36,4087700
321,2001-04-11,32.02,35.18,30.31,30.9,4571500
322,2001-04-12,30.22,32.93,28.61,32.61,3102900
323,2001-04-16,30.44,31.0,29.0,29.53,2031900
324,2001-04-17,28.5,31.9,28.41,30.58,2255200
325,2001-04-18,33.99,38.75,33.6,36.98,5733300
326,2001-04-19,37.6,40.4,35.58,40.0,4165400
327,2001-04-20,40.55,43.0,39.85,40.61,3576400
328,2001-04-23,37.45,38.95,36.75,37.25,1916600
329,2001-04-24,37.26,39.86,34.21,34.33,2950000
330,2001-04-25,34.5,37.9,33.81,36.88,3859100
331,2001-04-26,37.45,37.5,34.51,34.65,2159900
332,2001-04-27,36.09,39.51,35.76,39.48,2902150
333,2001-04-30,40.11,41.35,38.25,39.17,3581400
334,2001-05-01,38.81,40.62,38.14,40.42,1769258
335,2001-05-02,41.75,44.97,41.46,43.91,4132700
336,2001-05-03,42.24,43.25,40.82,41.15,3009200
337,2001-05-04,38.95,42.65,38.8,42.65,2812800
338,2001-05-07,42.73,43.18,41.1,41.35,1714000
339,2001-05-08,42.39,42.95,41.6,42.76,1163300
340,2001-05-09,41.65,42.22,40.11,40.98,1848500
341,2001-05-10,42.78,43.19,41.42,41.51,2249100
342,2001-05-11,41.9,41.95,40.37,40.94,1734300
343,2001-05-14,40.7,40.85,39.07,39.5,1655000
344,2001-05-15,39.51,41.45,38.93,39.5,1643058
345,2001-05-16,38.74,42.96,38.74,42.96,2598309
346,2001-05-17,42.65,44.1,42.07,43.09,1536400
347,2001-05-18,43.19,44.44,42.48,44.08,1409800
348,2001-05-21,44.15,50.46,44.12,50.25,3545800
349,2001-05-22,50.92,51.45,49.5,49.61,2555700
350,2001-05-23,48.71,48.72,45.3,45.34,2260800
351,2001-05-24,45.58,46.4,43.83,45.11,2028700
352,2001-05-25,45.21,45.76,43.95,44.1,1537400
353,2001-05-29,44.1,44.1,40.25,40.99,1828500
354,2001-05-30,39.29,39.67,35.93,36.61,2807100
355,2001-05-31,37.28,38.73,36.47,36.65,2675200
356,2001-06-01,34.65,35.75,33.75,34.04,5334800
357,2001-06-04,34.0,34.79,33.25,34.57,2333600
358,2001-06-05,34.68,37.24,34.67,36.5,1704400
359,2001-06-06,36.65,37.0,35.15,35.85,1154200
360,2001-06-07,35.61,39.05,35.55,38.79,1721900
361,2001-06-08,38.66,38.71,36.0,37.03,1255000
362,2001-06-11,37.02,37.03,34.31,35.15,881500
363,2001-06-12,34.77,35.45,32.71,34.5,1442093
364,2001-06-13,34.56,35.49,33.15,33.25,650700
365,2001-06-14,33.06,33.2,29.66,29.79,2540800
366,2001-06-15,29.19,30.2,28.28,29.49,1915200
367,2001-06-18,29.64,30.46,27.25,27.79,1916000
368,2001-06-19,29.15,29.45,26.58,27.49,1663800
369,2001-06-20,26.45,27.4,25.4,27.0,2908100
