Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-08-29,183.438,199.375,181.25,193.75,23350
1.0,2000-08-30,196.25,199.375,178.75,195.0,40830
2.0,2000-08-31,195.0,195.0,185.0,194.375,17450
3.0,2000-09-01,190.0,195.0,178.75,186.25,10770
4.0,2000-09-05,186.875,190.0,175.0,177.5,8110
5.0,2000-09-06,175.938,176.875,156.875,161.25,19080
6.0,2000-09-07,157.5,171.25,157.5,169.375,9290
7.0,2000-09-08,170.0,170.0,160.0,161.25,7780
8.0,2000-09-11,166.562,166.875,160.0,160.0,4270
9.0,2000-09-12,160.0,165.0,156.25,160.0,5640
10.0,2000-09-13,150.625,156.875,142.5,142.5,24880
11.0,2000-09-14,149.375,150.0,137.5,145.625,6730
12.0,2000-09-15,147.5,150.0,145.0,146.25,12230
13.0,2000-09-18,144.062,145.0,138.75,140.0,24670
14.0,2000-09-19,141.25,141.25,128.75,133.125,18600
15.0,2000-09-20,133.438,133.75,130.0,133.75,10110
16.0,2000-09-21,128.75,140.625,128.75,140.0,16130
17.0,2000-09-22,132.5,141.25,130.625,141.25,98990
18.0,2000-09-25,147.5,158.75,141.25,150.0,25440
19.0,2000-09-26,150.625,152.5,129.375,130.0,6550
20.0,2000-09-27,130.0,140.0,129.375,130.0,17140
21.0,2000-09-28,129.375,131.25,128.125,130.0,3150
22.0,2000-09-29,130.312,135.625,130.0,131.875,53850
23.0,2000-10-02,140.625,162.5,137.5,150.0,73700
24.0,2000-10-03,142.5,150.625,141.875,145.625,5370
25.0,2000-10-04,152.344,161.25,143.125,160.0,33710
26.0,2000-10-05,159.844,161.25,157.5,158.75,19060
27.0,2000-10-06,153.125,154.375,136.25,150.0,6020
28.0,2000-10-09,147.5,149.375,140.0,142.5,4160
29.0,2000-10-10,144.688,146.25,138.75,140.0,2550
30.0,2000-10-11,138.906,140.0,130.0,133.75,7200
31.0,2000-10-12,130.625,137.5,117.5,118.75,6020
32.0,2000-10-13,122.656,130.0,120.0,126.875,8240
33.0,2000-10-16,130.0,135.0,125.0,133.75,11800
34.0,2000-10-17,120.0,132.5,120.0,129.375,8550
35.0,2000-10-18,129.219,130.0,118.75,127.5,12860
36.0,2000-10-19,123.75,126.25,120.625,123.125,24120
37.0,2000-10-20,124.844,124.844,118.125,120.625,16820
38.0,2000-10-23,120.625,120.625,108.75,110.0,14740
39.0,2000-10-24,112.5,136.25,106.25,128.75,25290
40.0,2000-10-25,126.25,132.5,118.75,131.875,10920
41.0,2000-10-26,130.0,130.0,110.625,118.75,24800
42.0,2000-10-27,126.25,128.125,118.125,120.625,340600
43.0,2000-10-30,120.0,123.75,120.0,121.875,16490
44.0,2000-10-31,122.5,123.125,121.25,121.875,20760
45.0,2000-11-01,122.5,133.75,121.25,128.75,11380
46.0,2000-11-02,133.125,136.25,126.25,135.625,36830
47.0,2000-11-03,135.938,138.75,133.125,135.625,27750
48.0,2000-11-06,136.25,136.875,126.25,128.125,7340
49.0,2000-11-07,127.5,131.25,125.625,126.25,5290
50.0,2000-11-08,128.438,131.875,127.5,127.5,12940
51.0,2000-11-09,129.688,132.5,126.25,127.5,22190
52.0,2000-11-10,127.5,128.75,115.625,119.375,27500
53.0,2000-11-13,117.812,118.125,100.0,103.125,13920
54.0,2000-11-14,105.0,105.0,98.75,100.0,13440
55.0,2000-11-15,101.25,104.375,98.125,101.25,34380
56.0,2000-11-16,101.25,105.0,100.0,102.5,16440
57.0,2000-11-17,100.312,105.0,100.0,101.25,36590
58.0,2000-11-20,101.25,101.875,91.25,96.25,18400
59.0,2000-11-21,95.312,97.5,73.125,78.75,37810
60.0,2000-11-22,60.0,75.0,60.0,68.75,109150
61.0,2000-11-24,70.938,71.875,49.375,51.875,93030
62.0,2000-11-27,45.0,45.625,28.75,30.0,381580
63.0,2000-11-28,30.625,34.688,28.75,32.5,249400
64.0,2000-11-29,33.75,35.938,30.0,31.406,121020
65.0,2000-11-30,32.969,33.438,28.125,30.625,31890
66.0,2000-12-01,31.25,32.812,29.062,30.0,48920
67.0,2000-12-04,30.781,30.938,28.75,30.0,92220
68.0,2000-12-05,29.844,30.625,28.75,28.75,51340
69.0,2000-12-06,28.75,30.312,27.5,27.5,24070
70.0,2000-12-07,27.812,29.688,26.25,26.875,129400
71.0,2000-12-08,27.031,31.875,25.625,31.562,20010
72.0,2000-12-11,31.875,33.75,30.0,31.875,10570
73.0,2000-12-12,32.969,33.125,30.0,30.0,14210
74.0,2000-12-13,31.094,31.25,29.062,29.062,9110
75.0,2000-12-14,30.0,30.312,28.75,28.75,8110
76.0,2000-12-15,28.906,29.375,27.5,29.375,7690
77.0,2000-12-18,29.375,30.0,28.75,29.688,11680
78.0,2000-12-19,29.688,30.312,29.062,30.0,11890
79.0,2000-12-20,30.156,31.875,29.688,30.938,30820
80.0,2000-12-21,31.094,46.25,30.938,40.0,26020
81.0,2000-12-22,38.125,41.25,36.25,40.0,15100
82.0,2000-12-26,40.938,40.938,35.0,36.25,11950
83.0,2000-12-27,34.531,35.625,32.812,34.688,49620
84.0,2000-12-28,35.0,38.75,34.375,34.688,43180
85.0,2000-12-29,34.844,36.875,34.375,34.688,57960
86.0,2001-01-02,34.688,37.5,34.688,37.5,5750
87.0,2001-01-03,37.188,38.75,36.875,38.125,10190
88.0,2001-01-04,38.594,42.5,37.188,42.5,26370
89.0,2001-01-05,62.812,66.875,56.25,61.25,274650
