Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2006-12-14,25.66,26.0,24.51,25.15,998900
1.0,2006-12-15,25.24,26.0,24.11,24.6,1012600
2.0,2006-12-18,24.4,25.0,23.6,23.79,734400
3.0,2006-12-19,23.58,23.99,22.5,23.1,1297900
4.0,2006-12-20,23.2,25.47,23.05,25.0,495800
5.0,2006-12-21,25.16,25.65,24.0,24.6,277000
6.0,2006-12-22,24.59,25.0,23.71,24.02,222300
7.0,2006-12-26,23.92,24.38,23.9,24.21,109500
8.0,2006-12-27,24.25,24.25,23.91,24.08,91100
9.0,2006-12-28,23.9,24.12,23.51,24.0,62100
10.0,2006-12-29,24.35,24.35,23.86,24.0,68900
11.0,2007-01-03,23.83,24.29,23.7,24.09,193400
12.0,2007-01-04,23.85,24.22,23.85,24.09,253400
13.0,2007-01-05,23.91,25.24,23.82,24.82,192200
14.0,2007-01-08,24.88,25.0,24.09,24.66,82300
15.0,2007-01-09,24.49,25.75,24.19,25.7,119200
16.0,2007-01-10,25.5,27.96,25.43,27.24,257400
17.0,2007-01-11,27.5,27.5,26.54,26.8,188800
18.0,2007-01-12,26.83,26.83,26.33,26.33,129100
19.0,2007-01-16,26.27,26.4,23.57,25.12,600300
20.0,2007-01-17,25.15,26.16,24.58,26.02,118800
21.0,2007-01-18,25.95,25.95,24.81,25.13,63800
22.0,2007-01-19,24.95,25.37,24.95,25.09,81300
23.0,2007-01-22,26.0,26.38,25.18,25.79,182800
24.0,2007-01-23,26.06,26.1,25.35,25.37,88600
25.0,2007-01-24,26.0,26.0,24.9,25.6,134900
26.0,2007-01-25,25.9,25.9,25.17,25.44,31600
27.0,2007-01-26,25.59,26.5,25.0,26.42,88800
28.0,2007-01-29,26.55,27.2,26.5,27.04,95500
29.0,2007-01-30,27.75,28.0,27.04,27.47,103900
30.0,2007-01-31,27.33,27.37,26.32,26.41,154800
31.0,2007-02-01,27.0,27.0,25.49,26.04,62200
32.0,2007-02-02,25.85,26.98,25.78,26.41,37000
33.0,2007-02-05,26.4,26.5,25.42,26.09,80700
34.0,2007-02-06,26.09,26.1,25.75,25.88,47900
35.0,2007-02-07,26.16,26.55,25.88,26.3,61100
36.0,2007-02-08,26.46,26.46,26.01,26.3,39800
37.0,2007-02-09,26.14,26.69,25.91,26.19,72600
38.0,2007-02-12,26.29,26.29,25.34,25.6,110400
39.0,2007-02-13,25.44,25.82,25.0,25.06,106900
40.0,2007-02-14,25.0,25.5,25.0,25.04,35500
41.0,2007-02-15,25.01,25.25,24.13,24.18,166700
42.0,2007-02-16,24.23,25.0,24.1,24.75,29400
43.0,2007-02-20,25.06,25.68,24.58,25.37,137800
44.0,2007-02-21,25.12,25.85,25.0,25.21,62500
45.0,2007-02-22,25.02,25.28,24.84,25.0,73200
46.0,2007-02-23,25.0,25.0,24.45,24.52,71200
47.0,2007-02-26,24.75,24.75,22.62,24.0,275300
48.0,2007-02-27,23.25,23.56,22.89,23.05,323200
49.0,2007-02-28,22.87,23.48,22.87,23.19,141600
50.0,2007-03-01,23.05,23.25,22.01,22.46,193500
51.0,2007-03-02,22.4,24.25,22.11,23.82,159200
52.0,2007-03-05,23.24,23.99,22.82,23.23,152700
53.0,2007-03-06,22.46,22.6,19.51,21.45,1111800
54.0,2007-03-07,21.2,21.4,19.6,20.38,637400
55.0,2007-03-08,19.64,20.35,19.64,20.3,313000
56.0,2007-03-09,19.98,20.3,19.37,19.9,220200
57.0,2007-03-12,19.79,20.1,19.5,19.87,80200
58.0,2007-03-13,19.8,20.1,19.65,19.8,119600
59.0,2007-03-14,19.8,20.0,18.89,19.09,265300
60.0,2007-03-15,18.94,19.22,17.92,18.02,482100
61.0,2007-03-16,18.0,18.33,17.78,18.23,304200
62.0,2007-03-19,18.03,18.85,18.03,18.69,231400
63.0,2007-03-20,18.52,19.07,18.25,19.0,186900
64.0,2007-03-21,19.1,19.2,18.86,19.05,216100
65.0,2007-03-22,19.19,19.58,18.95,19.41,160400
66.0,2007-03-23,19.49,20.43,19.34,19.94,116200
67.0,2007-03-26,20.0,20.4,20.0,20.02,100900
68.0,2007-03-27,20.05,20.4,19.95,20.02,80700
69.0,2007-03-28,20.35,20.35,19.7,19.82,59400
70.0,2007-03-29,19.68,20.13,19.35,19.38,48100
71.0,2007-03-30,19.31,21.5,19.17,19.2,958700
72.0,2007-04-02,19.2,19.56,18.57,18.89,193800
73.0,2007-04-03,19.07,19.19,18.74,19.0,210500
74.0,2007-04-04,19.15,19.15,18.66,18.88,64800
75.0,2007-04-05,18.76,18.96,18.56,18.64,61500
76.0,2007-04-09,18.75,19.22,18.43,19.0,123800
77.0,2007-04-10,19.01,19.37,19.01,19.22,77900
78.0,2007-04-11,19.16,19.38,19.15,19.37,92400
79.0,2007-04-12,19.3,19.5,19.19,19.4,90400
80.0,2007-04-13,19.52,19.91,19.31,19.82,64600
81.0,2007-04-16,20.0,20.68,19.72,20.53,52300
82.0,2007-04-17,20.65,21.15,20.65,21.12,118600
83.0,2007-04-18,21.47,21.71,20.7,20.73,49100
84.0,2007-04-19,21.39,21.39,19.93,20.04,161100
85.0,2007-04-20,20.45,20.45,19.6,19.75,137300
86.0,2007-04-23,19.88,20.09,19.16,19.25,195000
87.0,2007-04-24,19.59,19.86,19.25,19.63,78400
88.0,2007-04-25,19.89,19.9,19.26,19.42,65600
89.0,2007-04-26,19.45,19.46,17.9,18.17,365400
90.0,2007-04-27,18.4,18.5,18.08,18.17,128900
91.0,2007-04-30,18.17,18.29,18.01,18.19,117500
92.0,2007-05-01,18.2,18.43,17.67,17.79,88300
93.0,2007-05-02,17.9,18.1,17.69,17.99,75100
94.0,2007-05-03,18.09,18.46,17.8,18.45,113500
95.0,2007-05-04,18.53,19.75,18.45,19.64,191400
96.0,2007-05-07,19.85,19.85,18.8,18.88,418700
97.0,2007-05-08,20.49,20.49,19.0,19.53,265300
98.0,2007-05-09,19.41,20.57,19.37,20.06,121200
99.0,2007-05-10,20.01,20.01,19.24,19.3,129700
100.0,2007-05-11,19.16,19.99,19.15,19.99,81500
101.0,2007-05-14,20.09,20.09,19.73,20.03,84300
102.0,2007-05-15,20.06,20.48,20.03,20.17,128000
103.0,2007-05-16,20.4,20.67,19.93,20.27,82100
104.0,2007-05-17,20.35,20.44,19.82,19.95,70500
105.0,2007-05-18,20.0,20.31,19.57,20.29,55700
106.0,2007-05-21,20.42,20.85,19.86,20.73,57800
107.0,2007-05-22,20.75,21.19,20.75,21.04,121800
108.0,2007-05-23,21.12,21.78,21.12,21.61,181900
109.0,2007-05-24,21.79,21.85,21.07,21.29,122600
110.0,2007-05-25,21.44,21.88,20.27,20.35,186200
111.0,2007-05-29,20.38,21.2,19.94,20.21,188600
112.0,2007-05-30,20.01,20.79,19.99,20.69,194400
113.0,2007-05-31,20.88,22.43,20.25,22.43,370300
114.0,2007-06-01,22.76,23.44,22.41,22.98,288700
