,DateTime,Open,High,Low,Close,Volume
0,2000-03-24,30.125,32.0,23.375,25.5,7957400
1,2000-03-27,24.0,24.75,19.0,21.125,2308800
2,2000-03-28,21.0625,21.625,19.875,20.5,953500
3,2000-03-29,20.5,20.625,19.25,19.625,548100
4,2000-03-30,19.625,19.6875,18.25,19.0,549700
5,2000-03-31,19.625,20.5625,19.0,19.9375,177800
6,2000-04-03,19.9375,20.125,15.0,16.0,357400
7,2000-04-04,15.25,16.5625,14.25,14.75,369900
8,2000-04-05,14.5,15.75,14.0,15.5,603600
9,2000-04-06,15.71875,21.75,15.71875,21.3125,793000
10,2000-04-07,22.0,22.5,19.875,20.0,90200
11,2000-04-10,21.6875,22.0,19.9375,20.125,185200
12,2000-04-11,20.0,20.625,19.125,19.875,30500
13,2000-04-12,19.9375,20.0,16.0,19.125,297500
14,2000-04-13,19.375,19.71875,18.875,19.5,15900
15,2000-04-14,18.125,18.6875,17.5,18.6875,57200
16,2000-04-17,18.375,18.375,15.5,15.5,107600
17,2000-04-18,15.75,16.3125,15.625,15.625,76500
18,2000-04-19,16.75,16.75,13.5,13.5,39000
19,2000-04-20,14.0625,14.375,11.0,12.125,164100
20,2000-04-24,12.09375,13.75,11.875,12.125,139600
21,2000-04-25,12.0,14.375,12.0,14.0,89700
22,2000-04-26,14.0,15.5,14.0,15.4375,58800
23,2000-04-27,14.5,15.4375,14.0,15.1875,27400
24,2000-04-28,15.0625,17.25,14.75,17.0,104600
25,2000-05-01,16.5,20.875,16.5,20.4375,304400
26,2000-05-02,20.125,20.4375,18.5,18.5,43600
27,2000-05-03,18.5625,18.625,16.0,17.625,54300
28,2000-05-04,17.625,18.0,17.25,18.0,18200
29,2000-05-05,18.0,18.0625,17.875,18.0,140900
30,2000-05-08,17.875,18.75,17.875,18.75,33100
31,2000-05-09,18.625,19.125,18.625,18.75,36800
32,2000-05-10,19.0,19.21875,18.75,18.875,15300
33,2000-05-11,19.125,22.9375,19.125,22.0,82800
34,2000-05-12,22.375,22.375,21.25,21.5625,74600
35,2000-05-15,21.5,21.5,19.5,20.0625,100300
36,2000-05-16,20.125,20.125,19.5,19.625,27300
37,2000-05-17,19.375,20.125,19.0,19.875,239400
38,2000-05-18,19.875,20.0,19.5,19.875,41800
39,2000-05-19,19.875,19.875,19.5,19.75,152400
40,2000-05-22,19.5,19.625,19.125,19.125,4800
41,2000-05-23,19.125,19.5,18.75,18.75,58000
42,2000-05-24,18.9375,19.8125,18.9375,19.625,129900
43,2000-05-25,19.5,21.0,19.5,20.25,488600
44,2000-05-26,20.0,22.0,19.75,20.5,67100
45,2000-05-30,20.75,21.25,20.625,21.0,155700
46,2000-05-31,20.625,22.625,20.0,21.875,137400
47,2000-06-01,22.0,22.0,20.875,20.9375,15500
48,2000-06-02,21.125,24.625,21.125,24.625,53000
49,2000-06-05,23.0,26.375,23.0,25.875,48700
50,2000-06-06,25.9375,29.4375,25.5,27.5,146800
51,2000-06-07,27.125,28.5,26.875,28.0,63700
52,2000-06-08,28.375,28.625,27.5,28.25,103700
53,2000-06-09,30.125,35.0,30.0,34.125,265500
54,2000-06-12,35.0,35.0,31.625,33.125,58500
55,2000-06-13,33.375,33.625,28.9375,29.5,70100
56,2000-06-14,29.5,31.4375,28.0,30.125,59300
57,2000-06-15,30.625,30.8125,28.0,28.875,92800
58,2000-06-16,28.5,31.0,28.5,29.875,61700
59,2000-06-19,30.0,30.375,29.6875,30.0625,153500
60,2000-06-20,30.875,33.5,30.5,33.25,137900
61,2000-06-21,33.5,35.875,32.875,34.9375,96000
62,2000-06-22,34.375,36.0,34.0,34.1875,64300
63,2000-06-23,34.75,35.75,33.25,35.75,44900
64,2000-06-26,36.0,38.71875,35.5625,37.4375,359500
65,2000-06-27,37.0,38.625,36.5,37.75,187400
66,2000-06-28,38.0,41.0625,37.8125,41.0625,274300
67,2000-06-29,39.875,46.5,39.875,44.0,130400
68,2000-06-30,45.46875,47.25,32.25,41.3125,404800
69,2000-07-03,41.375,41.375,37.25,40.0,163600
70,2000-07-05,39.03125,41.125,39.03125,41.0,118200
71,2000-07-06,40.75,42.125,40.75,41.9375,203100
72,2000-07-07,42.25,42.5,41.5,42.25,78000
73,2000-07-10,42.125,43.875,42.125,43.875,11900
74,2000-07-11,43.875,44.75,43.75,43.75,30400
75,2000-07-12,44.25,46.4375,44.0,46.375,125700
76,2000-07-13,46.46875,47.875,41.5,42.0,164300
77,2000-07-14,41.65625,43.0,41.4375,42.6875,85500
78,2000-07-17,42.3125,45.5,42.125,45.0,69100
79,2000-07-18,45.0,45.125,44.875,44.9375,87600
80,2000-07-19,45.125,45.125,44.875,44.875,11800
81,2000-07-20,45.125,45.125,44.5,44.5625,186000
82,2000-07-21,44.875,45.625,44.875,45.25,241800
83,2000-07-24,45.125,45.5,43.625,45.0,156900
84,2000-07-25,44.4375,45.125,44.375,44.9375,40000
85,2000-07-26,44.9375,45.5,44.9375,45.125,63900
86,2000-07-27,45.0,46.1875,44.5625,44.75,77500
87,2000-07-28,44.5,45.125,44.375,45.0,34200
88,2000-07-31,44.625,45.125,40.625,41.25,209200
89,2000-08-01,41.25,41.25,40.5,40.5,56900
90,2000-08-02,40.25,40.25,38.875,40.0625,218600
91,2000-08-03,40.125,45.0625,40.0,44.875,141700
92,2000-08-04,45.125,45.125,43.25,45.0,34300
93,2000-08-07,45.0,46.75,44.625,46.0625,56300
94,2000-08-08,47.0,47.0,43.6875,43.6875,44200
95,2000-08-09,43.625,43.625,41.25,41.5,85400
96,2000-08-10,41.5,41.625,41.5,41.5,77000
97,2000-08-11,41.5,41.625,41.5,41.5,131800
98,2000-08-14,41.625,41.625,41.5,41.5,49800
99,2000-08-15,41.5625,41.625,41.5,41.625,28600
100,2000-08-16,41.5,41.6875,41.5,41.5,35100
101,2000-08-17,41.75,42.09375,41.5,42.09375,26600
102,2000-08-18,42.375,42.5,41.5,41.875,10400
103,2000-08-21,42.25,42.25,41.5,41.5625,23500
104,2000-08-22,41.5,41.5,39.5,39.5,170300
105,2000-08-23,39.75,39.75,37.75,38.125,125300
106,2000-08-24,38.125,38.125,37.625,37.75,85900
107,2000-08-25,37.5,38.0625,37.5,37.75,156600
108,2000-08-28,37.9375,38.4375,37.875,38.1875,94200
109,2000-08-29,38.125,38.25,37.625,38.25,96000
110,2000-08-30,37.9375,38.0,37.625,37.875,61600
111,2000-08-31,38.0625,38.375,37.875,38.0625,187100
112,2000-09-01,37.8125,40.0,37.8125,39.5,102400
113,2000-09-05,40.0,40.0,38.9375,39.875,53800
114,2000-09-06,39.0,39.375,39.0,39.25,30200
115,2000-09-07,39.25,42.8125,39.1875,42.25,65700
116,2000-09-08,41.875,42.25,41.75,41.8125,23800
117,2000-09-11,41.625,42.0,41.5,41.75,20900
118,2000-09-12,41.875,41.875,40.625,40.875,47200
119,2000-09-13,40.875,40.875,40.375,40.875,30800
120,2000-09-14,40.875,41.4375,40.875,41.0,13600
121,2000-09-15,41.375,42.0,40.75,41.75,116800
122,2000-09-18,41.5,41.8125,40.875,41.25,348100
123,2000-09-19,41.25,41.625,40.625,41.375,277000
124,2000-09-20,41.1875,44.5,41.125,44.0,111100
125,2000-09-21,44.0,48.5625,44.0,46.5,523100
126,2000-09-22,46.40625,55.5,46.125,55.375,254400
127,2000-09-25,55.375,55.4375,51.75,53.125,443000
128,2000-09-26,54.0,55.875,53.5,54.4375,289300
129,2000-09-27,54.5,55.375,51.75,52.0625,184700
130,2000-09-28,51.65625,54.125,51.65625,53.125,243600
131,2000-09-29,52.8125,54.625,52.25,54.25,219300
132,2000-10-02,54.5625,55.125,53.5,54.0,69600
133,2000-10-03,54.0,54.75,54.0,54.1875,261200
134,2000-10-04,53.875,54.21875,52.875,53.0,224800
135,2000-10-05,53.375,54.875,53.375,54.0625,231900
136,2000-10-06,54.03125,54.25,52.75,54.125,189200
137,2000-10-09,53.375,53.375,49.75,53.125,115100
138,2000-10-10,51.5,52.75,48.8125,49.4375,108100
139,2000-10-11,47.78125,48.96875,45.875,47.0,273900
140,2000-10-12,46.9375,46.9375,44.0,44.6875,166300
141,2000-10-13,44.3125,44.5,42.25,44.25,240900
142,2000-10-16,44.125,46.0,43.0,45.875,89300
143,2000-10-17,46.0625,50.5,46.0625,48.0,43600
144,2000-10-18,47.875,47.875,46.625,47.0625,54100
145,2000-10-19,47.375,48.0,47.375,47.8125,53300
146,2000-10-20,47.625,48.625,47.5625,48.1875,155800
147,2000-10-23,48.125,49.375,48.0,49.0,169700
148,2000-10-24,49.125,49.375,48.5,49.25,142000
149,2000-10-25,49.59375,54.75,49.59375,53.25,382700
150,2000-10-26,52.875,52.875,49.875,50.0,613800
151,2000-10-27,49.875,50.53125,49.875,50.1875,760400
152,2000-10-30,49.875,50.25,49.625,50.0,123600
153,2000-10-31,50.0,50.25,49.625,50.0,138200
154,2000-11-01,50.125,50.3125,49.875,50.125,582400
155,2000-11-02,50.5,50.5,49.5,49.5,178200
156,2000-11-03,49.5,49.625,45.5,47.0,139000
157,2000-11-06,47.25,47.375,46.75,46.875,94700
158,2000-11-07,47.0,47.125,46.5625,47.0625,351600
159,2000-11-08,47.125,47.1875,46.5,46.5,442100
160,2000-11-09,46.5625,46.5625,41.1875,45.125,137700
161,2000-11-10,45.125,45.125,43.5,43.875,187900
162,2000-11-13,43.375,43.75,41.5,42.9375,438400
163,2000-11-14,43.0,47.0625,43.0,47.0625,54700
164,2000-11-15,47.375,50.5,46.375,49.875,90900
165,2000-11-16,50.0,50.0,49.125,49.125,62900
166,2000-11-17,50.0,50.0,47.125,47.3125,98900
167,2000-11-20,47.25,47.3125,44.8125,45.9375,50900
168,2000-11-21,46.875,47.0,44.8125,46.6875,215900
169,2000-11-22,46.9375,47.0,39.0,44.875,86300
170,2000-11-24,45.0625,45.65625,44.25,45.25,21900
171,2000-11-27,45.25,46.0,43.25,44.9375,180800
172,2000-11-28,42.125,44.875,41.5,43.9375,162600
173,2000-11-29,44.0,45.0,42.875,45.0,105400
174,2000-11-30,42.0,46.375,41.875,46.0,151900
175,2000-12-01,46.0,48.3125,45.5,46.4375,111700
176,2000-12-04,45.875,46.0,43.0,43.3125,120700
177,2000-12-05,43.5,47.375,43.5,47.125,147000
178,2000-12-06,47.46875,47.5,45.875,46.375,54900
179,2000-12-07,45.8125,47.5,45.8125,47.0,49900
180,2000-12-08,47.5,47.9375,47.0625,47.25,171000
181,2000-12-11,47.25,47.4375,46.75,46.875,217300
182,2000-12-12,46.8125,46.8125,45.9375,46.46875,25300
183,2000-12-13,46.375,46.5,45.75,45.75,18300
184,2000-12-14,45.5,46.375,45.5,45.875,6600
185,2000-12-15,45.5,45.5625,42.0,42.625,68100
186,2000-12-18,41.625,42.25,38.625,40.375,61500
187,2000-12-19,40.0625,41.875,39.875,41.875,136600
188,2000-12-20,40.875,41.125,37.875,39.75,180300
189,2000-12-21,39.375,40.1875,39.0,40.0,75500
190,2000-12-22,39.90625,47.125,39.90625,46.5,64400
191,2000-12-26,44.75,45.5,43.75,43.9375,37800
192,2000-12-27,43.65625,44.125,39.3125,42.125,81700
193,2000-12-28,41.75,47.0,40.8125,47.0,83900
194,2000-12-29,46.9375,49.75,43.75,44.625,64200
195,2001-01-02,44.5,44.875,40.1875,40.1875,37800
196,2001-01-03,39.625,39.75,35.375,37.3125,226500
197,2001-01-04,37.25,37.5,35.6875,36.875,138400
198,2001-01-05,36.0,36.0,32.625,33.96875,375100
199,2001-01-08,34.46875,34.625,32.875,34.1875,291500
200,2001-01-09,34.125,34.125,27.8125,33.0,180000
201,2001-01-10,32.75,38.5,32.625,33.875,38500
202,2001-01-11,34.0,34.0,32.5,33.0,40400
203,2001-01-12,32.875,32.875,31.375,31.375,72200
204,2001-01-16,31.0,35.9375,30.5,34.5,110200
205,2001-01-17,34.0,36.3125,34.0,35.625,150200
206,2001-01-18,35.25,36.3125,35.25,35.9375,129800
207,2001-01-19,35.875,36.125,35.5,35.875,59500
208,2001-01-22,36.25,36.25,35.875,36.25,42300
209,2001-01-23,36.0,38.5,36.0,37.5,65400
210,2001-01-24,37.6875,38.1875,37.0,38.1875,45500
211,2001-01-25,38.0,39.625,37.625,38.6875,50700
212,2001-01-26,38.6875,39.0,38.125,39.0,18200
213,2001-01-29,38.3125,42.25,38.3125,42.25,145600
214,2001-01-30,42.25,44.75,40.625,42.375,167300
215,2001-01-31,42.3125,42.9375,40.75,41.0,58600
216,2001-02-01,40.875,41.0,39.375,40.3125,37600
217,2001-02-02,40.375,40.375,39.5,40.0,22600
218,2001-02-05,39.8125,40.0,39.25,40.0,15500
219,2001-02-06,40.375,40.375,39.25,40.0,31600
220,2001-02-07,40.0,40.0,39.25,39.3125,13900
221,2001-02-08,39.0625,39.375,38.8125,39.28125,68900
222,2001-02-09,39.15625,39.15625,37.0,37.875,25500
223,2001-02-12,37.78125,37.9375,37.5,37.53125,9100
224,2001-02-13,37.5625,38.5,37.25,37.3125,123700
225,2001-02-14,37.3125,37.3125,34.5625,35.0625,31400
226,2001-02-15,35.4375,35.4375,34.0625,35.0,151000
227,2001-02-16,32.8125,34.75,32.8125,34.25,191700
228,2001-02-20,35.0,35.125,34.1875,34.875,66100
229,2001-02-21,35.09375,35.125,32.5,33.78125,34200
230,2001-02-22,32.75,33.125,29.5,30.25,123400
231,2001-02-23,30.0,30.125,28.75,28.875,400500
232,2001-02-26,29.0,30.5,28.5,28.5,98300
233,2001-02-27,28.5,28.625,27.625,28.125,223200
234,2001-02-28,28.0,28.375,27.875,28.3125,175600
235,2001-03-01,28.25,28.25,25.125,26.4375,95700
236,2001-03-02,26.0,26.125,25.8125,26.0,99500
237,2001-03-05,25.875,26.5,24.0625,25.0,15700
238,2001-03-06,24.875,25.0,24.125,24.5,55800
239,2001-03-07,24.1875,25.125,24.1875,25.125,39000
240,2001-03-08,25.125,26.5,24.75,26.375,420800
241,2001-03-09,25.25,25.3125,24.0,24.0,108800
242,2001-03-12,23.75,23.75,21.0,21.0,40500
243,2001-03-13,21.5,21.75,20.5,21.0,539300
244,2001-03-14,19.78125,20.25,19.6875,20.0,150200
245,2001-03-15,20.125,20.125,17.125,17.8125,165300
246,2001-03-16,17.75,18.0625,15.5,16.25,149700
247,2001-03-19,16.0,16.25,15.625,16.0,134300
248,2001-03-20,16.71875,17.3125,15.625,16.25,243800
249,2001-03-21,15.6875,16.0,14.0625,14.5,150400
250,2001-03-22,14.03125,14.25,13.0,13.0625,344300
251,2001-03-23,13.375,17.6875,13.0,17.0,826500
252,2001-03-26,18.75,20.125,18.375,20.0625,307100
253,2001-03-27,20.125,20.625,19.25,20.0,166900
254,2001-03-28,19.875,19.875,18.5625,18.5625,114100
255,2001-03-29,18.4375,20.125,18.3125,19.625,167900
256,2001-03-30,21.0,21.875,20.125,21.0,242300
257,2001-04-02,21.84375,21.84375,19.875,20.0,239400
258,2001-04-03,20.0,20.4375,15.625,15.9375,234400
259,2001-04-04,15.9375,19.625,15.9375,19.3125,903600
260,2001-04-05,19.25,20.25,18.125,19.5625,412900
261,2001-04-06,19.75,20.0,17.5625,17.75,65400
262,2001-04-09,18.0,19.0,17.86,18.85,104300
263,2001-04-10,18.45,20.25,18.45,20.25,283700
264,2001-04-11,23.5,23.88,21.5,22.01,333800
265,2001-04-12,21.95,23.88,21.9,23.4,140900
266,2001-04-16,23.57,23.69,23.25,23.26,90200
267,2001-04-17,23.25,24.45,23.0,24.15,106000
268,2001-04-18,24.38,26.63,24.25,25.9,343700
269,2001-04-19,26.35,26.37,25.65,26.37,201200
270,2001-04-20,25.75,26.43,25.65,26.3,108300
271,2001-04-23,26.15,26.3,25.01,25.21,99700
272,2001-04-24,24.76,25.0,24.25,24.26,125500
273,2001-04-25,24.0,26.6,23.95,25.93,65400
274,2001-04-26,25.05,26.13,25.0,26.13,82000
275,2001-04-27,26.13,27.32,26.07,27.3,132100
276,2001-04-30,26.72,31.1,26.72,30.81,246100
277,2001-05-01,30.8,33.05,29.3,32.7,96000
278,2001-05-02,32.86,34.99,32.8,33.12,77600
279,2001-05-03,32.89,33.81,32.65,33.1,270100
280,2001-05-04,32.75,34.75,31.65,34.38,274400
281,2001-05-07,34.38,36.07,33.82,33.89,241400
282,2001-05-08,34.1,35.08,33.85,34.16,146400
283,2001-05-09,34.2,34.85,34.2,34.5,147800
284,2001-05-10,34.5,34.65,34.3,34.37,89300
285,2001-05-11,34.4,34.5,34.0,34.35,60000
286,2001-05-14,34.0,34.55,32.96,33.4,70600
287,2001-05-15,32.9,33.25,32.85,33.01,55500
288,2001-05-16,32.81,32.82,31.23,32.23,114100
289,2001-05-17,31.91,34.29,31.85,33.51,257300
290,2001-05-18,34.05,35.14,33.35,35.14,134700
291,2001-05-21,34.75,36.5,34.75,36.3,58800
292,2001-05-22,36.49,38.79,35.63,38.6,112500
293,2001-05-23,37.96,38.56,37.2,37.2,50200
294,2001-05-24,37.54,42.07,37.1,40.53,231300
295,2001-05-25,40.39,41.25,39.85,39.85,64300
296,2001-05-29,39.86,41.4,38.92,40.3,87800
