Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2021-08-09,21.7,26.78,21.02,23.06,1522200
1.0,2021-08-10,23.06,25.461,22.39,24.2,1010000
2.0,2021-08-11,24.12,28.575,23.77,27.76,751700
3.0,2021-08-12,28.11,31.583,27.68,29.22,1825700
4.0,2021-08-13,28.27,29.576,25.0,26.66,550700
5.0,2021-08-16,26.1,28.505,26.0,27.97,374400
6.0,2021-08-17,27.95,29.21,26.28,26.89,672400
7.0,2021-08-18,27.05,27.925,25.4,26.8,616500
8.0,2021-08-19,26.38,27.85,26.01,26.94,359500
9.0,2021-08-20,27.05,27.86,26.558,27.64,807000
10.0,2021-08-23,27.91,29.8,27.17,29.25,487800
11.0,2021-08-24,29.57,29.62,28.6,29.22,376200
12.0,2021-08-25,29.33,29.33,27.84,27.97,187100
13.0,2021-08-26,28.2,29.65,26.95,27.24,335000
14.0,2021-08-27,27.22,32.98,26.87,30.38,355400
15.0,2021-08-30,30.7,32.34,30.325,32.34,362400
16.0,2021-08-31,32.9,34.74,32.66,33.84,913100
17.0,2021-09-01,33.9,35.0,33.5,33.75,267200
18.0,2021-09-02,33.75,36.12,33.5,35.84,202000
19.0,2021-09-03,35.85,44.689,35.69,42.39,591400
20.0,2021-09-07,42.08,42.33,38.13,41.75,469300
21.0,2021-09-08,41.62,43.28,41.501,42.49,301500
22.0,2021-09-09,42.6,48.37,42.22,46.91,481400
23.0,2021-09-10,47.75,54.59,45.63,53.9,567300
24.0,2021-09-13,54.71,58.59,41.32,43.0,933700
25.0,2021-09-14,43.05,50.95,43.048,49.37,671300
26.0,2021-09-15,49.42,57.729,49.42,55.3,1150800
27.0,2021-09-16,55.01,56.08,50.306,56.08,447100
28.0,2021-09-17,56.02,59.5,50.435,51.46,3804900
29.0,2021-09-20,49.01,52.22,44.43,46.23,603900
30.0,2021-09-21,47.64,52.16,47.04,47.86,546200
31.0,2021-09-22,47.76,47.76,43.52,44.92,281700
32.0,2021-09-23,45.37,47.12,43.03,46.74,161000
33.0,2021-09-24,47.13,47.2,42.51,43.72,294400
34.0,2021-09-27,43.84,46.155,42.515,45.1,257100
35.0,2021-09-28,44.61,44.97,37.9,39.53,549900
36.0,2021-09-29,39.68,43.41,38.76,40.54,234600
37.0,2021-09-30,40.79,42.73,39.58,42.24,267300
38.0,2021-10-01,35.0,35.0,23.51,27.98,3252900
39.0,2021-10-04,27.78,29.08,26.12,28.63,1190400
40.0,2021-10-05,28.43,32.76,28.404,31.87,907200
41.0,2021-10-06,30.92,32.99,30.03,30.97,551100
42.0,2021-10-07,31.25,32.819,31.001,31.4,431300
43.0,2021-10-08,31.42,36.0,30.92,34.32,376600
44.0,2021-10-11,34.35,35.92,33.84,34.94,205400
45.0,2021-10-12,35.0,36.41,34.63,34.95,209900
46.0,2021-10-13,35.01,35.025,29.78,30.74,558000
47.0,2021-10-14,31.13,32.499,29.33,30.87,318300
48.0,2021-10-15,31.29,32.95,30.99,32.43,289400
49.0,2021-10-18,32.26,35.0,32.26,33.62,299200
50.0,2021-10-19,34.78,38.24,34.47,37.07,475500
51.0,2021-10-20,37.0,38.48,35.211,35.74,368700
52.0,2021-10-21,35.74,36.077,33.1,33.65,263500
53.0,2021-10-22,33.54,33.99,30.505,33.75,229400
54.0,2021-10-25,33.39,34.59,31.2,32.05,184400
55.0,2021-10-26,32.51,33.1,31.571,32.76,102900
56.0,2021-10-27,32.7,33.96,31.64,31.79,155700
57.0,2021-10-28,31.79,32.8,31.52,32.45,280800
58.0,2021-10-29,32.43,32.63,27.69,29.24,1035500
59.0,2021-11-01,29.53,31.81,28.911,30.65,172300
60.0,2021-11-02,31.18,31.74,29.66,30.25,214700
61.0,2021-11-03,30.34,31.41,29.77,31.1,240800
62.0,2021-11-04,31.42,31.79,29.495,30.3,613100
63.0,2021-11-05,24.0,24.83,18.25,20.04,2569500
64.0,2021-11-08,21.16,21.35,19.08,19.21,696100
65.0,2021-11-09,19.46,20.456,18.9,20.04,607200
66.0,2021-11-10,19.69,20.3,19.171,19.81,276000
67.0,2021-11-11,19.71,20.249,18.95,19.19,248400
68.0,2021-11-12,19.21,19.44,18.55,19.14,271900
69.0,2021-11-15,19.25,21.48,19.25,20.35,487100
70.0,2021-11-16,20.47,20.5,19.3,20.2,524400
71.0,2021-11-17,20.12,21.07,19.925,20.55,251700
72.0,2021-11-18,20.71,21.01,18.32,19.51,444500
73.0,2021-11-19,19.59,20.22,19.4,20.07,187200
74.0,2021-11-22,19.81,20.82,18.69,19.23,568700
75.0,2021-11-23,18.99,19.64,17.38,18.43,342000
76.0,2021-11-24,18.23,18.82,17.91,18.73,259900
