,DateTime,Open,High,Low,Close,Volume
0,2007-02-07,31.77,32.5,27.53,29.67,4801182
1,2007-02-08,29.73,30.0,28.33,29.3,567387
2,2007-02-09,29.18,30.0,28.17,28.42,500824
3,2007-02-12,28.54,28.63,26.99,27.21,312755
4,2007-02-13,27.23,29.5,27.2,29.17,426597
5,2007-02-14,31.03,33.24,30.52,31.03,1417758
6,2007-02-15,31.49,31.54,30.11,30.34,649057
7,2007-02-16,30.67,30.83,30.03,30.65,206037
8,2007-02-20,31.83,32.17,30.67,30.87,304251
9,2007-02-21,31.08,33.15,30.87,32.28,938669
10,2007-02-22,32.48,34.26,32.24,33.69,871969
11,2007-02-23,33.82,35.13,33.72,34.12,669620
12,2007-02-26,34.4,35.0,33.67,34.1,318552
13,2007-02-27,31.67,32.62,30.3,30.52,481954
14,2007-02-28,32.04,32.64,29.13,32.12,442221
15,2007-03-01,30.87,31.55,29.07,30.7,226935
16,2007-03-02,30.28,31.5,29.92,30.18,198240
17,2007-03-05,29.23,29.72,27.15,27.98,415738
18,2007-03-06,29.5,30.55,29.45,29.88,476293
19,2007-03-07,29.85,30.55,29.27,30.37,205803
20,2007-03-08,30.88,33.0,30.85,33.0,368873
21,2007-03-09,33.31,33.64,31.64,32.06,234940
22,2007-03-12,31.93,33.44,31.21,32.75,171285
23,2007-03-13,32.23,33.32,30.82,31.5,327718
24,2007-03-14,31.3,31.83,30.35,31.5,244881
25,2007-03-15,31.5,31.5,30.33,30.45,127444
26,2007-03-16,30.71,30.71,28.48,28.75,523168
27,2007-03-19,29.55,29.6,27.68,27.85,760818
28,2007-03-20,28.1,28.63,27.86,28.52,294031
29,2007-03-21,29.49,29.74,28.56,29.06,526147
30,2007-03-22,29.07,30.39,28.99,29.96,444253
31,2007-03-23,30.13,30.18,29.63,30.02,215818
32,2007-03-26,30.18,30.52,28.87,29.17,188763
33,2007-03-27,29.38,29.65,28.27,28.4,211874
34,2007-03-28,28.22,28.58,27.58,27.65,239858
35,2007-03-29,27.93,29.85,27.92,29.23,441515
36,2007-03-30,31.11,32.23,28.99,30.15,1576016
37,2007-04-02,31.0,31.42,30.23,31.33,447998
38,2007-04-03,31.5,32.07,30.93,31.38,470847
39,2007-04-04,31.25,32.62,30.97,32.57,665239
40,2007-04-05,32.7,32.88,31.4,31.75,288951
41,2007-04-09,31.97,32.4,31.05,31.6,181874
42,2007-04-10,31.26,32.55,31.03,32.25,535848
43,2007-04-11,32.65,33.8,32.08,32.52,1066068
44,2007-04-12,32.68,36.17,31.85,36.12,2149209
45,2007-04-13,36.92,40.37,36.07,40.28,2489488
46,2007-04-16,41.77,47.15,41.57,46.98,3960110
47,2007-04-17,44.49,45.14,41.09,41.64,3352942
48,2007-04-18,40.78,43.79,40.04,42.42,1912112
49,2007-04-19,41.08,44.01,39.09,39.68,1639899
50,2007-04-20,42.0,42.27,39.85,41.35,988141
51,2007-04-23,41.0,45.52,40.81,43.6,1617280
52,2007-04-24,43.96,45.29,43.04,44.13,716658
53,2007-04-25,45.56,48.11,44.66,46.48,1682346
54,2007-04-26,46.37,47.48,44.32,45.07,692702
55,2007-04-27,43.58,44.1,42.89,44.03,672927
56,2007-04-30,43.31,45.1,39.53,40.68,1031379
57,2007-05-01,40.36,40.47,36.96,38.26,1627959
58,2007-05-02,38.62,40.66,38.48,40.1,889593
59,2007-05-03,40.95,41.34,39.25,39.83,467379
60,2007-05-04,41.01,42.84,40.26,40.58,758091
61,2007-05-07,40.95,42.37,40.12,41.73,588170
62,2007-05-08,41.0,41.38,39.72,40.53,470517
63,2007-05-09,40.75,42.7,40.0,41.67,352123
64,2007-05-10,41.74,44.59,41.16,42.26,1130528
65,2007-05-11,43.32,44.73,42.75,43.73,563941
66,2007-05-14,44.92,46.94,44.3,46.36,1771534
