,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,20.19,20.31,19.5,19.625,1758984
1,2000-01-04,19.5,20.81,19.5,20.19,2124675
2,2000-01-05,20.1251,20.3759,19.5608,20.0624,1457453
3,2000-01-06,20.25,20.375,19.1875,20.375,1615800
4,2000-01-07,20.94,21.19,20.25,21.0,1840448
5,2000-01-10,21.75,21.75,20.8125,21.375,1500200
6,2000-01-11,21.28,22.0318,21.28,21.9692,2036459
7,2000-01-12,21.94,22.4368,21.5019,22.4368,1861137
8,2000-01-13,22.343,22.343,21.2196,21.282,1235559
9,2000-01-14,21.75,21.75,21.0625,21.5,1474400
10,2000-01-18,21.5,21.5,20.81,21.19,1301986
11,2000-01-19,21.125,21.5,20.9375,21.5,1412600
12,2000-01-20,21.5,21.5,20.56,20.56,1170287
13,2000-01-21,20.75,21.1875,20.25,21.0,898100
14,2000-01-24,21.25,21.5,20.0625,20.125,963100
15,2000-01-25,20.125,20.25,19.0625,19.625,1665700
16,2000-01-26,19.626,19.626,19.125,19.438,1088188
17,2000-01-27,19.5625,19.6875,19.0,19.4375,721400
18,2000-01-28,19.125,19.125,18.3125,18.375,696900
19,2000-01-31,18.4982,19.8151,18.4982,19.5643,1024325
20,2000-02-01,19.501,19.501,18.313,18.75,1768674
21,2000-02-02,18.8125,18.8125,18.375,18.375,790200
22,2000-02-03,18.5934,18.7182,18.0318,18.1566,1734751
23,2000-02-04,18.125,18.125,17.75,17.875,1196500
24,2000-02-07,17.875,17.875,17.5,17.5,1194400
25,2000-02-08,17.47,18.4054,17.47,18.4054,1012058
26,2000-02-09,18.251,18.313,17.75,18.063,785593
27,2000-02-10,18.125,18.25,17.6875,17.9375,864400
28,2000-02-11,17.9375,17.9375,17.375,17.5625,996800
29,2000-02-14,17.656,17.719,17.032,17.095,717871
30,2000-02-15,17.3125,17.3125,16.5,16.5625,1099000
31,2000-02-16,16.688,16.751,16.0,16.125,1539572
32,2000-02-17,16.0625,16.25,15.4375,15.5625,1214200
33,2000-02-18,15.875,16.625,15.75,16.5,1864000
34,2000-02-22,16.4375,17.1875,16.375,17.0,1440400
35,2000-02-23,17.0,17.25,16.5625,16.875,1037200
36,2000-02-24,16.501,16.876,16.063,16.125,1852463
37,2000-02-25,16.188,16.188,15.688,15.938,1881263
38,2000-02-28,16.0,16.1875,15.8125,16.0,1926200
39,2000-02-29,16.0625,16.125,15.5,15.875,2652100
40,2000-03-01,15.656,15.9069,15.2807,15.4686,1172061
41,2000-03-02,15.375,15.625,14.6875,14.75,1486400
42,2000-03-03,14.75,15.0,14.6875,14.875,1154600
43,2000-03-06,14.876,15.251,14.25,14.438,1591166
44,2000-03-07,14.5681,14.632,13.868,14.25,1442714
45,2000-03-08,14.0,14.3125,13.6875,13.875,1155000
46,2000-03-09,13.938,14.313,13.875,14.188,1721863
47,2000-03-10,14.251,14.251,13.813,13.938,753792
48,2000-03-13,13.8125,14.0625,13.625,14.0,1281500
49,2000-03-14,14.0625,14.125,13.6875,13.9375,1227600
50,2000-03-15,13.938,14.501,13.75,14.438,2405636
51,2000-03-16,14.5625,15.625,14.4375,15.375,3110400
52,2000-03-17,15.375,15.4375,15.0625,15.375,1879000
53,2000-03-20,15.375,15.4375,14.9375,15.25,1118400
54,2000-03-21,15.1875,15.6875,15.125,15.625,1222700
55,2000-03-22,15.875,15.9375,14.9375,15.25,1380900
56,2000-03-23,15.125,15.438,15.063,15.438,1598762
57,2000-03-24,15.094,15.1561,14.7818,15.0313,1233144
58,2000-03-27,14.844,14.906,14.47,14.595,945355
59,2000-03-28,14.563,15.001,14.563,14.688,977587
60,2000-03-29,14.782,14.969,14.719,14.844,625175
61,2000-03-30,15.001,15.0641,14.812,14.875,1768209
62,2000-03-31,15.0,15.0,14.75,14.875,1110500
63,2000-04-03,14.782,14.907,14.594,14.782,912345
64,2000-04-04,14.875,14.875,13.875,14.0,1707800
65,2000-04-05,14.12,15.0021,14.0566,14.75,2349817
66,2000-04-06,14.157,14.219,13.533,14.094,1421880
67,2000-04-07,14.001,14.063,13.813,13.938,1266871
68,2000-04-10,13.875,15.438,13.688,14.813,6940399
69,2000-04-11,14.969,15.842,14.782,14.969,2759347
70,2000-04-12,15.063,15.626,15.063,15.25,2200163
71,2000-04-13,15.281,15.343,14.533,14.595,1256566
72,2000-04-14,14.501,14.501,13.438,13.563,1951354
73,2000-04-17,13.563,13.751,12.938,13.251,1836362
74,2000-04-18,13.25,13.4375,13.0625,13.25,1619000
75,2000-04-19,13.3125,13.375,12.9375,13.0,1756400
76,2000-04-20,13.0,13.4375,12.875,13.25,1644900
77,2000-04-24,13.25,14.188,13.188,13.938,1661374
78,2000-04-25,14.0,14.75,13.9375,14.4375,1621000
79,2000-04-26,14.563,14.751,14.188,14.376,1093284
80,2000-04-27,14.375,14.5625,13.875,14.0625,1267600
81,2000-04-28,14.375,14.375,13.75,13.8125,1028800
82,2000-05-01,14.063,14.813,14.0,14.688,1667768
83,2000-05-02,14.688,16.876,14.5,16.626,4301706
84,2000-05-03,16.25,16.3125,15.5625,15.875,1864800
85,2000-05-04,16.111,17.628,15.1,17.438,3644689
86,2000-05-05,16.875,17.501,16.438,17.125,1746073
87,2000-05-08,17.03,18.846,16.404,18.783,2616853
88,2000-05-09,18.313,18.501,17.625,18.063,1802576
89,2000-05-10,18.156,18.908,17.4677,17.9686,2073900
90,2000-05-11,18.376,18.501,17.75,17.938,942087
91,2000-05-12,18.2182,19.0321,18.093,18.8443,1926530
92,2000-05-15,19.0005,19.0005,18.6243,18.687,1104410
93,2000-05-16,19.375,19.6875,18.125,18.25,1978100
94,2000-05-17,18.1875,18.3125,17.75,18.125,979000
