,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,8.1406,8.1406,7.9844,7.9844,422400
1,2000-01-04,7.9845,8.031,7.906,7.94,251998
2,2000-01-05,7.906,8.0626,7.906,7.9845,409198
3,2000-01-06,7.969,8.06,7.94,8.047,502797
4,2000-01-07,8.06,8.219,8.06,8.2032,255199
5,2000-01-10,8.25,8.281,8.06,8.2345,200000
6,2000-01-11,8.219,8.219,8.1719,8.2032,114400
7,2000-01-12,8.2344,8.2344,8.0,8.0469,63200
8,2000-01-13,8.0469,8.2032,8.0157,8.1407,176400
9,2000-01-14,8.094,8.1406,8.0781,8.1094,172400
10,2000-01-18,8.156,8.156,7.8595,7.906,430797
11,2000-01-19,7.8751,8.0782,7.8751,7.9532,231200
12,2000-01-20,7.94,7.9844,7.75,7.7656,434400
13,2000-01-21,7.719,7.7344,7.4531,7.531,450000
14,2000-01-24,7.5,7.6406,7.4531,7.4531,344800
15,2000-01-25,7.344,7.406,7.297,7.3595,345997
16,2000-01-26,7.3594,7.5,7.3594,7.4375,437200
17,2000-01-27,7.406,7.5156,7.375,7.469,490400
18,2000-01-28,7.469,7.5,7.438,7.4688,620400
19,2000-01-31,7.469,7.5,7.4375,7.4531,474800
20,2000-02-01,7.4,7.594,7.2957,7.59,683572
21,2000-02-02,7.5782,7.797,7.5782,7.7345,586798
22,2000-02-03,7.7344,7.9,7.7031,7.719,473200
23,2000-02-04,7.719,7.8282,7.656,7.719,230000
24,2000-02-07,7.797,7.797,7.719,7.7345,335998
25,2000-02-08,7.719,7.7344,7.5156,7.56,314800
26,2000-02-09,7.6094,7.6094,7.4844,7.4844,512800
27,2000-02-10,7.4219,7.4844,7.2656,7.2656,480800
28,2000-02-11,7.281,7.422,7.172,7.19,446400
29,2000-02-14,7.19,7.19,7.0,7.06,390798
30,2000-02-15,7.1094,7.1406,6.969,7.125,292800
31,2000-02-16,7.1,7.219,7.0,7.1407,326800
32,2000-02-17,7.1,7.25,7.094,7.1406,395200
33,2000-02-18,7.0782,7.0782,6.94,6.9844,168400
34,2000-02-22,7.06,7.219,6.9844,7.19,386000
35,2000-02-23,7.2032,7.2032,6.8907,6.9219,260800
36,2000-02-24,6.9845,7.047,6.875,6.922,152000
37,2000-02-25,6.922,6.94,6.8282,6.8282,94800
38,2000-02-28,6.8282,6.844,6.75,6.8282,169600
39,2000-02-29,6.969,7.0626,6.8907,7.0157,447198
40,2000-03-01,7.0158,7.156,7.0001,7.094,236798
41,2000-03-02,7.1406,7.1406,7.06,7.1,248400
42,2000-03-03,7.1406,7.1406,6.8906,6.969,326000
43,2000-03-06,6.9531,7.0156,6.9219,7.0156,688801
44,2000-03-07,7.0157,7.047,6.844,6.844,130400
45,2000-03-08,6.81,6.8594,6.7969,6.844,318000
46,2000-03-09,6.906,7.047,6.906,7.0001,329596
47,2000-03-10,6.969,7.0,6.94,6.9531,378400
48,2000-03-13,6.906,6.9532,6.81,6.8282,238800
49,2000-03-14,6.81,6.81,6.69,6.7345,362799
50,2000-03-15,6.672,6.94,6.547,6.9376,419997
51,2000-03-16,6.94,7.625,6.94,7.5,706400
52,2000-03-17,7.5158,7.656,7.4376,7.469,361196
53,2000-03-20,7.547,7.922,7.531,7.531,765592
54,2000-03-21,7.4844,7.4844,7.2031,7.3281,323200
55,2000-03-22,7.344,7.344,7.1875,7.2969,502799
56,2000-03-23,7.281,7.672,7.2657,7.6407,409598
