Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2010-05-17,11.05,11.14,10.43,10.74,234000
1.0,2010-05-18,10.74,10.99,10.12,10.25,184300
2.0,2010-05-19,10.25,10.35,9.74,9.74,176700
3.0,2010-05-20,9.55,9.61,8.23,8.47,419900
4.0,2010-05-21,8.46,9.35,8.45,9.0,141100
5.0,2010-05-24,9.49,9.49,8.92,9.1,105700
6.0,2010-05-25,9.25,9.25,8.75,9.05,141000
7.0,2010-05-26,9.0,9.5,9.0,9.43,63500
8.0,2010-05-27,9.83,10.26,9.5,10.2,121800
9.0,2010-05-28,10.3,10.75,10.3,10.45,110300
10.0,2010-06-01,10.66,10.66,10.28,10.34,24400
11.0,2010-06-02,10.29,10.29,9.9,9.91,37500
12.0,2010-06-03,9.9,9.9,9.7,9.74,5000
13.0,2010-06-04,9.43,9.84,9.43,9.65,27800
14.0,2010-06-07,9.92,9.92,9.45,9.45,16000
15.0,2010-06-08,9.3,9.3,8.65,8.8,47300
16.0,2010-06-09,8.71,8.71,8.45,8.61,31300
17.0,2010-06-10,8.88,9.06,8.65,9.03,30800
18.0,2010-06-11,8.8,9.84,8.8,9.65,62000
19.0,2010-06-14,9.88,10.35,9.83,10.13,64300
20.0,2010-06-15,10.3,10.4,10.05,10.4,63300
21.0,2010-06-16,10.3,10.7,10.22,10.32,96800
22.0,2010-06-17,10.55,10.55,9.9,10.51,53800
23.0,2010-06-18,10.3,10.63,10.3,10.62,16800
24.0,2010-06-21,10.68,10.83,10.57,10.83,19300
25.0,2010-06-22,11.0,11.05,10.77,10.89,60000
26.0,2010-06-23,10.93,11.01,10.69,10.9,64100
27.0,2010-06-24,10.95,10.95,10.62,10.83,3600
28.0,2010-06-25,10.75,11.0,10.6,11.0,19400
29.0,2010-06-28,11.0,11.02,10.67,10.67,6400
30.0,2010-06-29,10.5,10.5,9.96,9.96,15000
31.0,2010-06-30,9.86,10.11,9.7,9.7,8400
32.0,2010-07-01,9.85,10.05,9.66,9.8,61400
33.0,2010-07-02,9.91,10.51,9.91,10.21,30900
34.0,2010-07-06,10.36,10.87,10.36,10.79,46000
35.0,2010-07-07,10.81,12.49,10.81,12.39,262100
36.0,2010-07-08,12.75,13.03,12.1,12.39,111700
37.0,2010-07-09,12.54,12.66,12.45,12.5,33300
38.0,2010-07-12,12.62,12.62,12.25,12.4,9700
39.0,2010-07-13,12.49,12.8,12.22,12.65,141200
40.0,2010-07-14,12.73,12.92,12.27,12.64,17400
41.0,2010-07-15,12.58,12.94,12.34,12.81,5000
42.0,2010-07-16,12.8,12.95,12.6,12.79,5800
43.0,2010-07-19,12.79,13.47,12.41,13.47,19600
44.0,2010-07-20,13.6,14.37,13.6,14.05,132200
45.0,2010-07-21,14.31,14.91,14.25,14.39,153800
46.0,2010-07-22,14.76,14.78,14.28,14.33,167000
47.0,2010-07-23,14.34,14.73,14.0,14.11,116400
48.0,2010-07-26,14.24,15.2,14.06,14.88,234300
49.0,2010-07-27,15.5,15.93,14.86,15.08,120500
50.0,2010-07-28,15.13,15.13,14.54,14.69,61500
51.0,2010-07-29,14.89,15.0,13.16,14.79,188200
52.0,2010-07-30,14.65,14.85,14.39,14.69,18100
53.0,2010-08-02,15.0,15.95,14.69,15.61,191600
54.0,2010-08-03,16.09,16.75,15.73,16.55,236000
55.0,2010-08-04,16.76,17.99,16.68,17.5,393400
56.0,2010-08-05,17.48,18.25,17.3,17.82,162400
57.0,2010-08-06,18.05,18.45,17.89,18.27,161500
58.0,2010-08-09,18.61,20.45,18.6,19.8,485700
59.0,2010-08-10,20.28,20.7,19.68,20.59,362100
60.0,2010-08-11,20.11,20.49,18.46,19.74,340900
61.0,2010-08-12,19.15,19.8,18.85,19.09,168500
62.0,2010-08-13,19.04,19.64,18.72,18.91,250200
63.0,2010-08-16,19.88,19.92,18.92,19.5,434700
64.0,2010-08-17,20.16,21.9,19.91,21.73,518800
65.0,2010-08-18,22.51,24.98,22.39,24.46,989900
66.0,2010-08-19,24.97,25.0,22.51,22.88,800300
67.0,2010-08-20,22.28,24.83,21.42,24.73,873900
68.0,2010-08-23,26.0,26.8,24.91,25.59,1062700
69.0,2010-08-24,24.5,25.5,23.9,24.23,498000
70.0,2010-08-25,24.87,25.28,22.22,24.21,537600
71.0,2010-08-26,24.23,25.3,23.6,24.01,433500
72.0,2010-08-27,24.13,25.65,23.7,25.18,411000
73.0,2010-08-30,25.86,26.45,25.01,25.24,609500
74.0,2010-08-31,25.12,25.5,24.37,24.72,377600
75.0,2010-09-01,25.11,25.94,25.11,25.36,229800
76.0,2010-09-02,25.82,27.6,25.73,27.0,1085800
77.0,2010-09-03,27.88,28.38,26.75,27.38,762400
78.0,2010-09-07,27.16,29.0,26.6,28.8,1174800
79.0,2010-09-08,30.36,30.64,27.61,27.96,1487000
80.0,2010-09-09,28.85,28.85,24.0,24.68,1528200
81.0,2010-09-10,25.0,27.0,23.35,24.41,1812800
82.0,2010-09-13,25.76,26.56,24.8,26.46,793900
83.0,2010-09-14,26.82,27.88,25.94,26.67,931000
84.0,2010-09-15,27.24,28.29,26.99,27.62,816800
85.0,2010-09-16,27.87,29.13,27.58,28.91,765400
86.0,2010-09-17,29.59,29.98,27.1,28.95,948800
87.0,2010-09-20,29.55,29.9,28.2,29.42,703900
88.0,2010-09-21,29.75,31.21,28.9,30.81,1020800
89.0,2010-09-22,31.2,31.89,29.42,30.45,912400
90.0,2010-09-23,30.0,30.65,28.15,29.25,687300
91.0,2010-09-24,30.04,30.27,29.35,29.58,512500
92.0,2010-09-27,30.06,30.5,29.5,30.2,510300
