,DateTime,Open,High,Low,Close,Volume
0,2004-08-12,61.5,62.0,61.5,62.0,30000
1,2004-08-17,65.0,68.0,64.5,65.0,120000
2,2004-08-19,64.75,65.0,64.75,65.0,30000
3,2004-08-24,64.75,64.75,64.25,64.63,215000
4,2004-08-26,65.0,65.5,65.0,65.5,1918800
5,2004-08-27,67.75,68.0,67.75,68.0,75000
6,2004-08-30,68.0,68.13,68.0,68.0,64000
7,2004-09-02,68.45,68.45,68.45,68.45,9500
8,2004-09-08,68.45,68.45,68.45,68.45,10000
9,2004-09-09,69.25,69.5,69.25,69.45,1013300
10,2004-09-10,72.0,72.0,72.0,72.0,300
11,2004-09-14,68.0,68.0,68.0,68.0,2000
12,2004-09-21,70.5,71.0,70.5,71.0,48200
13,2004-09-22,70.5,70.7,70.5,70.7,400000
14,2004-09-24,70.7,71.5,70.7,71.5,150000
15,2004-09-28,71.0,71.0,70.5,70.5,40000
16,2004-10-04,71.0,71.75,71.0,71.75,223500
17,2004-10-06,71.75,72.5,71.75,72.25,1300
18,2004-10-07,71.5,73.0,71.5,72.5,46900
19,2004-10-08,72.0,72.25,72.0,72.0,30000
20,2004-10-15,72.5,72.5,72.5,72.5,200
21,2004-10-25,71.88,72.13,71.88,72.13,170000
22,2004-10-27,71.75,72.0,71.75,71.75,12000
23,2004-11-01,71.25,71.25,71.25,71.25,3800
24,2004-11-03,71.25,71.5,71.25,71.5,20000
25,2004-11-04,71.0,72.0,71.0,72.0,5500
26,2004-11-12,35.38,35.63,35.38,35.63,162700
27,2004-11-17,34.25,36.25,34.25,36.25,54600
28,2004-11-18,42.0,42.0,41.0,41.0,1700
29,2004-11-19,41.0,41.5,38.0,40.0,255000
30,2004-11-22,40.38,41.25,40.38,41.25,138900
31,2004-11-23,42.0,45.5,41.25,43.0,391800
32,2004-11-24,50.0,50.0,42.5,42.5,10200
33,2004-11-30,43.25,44.0,43.25,44.0,170200
34,2004-12-01,44.75,45.75,44.25,45.38,259300
35,2004-12-02,45.63,45.75,45.5,45.5,97300
36,2004-12-03,47.0,50.0,47.0,48.0,35400
37,2004-12-06,59.0,59.0,48.0,49.5,1047200
38,2004-12-07,51.0,52.0,49.63,49.75,66400
39,2004-12-08,50.5,52.0,49.5,49.75,28200
40,2004-12-09,49.5,49.75,49.0,49.0,10600
41,2004-12-10,49.5,49.5,48.0,49.0,16700
42,2004-12-13,50.0,50.0,49.0,49.5,63600
43,2004-12-14,48.0,48.0,40.0,42.75,449100
44,2004-12-15,43.0,43.0,37.63,39.01,995000
45,2004-12-16,40.5,45.0,40.5,42.5,532000
46,2004-12-17,42.25,43.0,41.0,43.0,116100
47,2004-12-20,43.5,43.5,43.2,43.5,57200
48,2004-12-21,43.5,43.5,42.5,42.79,14300
49,2004-12-22,42.5,42.5,42.5,42.5,600
50,2004-12-23,42.5,43.25,42.1,42.7,181300
51,2004-12-27,42.8,42.8,42.5,42.75,8000
52,2004-12-28,42.77,42.79,42.45,42.79,33700
53,2004-12-29,42.55,42.79,42.3,42.75,4100
54,2004-12-30,42.75,42.75,42.3,42.55,3400
55,2004-12-31,42.5,42.55,42.3,42.55,20900
56,2005-01-03,42.75,44.0,42.75,42.9,164000
57,2005-01-04,43.0,43.0,42.8,42.85,3500
58,2005-01-05,42.85,42.85,41.5,42.0,52000
59,2005-01-06,42.4,42.5,42.0,42.5,1400
60,2005-01-07,42.5,42.5,42.25,42.25,4300
61,2005-01-10,42.6,42.65,42.35,42.35,42600
62,2005-01-11,42.55,42.55,42.22,42.25,42400
63,2005-01-12,42.25,42.25,42.02,42.05,14800
64,2005-01-13,42.05,42.1,41.95,42.0,52400
65,2005-01-14,42.25,42.35,41.76,41.76,5700
66,2005-01-18,42.1,42.1,41.75,41.75,16000
67,2005-01-19,41.75,41.75,40.5,40.5,83100
68,2005-01-20,40.5,40.5,39.5,39.75,89700
69,2005-01-21,39.95,39.95,39.5,39.75,240600
70,2005-01-24,39.65,39.8,39.61,39.61,11700
71,2005-01-25,39.75,39.85,38.75,39.2,254886
72,2005-01-26,39.5,39.6,39.499,39.6,15700
73,2005-01-27,39.6,40.35,39.6,40.0,89401
74,2005-01-28,41.0,41.0,40.2,40.25,52331
75,2005-01-31,40.43,41.73,40.43,41.25,9350
76,2005-02-01,41.75,42.0,41.5,41.9,53386
77,2005-02-02,41.94,41.99,41.281,41.75,19325
78,2005-02-03,41.6,41.6,41.24,41.35,8255
79,2005-02-04,41.49,41.5,41.15,41.5,3426
80,2005-02-07,41.25,41.5,41.13,41.5,35580
81,2005-02-08,41.53,41.53,41.22,41.25,14850
82,2005-02-09,41.0,41.0,40.75,40.75,1100
83,2005-02-10,40.5,40.522,40.32,40.405,7872
84,2005-02-11,40.26,40.5,40.26,40.38,25700
85,2005-02-14,40.3,40.5,40.3,40.44,16585
86,2005-02-15,40.5,40.8,40.5,40.75,17500
87,2005-02-16,40.75,41.5,40.73,41.5,155336
88,2005-02-17,41.5,41.5,41.28,41.5,79212
89,2005-02-18,41.211,41.5,40.75,40.77,63134
90,2005-02-22,41.03,41.48,40.65,41.48,119850
91,2005-02-23,41.5,41.5,40.3,41.12,12732
92,2005-02-24,40.25,41.38,40.25,41.38,9450
93,2005-02-25,40.99,43.0,40.99,42.5,148979
94,2005-02-28,43.49,43.49,42.7,43.0,154408
95,2005-03-01,43.0,43.2,42.28,42.52,19019
96,2005-03-02,42.61,42.75,42.5,42.75,6541
97,2005-03-03,41.97,42.49,41.97,42.49,83073
98,2005-03-04,42.25,45.75,42.25,43.0,101096
99,2005-03-07,43.29,44.0,43.29,43.94,94023
100,2005-03-08,43.85,43.94,43.56,43.56,68150
101,2005-03-09,44.0,44.0,43.8,43.85,84945
102,2005-03-10,43.679,43.73,42.91,43.06,43839
103,2005-03-11,43.0,44.21,42.93,43.28,63510
104,2005-03-14,44.15,44.15,43.55,43.55,7350
105,2005-03-15,44.0,44.0,43.37,43.37,28900
106,2005-03-16,43.23,43.75,42.951,43.5,7287
107,2005-03-17,43.85,43.85,43.6,43.75,132500
108,2005-03-18,43.45,43.739,43.25,43.72,26402
109,2005-03-21,43.5,43.5,43.098,43.25,57100
110,2005-03-22,43.25,43.3,43.18,43.25,15836
111,2005-03-23,42.95,43.25,42.88,43.25,27812
112,2005-03-24,43.55,43.65,43.37,43.54,2950
113,2005-03-28,43.75,43.75,41.6,41.98,17572
114,2005-03-29,42.0,42.08,40.51,40.65,94256
115,2005-03-30,40.94,41.609,40.84,41.17,91903
116,2005-03-31,40.79,40.79,37.41,38.5,578905
117,2005-04-01,39.25,39.45,38.63,38.949,56179
118,2005-04-04,38.97,39.48,38.934,39.2,265047
119,2005-04-05,39.85,40.2,39.8,40.05,35745
120,2005-04-06,40.13,40.49,40.0,40.4,27305
121,2005-04-07,40.3,40.5,40.25,40.3,6779
122,2005-04-08,40.22,40.22,39.63,39.87,8113
123,2005-04-11,39.98,40.17,39.79,39.79,2688
124,2005-04-12,39.8,39.85,39.15,39.312,110911
125,2005-04-13,39.46,39.71,38.58,38.91,45228
126,2005-04-14,38.7,38.7,37.8,38.01,88402
127,2005-04-15,38.24,38.24,37.79,37.93,17441
128,2005-04-18,37.7,38.0,37.2,37.38,30684
129,2005-04-19,37.46,37.84,35.8,36.78,71430
130,2005-04-20,36.9,36.9,36.27,36.31,30849
131,2005-04-21,36.42,36.79,35.82,36.0,32062
132,2005-04-22,36.0,36.0,34.73,35.01,35587
133,2005-04-25,34.84,34.84,34.58,34.77,11420
134,2005-04-26,34.85,35.65,34.26,34.36,18909
135,2005-04-27,34.35,34.48,31.75,32.0,199862
136,2005-04-28,32.15,32.15,28.64,29.05,220307
137,2005-04-29,29.35,29.86,28.87,29.86,146614
138,2005-05-02,30.08,30.21,29.9,30.0,30674
139,2005-05-03,30.2,31.19,30.0,31.164,99923
140,2005-05-04,31.33,32.27,31.0,32.27,112504
141,2005-05-05,32.7,32.75,32.31,32.55,48814
142,2005-05-06,32.65,34.5,32.65,33.57,48740
143,2005-05-09,33.72,34.24,33.25,33.9,25779
144,2005-05-10,34.0,34.27,33.5,33.57,38078
145,2005-05-11,33.641,33.75,33.3,33.5,18025
146,2005-05-12,33.39,33.48,31.63,32.32,34213
147,2005-05-13,31.95,32.46,31.55,32.04,47335
148,2005-05-16,32.32,32.32,31.82,31.96,44195
149,2005-05-17,31.77,31.77,30.9,31.03,76515
150,2005-05-18,31.0,31.76,30.4,30.62,43124
151,2005-05-19,30.78,31.94,30.78,31.78,94176
152,2005-05-20,32.01,32.95,31.81,32.5,24546
153,2005-05-23,32.89,33.39,32.54,33.19,41548
154,2005-05-24,33.101,33.53,32.9,32.99,68451
155,2005-05-25,32.46,32.54,31.67,32.0,1617658
156,2005-05-26,32.24,32.35,31.62,32.31,238002
157,2005-05-27,32.34,32.93,32.12,32.87,427637
158,2005-05-31,32.87,33.101,32.55,32.83,172906
159,2005-06-01,32.75,33.83,32.74,33.37,299716
160,2005-06-02,33.25,33.75,32.95,33.6,113463
161,2005-06-03,33.75,34.05,33.15,34.02,165333
162,2005-06-06,34.12,34.13,33.48,33.75,112773
163,2005-06-07,33.95,35.13,33.93,34.1,721152
164,2005-06-08,34.12,34.7,33.87,34.0,199877
165,2005-06-09,34.0,34.25,33.9,34.04,133142
166,2005-06-10,34.17,34.49,33.72,33.85,133675
167,2005-06-13,33.85,35.28,33.83,34.45,270637
168,2005-06-14,34.43,34.79,34.43,34.5,96976
169,2005-06-15,34.64,34.7599,34.26,34.5,480282
170,2005-06-16,34.58,35.0,34.5,34.691,128016
171,2005-06-17,35.13,35.5,34.75,35.05,300337
