Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2003-02-04,7.3,7.88,7.26,7.88,3146300
1.0,2003-02-05,7.91,7.97,7.53,7.61,3146200
2.0,2003-02-06,7.6,7.8,7.4,7.63,1760300
3.0,2003-02-07,7.61,7.68,7.32,7.42,1590600
4.0,2003-02-10,7.39,7.42,6.85,6.89,2723300
5.0,2003-02-11,6.9,7.52,6.9,7.52,3126300
6.0,2003-02-12,7.3,7.38,7.19,7.36,2900700
7.0,2003-02-13,7.33,7.59,7.3,7.5,1714800
8.0,2003-02-14,7.3,7.44,7.21,7.33,946900
9.0,2003-02-18,6.78,7.47,6.78,7.47,1608400
10.0,2003-02-19,7.41,7.67,7.39,7.46,1447300
11.0,2003-02-20,7.56,7.66,7.56,7.6,943800
12.0,2003-02-21,7.64,7.66,7.27,7.4,1527600
13.0,2003-02-24,7.59,7.59,7.32,7.37,844100
14.0,2003-02-25,7.27,7.43,7.22,7.35,1042300
15.0,2003-02-26,7.35,7.37,7.2,7.29,736400
16.0,2003-02-27,7.25,7.28,7.04,7.19,1117400
17.0,2003-02-28,7.27,7.27,7.05,7.07,1261000
18.0,2003-03-03,6.95,6.99,6.77,6.94,1397500
19.0,2003-03-04,7.0,7.27,7.0,7.07,1181200
20.0,2003-03-05,7.14,7.19,6.99,7.15,715700
21.0,2003-03-06,7.16,7.23,6.77,6.94,1743200
22.0,2003-03-07,7.08,7.19,6.7,6.85,1664800
23.0,2003-03-10,6.97,6.97,6.45,6.47,1253100
24.0,2003-03-11,6.31,6.32,6.03,6.11,1631600
25.0,2003-03-12,5.91,6.03,5.72,5.72,1997900
26.0,2003-03-13,5.49,5.97,5.47,5.66,1914000
27.0,2003-03-14,5.7,6.2,5.7,6.18,1921300
28.0,2003-03-17,6.39,6.48,5.97,6.03,1657000
29.0,2003-03-18,6.03,6.14,6.03,6.07,978300
30.0,2003-03-19,6.02,6.05,5.8,5.81,901500
31.0,2003-03-20,5.9,5.98,5.77,5.8,697400
32.0,2003-03-21,5.7,5.78,5.27,5.28,1524900
33.0,2003-03-24,5.53,5.67,5.26,5.29,1306300
34.0,2003-03-25,5.42,5.49,5.23,5.39,1332200
35.0,2003-03-26,5.44,5.48,5.37,5.38,671300
36.0,2003-03-27,5.49,5.49,5.33,5.46,804400
37.0,2003-03-28,5.5,5.94,5.5,5.89,1649700
38.0,2003-03-31,6.05,6.3,6.05,6.16,1776900
39.0,2003-04-01,6.14,6.14,5.85,5.87,936900
40.0,2003-04-02,5.65,5.99,5.58,5.98,1025100
41.0,2003-04-03,5.8,6.0,5.56,5.63,1294900
42.0,2003-04-04,5.58,5.79,5.58,5.65,1151500
43.0,2003-04-07,5.35,5.6,5.33,5.57,1657200
44.0,2003-04-08,5.6,5.78,5.58,5.7,930000
45.0,2003-04-09,5.7,6.05,5.7,6.05,1351800
46.0,2003-04-10,6.01,6.09,5.94,6.0,1126200
47.0,2003-04-11,5.94,6.08,5.87,6.02,683000
48.0,2003-04-14,5.97,6.05,5.9,6.05,691700
49.0,2003-04-15,6.08,6.21,6.06,6.09,740800
50.0,2003-04-16,5.99,6.18,5.98,6.18,660900
51.0,2003-04-17,6.26,6.39,6.24,6.35,1328600
52.0,2003-04-21,6.44,6.53,6.42,6.49,635400
53.0,2003-04-22,6.59,6.65,6.35,6.47,934600
54.0,2003-04-23,6.45,6.55,6.36,6.39,848800
55.0,2003-04-24,6.39,6.53,6.35,6.36,1021600
56.0,2003-04-25,6.32,6.37,6.09,6.1,739700
57.0,2003-04-28,6.14,6.15,5.9,6.05,894600
58.0,2003-04-29,5.93,6.01,5.81,5.9,1311800
59.0,2003-04-30,6.06,6.23,6.02,6.12,974700
60.0,2003-05-01,6.19,6.5,6.19,6.43,1159100
61.0,2003-05-02,6.37,6.46,6.29,6.35,875700
62.0,2003-05-05,6.35,6.62,6.35,6.6,740000
63.0,2003-05-06,6.68,6.86,6.61,6.84,1286300
64.0,2003-05-07,6.88,6.9,6.55,6.61,1305400
65.0,2003-05-08,6.75,6.89,6.69,6.83,2040800
66.0,2003-05-09,6.63,6.63,6.27,6.38,1880700
67.0,2003-05-12,6.47,6.57,6.37,6.42,1353400
68.0,2003-05-13,6.4,6.4,6.02,6.02,1285800
69.0,2003-05-14,6.05,6.36,6.03,6.35,2105600
70.0,2003-05-15,6.41,6.41,6.25,6.29,891600
71.0,2003-05-16,6.35,6.38,6.21,6.29,709400
72.0,2003-05-19,6.46,7.28,6.3,6.9,1937800
73.0,2003-05-20,6.8,6.9,6.5,6.74,1773700
74.0,2003-05-21,6.69,7.02,6.56,6.97,1499700
75.0,2003-05-22,6.88,6.88,6.68,6.76,3130200
76.0,2003-05-23,6.8,6.93,6.8,6.92,1248200
77.0,2003-05-27,6.99,7.08,6.74,6.82,1564300
78.0,2003-05-28,6.67,6.75,5.75,6.65,1831100
79.0,2003-05-29,6.5,6.86,6.5,6.81,1223800
80.0,2003-05-30,6.8,6.97,6.47,6.97,1500900
81.0,2003-06-02,6.81,7.0,6.81,6.9,835900
82.0,2003-06-03,6.85,6.89,6.72,6.77,906200
83.0,2003-06-04,6.8,6.84,6.66,6.68,1018000
84.0,2003-06-05,6.89,7.07,6.84,7.0,1390000
85.0,2003-06-06,6.88,7.02,6.8,6.85,869900
86.0,2003-06-09,6.8,6.92,6.77,6.8,679200
87.0,2003-06-10,6.62,6.67,6.54,6.67,935100
88.0,2003-06-11,6.71,6.85,6.71,6.85,761400
89.0,2003-06-12,6.74,6.84,6.71,6.8,463300
90.0,2003-06-13,6.68,7.02,6.67,6.96,1144500
91.0,2003-06-16,7.02,7.05,6.91,6.99,876900
92.0,2003-06-17,6.96,7.39,6.95,7.39,2138200
93.0,2003-06-18,7.25,7.3,7.06,7.08,1782900
94.0,2003-06-19,7.08,7.19,6.95,7.15,1513200
95.0,2003-06-20,7.05,7.05,6.86,6.97,1031100
96.0,2003-06-23,6.98,7.0,6.7,6.7,841300
97.0,2003-06-24,6.69,6.75,6.57,6.61,1126800
98.0,2003-06-25,6.71,6.82,6.64,6.68,750800
99.0,2003-06-26,6.58,6.64,6.5,6.57,786700
100.0,2003-06-27,6.6,6.66,6.53,6.53,636700
101.0,2003-06-30,6.49,6.77,6.49,6.75,735800
102.0,2003-07-01,6.8,6.92,6.8,6.85,1120500
103.0,2003-07-02,6.82,6.89,6.73,6.75,992400
104.0,2003-07-03,6.77,6.84,6.76,6.77,662800
105.0,2003-07-07,6.67,6.7,6.58,6.63,946700
106.0,2003-07-08,6.57,6.59,6.39,6.42,1086800
107.0,2003-07-09,6.52,6.53,6.34,6.35,1163700
108.0,2003-07-10,6.28,6.35,6.19,6.21,1262800
109.0,2003-07-11,6.21,6.21,6.06,6.18,891400
110.0,2003-07-14,6.25,6.3,6.17,6.17,761100
111.0,2003-07-15,6.19,6.19,5.7,5.83,2145200
112.0,2003-07-16,5.87,5.95,5.83,5.87,1097300
113.0,2003-07-17,5.85,6.06,5.8,6.05,953500
114.0,2003-07-18,6.05,6.07,5.94,6.04,561100
115.0,2003-07-21,6.1,6.28,6.09,6.21,1073900
116.0,2003-07-22,6.25,6.3,6.12,6.24,626600
117.0,2003-07-23,6.34,6.57,6.34,6.52,1182300
118.0,2003-07-24,6.49,6.82,6.45,6.79,2425800
119.0,2003-07-25,6.82,6.9,6.75,6.89,1530500
120.0,2003-07-28,6.9,6.94,6.76,6.79,1319400
121.0,2003-07-29,6.72,6.79,6.41,6.48,1272600
122.0,2003-07-30,6.31,6.59,6.31,6.57,1160500
123.0,2003-07-31,6.59,6.59,6.42,6.51,1518000
