,DateTime,Open,High,Low,Close,Volume
0,2014-06-20,25.45,30.5,25.27,29.42,7551340
1,2014-06-23,29.43,30.93,28.7705,30.53,643781
2,2014-06-24,31.17,32.65,30.7,32.06,697733
3,2014-06-25,32.0,32.14,28.87,29.59,474335
4,2014-06-26,29.56,29.72,28.32,29.32,193702
5,2014-06-27,29.04,29.69,28.53,29.32,107540
6,2014-06-30,30.52,30.52,28.5,29.0,525115
7,2014-07-01,27.93,29.48,27.93,28.5,304985
8,2014-07-02,27.93,28.94,27.61,28.78,286545
9,2014-07-03,28.95,29.33,27.78,29.11,81580
10,2014-07-07,29.8,29.8,28.06,28.08,274528
11,2014-07-08,28.21,28.5,25.5,25.98,415953
12,2014-07-09,25.73,26.64,24.77,25.43,224986
13,2014-07-10,25.0,25.21,24.5,24.89,286611
14,2014-07-11,24.5,25.56,23.33,23.49,226923
15,2014-07-14,23.55,24.17,22.82,24.03,172773
16,2014-07-15,24.85,25.19,22.2001,22.45,471403
17,2014-07-16,22.94,23.23,21.0,21.38,197562
18,2014-07-17,21.16,23.596,21.0101,22.37,360205
19,2014-07-18,21.78,23.92,21.13,22.81,238059
20,2014-07-21,23.22,23.5,21.78,22.66,253082
21,2014-07-22,23.49,23.5,22.51,22.6,92365
22,2014-07-23,22.75,23.9,22.51,23.68,114963
23,2014-07-24,23.9,24.3197,22.98,23.44,74536
24,2014-07-25,23.19,23.19,21.521,22.045,224441
25,2014-07-28,21.77,23.57,21.7501,23.48,112018
26,2014-07-29,23.6,24.0574,22.9,23.37,64647
27,2014-07-30,23.38,23.9899,22.94,23.83,98267
28,2014-07-31,23.45,23.799,22.91,23.61,295919
29,2014-08-01,23.33,23.81,22.05,22.59,171405
30,2014-08-04,21.97,22.53,21.01,21.51,93389
31,2014-08-05,21.8,22.72,21.66,22.381,138109
32,2014-08-06,22.3,22.792,22.01,22.33,99417
33,2014-08-07,22.88,23.95,22.18,23.5,251170
34,2014-08-08,23.37,23.999,22.86,23.03,109256
35,2014-08-11,23.14,24.0,23.14,23.49,69565
36,2014-08-12,23.24,23.503,23.24,23.27,93672
37,2014-08-13,23.33,23.57,22.88,23.08,82069
38,2014-08-14,23.232,23.36,22.14,22.22,261284
39,2014-08-15,22.25,22.81,21.86,22.544,125487
40,2014-08-18,22.79,23.0,22.55,23.0,67837
41,2014-08-19,23.25,23.3,22.49,22.505,84283
42,2014-08-20,22.53,22.68,22.04,22.38,62533
43,2014-08-21,22.5,22.58,21.77,21.92,109924
44,2014-08-22,22.39,22.7999,21.67,21.69,70955
45,2014-08-25,21.89,22.53,21.89,22.3,655413
46,2014-08-26,25.9,27.45,25.34,26.221,5564927
47,2014-08-27,26.26,28.86,25.55,27.181,2450492
48,2014-08-28,27.0,28.1,26.8001,27.31,568664
49,2014-08-29,27.73,28.75,27.25,28.27,421703
50,2014-09-02,28.6,28.69,26.26,26.85,738376
51,2014-09-03,26.82,27.4,25.64,25.98,294639
52,2014-09-04,25.97,26.8,24.48,24.87,358431
53,2014-09-05,24.43,25.0999,23.86,23.86,405764
54,2014-09-08,23.88,24.87,23.85,24.56,277717
55,2014-09-09,25.63,26.45,24.43,25.545,408107
56,2014-09-10,25.73,26.48,25.05,26.34,276644
57,2014-09-11,26.43,26.92,25.6001,26.8101,224384
58,2014-09-12,26.99,27.59,26.5601,27.46,216027
59,2014-09-15,27.08,27.57,26.3,26.49,303788
60,2014-09-16,26.12,27.36,25.97,26.91,218959
61,2014-09-17,26.91,27.39,26.22,26.57,241038
62,2014-09-18,26.51,26.6,25.82,26.106,228267
63,2014-09-19,25.96,25.96,24.99,25.26,840509
64,2014-09-22,25.33,26.03,24.86,25.56,172263
65,2014-09-23,25.53,26.49,25.1,26.18,292427
66,2014-09-24,26.23,26.73,25.9,26.5901,317552
67,2014-09-25,26.7,26.84,26.28,26.65,203123
68,2014-09-26,26.65,28.23,26.261,28.09,548836
69,2014-09-29,28.49,29.37,28.0,28.81,624679
70,2014-09-30,28.8,29.0,27.53,28.55,1177590
71,2014-10-01,28.91,28.91,27.01,28.37,217866
72,2014-10-02,29.25,35.39,29.0,34.66,2921910
73,2014-10-03,34.44,35.3,32.456,34.62,1049722
74,2014-10-06,35.03,36.19,32.25,32.84,665676
75,2014-10-07,32.61,32.84,31.26,31.8,362110
76,2014-10-08,31.25,35.5168,31.25,34.96,620606
77,2014-10-09,35.12,35.6258,33.33,33.48,335478
78,2014-10-10,33.19,34.23,32.0,32.53,241686
79,2014-10-13,34.0,34.99,31.36,32.53,315923
80,2014-10-14,33.5,33.8011,31.0,31.15,318035
81,2014-10-15,31.0,31.96,28.55,31.86,282343
82,2014-10-16,30.83,33.91,30.1,32.56,208968
83,2014-10-17,33.22,33.8499,31.67,32.32,219475
84,2014-10-20,32.09,35.03,31.75,34.26,325535
85,2014-10-21,35.25,36.41,35.2,35.71,356512
86,2014-10-22,35.57,36.119,33.511,33.69,374774
87,2014-10-23,34.17,34.65,33.34,34.0,290563
88,2014-10-24,34.05,34.49,33.02,33.33,186560
89,2014-10-27,33.1899,36.9,32.2899,36.2,485167
90,2014-10-28,37.25,37.5,35.63,36.59,336696
91,2014-10-29,36.8,37.199,35.54,36.0,238812
92,2014-10-30,35.77,36.658,35.59,35.74,200889
93,2014-10-31,36.26,37.17,35.8201,37.09,209247
94,2014-11-03,36.92,37.99,35.82,36.53,228049
95,2014-11-04,36.01,38.99,36.01,38.7,255190
96,2014-11-05,39.44,40.486,38.18,39.03,458135
97,2014-11-06,39.0,43.79,38.95,43.75,555589
98,2014-11-07,44.5,48.19,43.54,46.0,996772
99,2014-11-10,46.74,46.74,42.02,42.87,774008
100,2014-11-11,42.75,42.9157,41.711,42.51,461420
101,2014-11-12,41.88,42.8,40.8817,41.67,332128
102,2014-11-13,41.55,43.68,40.46,40.83,365674
103,2014-11-14,40.64,41.56,37.76,39.34,505371
104,2014-11-17,39.75,41.01,38.8,40.23,260967
105,2014-11-18,40.34,42.3572,39.85,41.71,291174
106,2014-11-19,41.91,44.73,41.91,43.04,546927
107,2014-11-20,42.53,43.706,42.28,43.3,382632
108,2014-11-21,44.17,44.8,43.04,44.61,292881
109,2014-11-24,44.2,46.75,44.01,46.16,420465
110,2014-11-25,46.15,47.61,43.53,44.17,637571
111,2014-11-26,44.38,44.38,42.08,43.04,258607
112,2014-11-28,42.0,43.25,41.07,41.981,210312
113,2014-12-01,40.96,41.98,39.0,41.05,382510
114,2014-12-02,41.0,43.58,40.42,42.46,243945
115,2014-12-03,42.88,43.38,42.08,42.82,264334
116,2014-12-04,42.75,44.17,42.02,42.36,221853
117,2014-12-05,42.25,43.91,41.95,43.484,219078
118,2014-12-08,44.19,44.99,42.5,44.35,376353
119,2014-12-09,44.06,53.96,44.0,51.56,1429226
120,2014-12-10,50.25,57.56,49.22,54.24,1486837
121,2014-12-11,55.22,56.2,51.38,54.4,3091398
122,2014-12-12,54.12,55.75,53.2968,54.95,733604
123,2014-12-15,56.01,57.87,51.66,53.91,1232797
124,2014-12-16,53.36,54.75,52.021,52.49,736739
125,2014-12-17,51.5,52.88,50.51,52.88,1350386
126,2014-12-18,54.11,54.19,52.2901,52.77,901320
127,2014-12-19,52.6,54.21,51.18,53.7,2505393
128,2014-12-22,54.5,55.0,53.35,53.85,753124
129,2014-12-23,53.96,54.54,51.07,51.69,1155428
130,2014-12-24,51.63,52.9599,51.49,51.96,198994
131,2014-12-26,52.46,54.3,52.3,54.0299,464930
132,2014-12-29,54.53,57.47,54.13,56.2,891922
133,2014-12-30,56.1,56.348,54.1301,55.99,400065
134,2014-12-31,56.15,59.5,55.76,57.66,602786
135,2015-01-02,60.0,61.59,57.01,60.53,1317316
136,2015-01-05,64.11,70.21,62.0,69.8,2299151
137,2015-01-06,70.55,73.65,67.06,71.47,2332541
138,2015-01-07,73.54,74.8542,68.75,70.97,1535492
139,2015-01-08,71.15,71.9,68.61,71.03,922332
140,2015-01-09,73.43,80.75,71.45,79.14,2106991
141,2015-01-12,80.93,83.38,77.564,82.32,1179914
142,2015-01-13,83.34,85.9,80.2,84.38,1612837
143,2015-01-14,81.91,87.798,80.1,87.62,1414803
