,DateTime,Open,High,Low,Close,Volume
0,2011-12-15,25.0,25.23,23.51,24.39,42106669
1,2011-12-16,24.45,24.8,23.51,24.21,3987009
2,2011-12-19,24.5,25.09,24.31,24.83,3146130
3,2011-12-20,25.02,25.76,25.02,25.4,1705233
4,2011-12-21,25.64,26.78,25.46,26.5,2490660
5,2011-12-22,26.45,27.485,26.45,27.25,1142876
6,2011-12-23,27.52,27.52,26.84,27.03,979762
7,2011-12-27,27.15,27.33,26.88,27.2,533396
8,2011-12-28,27.58,27.58,27.09,27.45,595056
9,2011-12-29,27.5,27.5,27.22,27.27,260313
10,2011-12-30,27.31,27.35,27.11,27.22,302327
11,2012-01-03,27.25,27.53,27.0,27.12,693738
12,2012-01-04,27.19,27.26,26.36,26.45,724398
13,2012-01-05,26.07,27.06,25.5,26.39,685014
14,2012-01-06,26.45,26.72,25.95,26.02,1679009
15,2012-01-09,25.87,26.27,25.87,26.22,634028
16,2012-01-10,26.47,26.63,26.235,26.41,901222
17,2012-01-11,26.29,26.605,26.13,26.14,759466
18,2012-01-12,26.47,26.47,25.75,26.08,599668
19,2012-01-13,25.93,26.55,25.93,26.48,613290
20,2012-01-17,26.78,28.55,26.75,28.04,2400502
21,2012-01-18,28.11,28.85,27.95,28.38,898888
22,2012-01-19,28.69,28.8,28.5,28.59,698688
23,2012-01-20,28.75,29.61,28.72,29.35,1523954
24,2012-01-23,29.71,29.88,28.75,29.76,831475
25,2012-01-24,30.22,30.25,29.21,29.48,1191653
26,2012-01-25,29.76,30.5,29.65,30.5,893932
27,2012-01-26,30.58,30.65,29.28,29.76,655035
28,2012-01-27,29.74,30.13,29.4,29.91,701423
29,2012-01-30,29.86,29.95,29.32,29.82,305268
30,2012-01-31,29.95,31.37,29.45,30.89,1915063
31,2012-02-01,31.0,31.74,30.76,31.31,733510
32,2012-02-02,31.57,32.0,31.38,31.66,997625
33,2012-02-03,31.81,32.82,31.81,32.51,911580
34,2012-02-06,32.64,33.81,32.391,33.13,1023195
35,2012-02-07,33.31,33.7792,32.65,32.7,749331
36,2012-02-08,32.98,33.33,31.75,33.23,1176479
37,2012-02-09,33.71,34.24,33.13,33.97,976585
38,2012-02-10,33.51,33.82,33.385,33.47,893275
39,2012-02-13,34.2,34.87,33.02,33.54,2766098
40,2012-02-14,39.49,43.0,39.25,42.82,11227703
41,2012-02-15,43.47,44.97,41.88,42.79,5411980
42,2012-02-16,42.75,43.81,41.51,42.23,1614770
43,2012-02-17,42.58,42.7,41.75,41.81,740188
44,2012-02-21,42.07,42.11,40.17,41.0,1411393
45,2012-02-22,40.66,42.05,39.62,41.02,1768306
46,2012-02-23,40.76,42.8,40.67,40.75,1171384
47,2012-02-24,41.07,42.2,40.61,41.58,684210
48,2012-02-27,41.99,44.02,41.57,43.6599,1630459
49,2012-02-28,43.9,43.9,42.2619,42.76,1026770
50,2012-02-29,42.72,44.15,42.24,43.24,1180284
51,2012-03-01,43.69,46.5,43.6,45.78,2647973
52,2012-03-02,46.4,48.83,45.3401,47.9899,2687709
53,2012-03-05,48.31,49.75,46.34,48.61,3734392
54,2012-03-06,47.1,47.8,46.36,46.8499,1957139
55,2012-03-07,47.26,47.5,45.44,46.15,1717131
56,2012-03-08,46.87,47.64,46.29,47.12,1135419
57,2012-03-09,47.7,50.69,47.49,49.56,3922064
58,2012-03-12,47.0,48.6,46.3,48.56,3069798
59,2012-03-13,48.52,49.93,48.13,48.8,2449596
60,2012-03-14,48.9,48.9,47.17,47.54,1572377
61,2012-03-15,48.03,48.17,46.7,47.62,1213476
62,2012-03-16,47.72,47.97,45.7225,46.2,1253208
63,2012-03-19,46.51,47.41,44.59,45.31,2700497
64,2012-03-20,47.02,48.33,44.31,47.99,5340705
65,2012-03-21,48.87,49.25,47.97,48.65,2434596
