,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,84.75,84.75,78.75,79.06,943900
1,2000-01-04,77.88,77.88,73.38,73.94,1759700
2,2000-01-05,73.88,73.88,69.5,70.0,2026200
3,2000-01-06,71.63,74.44,71.5,72.75,1983800
4,2000-01-07,73.25,73.25,70.31,70.88,1281000
5,2000-01-10,71.75,74.44,71.0,74.19,726200
6,2000-01-11,73.31,75.25,73.0,73.0,746200
7,2000-01-12,72.25,74.0,72.0,72.19,806900
8,2000-01-13,73.25,73.25,71.38,72.31,613800
9,2000-01-14,74.0,76.25,73.75,75.94,750500
10,2000-01-18,75.25,77.88,74.94,76.81,841900
11,2000-01-19,77.0,78.0,76.06,76.5,884000
12,2000-01-20,76.5,77.25,74.31,74.31,996700
13,2000-01-21,76.0,76.0,70.31,70.5,1081300
14,2000-01-24,70.88,71.63,68.63,69.81,1255800
15,2000-01-25,68.75,70.75,68.5,70.56,1001400
16,2000-01-26,71.63,73.0,71.0,72.38,1332000
17,2000-01-27,73.38,74.0,72.75,73.69,978700
18,2000-01-28,72.5,72.5,69.25,69.69,675200
19,2000-01-31,69.5,71.69,68.88,71.38,793800
20,2000-02-01,71.25,71.5,69.56,70.0,653400
21,2000-02-02,70.0,72.88,68.56,72.25,890900
22,2000-02-03,71.38,72.75,68.0,70.0,1920000
23,2000-02-04,70.44,70.81,69.5,70.0,568700
24,2000-02-07,71.0,72.5,70.25,71.94,808700
25,2000-02-08,72.0,73.25,72.0,72.75,616400
26,2000-02-09,74.0,74.0,70.25,70.69,944500
27,2000-02-10,71.44,71.44,68.5,68.63,514200
28,2000-02-11,68.81,70.0,67.0,67.5,571700
29,2000-02-14,68.25,68.38,66.38,66.94,660700
30,2000-02-15,67.5,67.63,65.5,66.44,1147200
31,2000-02-16,66.69,67.0,65.19,65.5,407200
32,2000-02-17,66.38,66.69,65.25,65.63,743200
33,2000-02-18,65.38,66.0,62.75,63.25,975400
34,2000-02-22,63.25,63.63,60.63,62.06,1078600
35,2000-02-23,62.5,65.81,61.81,63.94,830100
36,2000-02-24,64.88,67.0,63.25,66.63,1100900
37,2000-02-25,66.5,69.75,65.5,67.13,1555600
38,2000-02-28,67.06,68.69,66.56,67.94,578900
