,DateTime,Open,High,Low,Close,Volume
0,2011-05-19,83.0,122.6991,80.0,93.86,30096698
1,2011-05-20,101.99,107.0,92.5,93.07,8552286
2,2011-05-23,86.45,92.16,84.0,88.07,4437665
3,2011-05-24,86.5,95.45,84.31,94.86,3690465
4,2011-05-25,96.13,98.25,92.35,94.53,2528145
5,2011-05-26,95.38,95.99,85.21,85.782,1857885
6,2011-05-27,87.76,89.37,85.0,88.321,1725093
7,2011-05-31,89.9,90.72,81.52,81.7,2494718
8,2011-06-01,80.2,81.63,75.51,77.3525,2838687
9,2011-06-02,77.86,81.4,75.2,78.64,2158118
10,2011-06-03,77.3636,80.36,76.71,78.01,1185686
11,2011-06-06,77.85,84.16,77.54,83.5,2039614
12,2011-06-07,84.8,85.1,77.34,77.67,1525882
13,2011-06-08,78.23,79.32,75.75,75.851,813103
14,2011-06-09,76.0,76.4899,71.71,72.01,1515292
15,2011-06-10,71.48,75.0,70.5,72.8301,1029130
16,2011-06-13,74.6,77.98,74.01,75.31,1231981
17,2011-06-14,76.9,78.0,74.67,76.15,632127
18,2011-06-15,74.92,75.5,73.69,74.84,621526
19,2011-06-16,74.97,75.55,67.49,68.41,2139974
20,2011-06-17,69.85,70.5,65.1,65.82,1339473
21,2011-06-20,64.5,64.7403,60.14,63.7,2047530
22,2011-06-21,64.02,68.71,64.0,67.8,1099119
23,2011-06-22,68.01,70.47,64.61,66.8,1175270
24,2011-06-23,65.8,71.18,65.08,70.6,925510
25,2011-06-24,70.75,72.73,68.08,69.71,1388702
26,2011-06-27,69.15,78.9,69.15,76.38,1570569
27,2011-06-28,81.4,86.79,80.11,85.0,2846236
28,2011-06-29,86.91,91.38,84.35,87.43,2234196
29,2011-06-30,89.0,90.729,87.0,90.0,1222166
30,2011-07-01,90.75,95.5,88.5,94.15,1414687
31,2011-07-05,94.95,97.0,89.99,90.76,1175804
32,2011-07-06,93.28,94.0,90.5,93.6001,821969
33,2011-07-07,93.69,95.0,93.02,93.97,771952
34,2011-07-08,90.99,101.5,90.71,99.63,2247684
35,2011-07-11,97.75,105.0,97.66,100.99,2814384
36,2011-07-12,102.99,103.0,97.3,99.5,1477327
37,2011-07-13,102.74,109.97,100.21,107.61,3006081
38,2011-07-14,109.36,109.7,101.51,104.0,1809015
39,2011-07-15,106.95,110.5,102.45,109.95,1671204
40,2011-07-18,106.01,106.84,100.74,102.45,2014237
41,2011-07-19,104.26,104.82,100.22,100.82,970064
42,2011-07-20,101.87,102.38,96.69,97.66,1294036
43,2011-07-21,97.38,102.95,96.2,101.97,927646
44,2011-07-22,101.9,105.6,100.5301,103.36,862500
45,2011-07-25,100.02,104.2,98.9,100.57,764793
46,2011-07-26,101.98,104.8,101.41,102.46,576982
47,2011-07-27,102.555,103.4,100.0,100.45,354750
48,2011-07-28,100.13,115.05,99.0,100.44,3321897
49,2011-07-29,99.34,105.0,99.0,100.939,978900
50,2011-08-01,105.3,108.28,100.41,104.08,1299109
51,2011-08-02,104.33,107.99,101.0,101.72,1382110
52,2011-08-03,103.6,106.41,96.13,105.28,1616872
53,2011-08-04,104.23,109.77,94.6,95.81,3275103
54,2011-08-05,100.01,100.44,85.8464,91.2,3073716
55,2011-08-08,87.31,89.16,73.16,75.48,2711655
56,2011-08-09,82.07,84.68,75.0,83.17,1773674
57,2011-08-10,82.75,88.0,80.0,84.8,1256958
58,2011-08-11,86.29,89.68,85.7301,88.4,983067
59,2011-08-12,91.41,93.21,89.51,91.19,721720
60,2011-08-15,91.77,93.58,88.33,90.24,682224
61,2011-08-16,89.88,89.9,82.84,83.01,1354958
62,2011-08-17,85.0,85.61,78.78,81.8,1259478
63,2011-08-18,77.64,79.56,76.0,78.62,939989
64,2011-08-19,76.76,83.5,75.89,78.83,791764
65,2011-08-22,82.74,82.75,73.2,75.04,949964
66,2011-08-23,75.77,78.91,75.01,78.62,519130
67,2011-08-24,78.6,79.71,74.0,74.12,1034045
68,2011-08-25,75.97,75.98,70.04,71.27,745446
69,2011-08-26,70.07,77.43,70.07,74.7,1007194
70,2011-08-29,76.77,82.6,75.89,82.32,950497
71,2011-08-30,81.29,88.5,80.73,87.3,1390582
72,2011-08-31,89.05,89.31,82.381,84.0,779687
73,2011-09-01,84.53,86.62,83.0,83.19,383728
74,2011-09-02,81.41,82.5,79.18,80.46,440616
75,2011-09-06,78.66,80.16,77.17,79.12,409117
76,2011-09-07,82.67,86.01,82.0,85.17,793091
77,2011-09-08,84.38,87.0,83.0,84.66,661169
78,2011-09-09,83.66,84.26,80.35,83.44,510559
79,2011-09-12,81.58,84.41,80.61,82.2,507250
80,2011-09-13,82.7,88.5,81.88,87.12,1246176
81,2011-09-14,87.29,89.25,86.2,87.36,942119
82,2011-09-15,89.14,89.99,87.01,87.87,728820
83,2011-09-16,88.64,88.64,85.75,87.46,425083
84,2011-09-19,86.19,86.86,84.25,85.85,517816
85,2011-09-20,87.14,87.5,79.8,80.9,569013
86,2011-09-21,81.4,81.76,78.32,78.63,445883
87,2011-09-22,76.15,78.54,75.12,75.96,627642
