Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,3.6406,3.7167,3.5375,3.5833,32958000
1.0,2000-01-05,3.5667,3.6333,3.425,3.5312,30948000
2.0,2000-01-06,3.4937,3.6333,3.4333,3.5062,26421000
3.0,2000-01-07,3.5167,3.575,3.3167,3.5583,36846000
4.0,2000-01-10,3.5708,3.8333,3.5687,3.7417,56373000
5.0,2000-01-11,3.6917,3.9625,3.6667,3.6958,42903000
6.0,2000-01-12,3.725,3.875,3.5958,3.8,51381000
7.0,2000-01-13,3.8229,3.8417,3.6958,3.7917,27291000
8.0,2000-01-14,3.8687,4.3875,3.8667,4.325,85572000
9.0,2000-01-18,4.2583,4.3917,4.175,4.3229,57048000
10.0,2000-01-19,4.3437,4.625,4.1792,4.5458,53298000
11.0,2000-01-20,4.6104,4.8208,4.4625,4.7687,62409000
12.0,2000-01-21,4.9833,4.9854,4.4979,4.6312,75090000
13.0,2000-01-24,4.8292,4.8375,4.4583,4.4833,45117000
14.0,2000-01-25,4.5292,4.6667,4.35,4.5958,35952000
15.0,2000-01-26,4.5417,4.65,4.2917,4.3,53598000
16.0,2000-01-27,4.3823,4.5562,4.3,4.3167,31500000
17.0,2000-01-28,4.3146,4.3667,4.0,4.1292,31437000
18.0,2000-01-31,4.0812,4.1833,3.8979,4.1625,43737000
19.0,2000-02-01,4.1646,4.3937,4.0833,4.3792,36750000
20.0,2000-02-02,4.3812,4.6042,4.3146,4.575,30252000
21.0,2000-02-03,4.5896,4.7042,4.4562,4.6729,32562000
22.0,2000-02-04,4.6917,4.7854,4.4625,4.5687,33432000
23.0,2000-02-07,4.6083,4.7292,4.5292,4.6333,29988000
24.0,2000-02-08,4.6833,4.7146,4.5333,4.6292,28173000
25.0,2000-02-09,4.5583,4.7708,4.4771,4.5604,28683000
26.0,2000-02-10,4.5562,4.825,4.4521,4.7979,26403000
27.0,2000-02-11,4.7458,4.8083,4.5792,4.6729,22095000
28.0,2000-02-14,4.7042,4.8333,4.6729,4.8125,22113000
29.0,2000-02-15,4.8125,4.8146,4.5979,4.7667,23313000
30.0,2000-02-16,4.7812,5.0,4.7083,4.7375,45831000
31.0,2000-02-17,4.75,4.8854,4.55,4.8667,34023000
32.0,2000-02-18,4.8854,4.9,4.5667,4.6146,23664000
33.0,2000-02-22,4.5729,4.725,4.3083,4.6312,27831000
34.0,2000-02-23,4.6937,4.9,4.675,4.8875,40659000
35.0,2000-02-24,4.9229,5.0,4.6354,4.7667,32595000
36.0,2000-02-25,4.7708,4.8333,4.5417,4.5833,30144000
37.0,2000-02-28,4.5521,4.6833,4.375,4.6021,26040000
38.0,2000-02-29,4.6562,5.2042,4.6562,5.2042,80604000
39.0,2000-03-01,5.2333,5.3042,4.85,5.025,48906000
40.0,2000-03-02,5.05,5.1375,4.9333,5.0104,39933000
41.0,2000-03-03,5.0667,5.2667,4.975,5.0604,51360000
42.0,2000-03-06,5.0708,5.2125,5.0083,5.0458,23397000
43.0,2000-03-07,5.1854,5.3,5.0104,5.0667,33201000
44.0,2000-03-08,5.1396,5.1396,4.7792,4.8958,27078000
45.0,2000-03-09,4.8687,5.3208,4.8271,5.3042,30594000
46.0,2000-03-10,5.2333,5.5,5.2042,5.4146,53481000
47.0,2000-03-13,5.3896,5.3896,5.0833,5.15,23886000
48.0,2000-03-14,5.1917,5.2458,4.7667,4.775,30153000
49.0,2000-03-15,4.7979,4.7979,4.4208,4.4375,40437000
50.0,2000-03-16,4.5646,4.7125,4.2,4.4708,86247000
51.0,2000-03-17,4.2875,4.925,4.25,4.9,53232000
52.0,2000-03-20,4.875,5.0938,4.8,4.8813,27966000
53.0,2000-03-21,4.875,4.95,4.5938,4.85,35978000
54.0,2000-03-22,4.8625,5.2,4.8562,5.0813,29732000
55.0,2000-03-23,5.2109,5.4438,5.05,5.2188,26430000
56.0,2000-03-24,5.4375,5.5875,5.325,5.425,49551000
57.0,2000-03-27,5.5813,5.6125,5.2625,5.3,19943000
58.0,2000-03-28,5.35,5.4312,4.925,4.9875,15858000
59.0,2000-03-29,5.0,5.025,4.475,4.5312,29948000
60.0,2000-03-30,4.4375,4.6938,4.3875,4.5562,42070000
61.0,2000-03-31,4.8562,4.8625,4.325,4.5063,22804000
62.0,2000-04-03,4.5188,4.525,3.85,3.9,46526000
63.0,2000-04-04,3.9188,4.2,3.3875,4.0938,76294000
64.0,2000-04-05,3.9625,5.0,3.95,4.625,56805000
65.0,2000-04-06,4.8938,5.125,4.8,4.975,49794000
66.0,2000-04-07,5.0,5.575,5.0,5.5562,59677000
67.0,2000-04-10,5.6812,5.6812,4.825,4.925,38951000
68.0,2000-04-11,4.7938,5.25,4.7,4.95,43846000
69.0,2000-04-12,5.1406,5.1812,4.6875,4.75,29413000
70.0,2000-04-13,4.8813,5.0063,4.25,4.2938,34665000
71.0,2000-04-14,4.25,4.575,3.6,3.65,39131000
72.0,2000-04-17,3.6375,4.3,3.6,4.2875,52428000
73.0,2000-04-18,4.425,4.9125,4.2375,4.8875,56566000
74.0,2000-04-19,4.8125,4.8125,4.1188,4.2563,67115000
75.0,2000-04-20,4.3,4.4125,4.0438,4.2812,28441000
76.0,2000-04-24,3.875,4.2125,3.7312,4.0,37606000
77.0,2000-04-25,4.2062,4.3,3.7875,4.15,75058000
78.0,2000-04-26,4.175,4.35,3.8375,3.9062,38539000
79.0,2000-04-27,3.75,4.5188,3.7375,4.475,45371000
80.0,2000-04-28,4.525,4.725,4.475,4.5875,31115000
81.0,2000-05-01,4.6625,4.725,4.35,4.4125,36535000
82.0,2000-05-02,4.3625,4.5875,4.2062,4.2312,33187000
83.0,2000-05-03,4.2125,4.225,3.7625,3.9,37355000
84.0,2000-05-04,3.9938,4.05,3.8125,3.8375,33267000
85.0,2000-05-05,3.9062,4.1,3.875,4.0,52749000
86.0,2000-05-08,3.9312,4.0125,3.6,3.6188,54476000
87.0,2000-05-09,3.8125,3.8125,3.3,3.3438,57325000
88.0,2000-05-10,3.2812,3.575,3.2063,3.2438,49491000
89.0,2000-05-11,3.35,3.5,3.2063,3.275,59902000
90.0,2000-05-12,3.3969,3.6,3.3312,3.3375,45682000
91.0,2000-05-15,3.4375,3.4438,3.2188,3.4188,26533000
92.0,2000-05-16,3.6125,3.65,3.3875,3.5,35733000
93.0,2000-05-17,3.4,3.6,3.3625,3.4312,26898000
94.0,2000-05-18,3.5,3.525,3.325,3.3625,19941000
95.0,2000-05-19,3.325,3.3375,2.9438,3.0375,44672000
96.0,2000-05-22,3.0625,3.0688,2.675,2.9438,47236000
97.0,2000-05-23,2.8313,3.0875,2.6375,2.6438,59009000
