,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,82.38,85.13,79.44,85.06,1312600
1,2000-01-04,82.25,84.69,78.44,79.22,1212800
2,2000-01-05,79.0,79.75,76.13,77.06,1610000
3,2000-01-06,75.75,77.5,73.63,73.81,1763100
4,2000-01-07,73.625,76.375,72.5,75.875,1484900
5,2000-01-10,77.75,82.0,76.25,79.94,1593600
6,2000-01-11,78.9375,84.0,78.25,79.625,2488100
7,2000-01-12,79.5625,83.625,79.25,82.375,1780600
8,2000-01-13,83.75,87.13,83.0,86.94,2127999
9,2000-01-14,87.5,90.75,86.5,86.84375,3244800
10,2000-01-18,86.44,94.31,84.75,92.13,3575699
11,2000-01-19,91.25,95.5,89.0,94.875,4052100
12,2000-01-20,95.06153,98.126,93.5606,98.0635,3540311
13,2000-01-21,100.0625,111.0,99.375,110.375,7705100
14,2000-01-24,109.625,120.25,109.625,112.9375,7235400
15,2000-01-25,114.5,114.75,101.25,108.8125,4263000
16,2000-01-26,106.0,112.0,105.0,108.375,1908300
17,2000-01-27,110.0,116.5,106.75,109.875,3446600
18,2000-01-28,108.94,114.25,104.0,105.0,2419400
19,2000-01-31,105.5,118.94,103.88,118.0,3092300
20,2000-02-01,117.5,119.88,113.5,119.56,2044700
21,2000-02-02,118.9979,119.685,110.9398,111.1896,3576837
22,2000-02-03,114.5,114.5,103.875,108.3125,4999800
23,2000-02-04,109.94,117.88,108.5,116.13,2462100
24,2000-02-07,115.8125,122.25,113.0,121.625,3180400
25,2000-02-08,123.75,126.625,120.75,123.5,3675000
26,2000-02-09,123.125,124.5,117.25,119.0,1753900
27,2000-02-10,120.0,120.375,117.5,118.5,1238300
28,2000-02-11,118.3125,118.5,115.0,116.0,1643600
29,2000-02-14,116.25,118.0,112.75,117.13,1157300
30,2000-02-15,115.31,117.63,112.06,115.81,1460900
31,2000-02-16,114.9375,115.0,110.0,111.1875,1424800
32,2000-02-17,111.88,113.06,105.75,110.5,1129000
33,2000-02-18,110.31,112.25,104.0,106.81,1308300
34,2000-02-22,105.4375,105.75,100.0,103.5,1840100
35,2000-02-23,102.75,114.63,102.75,108.81,3309300
36,2000-02-24,110.5,118.375,110.0,118.25,8248900
37,2000-02-25,118.3125,119.5,110.125,111.0,3912000
38,2000-02-28,110.0625,111.1875,103.75,109.0625,2568700
39,2000-02-29,109.1875,116.1875,109.0,113.8125,1990900
40,2000-03-01,113.31,118.44,113.13,116.38,2454600
41,2000-03-02,116.0,118.5,112.0,115.875,2555100
42,2000-03-03,116.5625,119.0,112.25,118.65625,2347500
43,2000-03-06,119.06,126.88,117.5,120.0,3519600
44,2000-03-07,123.63,129.38,120.75,124.88,3154300
45,2000-03-08,127.0,127.0,119.25,125.0,2126800
46,2000-03-09,124.125,129.75,121.875,128.0625,2679800
47,2000-03-10,129.13,132.25,128.5,130.19,1990100
48,2000-03-13,124.09,129.1,122.34,122.34,1416921
49,2000-03-14,124.6875,124.9375,114.25,114.5,2523100
50,2000-03-15,114.875,114.9375,105.5,109.875,2898200
51,2000-03-16,109.75,112.875,95.75,112.25,3669200
52,2000-03-17,111.25,114.0,107.0,110.6875,1512200
53,2000-03-20,113.967,116.341,101.9705,102.033,2366986
54,2000-03-21,101.375,105.75,98.0,105.0,2604200
55,2000-03-22,105.9375,109.0,101.6875,106.875,1664100
56,2000-03-23,106.25,113.625,106.25,111.0625,2324600
57,2000-03-24,113.125,115.21875,109.0,114.875,1473400
58,2000-03-27,114.875,115.25,111.0,113.6875,953600
59,2000-03-28,111.5,112.0,105.38,105.94,1327500
60,2000-03-29,106.94,111.63,102.75,111.44,2075900
61,2000-03-30,106.0,112.0,102.0,102.125,1897900
62,2000-03-31,104.9375,106.5,100.125,105.75,3088900
63,2000-04-03,104.0,104.0,96.5,98.6875,2527400
64,2000-04-04,98.88,99.06,71.0,95.0,6465798
