,DateTime,Open,High,Low,Close,Volume
0,2000-01-07,0.344,0.344,0.344,0.344,21200
1,2000-02-03,0.266,0.266,0.266,0.266,12000
2,2000-02-16,0.313,0.313,0.313,0.313,4000
3,2000-02-29,0.289,0.289,0.289,0.289,20000
4,2000-03-14,0.328,0.328,0.328,0.328,20000
5,2000-03-16,0.3598,0.3598,0.352,0.352,2400
6,2000-03-20,0.359,0.359,0.359,0.359,70400
7,2000-03-24,0.344,0.344,0.344,0.344,20000
8,2000-03-28,0.344,0.344,0.344,0.344,4000
9,2000-04-11,0.344,0.344,0.344,0.344,15200
10,2000-04-25,0.344,0.344,0.344,0.344,6000
11,2000-04-27,0.3434,0.359,0.3434,0.359,18000
12,2000-05-09,0.3434,0.359,0.3434,0.359,16400
13,2000-07-26,0.406,0.406,0.406,0.406,4000
14,2000-08-16,0.4062,0.4062,0.375,0.375,27600
15,2000-08-21,0.391,0.391,0.391,0.391,6000
16,2000-10-11,0.391,0.391,0.391,0.391,4000
17,2000-10-17,0.391,0.391,0.391,0.391,5200
18,2000-10-24,0.391,0.391,0.391,0.391,800
19,2000-10-27,0.4379,0.4379,0.391,0.391,6000
20,2000-11-16,0.359,0.359,0.359,0.359,8000
21,2000-11-28,0.3591,0.3591,0.281,0.281,66000
22,2000-11-29,0.2658,0.2658,0.172,0.172,37200
23,2000-12-19,0.266,0.266,0.266,0.266,8000
24,2000-12-27,0.234,0.234,0.234,0.234,2000
25,2000-12-29,0.281,0.281,0.281,0.281,400
26,2001-01-02,0.234,0.234,0.234,0.234,400
27,2001-01-09,0.2345,0.2345,0.211,0.211,98000
28,2001-03-01,0.219,0.219,0.219,0.219,16000
29,2001-05-03,0.228,0.228,0.228,0.228,60000
30,2001-05-11,0.282,0.282,0.282,0.282,4000
31,2001-05-14,0.305,0.325,0.305,0.325,12000
32,2001-05-15,0.438,0.6257,0.438,0.463,32000
33,2001-05-17,0.325,0.325,0.325,0.325,4000
34,2001-05-18,0.313,0.313,0.313,0.313,2000
35,2001-06-12,0.35,0.35,0.35,0.35,400
36,2001-06-25,0.475,0.475,0.475,0.475,2000
37,2001-06-29,0.315,0.315,0.315,0.315,18000
38,2001-07-24,0.425,0.425,0.425,0.425,2000
39,2001-07-25,0.425,0.425,0.425,0.425,10000
40,2001-08-01,0.3254,0.438,0.3129,0.438,18000
41,2001-08-10,0.35,0.35,0.35,0.35,2000
42,2001-09-19,0.3493,0.3493,0.252,0.252,23200
43,2001-10-03,0.25,0.25,0.25,0.25,8000
44,2001-10-08,0.2,0.2,0.2,0.2,2000
45,2001-11-05,0.2506,0.2506,0.218,0.218,126000
46,2001-11-14,0.245,0.245,0.245,0.245,10000
47,2001-11-15,0.2445,0.2445,0.237,0.237,42000
48,2001-11-19,0.2254,0.313,0.2254,0.313,20000
49,2001-12-13,0.325,0.325,0.325,0.325,2000
50,2001-12-17,0.325,0.325,0.325,0.325,2000
51,2002-01-15,0.3,0.35,0.265,0.265,11600
52,2002-01-24,0.252,0.252,0.252,0.252,1600
53,2002-01-29,0.252,0.252,0.252,0.252,6400
54,2002-02-06,0.2531,0.2531,0.228,0.228,10000
55,2002-02-13,0.375,0.375,0.375,0.375,1200
56,2002-02-26,0.25,0.25,0.25,0.25,40000
57,2002-03-11,0.1994,0.1994,0.162,0.162,20000
58,2002-03-22,0.213,0.213,0.213,0.213,4000
59,2002-03-25,0.175,0.175,0.175,0.175,20000
60,2002-04-17,0.2295,0.237,0.2295,0.237,42000
61,2002-04-24,0.1875,0.2,0.17,0.2,87600
62,2002-04-29,0.25,0.25,0.25,0.25,80000
63,2002-09-03,0.175,0.175,0.175,0.175,10000
64,2002-09-16,0.2,0.2,0.2,0.2,10000
65,2002-09-18,0.1882,0.1882,0.138,0.138,42400
66,2002-10-03,0.188,0.188,0.188,0.188,10000
67,2002-11-11,0.175,0.175,0.175,0.175,12000
68,2002-11-18,0.138,0.138,0.138,0.138,9600
69,2002-12-02,0.175,0.175,0.175,0.175,20000
70,2003-01-17,0.138,0.138,0.138,0.138,10000
71,2003-02-05,0.1495,0.162,0.1495,0.162,8000
72,2003-02-07,0.2005,0.213,0.2005,0.213,22000
73,2003-03-31,0.18,0.18,0.18,0.18,24000
74,2003-04-25,0.185,0.185,0.185,0.185,12000
75,2003-04-28,0.1875,0.225,0.1875,0.225,24800
76,2003-04-29,0.1905,0.1905,0.188,0.188,18000
77,2003-04-30,0.188,0.188,0.188,0.188,10000
78,2003-05-05,0.1755,0.188,0.1755,0.188,30000
79,2003-05-06,0.1755,0.188,0.1755,0.188,20000
80,2003-05-12,0.175,0.2,0.175,0.175,44400
81,2003-05-13,0.19,0.19,0.19,0.19,20000
82,2003-06-11,0.213,0.213,0.213,0.213,48000
83,2003-06-12,0.213,0.213,0.213,0.213,32000
84,2003-06-18,0.228,0.228,0.228,0.228,10000
85,2003-06-19,0.228,0.228,0.228,0.228,14000
86,2003-06-25,0.25,0.25,0.25,0.25,40000
87,2003-08-25,0.252,0.252,0.252,0.252,2000
88,2003-09-15,0.313,0.313,0.313,0.313,2000
89,2003-10-07,0.203,0.203,0.203,0.203,2000
90,2003-10-28,0.2495,0.252,0.2495,0.252,840000
91,2003-11-21,0.2375,0.25,0.2375,0.25,24800
92,2003-12-23,0.252,0.252,0.252,0.252,6000
93,2004-01-05,0.252,0.252,0.252,0.252,2800
94,2004-02-24,0.35,0.35,0.3125,0.35,10000
95,2004-03-09,0.375,0.375,0.375,0.375,2000
96,2004-03-10,0.35,0.35,0.35,0.35,2000
97,2004-03-22,0.375,0.375,0.375,0.375,6000
98,2004-04-07,0.5,2.25,0.5,1.375,23200
99,2004-04-08,0.75,0.75,0.75,0.75,2000
100,2004-06-28,0.8,1.15,0.75,0.75,29600
101,2004-06-29,0.75,0.75,0.75,0.75,6000
102,2004-06-30,0.625,0.625,0.625,0.625,8000
103,2004-07-08,0.6375,0.6375,0.625,0.625,56000
104,2004-07-09,0.6375,0.6375,0.625,0.625,10000
105,2004-07-14,0.6375,0.6375,0.625,0.625,12000
106,2004-07-16,0.7254,1.0005,0.7254,0.988,57600
107,2004-07-20,0.75,0.75,0.75,0.75,4000
108,2004-07-21,0.675,0.675,0.675,0.675,2000
109,2004-07-22,0.675,0.675,0.675,0.675,400
110,2004-08-12,0.5,0.5,0.5,0.5,400
111,2004-08-20,0.5,0.5,0.5,0.5,2000
112,2004-08-27,0.5,0.5,0.5,0.5,2000
113,2004-09-17,0.375,0.375,0.375,0.375,8000
114,2004-09-21,0.375,0.375,0.375,0.375,800
115,2004-10-15,0.375,0.375,0.375,0.375,8000
116,2004-10-25,0.2625,0.275,0.2625,0.275,14800
117,2004-11-01,0.375,0.425,0.375,0.425,6000
118,2004-12-14,0.375,0.625,0.375,0.625,6400
119,2004-12-16,0.3743,0.3743,0.262,0.262,4400
120,2004-12-17,0.2625,0.375,0.1625,0.375,38000
121,2004-12-20,0.625,1.0,0.625,0.865,8000
122,2004-12-21,0.85,1.0625,0.85,0.85,47200
123,2004-12-22,0.8379,0.998,0.7504,0.998,517600
124,2004-12-23,0.875,0.875,0.625,0.75,22800
125,2005-01-03,0.6875,0.8125,0.6275,0.8,21600
126,2005-01-05,0.8129,0.938,0.8129,0.938,18800
127,2005-01-06,0.875,0.875,0.875,0.875,1200
128,2005-01-07,0.9375,1.0,0.9375,1.0,39200
129,2005-01-10,0.933,0.938,0.933,0.938,34400
130,2005-01-13,0.9625,0.9625,0.875,0.875,24800
131,2005-01-24,0.8875,0.8875,0.875,0.875,12000
132,2005-01-27,0.875,0.875,0.875,0.875,2400
133,2005-01-28,0.938,0.938,0.938,0.938,18000
134,2005-01-31,0.9,0.9,0.9,0.9,2400
135,2005-02-01,0.9005,1.0005,0.9005,0.938,10000
136,2005-02-03,0.938,0.938,0.938,0.938,8000
137,2005-02-04,0.9,0.9,0.9,0.9,6000
138,2005-02-07,0.887,0.887,0.887,0.887,2000
139,2005-02-09,0.875,0.875,0.875,0.875,800
140,2005-02-11,0.887,0.887,0.887,0.887,4000
141,2005-02-14,0.9,1.0,0.9,1.0,4000
142,2005-02-16,0.988,0.988,0.938,0.938,28000
143,2005-02-17,0.988,0.988,0.938,0.938,22000
144,2005-02-18,0.95,0.95,0.9,0.9,21200
145,2005-02-24,0.975,1.0,0.9,0.9,24000
146,2005-02-25,0.9,0.9,0.9,0.9,4000
147,2005-02-28,1.0005,1.0005,0.938,0.938,32000
148,2005-03-01,1.0005,1.0005,0.938,0.938,17200
149,2005-03-02,0.9,0.9,0.9,0.9,6000
150,2005-03-04,0.9375,0.9375,0.9,0.9,15200
151,2005-03-07,0.9,0.95,0.4375,0.95,69600
152,2005-03-14,0.9,0.9,0.9,0.9,8000
153,2005-03-15,0.8995,0.8995,0.887,0.887,16000
154,2005-03-16,0.9495,0.9495,0.887,0.887,66400
155,2005-03-17,0.89,0.95,0.8875,0.9,26400
156,2005-03-18,0.9505,0.988,0.938,0.938,21600
157,2005-03-21,0.9375,0.95,0.9,0.9,26000
158,2005-03-24,0.943,0.943,0.938,0.938,8000
159,2005-03-28,0.8875,0.9425,0.8875,0.9,109200
160,2005-03-29,0.902,0.902,0.887,0.887,131200
161,2005-03-31,0.877,0.8895,0.877,0.887,30400
162,2005-04-01,0.8875,1.0625,0.8875,0.975,267600
163,2005-04-04,1.0005,1.0005,0.938,0.988,24800
164,2005-04-05,0.9875,1.0375,0.9875,1.0,45600
165,2005-04-06,1.25,1.25,1.25,1.25,400
166,2005-04-07,1.038,1.038,1.038,1.038,20000
167,2005-04-08,1.0375,1.0375,1.0125,1.025,161600
168,2005-04-11,1.025,1.025,1.025,1.025,28000
169,2005-04-12,1.025,1.25,1.0,1.25,22000
170,2005-04-14,1.25,1.25,1.0,1.25,402800
171,2005-04-15,1.063,1.138,1.063,1.063,11200
172,2005-04-18,1.0005,1.063,0.9504,1.063,14400
173,2005-04-19,1.0,1.0,0.9975,1.0,16000
174,2005-04-20,0.9995,0.9995,0.962,0.962,21600
175,2005-04-21,0.9495,0.962,0.9495,0.962,4400
176,2005-04-22,0.95,0.975,0.95,0.975,19200
177,2005-04-25,0.95,0.95,0.95,0.95,8000
178,2005-04-26,0.9505,1.013,0.9505,1.013,2800
179,2005-04-27,0.9375,1.025,0.9375,1.025,82000
180,2005-04-29,1.05,1.075,1.05,1.075,12800
181,2005-05-04,1.0,1.0,1.0,1.0,4000
182,2005-05-05,1.0,1.0,1.0,1.0,2000
183,2005-05-06,0.938,0.938,0.938,0.938,2000
184,2005-05-09,0.938,0.938,0.938,0.938,800
185,2005-05-11,1.0,1.0,1.0,1.0,400
186,2005-05-16,1.0005,1.063,1.0005,1.063,18000
187,2005-05-18,1.075,1.075,1.075,1.075,22400
188,2005-05-23,1.0255,1.0255,0.938,0.938,12400
189,2005-05-24,0.975,0.975,0.975,0.975,2000
190,2005-05-26,1.112,1.112,1.112,1.112,400
191,2005-06-02,1.1,1.1,0.875,0.925,13200
192,2005-06-03,0.9255,1.0005,0.9005,0.938,24800
193,2005-06-06,0.863,0.868,0.863,0.868,4000
194,2005-06-07,0.863,0.8755,0.838,0.863,85200
195,2005-06-08,0.938,0.938,0.8755,0.938,12000
196,2005-06-09,0.938,0.938,0.7504,0.913,2084400
197,2005-06-10,0.9125,0.9125,0.91,0.91,18000
198,2005-06-14,0.875,0.875,0.875,0.875,12000
199,2005-06-15,0.875,0.9375,0.875,0.925,24000
200,2005-06-16,0.938,1.0005,0.913,0.913,24800
201,2005-06-17,0.913,0.913,0.913,0.913,45600
202,2005-06-20,0.913,0.913,0.913,0.913,2000
203,2005-06-22,0.875,0.875,0.875,0.875,8000
204,2005-06-23,0.863,0.868,0.863,0.868,8400
205,2005-06-24,0.863,0.8755,0.863,0.863,7200
206,2005-06-27,0.8625,0.8625,0.8375,0.85,3200
207,2005-06-28,0.8625,0.865,0.8625,0.865,69600
208,2005-06-29,0.8625,1.0,0.8625,0.875,13600
209,2005-06-30,0.875,0.875,0.875,0.875,2400
210,2005-07-01,0.875,0.875,0.8125,0.875,52400
211,2005-07-05,0.875,0.8775,0.825,0.875,38000
212,2005-07-06,0.875,0.875,0.875,0.875,3200
213,2005-07-07,1.0,1.0,0.875,0.875,12400
214,2005-07-08,0.875,0.875,0.875,0.875,10000
215,2005-07-15,0.8745,0.887,0.8495,0.887,18800
216,2005-07-21,0.875,0.9,0.875,0.9,12000
217,2005-07-26,0.9,0.9,0.9,0.9,16000
218,2005-07-27,0.862,0.862,0.837,0.837,8000
219,2005-07-29,0.7625,0.85,0.7625,0.85,800
220,2005-08-02,0.75,0.8375,0.725,0.825,12400
221,2005-08-03,0.75,0.75,0.75,0.75,2000
222,2005-08-04,0.813,0.813,0.813,0.813,4000
223,2005-08-05,0.8125,0.8125,0.675,0.75,38800
224,2005-08-08,0.675,0.675,0.675,0.675,2000
225,2005-08-09,0.688,0.688,0.688,0.688,2000
226,2005-08-11,0.7505,0.7505,0.688,0.688,4000
227,2005-08-15,0.7505,0.8255,0.7505,0.813,10000
228,2005-08-16,0.75,0.75,0.75,0.75,16000
229,2005-08-23,0.75,0.75,0.75,0.75,400
230,2005-08-24,0.725,0.725,0.725,0.725,10000
231,2005-08-25,0.6525,0.6625,0.65,0.65,11200
232,2005-08-29,0.712,0.712,0.712,0.712,400
233,2005-08-30,0.6555,0.713,0.6255,0.663,18800
234,2005-08-31,0.65,0.655,0.625,0.655,66800
235,2005-09-02,0.655,0.655,0.65,0.65,4000
236,2005-09-06,0.65,0.65,0.65,0.65,4000
237,2005-09-09,0.655,0.655,0.65,0.65,66000
238,2005-09-12,0.65,0.65,0.6375,0.65,58400
239,2005-09-14,0.6625,0.6625,0.65,0.65,8000
240,2005-09-16,0.65,0.65,0.65,0.65,38000
241,2005-09-19,0.65,0.65,0.625,0.65,11200
242,2005-09-21,0.625,0.625,0.625,0.625,5600
243,2005-09-22,0.587,0.587,0.587,0.587,10800
244,2005-09-23,0.587,0.587,0.587,0.587,4000
245,2005-09-26,0.5875,0.75,0.5625,0.65,49600
246,2005-09-27,0.575,0.825,0.575,0.75,38800
247,2005-09-28,0.75,0.75,0.6125,0.725,2452400
248,2005-09-29,0.725,0.725,0.725,0.725,8000
249,2005-10-03,0.7245,0.7245,0.6995,0.702,8400
250,2005-10-04,0.7025,0.7025,0.7,0.7,5600
251,2005-10-05,0.7025,0.7025,0.7,0.7,12000
252,2005-10-07,0.688,0.688,0.638,0.688,26400
253,2005-10-10,0.6875,0.75,0.6875,0.75,18000
254,2005-10-12,0.75,0.75,0.6875,0.75,11200
255,2005-10-13,0.688,0.688,0.688,0.688,16000
256,2005-10-14,0.688,0.688,0.688,0.688,16000
257,2005-10-17,0.688,0.688,0.688,0.688,19200
258,2005-10-18,0.688,0.688,0.688,0.688,9600
259,2005-10-19,0.688,0.7505,0.688,0.688,32000
260,2005-10-20,0.688,0.688,0.688,0.688,10000
261,2005-10-21,0.65,0.7575,0.65,0.75,20400
262,2005-10-26,0.637,0.637,0.637,0.637,16400
263,2005-10-31,0.637,0.637,0.637,0.637,4000
264,2005-11-03,0.6125,0.7,0.6125,0.7,10400
265,2005-11-04,0.637,0.6995,0.637,0.637,40400
266,2005-11-07,0.6375,0.725,0.6375,0.725,45600
267,2005-11-08,0.65,0.65,0.625,0.625,136000
268,2005-11-09,0.625,0.675,0.625,0.625,80000
269,2005-11-10,0.625,0.625,0.625,0.625,1600
270,2005-11-11,0.6255,0.6255,0.6005,0.613,35600
271,2005-11-14,0.575,0.575,0.5,0.575,5200
272,2005-11-16,0.5025,0.525,0.4625,0.525,151600
273,2005-11-17,0.513,0.538,0.513,0.538,55600
274,2005-11-18,0.525,0.575,0.525,0.575,16800
275,2005-11-21,0.55,0.55,0.55,0.55,20000
276,2005-11-22,0.55,0.55,0.525,0.525,6000
277,2005-11-23,0.55,0.55,0.55,0.55,8000
278,2005-11-30,0.5255,0.548,0.5255,0.548,9200
279,2005-12-01,0.5345,0.5345,0.512,0.512,23600
280,2005-12-02,0.5255,0.548,0.5255,0.548,54000
281,2005-12-05,0.5255,0.5455,0.5255,0.538,42000
282,2005-12-06,0.5475,0.625,0.525,0.535,181600
283,2005-12-07,0.538,0.543,0.5305,0.543,54000
284,2005-12-08,0.575,0.575,0.52,0.575,40000
285,2005-12-09,0.55,0.6,0.5225,0.575,585600
286,2005-12-12,0.5755,0.5755,0.538,0.538,45200
287,2005-12-13,0.5375,0.5875,0.525,0.525,56000
288,2005-12-14,0.5575,0.5875,0.55,0.575,348000
289,2005-12-15,0.5875,0.625,0.525,0.575,2787200
290,2005-12-16,0.5655,0.588,0.563,0.563,234000
