,DateTime,Open,High,Low,Close,Volume
0,2023-01-17,54.1,67.0,46.4,49.0,1605580
1,2023-01-18,46.4,48.9,37.0,37.0,366670
2,2023-01-19,34.6,41.0,33.1,39.3,300920
3,2023-01-20,35.5,38.02,34.0,34.4,134650
4,2023-01-23,35.5,36.5,32.5,32.8,117030
5,2023-01-24,32.0,32.5,28.5,28.5,183170
6,2023-01-25,28.0,31.3,27.1,27.8,246350
7,2023-01-26,28.2,29.2,26.8,27.0,89330
8,2023-01-27,26.9,28.5,25.5,25.7,116150
9,2023-01-30,25.7,25.89,23.5,23.8,83000
10,2023-01-31,23.5,24.4,22.6,24.0,90690
11,2023-02-01,26.0,27.3,24.0,26.9,158170
12,2023-02-02,30.0,30.0,25.8,26.6,389170
13,2023-02-03,25.2,26.0,24.2,24.4,52230
14,2023-02-06,23.9,25.0,23.1,23.3,62340
15,2023-02-07,22.8,23.3,21.2,21.5,57950
16,2023-02-08,21.2,21.5,19.1,19.7,72000
17,2023-02-09,21.0,22.0,19.3,19.9,81090
18,2023-02-10,19.5,19.5,17.7,18.4,58260
19,2023-02-13,18.1,19.3,17.5,19.1,33110
20,2023-02-14,18.7,19.5,18.1,18.5,17720
21,2023-02-15,18.4,20.1,17.8,19.9,49970
22,2023-02-16,19.2,22.7,18.8,21.9,142460
23,2023-02-17,22.0,22.09,19.5,19.7,45040
24,2023-02-21,19.4,20.5,18.2,18.35,38870
25,2023-02-22,18.3,20.4,18.3,19.1,49590
26,2023-02-23,19.6,26.89,19.0,21.0,570610
27,2023-02-24,21.0,21.0,18.5,18.6,70180
28,2023-02-27,19.5,20.8,19.1,20.1,53830
29,2023-02-28,20.0,20.4,18.4,18.7,46010
30,2023-03-01,18.9,19.1,18.1,18.5,20580
31,2023-03-02,18.2,19.4,18.12,18.9,17700
32,2023-03-03,18.9,19.6,18.5,19.4,13160
33,2023-03-06,19.5,19.6,18.5,18.7,15150
34,2023-03-07,18.74,19.7,18.2,18.88,17590
35,2023-03-08,18.6,18.9,18.3,18.5,8780
36,2023-03-09,18.4,18.8,17.0,17.4,16120
37,2023-03-10,16.7,16.8,14.0,15.0,50980
38,2023-03-13,14.2,14.7,13.7,13.95,22330
39,2023-03-14,13.9,15.6,13.9,14.3,17510
40,2023-03-15,13.8,13.88,12.7,12.8,25690
41,2023-03-16,13.0,13.3,12.2,12.6,14080
42,2023-03-17,13.0,13.1,12.1,12.1,16080
43,2023-03-20,12.05,12.05,9.4,9.59,58760
44,2023-03-21,9.7,10.5,9.7,10.0,39050
45,2023-03-22,10.3,10.3,9.8,9.85,11320
46,2023-03-23,10.0,10.3,9.81,10.1,11470
47,2023-03-24,10.2,10.2,10.03,10.2,4700
48,2023-03-27,10.21,10.3,10.0,10.28,6520
49,2023-03-28,10.4,15.08,10.1,13.6,537150
50,2023-03-29,14.0,14.0,11.4,11.9,63190
51,2023-03-30,11.9,14.3,11.5,13.4,57990
52,2023-03-31,13.1,15.1,12.9,14.6,47330
53,2023-04-03,15.2,17.9,14.45,17.1,104690
54,2023-04-04,17.1,17.1,11.3,11.9,66130
55,2023-04-05,12.2,12.2,9.87,10.1,41740
56,2023-04-06,10.2,10.9,10.0,10.3,97180
57,2023-04-10,10.0,10.3,9.6,9.71,27200
58,2023-04-11,9.64,10.8,9.61,10.52,29520
59,2023-04-12,10.5,10.8,9.81,9.93,11860
60,2023-04-13,10.1,10.7,9.82,10.6,12860
61,2023-04-14,10.2,10.8,10.1,10.47,7520
62,2023-04-17,10.3,10.7,10.2,10.42,6750
63,2023-04-18,10.2,10.5,10.1,10.3,9270
64,2023-04-19,10.0,10.4,9.65,9.97,9310
65,2023-04-20,9.67,10.0,9.2,9.4,14990
66,2023-04-21,9.75,12.1,9.75,11.6,444900
67,2023-04-24,10.8,11.2,10.1,10.25,76040
68,2023-04-25,11.1,11.3,9.4,10.4,115150
69,2023-04-26,10.1,10.6,9.9,10.2,17440
70,2023-04-27,10.2,10.6,9.84,10.3,14030
71,2023-04-28,10.4,11.5,10.4,10.93,43320
72,2023-05-01,11.0,11.4,10.8,10.9,15070
73,2023-05-02,10.6,11.5,10.0,11.1,38630
74,2023-05-03,11.5,11.9,10.49,11.7,27670
75,2023-05-04,11.9,12.3,11.4,11.7,14070
76,2023-05-05,11.8,11.8,11.2,11.8,7920
77,2023-05-08,11.5,11.58,10.4,10.9,10910
78,2023-05-09,11.3,11.4,10.4,10.9,4840
79,2023-05-10,11.8,13.4,11.4,12.4,108560
80,2023-05-11,12.3,12.3,11.1,11.7,21800
81,2023-05-12,11.4,12.0,11.2,12.0,9300
82,2023-05-15,15.6,17.4,13.6,15.6,1704600
83,2023-05-16,13.4,13.7,12.2,12.8,131440
84,2023-05-17,11.4,13.0,11.1,13.0,81420
85,2023-05-18,12.6,12.6,11.4,12.15,18820
86,2023-05-19,11.9,12.0,11.4,12.0,11860
