,DateTime,Open,High,Low,Close,Volume
0,2012-11-12,112.5,112.5,112.5,112.5,4900
1,2012-11-13,127.5,135.0,127.5,127.5,2949
2,2012-11-14,127.5,127.5,112.5,120.0,6150
3,2012-11-15,120.0,120.0,120.0,120.0,3000
4,2012-11-20,112.5,112.5,112.5,112.5,500
5,2012-11-21,121.5,137.25,121.5,137.25,5379
6,2012-11-23,146.25,146.25,137.25,137.25,3530
7,2012-11-26,138.75,150.0,129.0,129.0,6279
8,2012-11-27,131.7,131.7,129.0,129.0,3450
9,2012-11-28,148.5,148.5,135.0,139.5,12370
10,2012-11-29,140.25,141.75,139.5,139.5,3650
11,2012-11-30,139.5,142.5,135.0,135.75,12745
12,2012-12-03,135.75,135.75,125.25,125.25,4850
13,2012-12-04,123.0,131.25,120.75,124.5,9600
14,2012-12-05,125.25,126.0,117.0,117.0,6100
15,2012-12-06,125.1,125.1,125.1,125.1,200
16,2012-12-07,121.5,121.5,121.5,121.5,1000
17,2012-12-10,125.25,141.75,123.0,124.5,6195
18,2012-12-11,123.75,129.0,123.75,127.5,7050
19,2012-12-12,120.0,120.75,120.0,120.75,3569
20,2012-12-14,121.5,121.5,120.0,120.0,1300
21,2012-12-17,119.85,120.0,115.5,120.0,3225
22,2012-12-18,120.3,132.75,120.0,127.5,10425
23,2012-12-19,129.75,132.0,125.25,132.0,5809
24,2012-12-21,121.5,132.0,115.5,132.0,6009
25,2012-12-24,127.5,127.5,127.5,127.5,100
26,2012-12-26,127.5,127.5,127.5,127.5,2116
27,2012-12-28,127.5,127.5,127.5,127.5,400
28,2012-12-31,127.65,127.8,125.55,125.55,9338
29,2013-01-02,127.5,127.5,127.5,127.5,3500
30,2013-01-03,127.5,127.5,127.5,127.5,700
31,2013-01-04,127.5,142.5,127.5,127.5,2925
32,2013-01-07,129.0,135.0,127.65,135.0,1200
33,2013-01-08,137.25,137.25,127.5,131.25,9227
34,2013-01-09,129.0,129.0,126.75,126.75,4300
35,2013-01-10,133.5,133.5,123.75,123.75,2600
36,2013-01-11,131.25,131.25,126.0,129.0,3600
37,2013-01-14,128.25,128.25,122.25,122.25,2942
38,2013-01-15,127.5,127.5,127.5,127.5,500
39,2013-01-16,131.25,131.25,129.0,129.0,1150
40,2013-01-17,129.0,129.0,129.0,129.0,1200
41,2013-01-23,131.25,131.25,126.0,126.0,3037
42,2013-01-24,126.75,126.75,122.25,122.25,5100
43,2013-01-25,123.0,126.0,123.0,126.0,442
44,2013-01-28,126.0,126.0,126.0,126.0,900
45,2013-01-29,126.0,126.0,126.0,126.0,100
46,2013-01-30,126.15,126.15,126.15,126.15,100
