,DateTime,Open,High,Low,Close,Volume
0,2007-02-08,20.0,20.95,19.17,20.01,6347924
1,2007-02-09,19.99,21.0,19.75,20.82,663112
2,2007-02-12,20.97,21.01,19.92,20.86,323521
3,2007-02-13,21.0,21.0,20.33,20.56,178396
4,2007-02-14,20.73,20.98,20.43,20.98,86813
5,2007-02-15,20.81,21.79,20.5,21.54,289412
6,2007-02-16,21.68,21.95,21.44,21.72,108581
7,2007-02-20,21.93,22.7,21.82,22.7,437158
8,2007-02-21,22.69,24.31,22.45,23.91,647982
9,2007-02-22,23.9,23.9,22.59,23.41,488633
10,2007-02-23,22.72,23.39,22.27,23.11,108868
11,2007-02-26,22.71,22.71,21.6,21.83,169196
12,2007-02-27,21.57,21.59,20.25,20.99,98132
13,2007-02-28,21.04,21.42,19.3,21.4,279215
14,2007-03-01,20.64,22.07,20.64,22.07,75892
15,2007-03-02,22.03,22.15,21.14,21.44,38689
16,2007-03-05,21.26,21.65,20.9,21.06,47046
17,2007-03-06,21.25,21.94,21.17,21.75,92940
18,2007-03-07,21.7,21.75,19.58,19.81,107232
19,2007-03-08,20.37,21.25,17.78,18.67,1075950
20,2007-03-09,18.8,18.96,17.13,17.97,314213
21,2007-03-12,18.36,19.03,17.73,18.57,365792
22,2007-03-13,18.55,18.57,17.42,17.66,107436
23,2007-03-14,17.58,17.59,15.73,15.96,541598
24,2007-03-15,16.0,16.0,14.75,14.91,460894
25,2007-03-16,15.02,15.45,14.71,15.25,331470
26,2007-03-19,15.19,15.89,15.19,15.85,214327
27,2007-03-20,15.65,17.49,15.63,16.69,242828
28,2007-03-21,16.84,17.12,16.31,16.69,171270
29,2007-03-22,16.7799,17.7,16.72,17.1,123756
30,2007-03-23,16.71,17.0,16.07,16.83,503881
31,2007-03-26,16.92,16.93,16.26,16.59,112025
32,2007-03-27,16.5,17.01,15.33,15.45,264369
33,2007-03-28,15.44,15.44,14.54,14.54,183276
34,2007-03-29,14.86,14.9118,13.95,14.2,247664
35,2007-03-30,14.49,14.86,14.3501,14.55,229431
36,2007-04-02,14.4,14.6,13.7,13.9,248340
37,2007-04-03,13.81,15.1,13.81,14.78,143617
38,2007-04-04,14.82,15.05,14.55,14.56,25108
39,2007-04-05,14.47,14.8,14.47,14.75,22549
40,2007-04-09,14.8,14.89,14.59,14.89,17655
41,2007-04-10,14.9,14.9,14.65,14.7,9265
42,2007-04-11,14.7,15.25,14.5,14.98,112334
43,2007-04-12,15.0,15.43,14.61,14.93,45529
44,2007-04-13,14.89,14.98,14.89,14.95,19021
45,2007-04-16,14.88,14.95,14.6,14.87,73023
46,2007-04-17,14.79,15.0,14.7,14.8,29107
47,2007-04-18,14.8,14.8,14.53,14.56,59832
48,2007-04-19,14.56,14.79,14.52,14.64,37856
49,2007-04-20,15.0,15.01,14.88,14.95,49285
50,2007-04-23,14.95,15.27,14.95,15.2,16918
51,2007-04-24,15.09,15.17,14.8,14.9,11388
52,2007-04-25,14.81,16.05,14.72,15.9,331694
53,2007-04-26,16.69,18.12,16.69,17.36,550998
54,2007-04-27,17.78,17.78,16.22,16.91,123260
55,2007-04-30,16.82,17.5,16.4,16.65,69925
56,2007-05-01,16.4801,16.94,16.44,16.51,100218
57,2007-05-02,16.88,17.5,16.61,17.38,252773
58,2007-05-03,17.42,17.87,16.62,16.62,105697
59,2007-05-04,16.77,18.26,16.77,17.83,179870
60,2007-05-07,18.0,18.34,17.6538,18.27,81166
61,2007-05-08,18.14,18.27,17.25,18.01,72252
62,2007-05-09,17.59,18.06,17.59,18.04,80160
63,2007-05-10,18.12,18.58,17.74,18.01,190975
64,2007-05-11,18.0,18.57,17.9,18.43,150037
65,2007-05-14,18.31,19.25,18.31,19.24,300765
66,2007-05-15,19.28,19.4,18.54,18.9,39415
67,2007-05-16,18.94,19.26,18.4,18.8,62039
68,2007-05-17,18.8,19.0,18.34,18.36,34750
69,2007-05-18,18.39,19.01,18.39,18.72,22425
70,2007-05-21,18.83,19.58,18.83,19.41,112984
71,2007-05-22,19.51,20.3,19.51,20.12,251510
72,2007-05-23,20.12,20.25,19.8501,20.09,73453
73,2007-05-24,19.99,20.08,19.6,19.78,91175
74,2007-05-25,20.0,20.41,20.0,20.16,49358
75,2007-05-29,19.99,20.14,19.71,19.84,111293
76,2007-05-30,19.56,20.61,19.56,19.88,30438
77,2007-05-31,19.96,20.485,19.96,20.25,204738
78,2007-06-01,20.2,20.3625,20.05,20.11,122545
79,2007-06-04,20.04,20.41,19.83,19.85,37823
80,2007-06-05,20.32,20.5,19.44,19.56,28601
81,2007-06-06,19.5,19.7,18.97,19.08,165869
82,2007-06-07,19.1,19.3,18.68,18.79,34739
83,2007-06-08,18.92,19.08,18.35,18.7,142902
84,2007-06-11,18.61,18.9,18.41,18.46,71719
85,2007-06-12,18.4,18.79,18.4,18.71,90448
86,2007-06-13,18.76,19.27,18.59,19.25,141698
87,2007-06-14,19.48,19.89,19.29,19.72,85422
88,2007-06-15,19.8,20.95,19.8,20.88,105911
89,2007-06-18,20.95,21.0,20.38,20.7,44106
90,2007-06-19,20.73,20.79,20.38,20.57,33668
91,2007-06-20,20.41,20.51,20.31,20.37,62411
92,2007-06-21,20.3,20.3,19.83,20.17,51201
93,2007-06-22,20.12,20.16,19.91,19.98,40616
94,2007-06-25,19.91,19.91,18.79,18.84,190547
95,2007-06-26,19.08,19.09,18.31,19.08,58904
96,2007-06-27,19.07,19.55,19.04,19.48,26179
97,2007-06-28,19.47,19.99,19.44,19.66,93930
98,2007-06-29,19.73,21.0,19.47,20.72,120357
99,2007-07-02,20.9,20.95,19.85,20.56,137496
100,2007-07-03,20.53,21.5,20.53,21.5,155533
101,2007-07-05,21.84,22.98,21.61,22.54,332136
102,2007-07-06,22.85,22.85,22.25,22.41,132718
103,2007-07-09,22.6,22.6,21.41,21.86,133298
104,2007-07-10,21.55,21.62,20.55,20.9,101377
105,2007-07-11,20.79,21.44,20.5,21.35,144305
106,2007-07-12,21.45,22.22,21.4,21.8,120700
107,2007-07-13,21.8,22.0,21.32,21.95,125782
108,2007-07-16,21.97,22.47,21.83,22.1,111802
109,2007-07-17,22.08,22.2,21.78,21.95,77071
110,2007-07-18,22.4,22.4,20.95,21.51,267279
111,2007-07-19,21.62,22.2,21.3,21.88,137194
112,2007-07-20,21.71,21.71,20.74,21.13,90489
113,2007-07-23,21.24,23.12,21.0,21.41,353836
114,2007-07-24,21.04,21.74,20.5,21.3,185655
115,2007-07-25,21.53,21.59,18.85,20.05,395531
116,2007-07-26,21.25,21.31,18.7,18.97,473638
117,2007-07-27,19.01,19.14,17.44,17.75,271237
118,2007-07-30,18.21,19.27,18.06,19.16,216825
119,2007-07-31,19.26,19.6,19.22,19.36,230144
120,2007-08-01,19.26,19.6,19.25,19.5,199831
121,2007-08-02,19.64,20.11,19.52,19.75,94006
122,2007-08-03,19.82,19.82,18.68,18.99,469039
123,2007-08-06,19.25,19.33,18.75,18.94,157981
124,2007-08-07,19.17,19.35,17.8,18.35,231267
125,2007-08-08,18.25,19.0,18.0,18.94,189521
126,2007-08-09,18.67,19.92,18.58,19.07,154071
127,2007-08-10,18.0,18.0,15.99,16.04,1528843
128,2007-08-13,16.46,16.65,16.13,16.5,645130
129,2007-08-14,16.58,16.58,16.25,16.4,102158
130,2007-08-15,16.39,16.45,16.0,16.21,313047
131,2007-08-16,16.0,16.1,15.3,16.1,208823
132,2007-08-17,15.85,16.29,15.66,16.14,377331
133,2007-08-20,16.25,16.35,15.27,15.65,192254
134,2007-08-21,15.46,15.71,14.67,14.69,103268
135,2007-08-22,15.0,15.0,14.35,14.72,356496
136,2007-08-23,14.72,15.63,14.72,15.25,367862
137,2007-08-24,15.32,16.4,15.24,16.25,313399
138,2007-08-27,16.17,16.61,16.1,16.56,320123
139,2007-08-28,16.41,16.57,16.33,16.5,191751
140,2007-08-29,16.62,16.62,16.22,16.28,94275
141,2007-08-30,16.06,16.09,15.0698,15.5,553825
142,2007-08-31,15.61,16.17,15.16,16.15,362205
143,2007-09-04,15.7,16.57,15.7,16.5,505188
144,2007-09-05,16.45,17.06,16.45,17.0,804868
145,2007-09-06,16.83,18.11,16.78,18.03,1228926
146,2007-09-07,17.66,18.15,16.75,18.15,754513
