Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2012-02-03,12.0,12.0,11.61,12.0,742300
1.0,2012-02-06,11.97,11.98,11.65,11.94,251300
2.0,2012-02-07,11.94,12.04,11.88,12.0,209200
3.0,2012-02-08,12.0,12.0,11.85,11.91,144700
4.0,2012-02-09,11.94,12.0,11.8,11.86,102900
5.0,2012-02-10,11.75,11.89,11.69,11.75,92500
6.0,2012-02-13,11.77,11.9,11.75,11.84,126200
7.0,2012-02-14,11.85,11.88,11.7,11.75,147600
8.0,2012-02-15,11.9,11.9,11.7,11.73,123200
9.0,2012-02-16,11.95,11.95,11.7,11.75,137400
10.0,2012-02-17,11.7,11.86,11.65,11.7,420800
11.0,2012-02-21,11.79,11.92,11.72,11.82,248600
12.0,2012-02-22,11.86,11.95,11.85,11.92,382200
13.0,2012-02-23,11.95,12.13,11.93,12.07,502400
14.0,2012-02-24,12.13,12.13,11.93,12.0,236700
15.0,2012-02-27,12.0,12.1,11.93,12.0,174500
16.0,2012-02-28,11.98,12.02,11.9,11.92,108000
17.0,2012-02-29,11.94,12.33,11.86,11.86,148100
18.0,2012-03-01,11.93,12.06,11.85,11.96,132000
19.0,2012-03-02,11.96,11.96,11.6,11.74,166300
20.0,2012-03-05,11.53,11.66,11.45,11.5,149000
21.0,2012-03-06,11.25,11.39,11.0,11.1,225600
22.0,2012-03-07,11.1,11.14,10.85,11.14,373900
23.0,2012-03-08,10.99,11.37,10.99,11.14,198900
24.0,2012-03-09,11.16,11.61,11.1,11.53,242500
25.0,2012-03-12,11.64,11.71,11.43,11.49,186100
26.0,2012-03-13,11.64,11.64,11.36,11.57,385900
27.0,2012-03-14,11.59,11.97,11.57,11.73,357100
28.0,2012-03-15,11.79,11.98,11.73,11.9,273200
29.0,2012-03-16,11.92,11.97,11.75,11.83,214200
30.0,2012-03-19,11.87,12.05,11.85,11.92,128600
31.0,2012-03-20,11.84,11.91,11.73,11.84,139000
32.0,2012-03-21,11.91,11.92,11.56,11.61,264300
33.0,2012-03-22,11.61,11.64,11.0,11.3,590700
34.0,2012-03-23,11.3,11.51,11.1,11.28,144800
35.0,2012-03-26,11.3,11.3,11.05,11.25,123800
36.0,2012-03-27,11.27,11.39,11.06,11.23,73900
37.0,2012-03-28,11.23,11.3,11.05,11.14,111600
38.0,2012-03-29,11.08,11.11,10.87,10.99,200900
39.0,2012-03-30,11.05,11.15,10.88,10.95,1033200
40.0,2012-04-02,10.9,11.52,10.61,11.33,293200
41.0,2012-04-03,11.3,11.74,11.28,11.51,191200
42.0,2012-04-04,11.33,11.67,11.18,11.47,237700
43.0,2012-04-05,11.44,11.45,11.3,11.39,108200
44.0,2012-04-09,11.25,11.3,11.04,11.14,100000
45.0,2012-04-10,11.1,11.28,11.0,11.1,113300
46.0,2012-04-11,11.21,11.29,10.96,11.02,105600
47.0,2012-04-12,11.05,11.13,10.9,11.02,366700
48.0,2012-04-13,11.05,11.05,10.74,10.75,127000
49.0,2012-04-16,10.78,11.0,10.47,10.49,108200
50.0,2012-04-17,10.59,10.6,10.32,10.38,334300
51.0,2012-04-18,10.26,10.72,10.06,10.62,702500
52.0,2012-04-19,10.68,11.1,10.61,10.92,88600
53.0,2012-04-20,11.05,11.29,11.05,11.25,228800
54.0,2012-04-23,11.09,11.35,10.93,11.33,143100
55.0,2012-04-24,11.39,11.4,11.15,11.25,48100
56.0,2012-04-25,11.36,11.46,11.14,11.2,188500
57.0,2012-04-26,11.2,11.64,11.17,11.43,145900
58.0,2012-04-27,11.41,11.7,11.33,11.57,71400
59.0,2012-04-30,11.62,11.66,11.39,11.58,237000
60.0,2012-05-01,11.62,12.09,11.53,11.63,391400
61.0,2012-05-02,11.55,11.61,11.27,11.38,120000
62.0,2012-05-03,11.38,11.39,11.17,11.19,122000
63.0,2012-05-04,11.11,11.11,10.76,10.89,78500
64.0,2012-05-07,10.79,11.01,10.79,10.98,73000
65.0,2012-05-08,10.94,11.0,10.8,10.93,77300
66.0,2012-05-09,10.8,10.86,10.61,10.65,70100
67.0,2012-05-10,10.77,10.87,10.7,10.76,57000
68.0,2012-05-11,10.67,10.74,10.45,10.62,69000
69.0,2012-05-14,10.55,10.6,10.29,10.3,88600
70.0,2012-05-15,9.69,10.32,9.43,10.04,375300
71.0,2012-05-16,10.04,10.09,8.86,8.91,584100
72.0,2012-05-17,9.0,9.1,8.63,8.71,324000
73.0,2012-05-18,8.84,9.38,8.84,9.16,199600
74.0,2012-05-21,9.23,9.57,9.19,9.45,110400
75.0,2012-05-22,9.42,9.78,9.29,9.37,68700
76.0,2012-05-23,9.33,9.73,9.2,9.68,62000
77.0,2012-05-24,9.73,10.35,9.67,9.86,95100
