DateTime,Open,High,Low,Close,Volume
01/02/2025,28.13,30.58,28.13,30.51,6758876
01/03/2025,30.52,31.54,29.103,31.18,4399814
01/06/2025,31.9639,33.18,30.7,31.22,5761491
01/07/2025,32.37,34.1,30.58,31.54,8432299
01/08/2025,31.35,31.7399,29.58,30.74,4187126
01/10/2025,29.9,33.98,29.01,33.18,7197793
01/13/2025,32.26,36.0,31.1,35.72,11185495
01/14/2025,35.27,37.33,34.7293,36.89,10025461
01/15/2025,37.53,39.38,35.58,37.02,10053286
01/16/2025,37.1,38.47,35.8,37.59,5614892
01/17/2025,38.35,38.39,35.61,36.04,4959412
01/21/2025,36.14,37.8,34.6,37.6,6532179
01/22/2025,38.4,40.96,37.9,39.52,10290132
01/23/2025,38.37,40.04,37.62,38.64,7608877
01/24/2025,39.37,43.66,39.25,41.69,14055909
01/27/2025,33.5,33.59,24.41,26.08,44540490
01/28/2025,28.2,30.24,26.7,30.09,22143820
01/29/2025,29.55,31.3399,28.96,29.73,12971489
01/30/2025,31.2,33.4,30.6602,31.8,11796622
01/31/2025,32.41,34.59,31.92,32.66,11648141
02/03/2025,29.972,34.13,29.6,33.31,11380034
02/04/2025,34.1,34.97,33.01,34.5,7675034
02/05/2025,34.8,35.51,33.57,33.93,6648700
02/06/2025,34.0,34.86,32.63,34.55,8747396
02/07/2025,35.34,39.5,34.91,38.13,17526616
02/10/2025,38.815,41.3,38.7,40.97,12583276
02/11/2025,40.11,42.44,39.96,41.42,9458545
02/12/2025,39.66,40.63,38.92,39.3,9121613
02/13/2025,40.19,41.83,38.68,41.7,8181320
02/14/2025,45.0,47.68,41.6524,44.49,35111374
02/18/2025,47.27,50.87,46.74,48.07,28138365
02/19/2025,47.2,47.93,44.5,44.83,18331342
02/20/2025,40.04,48.63,38.5,46.25,36538275
02/21/2025,45.48,45.8,39.5,39.835,22146998
02/24/2025,37.9,38.18,34.0305,36.22,21806763
02/25/2025,35.2,36.4775,32.73,34.21,14778951
02/26/2025,35.98,37.92,35.13,35.98,12421155
02/27/2025,37.695,38.05,31.71,32.05,16716347
02/28/2025,30.87,33.57,30.25,32.49,11659643
03/03/2025,32.805,33.18,27.585,28.1,18060713
03/04/2025,27.505,30.92,26.21,29.61,18510264
03/05/2025,30.96,31.18,29.32,30.17,12909233
03/06/2025,27.77,28.47,26.25,26.8,17638076
03/07/2025,26.93,28.35,26.2,27.99,11067866
03/10/2025,27.35,27.58,24.86,26.21,15940164
03/11/2025,26.505,26.73,24.36,25.45,12588729
03/12/2025,26.56,28.5,25.7,28.4,19285884
03/13/2025,27.98,28.5,26.03,26.17,9164506
03/14/2025,26.91,28.81,26.85,28.75,10634579
03/17/2025,28.99,29.13,27.1,28.29,8252840
03/18/2025,27.77,28.01,25.62,25.67,9837818
03/19/2025,26.1,28.2,25.97,27.58,10194352
03/20/2025,27.0,28.38,25.95,26.175,9921196
03/21/2025,25.81,27.0,25.54,26.98,6922708
03/24/2025,27.77,29.54,27.65,29.19,10013760
03/25/2025,29.0,29.35,26.9101,27.17,10464612
03/26/2025,26.63,26.7,23.84,24.71,19968596
03/27/2025,23.4,25.7,23.05,25.41,15935172
03/28/2025,24.76,25.0,21.755,22.31,24931529
03/31/2025,21.115,21.8,20.72,21.11,13795042
04/01/2025,21.66,22.75,20.62,22.69,15299499
04/02/2025,22.13,24.72,22.0907,24.45,18863683
04/03/2025,21.6,23.1,21.53,21.77,11659279
04/04/2025,20.78,21.0992,18.98,20.29,14053016
04/07/2025,18.74,21.9,18.31,21.05,12653701
04/08/2025,22.52,22.75,19.66,20.06,11102224
04/09/2025,20.52,23.9968,18.8905,23.46,17685383
04/10/2025,22.765,22.82,20.41,21.04,8709488
04/11/2025,21.0,21.665,20.2601,21.51,5470245
04/14/2025,22.32,22.778,20.51,20.73,6090954
04/15/2025,21.31,21.58,20.8028,21.33,4681536
04/16/2025,20.63,21.305,20.51,21.08,4473320
04/17/2025,21.32,21.85,21.0215,21.53,3973038
04/21/2025,21.24,21.35,20.25,20.72,4267868
04/22/2025,21.15,22.035,21.02,21.86,4708692
04/23/2025,23.25,23.7861,22.55,22.96,7948988
04/24/2025,23.085,24.6189,22.932,24.46,5588660
04/25/2025,24.57,25.08,23.86,24.48,5825710
04/28/2025,24.205,24.5994,23.31,24.11,3609706
04/29/2025,24.11,24.415,23.7,23.86,3404823
04/30/2025,22.5,22.8,21.4501,22.73,6099431
05/01/2025,25.025,25.71,23.92,23.925,7475342
05/02/2025,24.65,25.6162,24.39,25.4,6124608
05/05/2025,24.6,24.66,23.73,23.8,4599858
05/06/2025,23.3,25.07,23.25,25.04,6024079
05/07/2025,27.55,27.87,26.26,27.45,17899382
05/08/2025,27.84,28.59,27.3,28.22,6853824
05/09/2025,28.35,29.08,27.2,28.27,8477340
05/12/2025,32.32,33.73,31.13,33.34,16292632
05/13/2025,33.34,35.98,32.88,35.27,13897455
05/14/2025,35.675,36.65,34.45,36.12,12529740
05/15/2025,35.07,36.79,34.88,35.79,11205645
05/16/2025,36.345,38.14,36.1923,37.32,16647174
05/19/2025,35.8,37.93,35.68,37.56,11035773
05/20/2025,38.12,41.45,36.4201,39.14,31145816
05/21/2025,38.7,41.4,38.25,38.92,17302414
05/22/2025,39.04,39.55,37.0,37.8,10928706
05/23/2025,36.2,39.2,35.8,38.59,10378906
05/27/2025,39.57,40.09,38.03,39.82,9224286
05/28/2025,40.15,40.9,38.7,39.6,7801825
05/29/2025,41.25,41.8,37.6,38.04,11234109
05/30/2025,37.47,38.18,36.01,36.75,8109474
06/02/2025,34.825,36.04,34.72,36.02,17309160
06/03/2025,36.66,37.98,35.72,37.27,12101564
06/04/2025,37.935,40.4,37.12,39.39,14745612
06/05/2025,41.42,49.73,41.3999,46.3,59116979
06/06/2025,46.295,48.57,45.41,48.28,19955731
06/09/2025,50.265,55.04,49.54,52.58,33822167
06/10/2025,51.0,52.59,49.15,52.51,21894621
06/11/2025,52.52,53.26,49.83,50.57,14439358
06/12/2025,50.265,51.97,48.82,50.28,12573598
06/13/2025,48.64,49.73,46.88,47.13,14336538
06/16/2025,48.0,51.82,47.89,50.46,14505281
06/17/2025,49.85,50.06,47.66,48.33,11504780
06/18/2025,48.625,50.35,47.69,48.32,10999792
06/20/2025,48.66,49.74,46.88,47.97,12670677
06/23/2025,47.0,48.3,45.02,47.48,12396039
06/24/2025,49.0,53.0,48.98,51.02,18080885
06/25/2025,53.275,54.59,48.05,48.52,14092802
06/26/2025,49.57,53.16,48.54,52.6,11533054
06/27/2025,53.01,53.42,50.6001,51.84,8978070
06/30/2025,53.34,55.7499,52.15,55.33,13852466
07/01/2025,54.6,55.38,49.766,50.31,14286389
07/02/2025,50.255,51.2,48.882,49.97,8151086
07/03/2025,50.99,50.99,49.8,50.25,5143329
07/07/2025,49.325,49.3348,47.22,47.84,9432634
07/08/2025,48.1,48.55,46.65,47.1,8447779
07/09/2025,47.4,48.8,45.81,46.05,10148670
07/10/2025,46.5,47.235,45.25,46.43,8475988
07/11/2025,46.515,47.605,43.89,44.3,9198213
07/14/2025,48.93,52.21,48.8,51.95,24405126
07/15/2025,52.325,55.43,51.02,53.53,18454809
07/16/2025,53.58,53.6499,50.12,53.31,11106696
07/17/2025,53.81,56.16,52.7115,53.69,10876380
07/18/2025,54.65,54.8,51.01,52.79,9593830
07/21/2025,53.71,58.1643,51.88,52.37,19795712
07/22/2025,52.15,52.3,49.0,51.01,9913873
07/23/2025,51.2,52.04,50.44,51.88,7288526
07/24/2025,53.28,53.78,51.02,52.16,7220664
07/25/2025,52.52,52.76,51.32,51.37,6237591
07/28/2025,51.69,52.805,50.554324,52.75,8599545
07/29/2025,53.29,54.7,50.0,50.4,10638297
07/30/2025,50.88,52.5,50.25,51.29,8009413
07/31/2025,53.33,57.13,52.9,54.43,22905485
08/01/2025,51.97,53.73,50.0982,52.0,11719087
08/04/2025,52.99,54.53,52.88,54.17,7096068
08/05/2025,55.845,56.45,53.5379,55.17,8585128
08/06/2025,55.89,55.89,53.95,55.09,9731086
08/07/2025,64.37,70.54,63.38,65.31,44064989
08/08/2025,68.175,71.49,66.45,68.78,18451904
08/11/2025,69.9,75.9601,69.16,70.24,21552712
08/12/2025,73.425,75.9188,72.0,75.33,16162726
08/13/2025,75.08,75.21,69.08,70.63,18701875
08/14/2025,69.75,71.52,67.1,68.46,13114024
08/15/2025,68.3,71.97,67.31,71.62,9237569
08/18/2025,71.44,72.59,68.27,72.54,10006986
08/19/2025,71.75,71.75,66.2,67.19,12276289
08/20/2025,65.185,67.5,62.01,67.47,14162843
08/21/2025,68.26,68.26,65.45,66.18,8019247
08/22/2025,65.51,69.68,64.6108,68.98,11017169
08/25/2025,69.46,70.74,67.25,70.02,7898724
08/26/2025,70.29,72.8,69.31,70.48,7516543
08/27/2025,71.5,71.798,68.652,70.1,6471437
08/28/2025,70.93,73.5,70.2,72.04,8909357
08/29/2025,71.545,71.69,67.6,68.32,7594332
09/02/2025,65.9,67.879,64.11,65.72,9332965
09/03/2025,66.88,67.0,64.8314,65.65,6506241
09/04/2025,65.445,66.5,64.41,64.91,5473282
09/05/2025,66.5,67.39,63.26,65.47,5811679
09/08/2025,64.67,66.64,63.8,64.005,23102795
09/09/2025,97.2,98.6799,86.12,95.72,88378298
09/10/2025,91.64,100.51,91.0,93.39,44690602
09/11/2025,92.67,93.87,88.415,89.19,37580632
10/21/2024,14.29,20.36,14.09,20.0,13616749
10/22/2024,19.79,20.0,17.7601,18.73,6443964
10/23/2024,18.0,18.43,17.1,17.16,9849849
10/24/2024,16.8,17.75,16.71,17.63,7851777
10/25/2024,17.27,19.58,17.27,19.57,6748210
10/28/2024,20.0,24.27,20.0,23.75,13233147
10/29/2024,22.9,24.5,22.5,23.65,7398169
10/30/2024,23.0,23.19,20.75,22.06,22991974
10/31/2024,22.6,22.6,20.0,21.38,4580792
11/01/2024,21.7,21.7,19.57,20.14,3981548
11/04/2024,19.62,21.72,19.21,20.75,4185001
11/05/2024,20.74,21.2,18.51,19.0,12434671
11/06/2024,19.93,19.93,17.5,19.3,4144060
11/07/2024,19.08,20.9,19.08,20.68,2570089
11/08/2024,20.98,21.0,19.5,19.92,2356030
11/11/2024,19.8,21.3,19.18,20.94,2907456
11/12/2024,20.5,20.93,19.5,19.6,2125500
11/13/2024,19.43,20.0,18.42,18.57,2088897
11/14/2024,19.0,19.0,17.51,18.09,2164529
11/15/2024,18.0,18.41,17.385,17.6,2010824
11/18/2024,17.73,18.74,17.66,18.52,1782325
11/19/2024,19.1,20.82,18.645,20.65,4774009
11/20/2024,20.53,20.75,19.46,20.58,3861686
11/21/2024,20.65,22.0,19.64,22.0,3639761
11/22/2024,21.56,23.8208,21.56,23.49,4336851
11/25/2024,24.0,26.0,23.25,23.49,6115766
11/26/2024,23.16,23.6,22.0,22.12,2444576
11/27/2024,22.01,22.8,21.0,21.43,2595079
11/29/2024,22.0,22.92,21.25,21.99,2856209
12/02/2024,26.12,27.9,24.76,25.75,17142170
12/03/2024,25.8,30.0,25.43,29.33,22322055
12/04/2024,30.5,33.15,30.075,32.31,24007678
12/05/2024,33.94,34.6,30.54,31.16,10374685
12/06/2024,31.98,36.84,31.75,36.77,14708327
12/09/2024,38.57,38.69,31.53,31.96,16659004
12/10/2024,32.71,35.25,31.53,33.7,9979131
12/11/2024,34.4,34.95,31.95,32.78,6029906
12/12/2024,32.36,33.0,31.12,31.33,5684664
12/13/2024,31.63,31.7,29.95,30.75,7228792
12/16/2024,30.78,34.43,30.49,33.4,7562032
12/17/2024,33.0,33.0,29.14,29.34,7593474
12/18/2024,28.94,30.0,26.99,27.09,8765094
12/19/2024,27.74,28.16,25.98,27.05,6797748
12/20/2024,26.49,28.76,26.0003,26.71,5560013
12/23/2024,27.04,28.735,25.77,28.64,5598973
12/24/2024,28.77,28.96,27.37,28.245,2971650
12/26/2024,28.3,29.39,27.32,28.06,3024481
12/27/2024,27.94,28.0,25.53,27.31,5407527
12/30/2024,26.95,27.2,25.9,26.92,3108440
12/31/2024,27.39,28.68,26.79,27.7,3810398
2025-09-12,91.19,92.0,86.78,90.41,22844686
2025-09-15,92.61,94.42,88.84,90.96,19391494
2025-09-16,91.2,91.3,88.02,89.43,11737329
2025-09-17,91.67,95.0,88.83,94.08,24500303
2025-09-18,95.075,97.68,92.03,94.12,18068457
2025-09-19,94.14,99.55,93.25,99.31,18649279
2025-09-22,101.95,108.58,98.52,106.6,24365232
2025-09-23,108.04,109.98,104.25,107.8,16693468
2025-09-24,109.135,114.85,104.85,113.23,25341223
2025-09-25,108.055,114.08,105.88,107.94,19658801
2025-09-26,109.93,109.99,102.8,107.7,14915089
2025-09-29,109.38,112.52,108.33,110.22,12067011
2025-09-30,113.445,117.65,111.66,112.27,20425090
2025-10-01,111.715,115.88,109.76,115.61,12008096
2025-10-02,123.77,126.74,118.57,125.87,26887671
2025-10-03,127.235,132.9792,123.6,127.98,21351332
2025-10-06,132.4,135.76,124.93,124.94,16311053
2025-10-07,127.825,128.28,115.72,117.7,19573994
2025-10-08,121.2,125.31,117.5,122.0,18005901
2025-10-09,120.98,133.32,119.87,132.64,18124575
2025-10-10,134.95,141.1,128.01,129.58,28268503
2025-10-13,135.21,138.53,132.65,135.46,12788929
2025-10-14,132.0,133.7843,125.75,128.15,13109232
2025-10-15,131.9,131.99,122.2,125.83,11708320
2025-10-16,128.09,130.97,122.02,123.04,14207745
2025-10-17,118.06,120.5734,110.88,113.44,21366533
2025-10-20,116.79,117.47,107.51,109.0,17799474
2025-10-21,107.88,108.18,101.4,104.28,18455857
2025-10-22,106.675,107.8,94.63,98.62,26631501
2025-10-23,100.33,106.62,99.46,106.16,15803826
2025-10-24,111.16,117.45,110.01,117.26,17411914
2025-10-27,120.91,126.5,120.11,125.43,16809794
2025-10-28,126.435,129.03,120.78,121.83,13455547
2025-10-29,124.28,125.95,117.5,125.1,13952790
2025-10-30,121.2,128.44,117.76,124.18,12204384
2025-10-31,126.64,132.1499,126.3,130.82,13389040
2025-11-03,134.0,134.93,119.7501,120.47,17247025
2025-11-04,112.355,116.78,109.0,110.54,17818197
2025-11-05,113.64,118.21,111.43,117.0,13977675
2025-11-06,119.55,121.0,108.41,109.44,17314423
2025-11-07,104.5,111.3,101.26,111.28,17614072
2025-11-10,115.18,118.37,108.72,109.95,21363592
2025-11-11,114.13,114.56,99.83,102.22,45261131
2025-11-12,104.2,105.6499,91.71,94.36,35913483
2025-11-13,90.89,91.48,84.5,88.63,41803017
2025-11-14,82.36,89.0,82.0,83.54,31947972
2025-11-17,83.82,89.65,83.59,85.98,23478713
2025-11-18,83.78,93.69,81.71,90.54,26661640
2025-11-19,93.005,96.72,91.8,95.07,22040586
2025-11-20,99.43,102.69,84.21,84.64,35775660
2025-11-21,85.55,88.74,78.21,83.26,34963167
2025-11-24,86.23,93.0,85.15,91.9,51066797
2025-11-25,89.29,91.28,84.7211,88.88,15021195
2025-11-26,93.85,95.634,90.76,94.69,13544965
2025-11-28,96.55,97.08,93.4402,94.87,6018834
2025-12-01,91.45,101.6,89.01,100.15,14462853
2025-12-02,100.36,102.95,96.06,96.45,11332667
2025-12-03,95.02,99.06,91.0,98.92,11307490
2025-12-04,99.07,103.84,97.47,102.8,11234128
2025-12-05,100.34,101.35,96.2,98.04,13041137
2025-12-08,97.29,100.5,95.3,100.33,8737775
2025-12-09,98.09,100.8826,96.1,96.41,10059983
2025-12-10,95.73,97.09,92.2,93.59,10080735
2025-12-11,89.2,95.45,86.7,94.28,11896082
2025-12-12,93.31,95.65,86.2,87.69,14990621
2025-12-15,88.1,88.24,80.0635,81.14,17138596
2025-12-16,79.575,81.56,76.88,80.95,13847810
2025-12-17,84.09,84.3,75.25,75.45,17064073
2025-12-18,79.05,80.35,77.01,78.09,10345822
2025-12-19,80.65,90.54,80.1601,89.46,17558701
2025-12-22,92.97,95.9,91.1,93.23,11303103
2025-12-23,90.31,92.97,88.31,90.03,8885717
2025-12-24,90.23,91.42,88.65,91.13,3338007
2025-12-26,91.51,91.62,86.74,87.59,6234606
2025-12-29,84.45,88.61,84.29,86.04,8076086
2025-12-30,86.375,86.96,84.56,85.17,5802313
2025-12-31,85.37,86.47,82.9,83.705,7055872
2026-01-02,86.985,90.76,86.01,89.95,9099505
2026-01-05,95.0,95.44,90.89,92.83,10025590
2026-01-06,95.715,100.68,90.94,100.24,18739584
2026-01-07,99.01,102.35,95.56,96.21,10185837
2026-01-08,96.79,102.54,96.0211,97.3,12952014
2026-01-09,98.895,104.97,97.1,97.93,11735268
2026-01-12,98.32,108.6799,96.55,107.33,16033466
2026-01-13,107.33,107.9499,103.92,105.43,10405206
2026-01-14,105.78,106.6999,99.383,101.98,10468048
2026-01-15,104.555,108.13,101.1,103.885,11190850
2026-01-16,105.995,110.5,100.71,108.73,15674397
2026-01-20,101.83,104.47,98.34,99.29,16768594
2026-01-21,101.09,102.4,93.1,98.87,15470530
2026-01-22,102.01,103.98,96.5,96.85,10237090
2026-01-23,96.7,98.8854,93.5301,94.5,10064565
2026-01-26,97.71,100.88,91.36,91.46,14675945
2026-01-27,94.35,99.54,93.53,97.87,11670886
2026-01-28,100.0,101.85,96.44,100.43,11834114
2026-01-29,98.36,99.25,91.16,94.91,13332165
2026-01-30,91.551,92.04,84.12,85.19,18182263
2026-02-02,85.81,89.25,84.22,88.16,10501328
2026-02-03,89.93,91.39,84.75,89.95,9743079
2026-02-04,87.0,87.665,78.44,82.39,15962803
2026-02-05,79.14,80.8199,73.52,73.87,17441051
2026-02-06,79.225,86.66,77.12,86.1,16895651
2026-02-09,84.45,93.68,83.81,92.88,13235607
2026-02-10,92.915,95.5522,91.66,91.79,10388584
2026-02-11,92.915,94.75,87.14,88.61,13933025
2026-02-12,84.1,90.76,79.6901,89.73,25735527
2026-02-13,89.86,100.32,88.86,98.01,20543825
2026-02-17,96.0,99.29,93.5,97.52,11665234
2026-02-18,99.73,104.4,96.8571,101.8,13132490
2026-02-19,100.43,107.98,100.43,107.61,17315023
2026-02-20,106.591,108.32,97.03,97.92,17292004
2026-02-23,96.305,101.1627,95.3,100.61,8882203
2026-02-24,99.365,103.75,97.7477,102.58,7436013
2026-02-25,104.99,107.44,102.8,106.12,8737196
2026-02-26,106.0,108.32,102.0,104.88,8529286
2026-02-27,98.7,99.3,88.4,91.19,22945166
2026-03-02,88.0,91.387,86.8,91.01,11049517
2026-03-03,86.15,89.87,83.53,86.8,10158213
2026-03-04,90.4,98.48,90.15,97.78,12975822
2026-03-05,96.75,99.25,91.62,95.65,8769277
2026-03-06,92.3,94.9499,88.8,89.33,7829374
2026-03-09,87.36,95.2,86.5,94.94,9983794
2026-03-10,95.14,98.4,95.0,96.43,7125504
2026-03-11,105.16,114.08,104.49,111.995,34845341
2026-03-12,109.09,111.04,106.52,108.04,13302418
2026-03-13,110.44,116.57,110.14,112.95,15433662
2026-03-16,124.75,132.3,124.423,129.85,34657739
2026-03-17,120.34,121.4999,113.11,116.33,57203829
2026-03-18,114.8,122.7736,114.0,118.56,35792305
2026-03-19,115.255,121.8,114.77,121.52,14606007
2026-03-20,120.475,123.7236,112.634,117.62,17414030
