,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,13.313,13.313,12.25,12.313,438788
1,2000-01-04,12.578,12.891,12.515,12.734,463838
2,2000-01-05,12.703,13.077,12.672,12.952,294882
3,2000-01-06,12.765,13.172,12.42,13.11,367674
4,2000-01-07,13.5,14.094,13.5,13.938,463190
5,2000-01-10,13.641,13.766,12.984,13.734,433905
6,2000-01-11,13.75,14.0,13.531,13.531,375602
7,2000-01-12,13.532,13.563,12.75,13.188,167599
8,2000-01-13,13.125,13.531,13.125,13.531,217802
9,2000-01-14,13.531,13.875,13.499,13.875,121126
10,2000-01-18,13.75,15.469,13.688,15.25,701400
11,2000-01-19,15.204,15.454,14.953,14.953,354038
12,2000-01-20,15.001,15.032,14.5,14.656,216141
13,2000-01-21,14.687,15.406,14.687,15.156,945611
14,2000-01-24,15.25,15.625,15.125,15.5,458600
15,2000-01-25,15.548,15.61,15.203,15.297,261731
16,2000-01-26,15.359,15.609,14.86,14.891,160956
17,2000-01-27,14.907,15.094,14.094,14.188,589387
18,2000-01-28,14.313,14.563,13.906,13.969,81200
19,2000-01-31,13.969,13.969,13.562,13.75,358600
20,2000-02-01,13.75,14.563,13.563,14.313,262998
21,2000-02-02,14.437,14.812,14.437,14.531,264800
22,2000-02-03,14.531,14.75,14.438,14.5,127200
23,2000-02-04,14.547,14.672,14.422,14.485,162371
24,2000-02-07,14.563,14.939,14.062,14.344,428675
25,2000-02-08,14.359,14.703,13.985,14.141,291510
26,2000-02-09,14.109,14.328,13.797,13.891,603061
27,2000-02-10,14.427,15.756,14.427,15.313,1149329
28,2000-02-11,15.234,15.234,14.766,14.797,530351
29,2000-02-14,14.781,15.157,14.781,14.969,458797
30,2000-02-15,15.094,15.312,15.094,15.25,398000
31,2000-02-16,15.266,15.36,15.047,15.172,284508
32,2000-02-17,14.875,15.376,14.782,15.313,352995
33,2000-02-18,15.282,15.344,14.97,15.094,247293
34,2000-02-22,15.047,15.141,14.829,15.079,337136
35,2000-02-23,15.0,15.031,14.75,14.781,257001
36,2000-02-24,14.735,15.266,14.735,15.203,348553
37,2000-02-25,15.219,15.594,15.188,15.344,595194
38,2000-02-28,15.375,15.375,15.125,15.375,378800
39,2000-02-29,15.422,15.516,15.391,15.484,720876
40,2000-03-01,15.5,15.968,15.469,15.906,450003
41,2000-03-02,15.781,16.0,15.75,15.969,583594
42,2000-03-03,16.25,16.844,16.0,16.594,936992
43,2000-03-06,16.562,16.75,16.375,16.531,277929
44,2000-03-07,16.563,18.657,16.563,18.469,1456990
45,2000-03-08,18.437,18.437,17.907,18.126,789936
46,2000-03-09,18.093,18.093,16.908,17.532,943655
47,2000-03-10,17.719,18.311,17.5,17.531,408320
48,2000-03-13,17.297,17.578,17.203,17.265,884612
49,2000-03-14,17.282,17.313,16.812,16.906,698899
50,2000-03-15,16.985,17.047,16.797,16.953,528304
51,2000-03-16,16.875,17.312,16.781,17.25,546800
52,2000-03-17,17.094,17.219,17.0,17.188,531423
53,2000-03-20,17.141,17.173,16.766,16.797,225983
54,2000-03-21,16.844,17.533,16.844,17.157,307826
55,2000-03-22,17.188,17.5,17.125,17.469,246399
56,2000-03-23,17.343,17.406,16.814,17.063,379769
57,2000-03-24,17.0,17.5,17.0,17.094,285798
58,2000-03-27,17.109,17.141,16.515,17.109,556090
59,2000-03-28,17.016,17.078,16.547,16.61,219194
60,2000-03-29,16.532,17.219,16.532,17.188,574992
61,2000-03-30,17.265,17.61,17.265,17.61,683782
62,2000-03-31,16.877,18.343,16.817,17.625,976857
63,2000-04-03,17.734,18.796,17.734,18.421,767872
64,2000-04-04,18.021,18.114,16.661,17.063,784912
65,2000-04-05,16.423,17.609,16.423,17.453,567509
66,2000-04-06,17.516,18.017,17.516,17.672,200217
67,2000-04-07,17.75,17.875,17.5,17.594,263798
68,2000-04-10,17.531,17.906,16.719,17.75,534000
69,2000-04-11,17.656,18.282,17.656,18.157,272130
70,2000-04-12,18.75,19.125,18.5,18.969,668995
71,2000-04-13,19.0,19.0,18.406,18.406,187400
72,2000-04-14,18.47,18.783,17.562,17.781,204045
73,2000-04-17,17.875,18.188,17.781,18.125,497400
74,2000-04-18,18.062,18.781,18.062,18.75,418200
75,2000-04-19,18.781,19.408,18.688,18.813,218441
76,2000-04-20,18.891,18.985,18.609,18.672,630396
77,2000-04-24,18.641,18.829,18.423,18.829,229984
78,2000-04-25,18.875,19.343,18.844,19.156,756006
79,2000-04-26,19.125,19.218,19.0,19.156,140400
80,2000-04-27,18.906,19.937,18.875,19.531,587003
81,2000-04-28,19.871,20.38,19.618,20.31,599465
82,2000-05-01,20.0,21.0,20.0,20.44,487597
83,2000-05-02,20.47,21.69,20.47,21.06,773391
84,2000-05-03,20.48,20.48,19.454,19.704,567227
85,2000-05-04,19.719,20.0,19.719,20.0,570800
86,2000-05-05,19.939,21.75,19.877,21.19,864420
87,2000-05-08,21.17,21.95,21.14,21.27,620363
88,2000-05-09,21.38,21.47,20.78,20.78,632442
89,2000-05-10,20.75,20.84,20.44,20.69,824787
90,2000-05-11,20.69,21.12,20.69,21.0,1144600
91,2000-05-12,21.0,21.59,21.0,21.47,475397
92,2000-05-15,21.41,22.34,21.22,22.31,506194
93,2000-05-16,22.69,22.69,21.91,22.12,1113000
94,2000-05-17,22.02,22.02,21.23,21.83,492051
95,2000-05-18,22.03,22.41,21.78,22.12,211990
96,2000-05-19,21.97,22.03,21.69,21.94,364478
97,2000-05-22,22.06,22.22,21.37,21.66,317688
98,2000-05-23,21.59,22.0,21.28,21.28,431203
99,2000-05-24,21.28,21.34,20.5,20.78,322200
100,2000-05-25,20.78,21.03,20.0,20.12,685200
101,2000-05-26,20.3,20.7,20.2,20.52,345140
102,2000-05-30,20.59,20.78,20.13,20.34,536437
103,2000-05-31,20.31,21.0,20.31,20.94,690190
104,2000-06-01,21.03,21.03,19.874,20.09,643615
105,2000-06-02,20.53,20.72,19.592,19.999,919399
106,2000-06-05,20.03,20.59,19.406,19.75,452800
107,2000-06-06,19.657,20.72,19.657,20.25,510390
108,2000-06-07,19.922,20.14,19.829,19.922,378496
109,2000-06-08,19.985,20.45,19.797,20.36,359873
110,2000-06-09,20.44,20.44,20.0,20.09,269199
111,2000-06-12,20.09,21.12,20.09,20.28,291847
112,2000-06-13,20.25,20.91,20.25,20.5,528200
113,2000-06-14,20.67,20.92,20.2,20.3,145270
114,2000-06-15,20.25,20.66,19.97,20.12,238835
115,2000-06-16,20.02,21.23,20.02,20.98,412686
116,2000-06-19,21.0,21.0,19.344,19.719,463200
117,2000-06-20,19.814,19.814,18.906,19.156,779136
118,2000-06-21,19.156,20.0,18.781,20.0,1164600
119,2000-06-22,20.0,20.0,19.406,19.875,428600
120,2000-06-23,19.876,19.907,19.282,19.313,290199
121,2000-06-26,19.344,19.407,18.438,18.469,616799
122,2000-06-27,18.453,18.64,17.829,18.391,1197019
123,2000-06-28,18.562,18.688,18.344,18.375,586800
124,2000-06-29,18.156,19.0,18.156,18.969,561599
125,2000-06-30,19.505,19.96,18.952,19.57,1956240
126,2000-07-03,19.172,19.235,18.86,18.954,295830
127,2000-07-05,18.595,18.595,16.873,16.967,1002643
128,2000-07-06,17.046,18.111,17.046,17.86,1184824
129,2000-07-07,17.837,18.336,17.805,18.336,747406
130,2000-07-10,18.492,18.492,17.93,17.961,558642
131,2000-07-11,18.084,18.763,17.868,18.609,798152
132,2000-07-12,18.828,18.859,17.984,18.14,264191
133,2000-07-13,18.172,18.204,17.703,18.172,312123
134,2000-07-14,18.461,18.524,17.71,17.71,322988
135,2000-07-17,17.828,17.891,17.39,17.515,382074
136,2000-07-18,17.5,17.906,17.468,17.75,305262
137,2000-07-19,17.89,18.014,17.235,17.329,171465
138,2000-07-20,17.36,17.485,16.642,16.954,299262
139,2000-07-21,17.0,17.062,16.312,16.781,1234416
140,2000-07-24,16.79,17.071,16.258,16.383,539548
141,2000-07-25,16.437,16.593,15.876,16.032,754047
142,2000-07-26,16.047,16.548,16.016,16.172,547252
143,2000-07-27,16.352,17.163,16.352,16.601,438421
144,2000-07-28,16.562,16.593,16.187,16.281,611607
145,2000-07-31,16.624,17.376,16.624,17.0,494891
146,2000-08-01,16.938,17.719,16.907,17.688,441596
147,2000-08-02,17.594,17.938,17.594,17.938,421599
148,2000-08-03,17.851,18.132,17.289,17.383,347269
149,2000-08-04,17.469,17.531,17.25,17.375,200200
150,2000-08-07,17.316,18.629,17.316,18.066,198764
151,2000-08-08,18.015,18.015,17.484,17.672,144126
152,2000-08-09,17.891,18.109,17.859,17.891,202375
153,2000-08-10,18.0,18.594,17.969,18.469,303600
154,2000-08-11,18.624,18.719,18.402,18.719,239356
155,2000-08-14,18.609,19.14,18.485,18.891,410531
156,2000-08-15,18.938,19.282,18.875,19.032,497771
157,2000-08-16,18.984,19.579,18.484,19.454,508995
158,2000-08-17,19.531,20.19,19.531,20.12,625200
159,2000-08-18,20.17,20.48,19.891,20.08,696322
160,2000-08-21,20.0,20.37,20.0,20.03,303802
161,2000-08-22,20.34,20.47,20.19,20.22,464998
162,2000-08-23,20.42,21.17,20.42,21.14,380928
163,2000-08-24,21.13,21.19,20.72,21.09,607680
164,2000-08-25,21.06,21.31,20.94,21.25,228000
165,2000-08-28,21.36,21.73,21.17,21.55,219359
166,2000-08-29,21.61,22.11,21.61,22.08,398176
167,2000-08-30,22.25,22.25,21.53,21.72,247437
168,2000-08-31,21.66,21.94,21.62,21.62,328600
169,2000-09-01,22.08,22.17,21.83,22.17,190268
170,2000-09-05,22.09,22.09,21.41,21.44,98199
171,2000-09-06,21.56,22.12,21.53,22.12,215600
172,2000-09-07,22.06,22.06,20.9,21.91,739672
173,2000-09-08,21.88,21.88,21.31,21.47,665552
174,2000-09-11,21.41,23.41,21.41,22.44,896993
175,2000-09-12,22.47,22.59,22.25,22.59,421598
176,2000-09-13,22.59,22.59,21.97,22.03,282400
177,2000-09-14,22.14,22.86,21.98,22.42,299795
178,2000-09-15,22.54,23.83,22.54,23.83,430153
179,2000-09-18,24.75,25.13,23.31,23.34,813399
180,2000-09-19,23.68,24.18,22.71,22.93,471431
181,2000-09-20,22.91,23.56,22.87,22.91,347000
182,2000-09-21,23.0,23.0,20.97,21.09,449200
183,2000-09-22,21.09,21.78,20.78,21.66,599800
184,2000-09-25,21.67,21.67,20.42,21.42,604357
185,2000-09-26,21.83,22.36,21.8,22.3,229840
186,2000-09-27,22.28,22.44,21.78,22.16,286003
187,2000-09-28,22.08,22.83,22.08,22.58,526703
188,2000-09-29,22.56,23.75,22.56,23.34,521797
189,2000-10-02,23.78,23.78,23.22,23.56,397731
190,2000-10-03,23.63,23.63,22.91,23.09,220800
191,2000-10-04,23.14,23.14,22.08,22.39,313558
192,2000-10-05,22.42,22.42,21.45,21.48,238361
193,2000-10-06,21.72,22.56,21.09,21.22,567572
194,2000-10-09,21.45,21.67,21.17,21.42,400491
195,2000-10-10,21.59,22.16,21.5,21.88,1164800
196,2000-10-11,22.11,22.95,21.98,22.39,1088562
197,2000-10-12,22.42,23.02,22.17,22.33,587378
198,2000-10-13,22.34,22.34,21.16,21.44,345799
199,2000-10-16,21.44,21.44,20.62,20.91,345092
200,2000-10-17,20.84,21.28,20.78,20.91,341302
201,2000-10-18,20.5,20.66,19.844,20.06,565596
202,2000-10-19,20.08,20.89,19.953,20.7,401689
203,2000-10-20,20.88,21.28,20.69,21.09,343905
204,2000-10-23,21.27,21.39,20.45,20.83,696074
205,2000-10-24,20.89,20.89,19.547,19.797,670121
206,2000-10-25,19.923,19.923,18.39,18.922,730007
207,2000-10-26,18.876,19.623,18.876,19.125,870443
208,2000-10-27,19.203,19.266,18.14,18.484,511188
209,2000-10-30,18.391,18.891,18.141,18.453,530942
210,2000-10-31,18.594,18.906,18.281,18.875,561200
211,2000-11-01,19.016,19.892,19.016,19.798,766775
212,2000-11-02,19.766,19.766,19.329,19.485,735170
213,2000-11-03,19.344,19.656,19.312,19.625,947400
214,2000-11-06,19.766,19.766,19.328,19.359,592329
215,2000-11-07,19.501,19.501,19.344,19.438,157999
216,2000-11-08,19.469,19.719,19.469,19.563,534991
217,2000-11-09,19.532,19.782,19.5,19.563,449992
218,2000-11-10,19.672,19.734,19.39,19.484,148284
219,2000-11-13,19.374,19.624,19.063,19.063,208681
220,2000-11-14,19.171,19.86,19.171,19.516,420271
221,2000-11-15,19.859,20.95,19.859,20.48,383111
222,2000-11-16,20.38,20.84,20.38,20.47,287200
223,2000-11-17,20.53,20.53,19.844,20.31,199599
224,2000-11-20,20.38,20.38,19.688,19.844,230999
225,2000-11-21,19.906,21.0,19.906,20.62,562200
226,2000-11-22,20.81,20.91,20.4,20.78,228317
227,2000-11-24,20.73,21.11,20.45,21.08,142896
228,2000-11-27,21.22,21.22,20.72,20.94,484473
229,2000-11-28,20.89,21.02,20.17,20.2,319155
230,2000-11-29,20.2,20.27,19.11,19.672,575453
231,2000-11-30,19.498,19.529,18.19,18.314,547210
232,2000-12-01,18.328,19.391,18.328,19.079,847088
233,2000-12-04,19.375,20.03,19.375,19.75,590400
234,2000-12-05,19.484,19.766,18.985,19.11,685945
235,2000-12-06,19.297,19.484,19.172,19.297,878114
236,2000-12-07,19.329,19.548,18.796,18.922,566215
237,2000-12-08,18.905,18.905,18.22,18.438,852847
238,2000-12-11,18.53,19.751,18.53,19.375,867172
239,2000-12-12,19.406,20.5,19.406,20.41,461401
240,2000-12-13,20.58,20.58,20.2,20.27,376116
241,2000-12-14,20.28,20.28,18.78,19.031,444681
242,2000-12-15,19.092,19.66,19.092,19.313,468167
243,2000-12-18,19.486,20.61,19.486,20.55,832330
244,2000-12-19,20.53,21.06,20.38,20.84,509997
245,2000-12-20,20.72,20.72,19.626,19.751,415437
246,2000-12-21,19.532,19.843,19.345,19.625,390835
247,2000-12-22,19.688,20.4,19.688,20.31,145858
248,2000-12-26,20.44,22.65,20.44,22.47,487236
249,2000-12-27,22.44,23.15,21.95,23.0,732932
250,2000-12-28,23.47,24.72,23.22,24.25,1018321
251,2000-12-29,24.25,24.53,23.25,23.69,559464
252,2001-01-02,23.62,23.87,22.87,22.91,517002
253,2001-01-03,22.84,22.84,21.53,22.0,495180
254,2001-01-04,22.05,22.55,20.24,20.27,518568
255,2001-01-05,20.56,21.32,20.34,20.5,1595867
256,2001-01-08,20.64,21.36,20.52,21.2,1300017
257,2001-01-09,21.41,21.78,21.0,21.31,609789
258,2001-01-10,21.28,21.62,21.19,21.5,515200
259,2001-01-11,21.62,21.81,21.41,21.78,596204
260,2001-01-12,21.69,21.72,21.37,21.53,355400
261,2001-01-16,21.52,21.52,20.86,20.86,746936
262,2001-01-17,20.92,20.92,18.857,19.045,940796
263,2001-01-18,19.203,19.265,17.173,17.735,2848953
264,2001-01-19,17.797,18.203,17.36,17.86,1141188
265,2001-01-22,17.875,18.125,17.75,17.875,1296600
266,2001-01-23,17.891,17.984,17.64,17.859,1557639
267,2001-01-24,17.875,18.313,17.782,18.063,1687363
268,2001-01-25,18.25,18.625,18.25,18.469,1100330
269,2001-01-26,18.673,18.767,17.796,17.952,949738
270,2001-01-29,18.045,18.236,17.695,17.705,682452
271,2001-01-30,17.0,17.45,16.975,17.195,777400
272,2001-01-31,17.247,17.292,16.243,16.753,2054708
273,2001-02-01,16.807,16.928,16.511,16.923,997088
274,2001-02-02,16.894,18.041,16.894,17.936,933660
275,2001-02-05,18.1,18.55,17.995,18.015,1045400
276,2001-02-06,18.26,18.675,18.03,18.435,622147
277,2001-02-07,18.462,19.068,18.462,18.648,533944
278,2001-02-08,18.665,19.04,18.62,18.735,476625
279,2001-02-09,18.648,19.372,18.648,19.262,509856
280,2001-02-12,19.513,19.513,18.887,19.222,512669
281,2001-02-13,19.16,19.785,19.135,19.655,407707
282,2001-02-14,19.702,19.802,19.228,19.303,567556
283,2001-02-15,19.2,19.275,18.0,18.35,1551800
284,2001-02-16,18.465,18.939,18.465,18.665,713944
285,2001-02-20,18.64,18.76,18.205,18.56,383506
286,2001-02-21,18.625,18.87,18.25,18.27,560000
