Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2005-06-02,4.25,4.3,4.1,4.1,6500
1.0,2005-06-03,4.1,4.1,4.1,4.1,1500
2.0,2005-06-06,4.25,4.35,4.25,4.35,1400
3.0,2005-06-07,4.5,4.5,4.35,4.35,2100
4.0,2005-06-08,4.5,4.5,4.5,4.5,100
5.0,2005-06-09,4.5,4.5,4.3,4.3,1000
6.0,2005-06-13,4.25,4.25,4.1,4.17,1400
7.0,2005-06-14,4.05,4.05,4.05,4.05,200
8.0,2005-06-15,4.1,4.34,4.1,4.34,1900
9.0,2005-06-16,4.4,4.6,4.26,4.6,7400
10.0,2005-06-17,4.55,4.75,4.55,4.73,8700
11.0,2005-06-20,4.73,4.75,4.56,4.56,6600
12.0,2005-06-21,4.6,4.6,4.6,4.6,4200
13.0,2005-06-22,4.5,4.63,4.5,4.59,6000
14.0,2005-06-23,4.6,4.65,4.6,4.65,800
15.0,2005-06-24,4.64,4.68,4.64,4.67,7000
16.0,2005-06-27,4.75,4.75,4.75,4.75,300
17.0,2005-06-28,4.65,4.65,4.65,4.65,100
18.0,2005-06-29,4.65,4.65,4.62,4.62,3000
19.0,2005-06-30,4.65,4.65,4.65,4.65,2000
20.0,2005-07-05,4.5,4.5,4.32,4.4,6900
21.0,2005-07-06,4.35,4.35,4.27,4.27,1200
22.0,2005-07-08,4.4,4.4,4.4,4.4,100
23.0,2005-07-11,4.4,4.45,4.4,4.45,1900
24.0,2005-07-13,4.47,4.47,4.47,4.47,900
25.0,2005-07-14,4.47,4.47,4.47,4.47,500
26.0,2005-07-15,4.4,4.46,4.4,4.4,6100
27.0,2005-07-18,4.4,4.45,4.4,4.45,700
28.0,2005-07-19,4.4,4.4,4.4,4.4,1000
29.0,2005-07-20,4.5,4.5,4.45,4.45,1200
30.0,2005-07-21,4.5,4.55,4.5,4.55,1400
31.0,2005-07-22,4.5,4.5,4.5,4.5,1000
32.0,2005-07-26,4.46,4.9,4.45,4.45,18600
33.0,2005-07-27,4.35,4.4,4.28,4.4,7400
34.0,2005-07-28,4.39,4.39,4.39,4.39,500
35.0,2005-07-29,4.4,4.5,4.4,4.5,5200
36.0,2005-08-02,4.55,4.6,4.52,4.6,2300
37.0,2005-08-04,4.41,4.42,4.41,4.42,500
38.0,2005-08-05,4.45,4.6,4.45,4.6,600
39.0,2005-08-08,4.55,4.6,4.55,4.6,1500
40.0,2005-08-09,4.55,4.55,4.42,4.42,10000
41.0,2005-08-10,4.45,4.7,4.41,4.6,6500
42.0,2005-08-11,4.7,4.8,4.64,4.64,6300
43.0,2005-08-12,4.64,4.75,4.64,4.75,1500
44.0,2005-08-15,4.65,4.65,4.55,4.55,2300
45.0,2005-08-16,4.6,4.71,4.6,4.7,1400
46.0,2005-08-17,4.65,4.75,4.65,4.65,3200
47.0,2005-08-18,4.6,4.6,4.6,4.6,500
48.0,2005-08-19,4.54,4.55,4.5,4.5,3300
49.0,2005-08-22,4.54,4.54,4.15,4.46,7200
50.0,2005-08-23,4.5,4.5,4.5,4.5,500
51.0,2005-08-24,4.55,4.55,4.5,4.51,4100
52.0,2005-08-25,4.55,4.69,4.55,4.65,4000
53.0,2005-08-26,4.7,4.74,4.66,4.74,2900
54.0,2005-08-30,4.74,4.74,4.63,4.74,1500
55.0,2005-08-31,4.74,4.8,4.74,4.8,1600
56.0,2005-09-01,4.85,4.85,4.85,4.85,1000
57.0,2005-09-02,4.9,4.9,4.8,4.8,1200
58.0,2005-09-06,4.8,4.8,4.8,4.8,1500
