Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2016-03-08,70.9,70.9,69.0,69.0,100
1.0,2016-03-14,66.5,68.0,65.7,68.0,80
2.0,2016-03-15,74.9,75.9,73.9,75.0,1070
3.0,2016-03-16,77.0,84.0,77.0,83.9,1330
4.0,2016-03-17,81.5,83.4,77.5,79.93,1390
5.0,2016-03-18,80.17,80.3,79.41,79.41,100
6.0,2016-03-21,87.2,94.0,83.5,87.5,3830
7.0,2016-03-22,89.0,89.0,84.19,88.9,3120
8.0,2016-03-23,86.6,88.6,83.9,83.9,2710
9.0,2016-03-24,84.79,85.0,83.4,84.89,280
10.0,2016-03-28,87.9,87.9,77.5,83.6,940
11.0,2016-03-29,81.5,81.8,81.5,81.6,110
12.0,2016-03-30,77.5,81.4,77.5,80.1,700
13.0,2016-03-31,76.1,88.0,76.1,84.69,1090
14.0,2016-04-01,80.4,84.0,72.4,81.99,1030
15.0,2016-04-04,83.4,83.4,83.4,83.4,170
16.0,2016-04-05,81.5,83.0,81.0,81.0,100
17.0,2016-04-06,80.92,82.0,80.92,81.6,120
18.0,2016-04-07,83.2,83.9,82.0,83.4,180
19.0,2016-04-08,84.19,84.2,81.6,82.01,500
20.0,2016-04-11,80.0,82.5,77.8,80.3,2920
21.0,2016-04-12,78.9,80.3,76.5,78.0,6110
22.0,2016-04-13,77.0,77.9,76.2,77.6,510
23.0,2016-04-14,75.6,78.4,75.6,76.9,3010
24.0,2016-04-18,78.8,78.9,78.43,78.9,300
25.0,2016-04-19,81.0,82.0,78.5,78.5,440
26.0,2016-04-20,78.5,78.5,77.5,77.5,310
27.0,2016-04-21,76.4,76.4,76.2,76.3,120
28.0,2016-04-22,76.2,76.4,76.2,76.3,170
29.0,2016-04-25,74.2,74.81,73.0,73.0,650
30.0,2016-04-27,75.5,77.8,75.5,76.8,330
31.0,2016-04-28,77.9,77.9,70.0,73.8,150
32.0,2016-04-29,77.4,77.4,73.2,73.9,110
33.0,2016-05-02,75.2,75.2,72.8,73.5,60
34.0,2016-05-03,75.2,75.2,75.2,75.2,20
35.0,2016-05-06,72.3,72.6,72.14,72.6,40
36.0,2016-05-10,65.0,68.9,62.5,64.7,620
37.0,2016-05-11,72.4,72.4,67.4,67.4,400
38.0,2016-05-13,71.3,71.3,71.3,71.3,10
39.0,2016-05-16,67.4,67.5,62.14,66.0,460
40.0,2016-05-17,68.17,68.17,65.4,65.4,80
41.0,2016-05-18,66.8,66.8,64.5,65.3,1060
42.0,2016-05-19,66.21,66.7,65.5,65.5,430
43.0,2016-05-20,65.8,65.8,65.1,65.1,60
44.0,2016-05-23,69.2,70.2,69.2,70.2,100
45.0,2016-05-24,68.7,70.1,67.6,70.1,80
46.0,2016-05-25,79.8,81.9,78.0,80.8,1200
47.0,2016-05-26,79.0,80.0,77.1,79.0,1350
48.0,2016-05-27,79.8,81.9,78.5,78.5,970
49.0,2016-05-31,76.8,76.8,75.0,75.0,390
50.0,2016-06-01,72.7,72.7,71.44,71.49,190
