,DateTime,Open,High,Low,Close,Volume
0,2000-03-30,15.0,15.5,15.0,15.5,1600
1,2000-03-31,15.5,15.5,15.5,15.5,100
2,2000-04-03,15.5,15.5,15.5,15.5,3700
3,2000-04-04,15.0,15.5,15.0,15.5,4800
4,2000-04-05,15.0,15.0,15.0,15.0,1100
5,2000-04-07,14.75,15.5,14.5,15.44,17200
6,2000-04-12,15.0,15.0,15.0,15.0,100
7,2000-04-13,15.0,15.0,15.0,15.0,900
8,2000-04-14,15.0,15.0,15.0,15.0,1600
9,2000-04-17,15.0,16.0,14.5,16.0,4200
10,2000-04-19,15.0,16.0,14.0,16.0,2200
11,2000-04-20,14.0,16.0,14.0,15.0,5200
12,2000-04-25,14.0,15.0,13.0,13.0,6700
13,2000-04-26,12.5,13.5,12.5,13.5,14000
14,2000-04-27,14.5,14.5,14.5,14.5,1400
15,2000-04-28,14.0,14.0,14.0,14.0,3700
16,2000-05-02,12.5,15.0,12.5,15.0,4300
17,2000-05-04,12.75,14.0,12.75,14.0,600
18,2000-05-05,13.98,13.98,13.98,13.98,300
19,2000-05-09,12.5,12.5,12.5,12.5,200
20,2000-05-10,14.0,14.0,14.0,14.0,100
21,2000-05-12,14.0,14.0,13.94,14.0,14400
22,2000-05-17,13.75,13.75,13.75,13.75,300
23,2000-05-18,12.5,14.0,12.5,14.0,300
24,2000-05-22,13.75,13.75,13.75,13.75,2900
25,2000-05-23,13.75,13.75,13.75,13.75,4300
26,2000-05-24,12.5,13.0,12.5,12.5,4800
27,2000-05-25,12.5,12.5,12.5,12.5,50400
28,2000-05-26,12.5,12.75,12.5,12.5,9300
29,2000-05-30,12.5,12.5,12.5,12.5,2700
30,2000-05-31,12.5,12.5,12.5,12.5,400
31,2000-06-02,12.75,12.75,12.75,12.75,1600
32,2000-06-07,12.94,13.0,12.94,13.0,21300
33,2000-06-08,13.75,13.75,13.75,13.75,400
34,2000-06-09,13.75,13.75,13.75,13.75,100
35,2000-06-12,13.75,13.75,13.75,13.75,2900
36,2000-06-13,13.75,14.0,13.75,14.0,400
37,2000-06-14,14.0,14.0,14.0,14.0,300
38,2000-06-15,14.0,14.0,14.0,14.0,200
39,2000-06-16,12.5,14.0,12.5,14.0,1200
40,2000-06-19,14.0,14.0,13.97,14.0,10500
41,2000-06-20,14.0,14.0,13.25,13.25,2100
42,2000-06-21,13.25,14.0,13.25,14.0,2000
43,2000-06-22,13.5,13.62,13.5,13.62,9900
44,2000-06-23,13.25,13.5,13.0,13.5,11100
45,2000-06-26,13.5,14.0,13.5,14.0,1400
46,2000-06-27,14.0,14.0,13.5,13.5,5300
47,2000-06-28,13.75,13.75,13.62,13.62,500
48,2000-06-29,13.75,13.75,13.5,13.75,2500
49,2000-06-30,13.75,14.0,13.75,14.0,7200
50,2000-07-03,14.0,14.0,14.0,14.0,5400
51,2000-07-05,13.5,13.5,13.5,13.5,7400
52,2000-07-06,13.75,13.75,13.5,13.5,600
53,2000-07-07,13.5,13.5,13.5,13.5,400
