Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2003-09-10,18.05,18.15,17.95,18.09,407000
1.0,2003-09-11,18.1,18.16,18.06,18.06,129100
2.0,2003-09-12,17.96,18.15,17.94,18.1,162600
3.0,2003-09-15,18.15,18.18,17.96,18.13,236700
4.0,2003-09-16,18.01,18.13,17.93,18.1,378600
5.0,2003-09-17,18.12,18.12,17.84,17.94,500100
6.0,2003-09-18,17.84,18.06,17.8,18.01,430300
7.0,2003-09-19,18.01,18.19,17.87,18.14,408700
8.0,2003-09-22,18.12,18.31,17.95,18.24,293900
9.0,2003-09-23,18.25,18.35,18.2,18.28,447400
10.0,2003-09-24,18.2,18.2,18.0,18.0,371400
11.0,2003-09-25,17.95,18.12,17.95,18.03,764400
12.0,2003-09-26,18.02,18.1,18.0,18.05,465600
13.0,2003-09-29,18.05,18.11,17.98,18.1,561000
14.0,2003-09-30,18.05,18.09,17.86,17.92,545900
15.0,2003-10-01,17.98,18.14,17.88,18.12,375400
16.0,2003-10-02,18.2,18.4,18.0,18.4,354800
17.0,2003-10-03,18.47,18.65,18.24,18.31,455000
18.0,2003-10-06,18.29,18.732,18.29,18.73,277600
19.0,2003-10-07,18.73,18.83,18.6,18.75,434200
20.0,2003-10-08,18.79,18.95,18.7,18.76,547000
21.0,2003-10-09,18.75,19.02,18.75,18.86,986500
22.0,2003-10-10,18.9,19.01,18.88,18.93,663800
23.0,2003-10-13,18.88,18.94,18.83,18.85,239200
24.0,2003-10-14,18.8,18.91,18.79,18.87,734100
25.0,2003-10-15,18.88,18.88,18.7,18.79,2021400
26.0,2003-10-16,18.8,18.86,18.79,18.8,711500
27.0,2003-10-17,18.78,18.8,18.65,18.7,380200
28.0,2003-10-20,18.7,18.9,18.7,18.79,727900
29.0,2003-10-21,18.4,18.7,18.29,18.6,1069200
30.0,2003-10-22,18.6,18.75,18.55,18.73,557800
31.0,2003-10-23,18.76,18.91,18.65,18.86,625900
32.0,2003-10-24,18.86,19.1,18.84,19.01,554500
33.0,2003-10-27,19.5,19.5,19.2,19.27,723900
34.0,2003-10-28,19.17,19.3,19.03,19.27,559000
35.0,2003-10-29,19.17,19.35,19.01,19.15,575500
36.0,2003-10-30,19.2,19.27,19.13,19.2,698000
37.0,2003-10-31,19.19,19.19,18.8,18.84,631000
38.0,2003-11-03,18.84,19.2,18.84,19.11,836039
39.0,2003-11-04,19.12,19.18,19.0,19.05,499054
40.0,2003-11-05,19.14,19.15,18.98,18.99,1047100
41.0,2003-11-06,18.88,19.05,18.88,19.05,710600
42.0,2003-11-07,19.0,19.35,19.0,19.1,739500
43.0,2003-11-10,19.13,19.2,19.0,19.14,679000
44.0,2003-11-11,19.0,19.2,19.0,19.12,604200
45.0,2003-11-12,19.15,19.35,19.12,19.27,689200
46.0,2003-11-13,19.27,19.46,19.24,19.41,945200
47.0,2003-11-14,19.45,19.47,19.31,19.35,483800
48.0,2003-11-17,19.3,19.3,19.11,19.19,706700
49.0,2003-11-18,19.12,19.29,18.9,18.91,694300
50.0,2003-11-19,18.85,19.06,18.8,18.91,889700
51.0,2003-11-20,18.91,18.98,18.71,18.74,502800
52.0,2003-11-21,18.75,18.75,18.58,18.64,568200
53.0,2003-11-24,18.65,19.39,18.65,19.28,918400
54.0,2003-11-25,19.85,19.89,19.6,19.6,1684200
55.0,2003-11-26,19.7,19.7,19.5,19.53,1211900
56.0,2003-11-28,19.6,19.95,19.59,19.95,232800
57.0,2003-12-01,19.83,19.97,19.82,19.9,590500
58.0,2003-12-02,19.7,19.94,19.63,19.65,1094200
59.0,2003-12-03,19.78,19.87,19.7,19.87,367700
60.0,2003-12-04,19.78,19.98,19.62,19.84,675300
61.0,2003-12-05,19.7,19.85,19.45,19.64,776100
62.0,2003-12-08,19.6,19.89,19.6,19.85,419900
63.0,2003-12-09,19.65,19.65,19.34,19.42,814500
64.0,2003-12-10,19.3,19.52,19.26,19.36,723200
65.0,2003-12-11,19.22,19.57,19.22,19.48,664900
66.0,2003-12-12,19.54,19.68,19.43,19.57,361500
67.0,2003-12-15,19.65,19.7,19.44,19.52,588100
68.0,2003-12-16,19.35,19.55,19.35,19.5,758400
69.0,2003-12-17,19.41,19.45,19.22,19.37,506700
