Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2015-10-05,18.77,18.9,18.05,18.69,307000
1.0,2015-10-06,19.36,19.58,15.01,16.68,1137800
2.0,2015-10-07,16.56,16.675,15.34,15.94,397500
3.0,2015-10-08,17.98,19.87,17.32,18.94,2945700
4.0,2015-10-09,19.65,21.96,19.1,21.02,1760700
5.0,2015-10-12,22.89,27.398,21.85,25.88,2133600
6.0,2015-10-13,25.5,30.89,24.67,27.6,2226600
7.0,2015-10-14,27.49,27.5,24.811,25.45,1324700
8.0,2015-10-15,26.31,26.51,25.5,25.87,427200
9.0,2015-10-16,25.7,26.05,23.55,25.98,563200
10.0,2015-10-19,26.0,26.28,23.04,23.21,558700
11.0,2015-10-20,23.14,23.4,19.76,19.87,804200
12.0,2015-10-21,20.25,20.7,19.734,20.2,314200
13.0,2015-10-22,20.6,20.663,19.05,19.15,285800
14.0,2015-10-23,19.15,19.93,19.15,19.52,239200
15.0,2015-10-26,20.85,20.976,19.91,20.58,350300
16.0,2015-10-27,21.0,25.59,21.0,23.87,1088100
17.0,2015-10-28,24.97,25.88,22.79,24.2,534000
18.0,2015-10-29,24.69,25.15,22.7,22.85,239300
19.0,2015-10-30,23.69,23.69,22.25,22.47,83700
20.0,2015-11-02,22.47,24.38,22.47,23.83,381200
21.0,2015-11-03,24.12,26.75,24.015,26.04,594900
22.0,2015-11-04,26.26,26.85,25.0,26.31,257300
23.0,2015-11-05,26.3,26.77,25.751,26.24,107400
24.0,2015-11-06,26.0,26.3,24.32,25.68,278900
25.0,2015-11-09,25.06,26.17,24.5,24.83,105300
26.0,2015-11-10,24.5,24.85,23.251,24.08,134600
27.0,2015-11-11,23.92,24.1,21.5,22.35,366300
28.0,2015-11-12,21.89,23.4,21.8,22.7,139300
29.0,2015-11-13,22.41,23.5,22.36,22.8,151800
30.0,2015-11-16,22.85,22.85,21.51,21.94,98000
31.0,2015-11-17,22.02,23.75,22.0,22.34,121200
32.0,2015-11-18,22.34,22.91,21.75,22.69,94300
33.0,2015-11-19,22.82,22.86,22.02,22.41,99000
34.0,2015-11-20,22.25,22.63,22.0,22.04,251500
35.0,2015-11-23,25.2,25.74,23.64,24.9,719200
36.0,2015-11-24,25.17,25.17,23.9,23.91,189100
37.0,2015-11-25,23.74,24.45,23.56,23.65,81400
38.0,2015-11-27,23.73,25.0,23.69,24.99,94700
39.0,2015-11-30,25.0,25.37,23.84,24.35,143700
40.0,2015-12-01,24.37,24.53,23.17,24.07,138600
41.0,2015-12-02,24.53,24.98,23.86,24.06,181400
42.0,2015-12-03,24.32,24.4,23.74,24.01,75500
43.0,2015-12-04,23.88,25.5,23.3,24.82,528400
