,DateTime,Open,High,Low,Close,Volume
0,2015-02-12,17.5,17.83,16.59,17.14,6611933
1,2015-02-13,17.24,17.74,17.05,17.57,351421
2,2015-02-17,18.18,19.97,17.86,19.97,225050
3,2015-02-18,20.65,21.85,20.2,21.8,259537
4,2015-02-19,22.2,22.35,19.44,19.91,237959
5,2015-02-20,19.92,21.0,19.56,20.44,107114
6,2015-02-23,20.3,20.67,19.415,19.83,135161
7,2015-02-24,19.38,19.97,18.0,18.51,155826
8,2015-02-25,18.68,19.0,18.3108,18.75,46170
9,2015-02-26,18.95,19.25,18.67,18.88,84588
10,2015-02-27,18.68,19.6384,18.33,18.83,95857
11,2015-03-02,18.89,19.35,18.34,18.89,96019
12,2015-03-03,18.98,20.4972,18.98,20.21,160714
13,2015-03-04,20.03,20.3772,19.66,19.98,172381
14,2015-03-05,19.8,20.0,18.23,18.27,156315
15,2015-03-06,18.51,19.14,18.32,18.69,237143
16,2015-03-09,18.63,18.63,17.5,17.54,198302
17,2015-03-10,17.5,17.8175,17.06,17.52,177440
18,2015-03-11,18.38,19.2,17.37,17.52,514089
19,2015-03-12,17.64,17.8,16.91,17.19,195722
20,2015-03-13,17.25,17.8595,17.25,17.7,92641
21,2015-03-16,18.09,18.11,17.165,17.76,140987
22,2015-03-17,17.65,18.87,17.65,18.2,132201
23,2015-03-18,18.09,19.53,17.8601,19.4,224409
24,2015-03-19,19.52,21.81,18.4,18.47,284445
25,2015-03-20,18.6,19.0,17.29,18.52,306054
26,2015-03-23,18.45,19.25,18.08,18.9,99119
27,2015-03-24,18.79,19.99,18.5201,19.5,146214
28,2015-03-25,19.38,19.67,17.5,17.81,81631
29,2015-03-26,17.84,17.88,17.3,17.45,89675
30,2015-03-27,17.47,17.98,16.3,16.82,264257
31,2015-03-30,17.08,17.57,16.91,17.09,110669
32,2015-03-31,17.29,17.6,16.34,17.06,805519
33,2015-04-01,16.79,16.95,15.83,16.02,221842
34,2015-04-02,16.15,16.3899,15.83,16.08,166048
35,2015-04-06,16.02,17.03,16.02,17.0,119789
36,2015-04-07,17.0,17.43,16.59,16.69,57191
37,2015-04-08,16.85,17.08,16.7,17.0199,37989
38,2015-04-09,16.97,17.15,16.52,16.56,27689
39,2015-04-10,16.57,16.87,16.19,16.83,35916
40,2015-04-13,16.79,17.4,16.76,16.85,55921
41,2015-04-14,16.87,16.96,16.45,16.83,85383
42,2015-04-15,16.79,17.15,16.55,17.07,89297
43,2015-04-16,17.16,17.4,16.96,17.11,61881
44,2015-04-17,16.99,16.99,16.155,16.4,71660
45,2015-04-20,16.41,16.59,15.72,15.89,50894
46,2015-04-21,15.89,15.89,13.7,13.88,299018
47,2015-04-22,13.9,14.0,12.68,12.75,196082
48,2015-04-23,12.64,13.01,12.0,12.84,55624
49,2015-04-24,12.88,13.28,12.74,13.19,38961
50,2015-04-27,13.16,13.49,11.585,11.77,118565
51,2015-04-28,11.89,11.89,11.0,11.14,79002
52,2015-04-29,11.29,11.34,10.86,11.26,86168
53,2015-04-30,11.22,11.25,10.5,10.99,163117
54,2015-05-01,11.0,11.39,10.98,11.3,52256
55,2015-05-04,11.4,11.735,11.22,11.35,40941
56,2015-05-05,11.38,11.54,11.25,11.45,46144
57,2015-05-06,11.85,12.56,11.6,12.09,96441
58,2015-05-07,12.28,12.49,11.47,11.67,48483
59,2015-05-08,11.77,12.66,11.6,12.57,62754
60,2015-05-11,12.67,12.7057,11.878,11.92,68760
61,2015-05-12,11.72,12.59,11.711,12.56,58627
62,2015-05-13,12.46,12.55,11.37,12.4203,187616
63,2015-05-14,13.72,14.71,13.08,13.98,204389
64,2015-05-15,14.09,14.25,13.255,13.53,193639
65,2015-05-18,13.58,15.8,13.552,15.39,189866
66,2015-05-19,15.87,16.02,14.8,14.99,219100
67,2015-05-20,14.95,15.5,14.75,14.87,145329
68,2015-05-21,14.9,15.17,14.22,14.6,184917
69,2015-05-22,14.39,14.52,13.37,13.77,97961
70,2015-05-26,13.83,14.244,13.36,13.58,140813
71,2015-05-27,13.63,14.02,12.2,13.03,247636
72,2015-05-28,12.99,13.03,12.45,12.86,102569
73,2015-05-29,12.84,13.078,12.31,12.44,72933
74,2015-06-01,12.54,12.92,12.36,12.71,161529
75,2015-06-02,12.78,13.28,12.53,13.055,126290
76,2015-06-03,13.11,14.662,13.01,14.48,226199
77,2015-06-04,14.5,14.74,13.7162,13.99,152389
78,2015-06-05,14.03,14.465,13.32,14.0,141898
79,2015-06-08,14.06,14.89,14.06,14.83,135844
80,2015-06-09,14.88,14.89,14.01,14.1,94016
81,2015-06-10,14.17,15.4,14.16,14.73,157516
82,2015-06-11,15.01,15.72,14.85,15.53,102944
83,2015-06-12,15.45,15.78,14.9,15.2,79405
84,2015-06-15,15.2,15.6,15.05,15.3,56203
85,2015-06-16,15.38,15.78,14.565,14.72,74159
86,2015-06-17,14.75,15.16,14.37,15.1,84178
87,2015-06-18,15.4,16.39,14.77,14.83,161163
88,2015-06-19,14.9,15.189,14.04,14.16,305094
89,2015-06-22,14.4,14.9871,13.97,14.97,78398
90,2015-06-23,14.9,15.43,14.84,15.36,67099
91,2015-06-24,15.33,15.47,14.87,15.19,67874
92,2015-06-25,15.06,15.25,14.9,15.02,80710
93,2015-06-26,14.99,15.11,14.76,15.01,97499
94,2015-06-29,14.76,14.9,14.51,14.58,65065
95,2015-06-30,14.76,15.04,14.56,14.88,28958
96,2015-07-01,15.0,15.165,14.93,15.07,50154
97,2015-07-02,15.1,15.34,14.76,15.08,62149
98,2015-07-06,14.79,15.42,14.6718,15.4,81142
99,2015-07-07,15.48,15.48,14.8101,14.92,74280
100,2015-07-08,14.71,14.89,13.8317,14.0,97012
101,2015-07-09,14.13,14.13,12.93,13.06,98245
102,2015-07-10,13.1,13.48,13.1,13.2,32808
103,2015-07-13,13.2,13.31,12.61,13.03,136577
104,2015-07-14,12.82,13.26,12.57,13.09,90465
105,2015-07-15,12.94,13.284,12.33,12.79,172717
106,2015-07-16,12.79,13.115,12.12,12.37,97024
107,2015-07-17,12.26,12.54,12.18,12.47,47420
108,2015-07-20,12.46,12.5,12.04,12.29,73220
109,2015-07-21,12.24,12.43,11.66,11.99,155338
110,2015-07-22,13.28,13.28,11.52,11.62,128378
111,2015-07-23,11.51,11.6001,11.0,11.23,107698
112,2015-07-24,11.15,11.24,10.52,10.54,142924
113,2015-07-27,10.45,10.73,10.23,10.4,105218
114,2015-07-28,10.44,10.66,10.2,10.36,53619
115,2015-07-29,10.37,10.56,9.93,9.97,112160
116,2015-07-30,9.91,10.0,9.7,9.73,88461
117,2015-07-31,9.78,10.55,9.68,9.96,64498
118,2015-08-03,10.0,10.4,9.63,9.91,89212
119,2015-08-04,9.85,10.18,9.54,9.9,58746
120,2015-08-05,9.83,10.01,9.51,9.61,80002
121,2015-08-06,9.52,9.91,8.49,9.0,278059
122,2015-08-07,8.11,10.55,8.11,10.06,273185
123,2015-08-10,10.08,10.24,9.32,9.46,279767
124,2015-08-11,8.88,9.4099,8.61,8.98,318802
125,2015-08-12,8.79,9.32,8.45,8.995,463991
126,2015-08-13,8.93,9.205,8.74,8.84,358346
127,2015-08-14,8.97,9.188,8.555,8.7,313951
128,2015-08-17,8.6,9.44,8.43,8.83,129405
129,2015-08-18,8.84,9.09,8.48,8.5,188797
130,2015-08-19,8.46,9.0,8.36,8.84,177534
131,2015-08-20,8.84,8.89,8.35,8.52,128135
132,2015-08-21,8.22,8.71,8.02,8.59,273828
133,2015-08-24,8.0,8.68,8.0,8.59,213267
134,2015-08-25,8.8,8.93,8.44,8.77,207535
135,2015-08-26,8.92,9.175,8.5,9.16,108169
136,2015-08-27,9.2,9.46,8.89,9.44,109567
137,2015-08-28,10.05,11.68,9.46,10.88,247559
138,2015-08-31,10.92,10.92,10.12,10.2,138258
139,2015-09-01,10.02,10.14,9.71,9.822,113766
140,2015-09-02,9.91,9.91,9.21,9.69,89856
141,2015-09-03,9.79,9.8,9.47,9.78,135829
142,2015-09-04,9.71,10.59,9.6,10.55,103885
143,2015-09-08,10.66,11.35,10.36,10.85,294632
144,2015-09-09,10.86,11.18,10.56,10.94,144532
145,2015-09-10,10.89,11.03,10.4,11.0,105845
146,2015-09-11,10.99,11.18,10.67,11.06,68726
147,2015-09-14,11.0,11.225,10.79,10.98,88390
148,2015-09-15,11.0,11.28,10.92,11.0,76424
149,2015-09-16,11.0,11.01,9.83,10.33,202641
150,2015-09-17,10.37,10.83,10.1401,10.365,85785
151,2015-09-18,10.26,10.38,9.9501,10.3,395660
152,2015-09-21,10.41,10.86,10.19,10.57,126274
153,2015-09-22,10.45,10.45,9.84,10.24,172883
154,2015-09-23,10.31,10.31,9.8401,9.97,93805
155,2015-09-24,9.86,10.02,9.08,9.29,161781
156,2015-09-25,9.33,9.33,8.21,8.35,301404
157,2015-09-28,8.3,8.3,6.68,6.96,438427
158,2015-09-29,6.92,7.1,6.58,7.07,264161
159,2015-09-30,7.15,7.35,6.83,7.23,137954
160,2015-10-01,7.23,7.43,6.72,7.01,90672
161,2015-10-02,6.88,7.42,6.855,7.39,121748
162,2015-10-05,7.43,7.73,7.25,7.37,49771
163,2015-10-06,7.33,7.45,6.78,7.19,461011
164,2015-10-07,7.18,7.93,6.97,7.92,97405
165,2015-10-08,7.88,8.0,7.48,7.86,93162
166,2015-10-09,7.83,8.23,7.73,7.98,51176
167,2015-10-12,7.99,8.28,7.82,8.23,59476
168,2015-10-13,8.17,8.57,8.14,8.2201,87767
169,2015-10-14,8.25,8.53,8.2401,8.39,70084
170,2015-10-15,8.4,9.26,8.4,9.25,64069
171,2015-10-16,9.32,9.63,8.99,9.63,83026
172,2015-10-19,9.59,10.096,9.53,9.65,73920
173,2015-10-20,9.6,9.6,9.17,9.24,61137
174,2015-10-21,9.31,9.47,8.85,8.91,87086
175,2015-10-22,8.97,9.27,8.65,8.91,62545
176,2015-10-23,8.98,9.3,8.72,8.9,49916
177,2015-10-26,8.88,9.1,8.67,8.86,42356
178,2015-10-27,8.88,9.08,8.69,8.94,43646
179,2015-10-28,8.9,9.0,8.55,8.99,341480
180,2015-10-29,9.09,9.32,8.0,8.01,86789
181,2015-10-30,8.07,8.13,7.56,7.61,65242
182,2015-11-02,7.68,8.35,7.68,8.09,110646
183,2015-11-03,8.12,8.91,8.0,8.64,85506
184,2015-11-04,8.69,8.94,8.4,8.47,108456
185,2015-11-05,8.55,8.66,7.67,7.68,207449
186,2015-11-06,7.21,8.52,6.93,8.114,194724
187,2015-11-09,8.16,8.16,7.67,7.81,80485
188,2015-11-10,7.83,7.83,7.07,7.2,158830
189,2015-11-11,7.26,7.3666,6.68,6.75,212338
190,2015-11-12,6.885,7.29,6.52,6.79,220261
191,2015-11-13,6.75,6.85,6.57,6.62,84313
192,2015-11-16,6.62,6.825,6.465,6.76,101767
193,2015-11-17,6.6,6.87,6.46,6.53,112735
194,2015-11-18,6.51,6.85,6.5,6.79,239549
195,2015-11-19,6.72,6.945,6.5,6.75,176996
196,2015-11-20,6.74,7.17,6.7,6.95,399955
197,2015-11-23,7.0,7.7,6.86,7.14,407602
198,2015-11-24,7.16,7.6,7.09,7.4,123161
199,2015-11-25,7.43,7.88,7.43,7.7651,203209
200,2015-11-27,7.84,8.21,7.75,8.09,45064
201,2015-11-30,8.08,8.08,7.53,7.67,74300
202,2015-12-01,7.62,7.6499,7.21,7.53,89556
203,2015-12-02,7.54,7.68,7.27,7.31,61458
204,2015-12-03,7.32,7.355,7.11,7.17,90597
