Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2014-12-04,718.2,718.62,660.0,665.4,4412
1.0,2014-12-05,660.0,674.4,644.4,660.0,5295
2.0,2014-12-08,666.0,675.0,648.0,660.0,965
3.0,2014-12-09,645.0,667.2,645.0,660.0,437
4.0,2014-12-10,655.2,665.4,645.0,660.0,1873
5.0,2014-12-11,677.4,678.0,659.7,672.0,1488
6.0,2014-12-12,678.0,678.0,645.0,660.0,717
7.0,2014-12-15,663.6,674.88,644.4,660.0,1247
8.0,2014-12-16,651.0,661.2,615.0,660.06,1510
9.0,2014-12-17,658.2,663.0,630.3,660.0,1298
10.0,2014-12-18,646.8,664.8,630.0,660.0,1380
11.0,2014-12-19,660.0,663.0,651.6,660.0,663
12.0,2014-12-22,661.2,678.0,661.2,669.0,1975
13.0,2014-12-23,678.0,678.0,615.0,658.2,1757
14.0,2014-12-24,645.6,651.0,630.0,630.3,523
15.0,2014-12-26,631.8,645.0,628.8,645.0,1042
16.0,2014-12-29,658.8,662.82,633.6,652.8,530
17.0,2014-12-30,655.2,660.0,629.1,636.6,607
18.0,2014-12-31,637.8,660.0,632.4,660.0,413
19.0,2015-01-02,658.14,663.0,644.1,663.0,143
20.0,2015-01-05,678.0,748.2,675.0,708.0,2577
21.0,2015-01-06,718.2,741.0,631.2,655.2,1688
22.0,2015-01-07,648.0,695.4,648.0,657.6,772
23.0,2015-01-08,691.98,692.4,661.2,677.4,707
24.0,2015-01-09,673.2,688.2,663.18,673.2,403
25.0,2015-01-12,670.2,690.0,661.8,666.6,673
26.0,2015-01-13,672.6,677.4,628.8,650.4,1285
27.0,2015-01-14,652.8,659.4,636.0,640.2,555
28.0,2015-01-15,651.0,669.0,628.8,637.8,872
29.0,2015-01-16,648.0,648.0,616.2,621.6,868
30.0,2015-01-20,622.2,653.4,622.2,629.4,342
31.0,2015-01-21,624.0,636.0,559.2,577.8,647
32.0,2015-01-22,541.2,565.2,496.5,505.8,1278
33.0,2015-01-23,516.0,532.8,500.4,516.0,975
34.0,2015-01-26,528.0,585.0,501.0,501.0,1660
35.0,2015-01-27,511.8,569.4,462.0,468.6,2157
36.0,2015-01-28,486.0,509.7,422.4,426.6,2070
37.0,2015-01-29,444.0,495.0,433.8,483.6,1917
38.0,2015-01-30,480.6,526.08,465.24,507.24,970
39.0,2015-02-02,498.6,515.4,485.34,498.0,628
40.0,2015-02-03,495.0,498.0,459.0,459.6,797
41.0,2015-02-04,463.2,505.62,460.2,469.8,265
42.0,2015-02-05,488.4,492.0,466.2,478.8,415
43.0,2015-02-06,483.6,483.6,469.62,475.8,122
44.0,2015-02-09,487.2,501.0,468.0,501.0,342
45.0,2015-02-10,516.12,522.6,480.6,507.0,892
46.0,2015-02-11,506.4,519.0,491.4,517.8,507
47.0,2015-02-12,517.2,529.8,503.52,520.8,317
48.0,2015-02-13,505.2,524.4,501.6,516.6,447
49.0,2015-02-17,534.0,534.0,516.6,528.0,500
50.0,2015-02-18,554.4,554.4,517.86,520.2,262
51.0,2015-02-19,531.6,553.2,519.0,538.2,302
52.0,2015-02-20,539.52,576.0,517.2,576.0,513
53.0,2015-02-23,596.4,612.0,568.2,599.4,467
54.0,2015-02-24,627.6,627.6,583.5,598.2,192
55.0,2015-02-25,600.0,600.0,574.2,577.8,235
56.0,2015-02-26,621.6,621.84,582.0,597.6,368
57.0,2015-02-27,615.0,642.0,598.2,640.2,995
58.0,2015-03-02,660.0,660.6,636.0,658.8,302
59.0,2015-03-03,660.0,660.0,609.18,654.0,163
60.0,2015-03-04,643.8,645.0,615.6,639.0,335
61.0,2015-03-05,631.2,658.8,624.6,630.0,213
62.0,2015-03-06,625.2,645.0,621.0,621.0,323
63.0,2015-03-09,618.0,642.0,578.58,600.0,175
64.0,2015-03-10,609.0,609.0,593.4,595.2,117
65.0,2015-03-11,592.2,596.4,571.2,581.4,172
66.0,2015-03-12,588.78,595.8,574.2,585.0,247
67.0,2015-03-13,587.4,589.8,535.2,556.8,488
68.0,2015-03-16,573.0,622.8,525.6,599.4,297
69.0,2015-03-17,599.4,627.0,540.6,627.0,317
70.0,2015-03-18,619.2,657.6,591.0,625.8,322
71.0,2015-03-19,642.6,659.4,571.8,612.6,420
72.0,2015-03-20,613.8,649.2,570.6,570.6,937
73.0,2015-03-23,563.4,609.0,563.4,586.8,117
74.0,2015-03-24,592.8,599.4,582.0,588.3,302
75.0,2015-03-25,588.0,593.4,553.8,567.6,233
76.0,2015-03-26,570.0,570.0,510.6,526.8,153
77.0,2015-03-27,543.0,581.4,525.0,581.4,98
78.0,2015-03-30,563.4,579.6,543.0,548.7,112
79.0,2015-03-31,560.4,599.4,542.4,599.4,308
