,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,11.9375,12.0625,11.875,12.0,203900
1,2000-01-04,11.75,11.75,11.0625,11.0625,742900
2,2000-01-05,11.4375,11.5,11.125,11.375,343800
3,2000-01-06,11.3125,12.6875,11.25,12.5625,400600
4,2000-01-07,12.5,13.75,12.5,13.6875,733700
5,2000-01-10,13.625,13.875,12.9375,12.9375,349200
6,2000-01-11,13.0625,13.3125,13.0,13.1875,470000
7,2000-01-12,13.1875,13.25,12.8125,12.9375,218400
8,2000-01-13,13.0,13.1875,12.875,12.9375,264500
9,2000-01-14,12.9375,12.9375,12.4375,12.5,209700
10,2000-01-18,12.0,12.1875,11.9375,12.125,282900
11,2000-01-19,12.1875,12.25,12.0625,12.1875,296500
12,2000-01-20,12.125,12.125,11.625,11.875,598500
13,2000-01-21,11.875,11.875,11.5,11.5625,506900
14,2000-01-24,11.5625,11.625,11.0,11.0,382900
15,2000-01-25,11.0625,11.125,10.75,10.8125,289800
16,2000-01-26,10.875,10.875,9.0625,9.0625,1440000
17,2000-01-27,11.375,11.4375,10.625,10.8125,927000
18,2000-01-28,10.5,11.0,10.3125,10.375,890100
19,2000-01-31,10.4375,10.875,10.4375,10.625,398500
20,2000-02-01,10.5,10.6875,10.25,10.375,518800
21,2000-02-02,10.4375,10.5,10.125,10.1875,594800
22,2000-02-03,10.25,10.4375,10.0625,10.25,494300
23,2000-02-04,10.25,10.25,9.75,9.875,185800
24,2000-02-07,10.0,10.25,9.75,10.25,720100
25,2000-02-08,10.5,11.125,10.0,10.125,652300
26,2000-02-09,10.25,10.25,9.5,9.8125,784900
27,2000-02-10,9.8125,9.875,9.4375,9.5,557500
28,2000-02-11,9.25,9.75,8.625,9.125,942000
29,2000-02-14,9.375,9.5,9.25,9.4375,504500
30,2000-02-15,9.3125,9.375,9.25,9.3125,412100
31,2000-02-16,9.3125,9.875,9.3125,9.75,646800
32,2000-02-17,9.6875,10.4375,9.6875,10.0,655000
33,2000-02-18,10.0,10.375,9.8125,9.875,336800
34,2000-02-22,10.0,10.25,9.875,10.125,310500
35,2000-02-23,10.125,10.25,9.8125,10.0625,331100
36,2000-02-24,9.875,10.0,9.4375,9.6875,195600
37,2000-02-25,9.8125,9.9375,9.5,9.5625,348800
38,2000-02-28,9.625,9.6875,9.3125,9.625,471600
39,2000-02-29,9.625,9.75,9.3125,9.375,650400
40,2000-03-01,9.3125,9.375,8.75,9.1875,465800
41,2000-03-02,9.1875,9.5,9.125,9.1875,313100
42,2000-03-03,9.625,11.4375,9.625,10.875,767200
43,2000-03-06,11.0625,11.25,10.0625,10.25,1034500
44,2000-03-07,10.25,10.3125,10.0,10.125,309300
45,2000-03-08,10.125,11.25,10.0625,11.125,245800
46,2000-03-09,11.0625,11.125,10.5,10.75,241200
47,2000-03-10,10.6875,10.75,10.3125,10.4375,85500
48,2000-03-13,10.3125,10.6875,10.0625,10.625,190900
49,2000-03-14,10.625,11.125,10.4375,10.9375,294200
50,2000-03-15,10.9375,11.1875,10.875,11.125,295100
51,2000-03-16,11.25,11.25,11.0,11.125,420200
52,2000-03-17,11.0,11.3125,11.0,11.125,193800
53,2000-03-20,11.3125,11.375,11.0,11.0,192400
54,2000-03-21,11.125,11.3125,10.375,10.375,470100
55,2000-03-22,10.6875,12.3125,10.6875,12.125,540800
56,2000-03-23,12.125,12.5,11.625,11.6875,441100
57,2000-03-24,11.5625,11.8125,11.4375,11.5625,232500
58,2000-03-27,11.6875,11.75,11.375,11.5,175400
59,2000-03-28,11.5625,12.0,11.4375,11.875,545200
60,2000-03-29,12.0,12.1875,11.9375,12.125,429100
61,2000-03-30,12.0,12.125,11.625,12.0,261900
62,2000-03-31,12.0,12.125,11.6875,12.0625,495600
63,2000-04-03,12.0,12.5,11.875,12.4375,528300
64,2000-04-04,12.5,12.5625,11.5,12.125,379800
65,2000-04-05,11.9375,12.125,11.75,11.9375,508900
66,2000-04-06,11.875,12.25,11.8125,12.1875,459300
67,2000-04-07,12.125,12.3125,12.125,12.1875,281300
68,2000-04-10,12.25,12.4375,12.125,12.3125,205900
69,2000-04-11,12.3125,12.6875,12.25,12.5625,441500
70,2000-04-12,12.6875,12.8125,12.5,12.5625,226500
71,2000-04-13,12.5,14.5625,12.5,14.0625,1591100
72,2000-04-14,13.25,14.0,13.0,13.0625,708700
73,2000-04-17,12.5625,13.625,12.5,13.5,695200
74,2000-04-18,13.5625,14.0,13.375,13.875,651800
