Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2000-01-04,5.4035,5.4719,5.3351,5.3625,403425
1.0,2000-01-05,5.4035,5.4445,5.3625,5.4172,1007877
2.0,2000-01-06,5.4309,5.4993,5.3761,5.4172,570643
3.0,2000-01-07,5.4445,5.6224,5.4445,5.6224,468759
4.0,2000-01-10,5.6087,5.6497,5.5813,5.6087,385150
5.0,2000-01-11,5.595,5.6361,5.5403,5.5403,394287
6.0,2000-01-12,5.5813,5.6908,5.5813,5.6771,704509
7.0,2000-01-13,5.6771,5.8139,5.6771,5.8002,490689
8.0,2000-01-14,5.7865,5.8549,5.6634,5.7455,418045
9.0,2000-01-18,5.6908,5.7455,5.6361,5.6497,262706
10.0,2000-01-19,5.6908,5.7865,5.6908,5.7181,287378
11.0,2000-01-20,5.7455,5.7729,5.6908,5.7592,224328
12.0,2000-01-21,5.7592,6.0601,5.7181,6.0328,425355
13.0,2000-01-24,6.0328,6.1832,5.978,6.0328,572928
14.0,2000-01-25,6.0328,6.1285,5.9233,5.9233,339462
15.0,2000-01-26,5.978,6.0601,5.896,5.9096,319816
16.0,2000-01-27,5.8412,5.8549,5.7045,5.7045,243060
17.0,2000-01-28,5.7045,5.7729,5.6771,5.7045,263163
18.0,2000-01-31,5.7181,5.8139,5.5813,5.7181,344031
19.0,2000-02-01,5.6908,5.8002,5.5266,5.7455,258594
20.0,2000-02-02,5.8002,5.8412,5.7181,5.8002,294231
21.0,2000-02-03,5.7729,5.8412,5.6087,5.8002,270930
22.0,2000-02-04,5.8002,5.8002,5.5813,5.6497,270473
23.0,2000-02-07,5.6497,5.6497,5.5129,5.5266,506223
24.0,2000-02-08,5.5266,5.5266,5.2667,5.4445,938432
25.0,2000-02-09,5.3898,5.4445,5.2941,5.3488,564247
26.0,2000-02-10,5.3214,5.4445,5.3214,5.4035,214277
27.0,2000-02-11,5.3625,5.4172,5.1436,5.1983,421243
28.0,2000-02-14,5.253,5.3898,5.1299,5.3214,276412
29.0,2000-02-15,5.3351,5.4719,5.3351,5.4445,467845
30.0,2000-02-16,5.4445,5.4582,5.2667,5.2941,397029
31.0,2000-02-17,5.3214,5.4309,5.3077,5.3214,267732
32.0,2000-02-18,5.3214,5.3351,5.2393,5.2393,293317
33.0,2000-02-22,5.212,5.212,5.0615,5.1436,195545
34.0,2000-02-23,5.1436,5.1436,5.0341,5.0752,151684
35.0,2000-02-24,5.0341,5.0752,4.8563,4.911,483379
