,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,9.5,10.375,9.25,10.0,123200
1,2000-01-04,10.0,10.0,9.0,9.75,119700
2,2000-01-05,9.5,9.6875,9.21875,9.625,65900
3,2000-01-06,9.75,9.875,9.375,9.875,51900
4,2000-01-07,9.9375,10.25,9.6875,10.0,137700
5,2000-01-10,10.25,11.8125,10.125,11.5625,265200
6,2000-01-11,12.0,12.375,11.0625,11.5,186900
7,2000-01-12,11.5,11.875,10.75,11.5,132600
8,2000-01-13,11.125,11.625,10.625,11.0,65000
9,2000-01-14,11.125,11.375,10.8125,11.0625,81900
10,2000-01-18,11.125,11.375,11.0,11.25,138700
11,2000-01-19,10.9375,12.75,10.9375,12.625,472200
12,2000-01-20,13.1875,15.4375,13.0,15.375,615300
13,2000-01-21,18.0,22.125,17.5,19.25,907100
14,2000-01-24,20.75,22.0,16.25,17.875,485900
15,2000-01-25,17.5,17.5,14.5,15.625,279500
16,2000-01-26,15.625,18.5,15.3125,17.5,193600
17,2000-01-27,17.59375,17.625,15.875,16.0625,138400
18,2000-01-28,15.96875,16.0,14.0,14.25,128600
19,2000-01-31,14.25,14.625,13.3125,14.5,82200
20,2000-02-01,15.375,16.0,14.75,16.0,91700
21,2000-02-02,15.96875,16.0,14.25,15.5,90900
22,2000-02-03,15.375,16.625,15.375,16.0,44700
23,2000-02-04,15.96875,16.25,14.6875,15.5625,53600
24,2000-02-07,15.3125,16.1875,15.0,15.875,41600
25,2000-02-08,16.25,17.5625,16.25,16.5,127900
26,2000-02-09,16.625,17.0625,15.5625,16.25,64600
27,2000-02-10,16.5,19.125,16.0,18.3125,151300
28,2000-02-11,18.40625,20.0,18.1875,19.0,207400
29,2000-02-14,19.875,20.125,18.25,18.875,125700
30,2000-02-15,18.5625,19.3125,18.0,19.0,72300
31,2000-02-16,19.0,21.375,18.5625,21.25,505600
32,2000-02-17,23.0,27.0,23.0,27.0,559300
33,2000-02-18,27.1875,29.125,26.5,27.4375,407300
34,2000-02-22,27.5,27.5625,23.625,25.5,361600
35,2000-02-23,25.46875,25.6875,25.0,25.4375,124400
36,2000-02-24,25.25,25.375,21.375,22.5,537500
37,2000-02-25,22.78125,23.9375,22.25,22.625,299500
38,2000-02-28,22.625,25.75,22.25,25.375,364600
