Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2020-06-23,11.65,12.23,11.25,11.61,321700
1.0,2020-06-24,11.86,11.86,11.15,11.25,214800
2.0,2020-06-25,11.12,11.4,11.12,11.37,217800
3.0,2020-06-26,11.64,11.64,11.1,11.28,104100
4.0,2020-06-29,11.39,12.07,11.36,11.68,306000
5.0,2020-06-30,12.09,12.09,11.6,11.75,395400
6.0,2020-07-01,11.75,11.8,11.61,11.61,264200
7.0,2020-07-02,11.75,11.75,11.46,11.48,228200
8.0,2020-07-06,11.75,11.75,11.4,11.4,277900
9.0,2020-07-07,11.75,11.75,11.3,11.4,220100
10.0,2020-07-08,11.57,11.57,11.3,11.45,206400
11.0,2020-07-09,11.7,11.74,11.55,11.63,167200
12.0,2020-07-10,11.75,11.8,11.6,11.8,433700
13.0,2020-07-13,12.0,12.15,11.45,11.48,1592300
14.0,2020-07-14,11.6,11.6,11.38,11.45,147500
15.0,2020-07-15,11.66,11.66,11.4,11.64,173500
16.0,2020-07-16,11.75,12.05,11.7,12.0,224800
17.0,2020-07-17,12.05,12.14,11.88,12.0,220200
18.0,2020-07-20,12.01,12.15,11.7,11.93,304300
19.0,2020-07-21,12.17,12.45,11.93,12.0,491300
20.0,2020-07-22,12.27,12.34,11.9,12.05,1008300
21.0,2020-07-23,12.14,12.17,11.6,11.95,474800
22.0,2020-07-24,12.02,12.02,11.85,11.925,203700
23.0,2020-07-27,12.32,12.32,11.86,12.0,484300
24.0,2020-07-28,12.05,12.1,11.85,11.87,123200
25.0,2020-07-29,11.9,12.0,11.55,11.68,290200
26.0,2020-07-30,11.65,11.8,11.27,11.29,572500
27.0,2020-07-31,11.37,11.37,10.8,10.85,550000
28.0,2020-08-03,11.13,11.175,10.83,10.84,327700
29.0,2020-08-04,10.9,10.99,10.81,10.99,118700
30.0,2020-08-05,11.05,11.18,10.9,11.04,134200
31.0,2020-08-06,11.09,11.15,10.94,11.035,126900
32.0,2020-08-07,11.08,11.11,10.91,10.99,305100
33.0,2020-08-10,11.19,11.19,10.91,10.91,154900
34.0,2020-08-11,11.08,11.13,10.85,10.88,773100
35.0,2020-08-12,10.96,10.97,10.8,10.85,432100
36.0,2020-08-13,10.9,11.0,10.76,10.86,292700
37.0,2020-08-14,10.85,11.14,10.85,10.97,113200
38.0,2020-08-17,11.0,11.129,10.98,11.05,228500
39.0,2020-08-18,11.08,11.1,10.82,10.85,383400
40.0,2020-08-19,11.0,11.0,10.78,10.9,411100
41.0,2020-08-20,11.0,11.0,10.75,10.78,142400
42.0,2020-08-21,10.85,10.97,10.68,10.94,141300
43.0,2020-08-24,10.99,11.05,10.8,10.98,212100
44.0,2020-08-25,11.0,11.0,10.7,10.8,252800
45.0,2020-08-26,10.91,10.91,10.7,10.75,132800
46.0,2020-08-27,10.8,10.8,10.55,10.61,298000
47.0,2020-08-28,10.85,10.85,10.65,10.8,555100
48.0,2020-08-31,10.94,10.94,10.7,10.73,135200
49.0,2020-09-01,10.81,10.9,10.75,10.9,196800
50.0,2020-09-02,10.95,11.2,10.83,11.11,718000
51.0,2020-09-03,11.2,11.363,10.95,11.19,415800
52.0,2020-09-04,11.4,12.19,11.11,12.0,991100
53.0,2020-09-08,11.97,12.0,11.81,12.0,319900
54.0,2020-09-09,12.05,12.15,11.9,11.92,231400
55.0,2020-09-10,12.13,13.33,11.96,12.41,2887000
56.0,2020-09-11,13.18,13.26,12.0,12.7,3982700
57.0,2020-09-14,12.6,13.25,12.5,13.05,1416000
58.0,2020-09-15,15.55,18.08,14.82,17.56,63214400
59.0,2020-09-16,16.08,16.74,15.73,15.9,9164000
60.0,2020-09-17,15.93,16.43,15.3,15.41,3578000
61.0,2020-09-18,15.69,15.74,14.58,14.6,3535500
62.0,2020-09-21,15.25,15.86,13.9,15.35,3685100
63.0,2020-09-22,15.89,16.78,15.61,16.78,4840900
64.0,2020-09-23,16.69,17.5,15.06,15.27,4655700
65.0,2020-09-24,14.96,16.24,14.01,15.89,2845200
66.0,2020-09-25,15.79,16.75,15.4,16.42,2497500
67.0,2020-09-28,16.95,17.24,16.55,16.72,1951500
68.0,2020-09-29,17.48,19.4,17.162,18.75,4773200
69.0,2020-09-30,19.35,19.47,18.3,18.99,2636200
70.0,2020-10-01,19.08,19.3,18.03,18.57,2215000
71.0,2020-10-02,17.77,18.97,17.41,18.41,1798000
72.0,2020-10-05,19.18,19.18,17.92,18.25,1560900
73.0,2020-10-06,18.41,18.445,16.15,16.35,5036100
74.0,2020-10-07,17.01,17.73,16.8,17.57,2375100
75.0,2020-10-08,18.42,19.07,17.92,18.78,3242300
76.0,2020-10-09,19.55,22.45,19.5,21.24,6433800
77.0,2020-10-12,23.97,24.27,22.6,23.2,5569700
78.0,2020-10-13,22.89,24.33,22.47,24.08,2840200
79.0,2020-10-14,24.83,26.56,24.12,26.48,6479900
80.0,2020-10-15,25.17,27.0,23.51,23.93,4844300
81.0,2020-10-16,24.8,24.98,21.95,22.91,2862700
82.0,2020-10-19,23.15,23.34,20.8,21.34,3241600
83.0,2020-10-20,21.1,23.53,21.02,22.73,3643600
84.0,2020-10-21,22.7,22.7,21.4,21.92,1691200
85.0,2020-10-22,22.32,22.32,19.6,19.73,3097200
86.0,2020-10-23,20.0,20.17,18.4,19.44,2830600
87.0,2020-10-26,18.5,19.037,17.0,17.98,4240700
88.0,2020-10-27,18.88,19.14,18.0,18.19,2655200
89.0,2020-10-28,17.93,17.94,17.041,17.36,2034500
90.0,2020-10-29,17.0,18.09,16.85,17.11,2327900
91.0,2020-10-30,17.0,17.45,16.02,16.44,1941700
92.0,2020-11-02,16.46,17.33,15.35,15.55,2504000
93.0,2020-11-03,16.0,17.2,15.8,16.67,2750400
94.0,2020-11-04,17.13,18.37,17.0,18.2,3330100
95.0,2020-11-05,18.9,19.11,18.36,18.92,2157100
96.0,2020-11-06,18.6,20.8,18.3,20.23,3324200
97.0,2020-11-09,20.1,20.8,18.72,18.98,2252800
98.0,2020-11-10,18.64,18.798,17.03,18.08,2339900
99.0,2020-11-11,18.17,18.59,17.7,18.03,951900
100.0,2020-11-12,18.4,19.02,17.5,17.88,1914800
101.0,2020-11-13,18.19,19.1,17.73,19.02,1990600
102.0,2020-11-16,19.39,19.88,18.41,18.49,1970800
103.0,2020-11-17,18.36,18.84,18.2,18.51,1246700
104.0,2020-11-18,18.61,19.66,18.3,18.7,2235000
105.0,2020-11-19,18.7,20.65,18.5,19.42,3955000
106.0,2020-11-20,19.62,19.99,18.88,19.05,1689500
107.0,2020-11-23,19.14,19.9,18.06,18.64,2681900
108.0,2020-11-24,18.63,19.5,18.07,18.75,2294700
109.0,2020-11-25,18.5,20.47,18.5,20.43,3964700
110.0,2020-11-27,22.41,23.06,21.2,21.8,3722400
111.0,2020-11-30,23.5,23.9,21.5,22.54,4893100
112.0,2020-12-01,23.0,23.0,20.0,20.14,4777000
113.0,2020-12-02,19.36,20.72,19.01,20.55,3187600
114.0,2020-12-03,21.17,21.89,20.9,21.42,2306300
115.0,2020-12-04,21.8,21.9,21.11,21.67,2075200
116.0,2020-12-07,23.54,25.64,23.19,25.59,6713200
117.0,2020-12-08,26.22,26.5,23.9,25.15,4284700
118.0,2020-12-09,25.75,27.68,24.1,26.82,5891700
119.0,2020-12-10,25.54,26.86,25.35,26.22,3516100
120.0,2020-12-11,25.78,26.79,24.26,25.43,3554200
121.0,2020-12-14,26.45,29.48,25.7,29.48,6250800
122.0,2020-12-15,28.52,29.45,27.61,27.88,3383800
123.0,2020-12-16,28.08,28.11,24.66,25.67,4231000
124.0,2020-12-17,26.69,29.44,26.05,29.44,5617100
125.0,2020-12-18,29.0,30.6,28.13,29.5,5281800
126.0,2020-12-21,31.47,32.0,26.3,31.25,8946000
127.0,2020-12-22,32.08,32.39,28.51,29.65,5712600
128.0,2020-12-23,29.15,29.5,26.81,27.25,6663100
129.0,2020-12-24,27.52,29.45,26.9,27.35,3701500
130.0,2020-12-28,27.15,27.4,24.0,24.51,6693600
131.0,2020-12-29,24.51,25.3,22.03,25.01,6320700
132.0,2020-12-30,25.195,25.2,23.75,24.27,3223100
133.0,2020-12-31,24.11,24.11,22.59,22.73,3811300
134.0,2021-01-04,22.808,24.17,21.41,24.01,4538200
135.0,2021-01-05,24.0,26.21,23.74,25.6,4814200
136.0,2021-01-06,26.004,28.49,26.004,27.0,7036100
137.0,2021-01-07,28.477,29.219,27.54,28.13,5397600
138.0,2021-01-08,28.04,28.35,26.1,26.79,5795300
