Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2021-03-04,34.15,34.6,32.0,32.07,8143300
1.0,2021-03-05,32.54,33.557,30.5,31.0,5505100
2.0,2021-03-08,31.5,32.75,31.5,31.9,2438200
3.0,2021-03-09,32.25,35.186,32.25,34.73,4988800
4.0,2021-03-10,34.73,37.0,34.435,36.77,2784800
5.0,2021-03-11,36.62,36.969,35.09,35.99,1497400
6.0,2021-03-12,35.87,36.0,35.24,35.32,975900
7.0,2021-03-15,35.39,36.6,35.25,36.23,859500
8.0,2021-03-16,36.0,37.0,35.6,36.12,1184900
9.0,2021-03-17,36.1,36.38,34.5,34.5,1310500
10.0,2021-03-18,34.23,34.32,31.5,31.64,2652900
11.0,2021-03-19,31.55,31.82,30.09,30.68,1791800
12.0,2021-03-22,30.68,31.33,29.75,29.91,691600
13.0,2021-03-23,29.68,29.92,28.0,28.37,1225700
14.0,2021-03-24,28.5,29.12,26.54,26.64,981400
15.0,2021-03-25,26.64,27.29,25.77,27.17,839400
16.0,2021-03-26,27.17,27.96,22.56,25.7,5468500
17.0,2021-03-29,25.89,26.0,24.51,25.23,1695200
18.0,2021-03-30,25.23,26.76,25.23,25.61,1059300
19.0,2021-03-31,26.47,26.93,25.9,26.88,1478400
20.0,2021-04-01,26.91,27.5,25.02,25.98,1377600
21.0,2021-04-05,26.49,27.0,25.07,25.15,1090200
22.0,2021-04-06,25.12,25.45,24.28,24.45,843200
23.0,2021-04-07,24.57,24.87,23.2,23.46,912900
24.0,2021-04-08,23.61,24.43,23.55,24.3,686100
25.0,2021-04-09,24.15,24.803,23.03,23.62,987000
26.0,2021-04-12,23.78,23.97,22.55,22.82,790300
27.0,2021-04-13,22.85,23.94,22.6,23.93,726200
28.0,2021-04-14,24.0,25.13,23.731,24.59,938800
29.0,2021-04-15,24.75,25.6,24.22,25.19,905400
30.0,2021-04-16,25.22,25.38,24.15,24.44,508500
31.0,2021-04-19,24.36,24.55,22.5,23.48,755300
32.0,2021-04-20,23.44,23.48,22.65,22.81,840200
33.0,2021-04-21,22.72,22.9,22.08,22.5,769200
34.0,2021-04-22,22.58,23.08,22.295,22.75,453900
35.0,2021-04-23,22.69,23.24,22.635,22.8,698300
36.0,2021-04-26,23.0,23.79,22.51,23.63,1336500
37.0,2021-04-27,23.38,24.25,23.27,23.97,860300
38.0,2021-04-28,24.0,24.23,23.32,23.38,459600
39.0,2021-04-29,23.39,23.692,22.37,22.47,361300
40.0,2021-04-30,22.26,22.89,22.26,22.73,298500
41.0,2021-05-03,22.88,22.99,22.465,22.75,229300
42.0,2021-05-04,22.58,23.82,22.285,23.73,331800
43.0,2021-05-05,24.01,24.01,23.05,23.61,260400
44.0,2021-05-06,23.44,23.78,20.85,21.87,1396400
45.0,2021-05-07,21.97,23.15,21.87,22.51,516800
46.0,2021-05-10,22.29,23.1,21.8,22.61,734800
47.0,2021-05-11,21.89,22.98,21.74,22.92,533600
48.0,2021-05-12,22.78,23.52,22.05,22.14,1231700
49.0,2021-05-13,22.19,22.74,19.78,20.51,1193700
50.0,2021-05-14,21.92,23.27,20.02,22.94,1924000
51.0,2021-05-17,22.6,23.71,22.32,23.62,510300
52.0,2021-05-18,23.73,23.8,23.0,23.08,418900
53.0,2021-05-19,22.49,23.49,22.43,23.49,337000
54.0,2021-05-20,23.85,25.0,23.65,24.7,574300
55.0,2021-05-21,24.78,24.98,23.85,24.28,279600
56.0,2021-05-24,24.35,24.4,23.4,23.95,321700
57.0,2021-05-25,23.85,24.08,22.8,23.2,300000
58.0,2021-05-26,23.04,24.3,23.04,23.87,260400
59.0,2021-05-27,23.99,24.74,23.56,24.54,271700
60.0,2021-05-28,24.79,25.4,24.45,25.24,385700
61.0,2021-06-01,25.26,25.84,25.0,25.3,643200
62.0,2021-06-02,25.41,25.73,25.15,25.54,428100
63.0,2021-06-03,25.35,25.94,25.07,25.69,222700
64.0,2021-06-04,25.95,25.95,25.29,25.7,188200
65.0,2021-06-07,25.99,29.7,25.96,29.25,2296900
66.0,2021-06-08,28.11,29.53,26.836,28.68,1685400
67.0,2021-06-09,28.99,29.59,28.22,28.39,540200
68.0,2021-06-10,28.01,28.23,26.088,26.29,620300
69.0,2021-06-11,26.53,26.583,24.85,25.24,804700
70.0,2021-06-14,25.39,25.64,24.9,25.0,575000
71.0,2021-06-15,24.75,25.07,23.86,24.36,496500
72.0,2021-06-16,24.49,24.66,24.05,24.46,883500
73.0,2021-06-17,24.54,24.86,24.07,24.35,688000
74.0,2021-06-18,24.1,24.54,23.81,23.86,2871300
75.0,2021-06-21,24.03,24.03,23.13,23.4,850100
76.0,2021-06-22,23.38,23.75,22.908,23.56,477100
77.0,2021-06-23,23.45,23.92,23.3,23.35,429900
78.0,2021-06-24,23.44,23.73,23.19,23.26,497700
79.0,2021-06-25,23.26,23.26,22.01,22.24,1806200
80.0,2021-06-28,22.25,22.52,21.73,22.42,627900
81.0,2021-06-29,22.24,22.549,21.71,21.9,605300
82.0,2021-06-30,21.91,22.01,21.43,21.5,712300
83.0,2021-07-01,21.58,21.58,21.07,21.25,678800
84.0,2021-07-02,21.2,21.42,20.81,21.18,317800
85.0,2021-07-06,21.18,21.18,20.57,20.78,473900
86.0,2021-07-07,20.77,20.9,20.29,20.44,280900
87.0,2021-07-08,20.23,20.41,19.42,19.77,674800
88.0,2021-07-09,19.82,20.0,19.32,19.6,489400
89.0,2021-07-12,19.58,19.88,18.91,19.46,329200
90.0,2021-07-13,19.38,19.48,18.91,19.07,259900
91.0,2021-07-14,19.17,19.267,18.16,18.81,882300
92.0,2021-07-15,18.84,19.54,18.69,19.4,1050100
93.0,2021-07-16,19.49,19.555,19.05,19.38,438200
94.0,2021-07-19,19.05,19.44,18.7,19.31,438400
95.0,2021-07-20,19.44,20.39,19.42,20.0,466600
96.0,2021-07-21,20.0,20.57,20.0,20.54,355400
97.0,2021-07-22,20.55,20.77,20.13,20.15,196900
98.0,2021-07-23,20.19,20.29,19.1,19.12,147300
99.0,2021-07-26,19.14,19.39,18.44,18.77,162400
100.0,2021-07-27,18.56,18.56,17.69,17.92,1025500
101.0,2021-07-28,17.95,18.55,17.889,18.32,457100
102.0,2021-07-29,18.49,18.49,17.25,17.44,722200
103.0,2021-07-30,17.32,17.64,16.92,16.93,255300
104.0,2021-08-02,16.99,17.0,16.17,16.2,574500
105.0,2021-08-03,16.15,16.17,15.36,15.5,740100
106.0,2021-08-04,15.38,15.78,15.16,15.25,458900
107.0,2021-08-05,15.25,15.64,14.74,15.6,566900
108.0,2021-08-06,15.76,15.76,15.05,15.15,311700
109.0,2021-08-09,15.13,15.57,14.87,15.35,577900
110.0,2021-08-10,15.34,15.484,14.93,15.09,758800
111.0,2021-08-11,15.04,15.2,14.55,14.84,638100
112.0,2021-08-12,15.04,15.48,14.47,14.66,847100
113.0,2021-08-13,14.7,15.52,14.55,14.7,1146200
114.0,2021-08-16,13.64,14.25,12.14,12.25,3527600
115.0,2021-08-17,12.14,13.23,12.06,13.06,2274600
116.0,2021-08-18,12.98,13.34,12.65,12.93,977800
117.0,2021-08-19,12.91,13.14,12.52,12.93,697300
118.0,2021-08-20,12.91,13.58,12.91,13.58,639900
119.0,2021-08-23,13.44,13.6,12.83,12.99,1620700
120.0,2021-08-24,13.16,13.16,12.32,12.4,3478400
121.0,2021-08-25,13.13,13.355,12.72,13.11,3792500
122.0,2021-08-26,13.2,14.06,13.08,13.65,1688300
123.0,2021-08-27,13.91,14.305,13.65,14.05,1493300
124.0,2021-08-30,14.52,15.448,14.08,15.26,2776700
125.0,2021-08-31,15.24,15.814,14.119,15.59,1705100
126.0,2021-09-01,15.69,16.24,15.27,15.69,1171500
127.0,2021-09-02,16.27,18.75,16.26,18.27,4344100
128.0,2021-09-03,17.81,18.63,17.55,18.21,1341100
129.0,2021-09-07,17.93,18.038,16.03,16.19,2484700
130.0,2021-09-08,16.91,17.45,16.15,16.51,1529900
131.0,2021-09-09,16.52,17.86,15.91,17.6,2248100
132.0,2021-09-10,17.2,18.15,16.95,17.5,1850400
133.0,2021-09-13,16.65,17.8,16.1,17.11,2288300
134.0,2021-09-14,18.17,18.6,17.68,17.77,2762400
135.0,2021-09-15,17.73,18.025,17.31,17.83,1641800
136.0,2021-09-16,17.74,17.81,17.14,17.49,936200
137.0,2021-09-17,18.0,18.37,17.48,17.5,2440600
138.0,2021-09-20,17.28,17.98,16.77,17.15,1697100
139.0,2021-09-21,17.27,17.8,16.75,17.49,1225800
140.0,2021-09-22,17.29,17.89,17.03,17.34,1245100
141.0,2021-09-23,17.1,17.42,16.61,17.18,1159700
142.0,2021-09-24,16.96,17.19,16.64,16.98,791400
143.0,2021-09-27,16.96,17.88,16.71,17.8,1887300
144.0,2021-09-28,17.61,17.65,16.875,17.25,1612600
145.0,2021-09-29,17.4,18.2,16.71,17.57,3092500
146.0,2021-09-30,17.71,18.0,16.95,17.39,1525600
147.0,2021-10-01,17.35,17.9,17.145,17.65,1553500
148.0,2021-10-04,17.71,18.89,16.42,16.81,3761900
149.0,2021-10-05,17.1,17.3,16.05,16.14,1235000
150.0,2021-10-06,15.95,16.53,15.76,16.43,722400
151.0,2021-10-07,16.45,16.52,16.02,16.1,616400
152.0,2021-10-08,15.98,16.06,14.8,14.81,1255300
153.0,2021-10-11,14.8,14.95,14.13,14.16,1204700
154.0,2021-10-12,14.17,14.454,13.83,14.08,1235700
155.0,2021-10-13,14.23,14.8,14.11,14.5,986000
156.0,2021-10-14,14.59,15.64,14.26,15.42,2006600
157.0,2021-10-15,15.51,15.969,15.5,15.85,738900
158.0,2021-10-18,15.63,15.7,14.655,14.82,2212400
159.0,2021-10-19,15.05,15.45,14.31,15.45,1132900
160.0,2021-10-20,15.52,16.62,15.52,16.25,1427500
161.0,2021-10-21,16.02,16.98,16.02,16.79,2391400
162.0,2021-10-22,16.85,17.28,16.61,17.0,1044000
163.0,2021-10-25,17.02,17.13,16.66,16.97,553300
164.0,2021-10-26,17.07,17.255,16.61,16.95,815800
165.0,2021-10-27,16.89,17.25,16.75,16.94,584900
166.0,2021-10-28,16.91,17.61,16.835,17.16,834300
167.0,2021-10-29,17.1,17.85,17.1,17.28,691900
168.0,2021-11-01,17.23,17.3,16.76,17.14,1333400
169.0,2021-11-02,17.2,17.2,16.64,16.89,700100
170.0,2021-11-03,16.7,16.95,15.815,16.88,976000
171.0,2021-11-04,16.9,17.35,16.62,16.97,1827200
172.0,2021-11-05,16.98,17.14,16.518,17.0,1051900
173.0,2021-11-08,17.24,17.24,16.29,16.51,1003400
174.0,2021-11-09,16.54,16.61,16.14,16.26,1010500
175.0,2021-11-10,16.23,17.025,16.23,16.52,1350200
176.0,2021-11-11,14.08,14.84,12.32,12.47,6467200
177.0,2021-11-12,12.61,12.7,12.12,12.18,1922600
178.0,2021-11-15,12.2,12.36,11.88,12.17,1415100
179.0,2021-11-16,12.15,12.18,11.84,11.93,1310000
180.0,2021-11-17,11.95,12.08,11.58,11.69,1048700
181.0,2021-11-18,11.61,11.69,10.36,10.64,2635300
182.0,2021-11-19,10.62,10.68,10.16,10.3,1245400
183.0,2021-11-22,10.27,10.4,9.75,10.25,2196400
184.0,2021-11-23,10.22,10.46,9.47,9.65,2085800
185.0,2021-11-24,9.7,10.23,9.41,10.16,2486600
186.0,2021-11-26,9.8,10.31,9.62,9.82,1080400
187.0,2021-11-29,9.8,9.89,9.06,9.27,2433100
188.0,2021-11-30,9.12,9.27,8.69,9.0,3579200
189.0,2021-12-01,9.02,9.18,8.56,8.6,2267400
190.0,2021-12-02,8.76,8.952,8.29,8.7,2354000
191.0,2021-12-03,8.71,8.8,8.24,8.75,2858500
192.0,2021-12-06,8.82,9.69,8.8,9.64,3020600
193.0,2021-12-07,9.67,10.33,9.67,9.95,2126100
194.0,2021-12-08,10.2,10.265,9.785,9.99,1556200
195.0,2021-12-09,10.1,10.955,9.71,9.76,1453000
196.0,2021-12-10,9.88,11.04,9.852,10.89,2196500
197.0,2021-12-13,10.84,11.07,10.29,10.46,1640600
198.0,2021-12-14,8.52,9.63,8.11,8.19,4185500
199.0,2021-12-15,8.25,9.3,8.121,8.99,3525500
200.0,2021-12-16,9.07,9.21,8.12,8.28,3232300
201.0,2021-12-17,8.18,8.55,7.7,8.26,3413800
202.0,2021-12-20,8.12,8.18,7.64,7.78,2849300
203.0,2021-12-21,7.83,8.13,7.81,7.82,3160300
204.0,2021-12-22,7.83,8.5,7.79,8.12,3864600
205.0,2021-12-23,8.18,8.24,7.96,8.02,4267600
206.0,2021-12-27,8.14,9.13,7.99,8.58,2140200
207.0,2021-12-28,8.55,8.76,8.04,8.07,1002400
208.0,2021-12-29,8.01,8.1,7.56,7.62,1650800
209.0,2021-12-30,7.52,8.19,7.51,8.0,1770100
210.0,2021-12-31,7.94,8.16,7.83,7.85,891900
211.0,2022-01-03,8.1,8.58,7.67,8.13,1280000
212.0,2022-01-04,8.09,8.35,7.45,7.68,1437200
213.0,2022-01-05,7.56,7.71,7.26,7.3,2537100
214.0,2022-01-06,7.07,7.29,6.86,7.0,2271300
215.0,2022-01-07,6.93,7.35,6.89,6.89,2191800
216.0,2022-01-10,6.88,6.97,6.585,6.77,2297800
217.0,2022-01-11,6.68,7.33,6.66,7.31,2783400
218.0,2022-01-12,7.45,7.48,7.18,7.31,841500
219.0,2022-01-13,7.32,7.531,7.28,7.35,1669300
220.0,2022-01-14,7.3,7.45,7.13,7.27,1962700
221.0,2022-01-18,7.32,7.35,6.945,7.0,1680700
222.0,2022-01-19,6.93,7.21,6.5,6.5,1598100
223.0,2022-01-20,6.56,7.12,6.52,6.56,1509000
224.0,2022-01-21,6.5,6.56,6.12,6.16,2081100
225.0,2022-01-24,6.13,6.57,5.83,6.56,1882900
226.0,2022-01-25,6.42,6.55,6.16,6.22,2766600
227.0,2022-01-26,6.45,6.47,5.99,6.03,1816800
228.0,2022-01-27,6.17,6.17,5.72,5.76,2353400
229.0,2022-01-28,6.02,6.251,5.77,6.2,2582500
230.0,2022-01-31,6.27,6.75,6.27,6.7,2586000
231.0,2022-02-01,6.73,6.93,6.53,6.91,2194700
232.0,2022-02-02,6.97,6.97,6.44,6.66,1884900
233.0,2022-02-03,6.51,6.56,6.23,6.26,1688200
234.0,2022-02-04,6.3,6.37,6.07,6.22,1686600
235.0,2022-02-07,6.12,6.4,6.12,6.27,1833000
236.0,2022-02-08,6.23,6.45,6.23,6.36,1300100
237.0,2022-02-09,6.48,6.65,6.415,6.54,1846000
238.0,2022-02-10,6.46,6.88,6.355,6.42,1629900
