,DateTime,Open,High,Low,Close,Volume
0,2002-05-30,13.5,14.11,12.99,13.04,1657200
1,2002-05-31,13.16,13.43,12.99,13.02,308600
2,2002-06-03,13.11,13.26,13.0,13.0,97600
3,2002-06-04,13.14,13.14,12.65,12.8,282100
4,2002-06-05,12.8,12.8,12.28,12.32,50100
5,2002-06-06,12.26,12.35,12.25,12.25,10200
6,2002-06-07,12.35,12.59,12.25,12.51,20100
7,2002-06-10,12.6,13.0,12.6,12.95,77300
8,2002-06-11,13.0,13.59,12.8,13.0,83200
9,2002-06-12,13.1,14.15,13.1,14.14,42800
10,2002-06-13,14.0,15.1,14.0,14.6,50100
11,2002-06-14,14.5,14.5,13.6,14.31,31900
12,2002-06-17,14.4,14.55,14.2,14.41,14200
13,2002-06-18,14.45,14.5,13.61,13.81,15000
14,2002-06-19,13.81,13.95,13.65,13.66,23000
15,2002-06-20,13.89,13.89,12.97,13.22,39500
16,2002-06-21,13.2,13.25,12.96,13.102,15300
17,2002-06-24,13.1,13.35,12.95,13.16,21100
18,2002-06-25,13.2,13.74,13.09,13.41,27900
19,2002-06-26,13.3,13.5,13.11,13.5,19900
20,2002-06-27,13.6,14.06,13.45,14.06,20700
21,2002-06-28,14.1,14.55,13.98,14.05,150800
22,2002-07-01,14.0,14.61,13.4,14.55,122100
23,2002-07-02,14.39,14.5,13.26,13.26,59300
24,2002-07-03,13.26,13.75,13.2,13.25,60600
25,2002-07-05,13.25,13.25,12.77,13.0,61800
26,2002-07-08,12.79,12.87,12.0,12.52,42600
27,2002-07-09,12.45,12.45,12.15,12.26,24300
28,2002-07-10,12.35,12.98,12.34,12.92,9000
29,2002-07-11,12.92,12.946,12.55,12.56,10200
30,2002-07-12,12.5,12.7,12.42,12.43,9800
31,2002-07-15,12.42,13.0,12.1,12.99,24100
32,2002-07-16,13.0,13.05,12.64,13.05,9000
33,2002-07-17,12.75,12.8,12.6,12.62,7300
34,2002-07-18,12.7,12.94,12.18,12.25,16600
35,2002-07-19,12.255,13.18,12.1,12.36,96800
36,2002-07-22,12.26,12.26,10.77,10.9,69200
37,2002-07-23,11.009,11.009,8.25,8.44,37900
38,2002-07-24,8.55,9.05,8.02,8.7,87000
39,2002-07-25,8.89,9.19,8.4,8.85,7800
40,2002-07-26,8.5,8.5,8.01,8.4,18100
41,2002-07-29,8.4,9.3,8.4,8.85,27400
42,2002-07-30,8.84,9.14,7.8,7.95,20100
