,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,14.13,14.13,11.94,12.38,211000
1,2000-01-04,12.25,12.25,10.5,10.75,299100
2,2000-01-05,10.94,10.94,10.5,10.63,101700
3,2000-01-06,10.88,10.88,10.25,10.31,133290
4,2000-01-07,10.48,12.013,10.48,11.63,105130
5,2000-01-10,11.81,13.25,11.63,12.0,401980
6,2000-01-11,12.22,12.44,11.378,11.56,74900
7,2000-01-12,11.88,12.13,11.5,12.0,102900
8,2000-01-13,11.94,11.94,11.25,11.88,179390
9,2000-01-14,11.88,12.5,11.878,12.5,290680
10,2000-01-18,12.5,13.005,12.438,12.88,113700
11,2000-01-19,12.88,13.06,12.629,12.88,83000
12,2000-01-20,12.94,13.908,12.75,13.38,137630
13,2000-01-21,13.25,14.0,13.13,13.38,66300
14,2000-01-24,13.5,14.06,13.124,13.56,203300
15,2000-01-25,13.5,13.75,13.0,13.25,37400
16,2000-01-26,13.31,13.5,13.0,13.25,100800
17,2000-01-27,13.56,14.001,13.248,13.63,77100
18,2000-01-28,14.0,14.25,13.0,13.0,75300
19,2000-01-31,13.311,13.311,9.999,11.499,164300
20,2000-02-01,11.16,12.5,10.0,11.94,75900
21,2000-02-02,12.44,12.44,9.0,9.94,1021230
22,2000-02-03,10.38,10.38,9.877,9.94,373700
23,2000-02-04,10.0,10.13,9.75,9.94,263070
24,2000-02-07,9.75,10.0,9.19,9.63,146170
25,2000-02-08,9.44,9.751,9.19,9.38,386460
26,2000-02-09,9.38,9.63,9.248,9.31,243690
27,2000-02-10,9.38,14.25,9.06,13.97,634810
28,2000-02-11,13.13,13.13,12.38,12.69,384780
29,2000-02-14,12.88,13.38,12.63,13.0,277330
30,2000-02-15,13.0,13.25,12.5,12.75,128600
31,2000-02-16,12.5,13.753,12.38,13.38,158790
32,2000-02-17,13.5,14.38,13.5,13.88,299590
33,2000-02-18,13.88,14.5,13.25,13.44,262400
34,2000-02-22,13.56,14.06,12.998,13.0,140400
35,2000-02-23,13.5,13.5,12.998,13.06,66900
36,2000-02-24,13.13,14.38,13.0,14.13,171300
37,2000-02-25,14.38,14.5,14.0,14.06,71400
38,2000-02-28,14.19,14.5,13.63,13.88,51230
39,2000-02-29,13.63,14.5,13.625,14.0,121100
40,2000-03-01,13.44,14.38,13.38,14.13,67900
41,2000-03-02,14.38,14.38,13.63,13.75,70300
42,2000-03-03,13.56,14.0,13.5,14.0,58800
43,2000-03-06,13.94,14.0,13.63,13.81,43300
44,2000-03-07,14.0,14.38,13.25,13.25,64000
45,2000-03-08,13.56,13.63,13.19,13.63,132480
46,2000-03-09,13.5,13.63,13.19,13.44,101800
47,2000-03-10,13.53,14.5,13.379,14.19,175190
48,2000-03-13,12.88,14.19,12.88,13.5,144900
49,2000-03-14,13.75,14.38,12.88,13.88,108700
50,2000-03-15,14.32,14.32,13.936,14.0,43590
51,2000-03-16,13.88,14.0,13.5,13.69,204400
52,2000-03-17,13.63,13.88,13.626,13.75,44500
53,2000-03-20,13.88,14.005,13.498,13.56,403320
54,2000-03-21,13.5,13.56,12.875,13.06,472940
55,2000-03-22,13.0,13.41,12.88,13.31,30100
56,2000-03-23,13.38,13.94,13.13,13.38,119390
57,2000-03-24,13.5,13.5,13.0,13.13,37100
58,2000-03-27,13.13,13.31,12.937,12.94,31400
59,2000-03-28,13.13,13.318,12.56,12.75,230200
60,2000-03-29,12.94,13.0,12.0,12.25,113100
61,2000-03-30,12.31,12.311,11.38,11.63,83700
62,2000-03-31,11.69,12.61,11.13,12.61,121570
63,2000-04-03,12.69,12.69,11.44,11.75,148200
64,2000-04-04,11.81,12.0,10.25,10.81,68100
65,2000-04-05,10.75,11.63,10.75,11.31,30200
66,2000-04-06,10.75,12.25,10.75,12.0,26200
67,2000-04-07,12.25,12.69,12.25,12.5,7800
68,2000-04-10,12.25,12.41,11.75,12.19,17290
69,2000-04-11,12.19,12.25,10.878,12.25,65100
70,2000-04-12,11.88,12.13,10.5,11.63,99500
71,2000-04-13,11.81,11.81,10.5,11.16,47300
72,2000-04-14,11.06,11.06,9.0,10.13,136300
73,2000-04-17,9.88,10.38,9.47,9.94,207400
74,2000-04-18,10.13,10.501,9.88,9.88,18100
75,2000-04-19,10.19,10.503,9.72,10.13,61900
76,2000-04-20,9.88,10.2,9.5,10.13,40400
77,2000-04-24,9.5,9.94,9.5,9.88,38600
78,2000-04-25,10.06,10.13,9.81,10.13,199410
79,2000-04-26,10.16,10.191,9.973,10.16,26960
80,2000-04-27,10.0,10.25,9.998,10.06,35000
81,2000-04-28,10.13,11.19,10.13,11.19,64100
82,2000-05-01,11.13,12.13,11.13,11.63,77800
83,2000-05-02,11.56,11.94,10.879,11.94,29400
84,2000-05-03,11.69,11.69,10.81,10.81,53900
85,2000-05-04,11.0,11.5,10.75,11.0,72200
86,2000-05-05,11.0,11.011,10.69,10.73,38090
87,2000-05-08,10.75,10.811,10.25,10.25,16100
88,2000-05-09,10.25,10.75,10.129,10.75,13100
89,2000-05-10,10.63,10.691,9.13,9.38,51000
90,2000-05-11,9.44,9.565,9.25,9.38,64100
91,2000-05-12,9.63,9.753,9.38,9.38,118600
92,2000-05-15,9.236,9.705,9.079,9.674,30680
93,2000-05-16,9.75,10.13,9.625,9.94,70500
94,2000-05-17,9.25,9.5,9.13,9.25,34500
95,2000-05-18,9.25,10.001,9.25,9.69,45400
96,2000-05-19,9.69,9.88,9.25,9.38,37600
97,2000-05-22,9.63,9.63,8.498,8.56,73000
98,2000-05-23,8.5,8.56,6.69,8.22,152390
99,2000-05-24,7.69,8.94,7.69,8.88,123300
100,2000-05-25,9.06,9.065,8.625,9.0,55800
101,2000-05-26,8.78,9.25,8.56,9.25,27000
102,2000-05-30,8.75,9.38,8.31,8.81,132100
103,2000-05-31,8.88,9.312,8.69,9.25,93000
104,2000-06-01,9.0,9.38,8.63,9.06,15600
105,2000-06-02,8.81,9.38,8.69,9.38,32300
106,2000-06-05,9.38,9.5,9.251,9.38,35100
107,2000-06-06,9.25,9.255,9.127,9.25,48190
108,2000-06-07,9.13,9.25,9.0,9.13,13500
109,2000-06-08,9.06,9.247,8.88,9.0,12700
110,2000-06-09,9.0,9.44,8.94,9.19,54100
111,2000-06-12,9.09,9.091,8.69,8.94,26000
112,2000-06-13,9.0,9.38,8.94,9.31,50600
113,2000-06-14,9.25,9.503,9.129,9.25,25400
114,2000-06-15,9.13,9.31,8.5,9.25,45100
115,2000-06-16,9.09,9.69,9.09,9.56,68200
116,2000-06-19,9.5,9.75,9.378,9.75,17300
117,2000-06-20,9.5,10.0,9.5,10.0,84900
118,2000-06-21,9.97,10.191,9.629,10.13,92670
119,2000-06-22,10.06,10.38,10.0,10.0,73300
120,2000-06-23,10.0,10.44,10.0,10.16,21000
121,2000-06-26,10.004,10.004,9.629,9.91,33400
122,2000-06-27,9.81,9.973,9.628,9.69,16300
123,2000-06-28,9.56,9.56,9.25,9.44,99700
124,2000-06-29,9.34,9.466,9.34,9.34,18740
125,2000-06-30,9.44,10.13,9.22,10.06,107900
126,2000-07-03,9.88,9.94,9.75,9.75,22200
127,2000-07-05,9.63,9.63,9.38,9.38,34700
128,2000-07-06,9.44,9.63,9.436,9.56,19500
129,2000-07-07,9.56,10.38,9.529,10.13,84900
130,2000-07-10,10.13,10.31,9.627,9.75,11300
131,2000-07-11,9.63,10.06,9.626,10.0,28800
132,2000-07-12,9.81,9.88,9.69,9.72,13300
133,2000-07-13,9.784,9.846,9.407,9.846,54940
134,2000-07-14,9.911,9.911,9.472,9.849,28100
135,2000-07-17,9.558,10.195,9.494,9.94,20230
136,2000-07-18,10.03,10.03,9.56,9.75,14800
137,2000-07-19,9.75,10.63,9.75,10.5,164030
138,2000-07-20,10.31,11.0,10.0,11.0,18200
139,2000-07-21,10.94,11.75,10.94,11.75,21000
140,2000-07-24,11.75,11.812,10.88,10.88,43500
141,2000-07-25,10.94,11.005,10.878,10.94,14700
142,2000-07-26,10.88,11.44,10.25,11.31,76000
143,2000-07-27,11.31,11.31,10.5,10.5,35200
144,2000-07-28,10.97,11.005,10.88,10.94,32400
145,2000-07-31,10.5,11.25,10.0,11.25,39700
146,2000-08-01,10.63,11.062,10.623,11.0,15100
147,2000-08-02,11.0,11.0,10.5,10.75,15700
148,2000-08-03,10.5,10.5,9.31,10.13,44200
149,2000-08-04,9.88,10.251,9.875,10.13,43300
150,2000-08-07,10.06,10.38,9.75,10.25,22200
151,2000-08-08,9.78,10.25,9.75,9.94,15400
152,2000-08-09,9.88,10.062,9.748,9.75,32600
153,2000-08-10,9.75,10.0,9.75,9.81,11000
154,2000-08-11,9.81,10.13,9.81,10.13,9600
155,2000-08-14,9.88,10.5,9.879,10.5,19000
156,2000-08-15,10.44,10.75,10.31,10.75,14200
157,2000-08-16,10.13,10.754,10.13,10.61,9100
158,2000-08-17,10.25,10.44,9.909,9.97,21600
159,2000-08-18,9.999,10.03,9.811,9.811,11600
160,2000-08-21,9.88,10.0,9.66,9.66,10700
161,2000-08-22,9.81,9.91,9.629,9.75,12000
162,2000-08-23,10.0,10.0,9.25,9.63,41000
163,2000-08-24,9.44,9.63,9.22,9.31,582620
164,2000-08-25,9.38,10.5,9.38,10.5,115090
165,2000-08-28,10.38,11.81,10.25,11.31,143200
166,2000-08-29,11.31,11.754,11.31,11.63,63600
167,2000-08-30,11.75,12.0,11.63,11.75,187560
168,2000-08-31,11.75,11.751,11.44,11.5,63200
169,2000-09-01,11.56,11.94,11.377,11.5,37000
170,2000-09-05,11.44,11.753,11.438,11.63,46900
171,2000-09-06,11.63,11.692,11.379,11.44,63600
172,2000-09-07,11.44,11.69,11.44,11.69,30800
173,2000-09-08,11.69,11.751,11.44,11.5,46300
174,2000-09-11,11.44,11.63,11.379,11.44,155280
175,2000-09-12,11.498,11.622,11.373,11.56,27700
176,2000-09-13,11.56,11.69,11.38,11.56,118290
177,2000-09-14,11.5,11.78,11.5,11.75,13400
