,DateTime,Open,High,Low,Close,Volume
0,2000-07-14,13.5,18.812,13.5,17.0,22000400
1,2000-07-17,17.515,20.92,17.139,20.2,4207851
2,2000-07-18,20.08,21.95,18.12,19.061,2044642
3,2000-07-19,19.344,20.22,18.5,18.813,1227590
4,2000-07-20,18.906,20.94,18.625,19.25,1315400
5,2000-07-21,19.187,19.562,17.375,17.781,987401
6,2000-07-24,17.783,18.096,15.091,16.28,917706
7,2000-07-25,16.25,18.0,16.188,18.0,550200
8,2000-07-26,17.938,18.0,16.375,17.469,311200
9,2000-07-27,17.139,17.139,14.298,15.298,727706
10,2000-07-28,15.44,16.2,11.39,12.656,909077
11,2000-07-31,12.562,12.609,11.062,11.375,1004200
12,2000-08-01,11.566,12.504,10.378,11.566,459475
13,2000-08-02,11.75,12.75,11.438,12.0,444200
14,2000-08-03,11.969,14.0,11.5,13.844,419796
15,2000-08-04,13.755,15.68,13.629,15.648,298339
16,2000-08-07,14.688,16.0,14.688,15.344,322599
17,2000-08-08,15.001,15.344,14.5,14.938,399591
18,2000-08-09,14.938,16.0,14.938,15.125,423600
19,2000-08-10,15.219,15.501,15.0,15.063,155198
20,2000-08-11,15.062,15.062,12.25,13.75,244600
21,2000-08-14,13.625,13.844,13.5,13.719,230000
22,2000-08-15,13.782,14.001,13.532,13.688,81599
23,2000-08-16,14.032,14.032,12.875,13.344,76600
24,2000-08-17,13.188,14.0,12.938,13.875,100400
25,2000-08-18,13.969,15.5,13.938,15.375,97000
26,2000-08-21,15.315,65.87,1.9299,16.373,13295
27,2000-08-22,16.22,17.249,16.038,17.188,11942
28,2000-08-23,16.957,17.969,16.387,17.969,7811
29,2000-08-24,17.279,18.5,16.729,18.5,6633
30,2000-08-25,19.751,20.69,19.626,20.0,12990
31,2000-08-28,20.42,22.44,19.92,22.0,7428
32,2000-08-29,23.17,23.62,22.33,23.62,38610
33,2000-08-30,23.76,23.94,21.0,21.0,7574
34,2000-08-31,21.3,22.56,21.24,22.5,11492
35,2000-09-01,21.69,21.94,20.44,21.62,9440
36,2000-09-05,21.53,21.53,0.21,21.31,103193
37,2000-09-06,20.97,21.25,0.21,20.25,209584
38,2000-09-07,20.33,20.39,17.45,17.64,298744
39,2000-09-08,17.752,18.782,17.627,18.592,142392
40,2000-09-11,18.686,19.876,18.686,19.376,56600
41,2000-09-12,19.061,19.251,17.501,17.501,98396
42,2000-09-13,17.25,19.5,15.185,18.5,127400
43,2000-09-14,18.033,19.093,17.628,18.688,27999
44,2000-09-15,18.686,19.061,17.376,18.126,103396
45,2000-09-18,17.827,18.002,17.252,17.377,164187
46,2000-09-19,17.375,19.875,17.375,19.0,94000
47,2000-09-20,19.375,19.375,18.5,19.125,530200
48,2000-09-21,18.607,18.607,17.002,17.752,264170
49,2000-09-22,16.591,18.689,16.591,18.659,46519
50,2000-09-25,18.686,19.781,17.626,17.626,60199
51,2000-09-26,17.548,18.003,16.658,16.968,152574
52,2000-09-27,18.25,18.281,17.625,17.875,108400
53,2000-09-28,17.812,18.5,17.5,18.25,327800
54,2000-09-29,18.438,18.438,18.031,18.094,126200
55,2000-10-02,17.875,18.562,17.875,18.125,224000
56,2000-10-03,18.5,18.5,18.156,18.25,37800
