Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2012-04-24,13.0,14.0,12.5,14.0,109500
1.0,2012-04-25,12.96,14.03,12.96,13.0,265901
2.0,2012-04-26,14.0,14.0,12.5,14.0,127050
3.0,2012-04-27,13.0,13.0,12.6,13.0,2100
4.0,2012-04-30,13.0,13.5,13.0,13.5,34000
5.0,2012-05-01,13.25,13.75,13.25,13.75,6000
6.0,2012-05-02,13.55,13.71,13.5,13.55,7941
7.0,2012-05-03,13.55,13.55,13.25,13.35,14700
8.0,2012-05-04,13.7,13.99,13.7,13.99,2000
9.0,2012-05-07,13.5,13.5,13.0,13.0,15441
10.0,2012-05-08,13.0,13.0,13.0,13.0,2500
11.0,2012-05-09,12.9,12.9,12.75,12.75,4890
12.0,2012-05-10,12.9,13.25,12.75,13.25,14430
13.0,2012-05-11,13.0,13.1,13.0,13.0,15940
14.0,2012-05-14,13.0,13.25,13.0,13.25,1101
15.0,2012-05-15,13.25,13.5,13.25,13.5,5445
16.0,2012-05-16,13.35,13.5,13.35,13.5,55841
17.0,2012-05-17,13.45,13.45,13.45,13.45,1000
18.0,2012-05-18,13.5,13.5,12.9,13.0,1955
19.0,2012-05-21,12.75,12.75,12.75,12.75,31500
20.0,2012-05-22,12.9,12.9,12.9,12.9,856
21.0,2012-05-23,13.5,13.5,13.5,13.5,4000
22.0,2012-05-24,13.5,13.5,13.5,13.5,3000
23.0,2012-05-25,13.5,13.5,13.25,13.25,4814
24.0,2012-05-29,13.36,13.5,12.78,12.78,4310
25.0,2012-05-30,13.25,13.25,13.0,13.0,3495
26.0,2012-05-31,13.5,13.5,13.5,13.5,1100
27.0,2012-06-01,13.5,13.5,12.75,13.0,3400
28.0,2012-06-04,13.0,13.0,11.0,11.0,146277
29.0,2012-06-05,12.5,12.5,12.5,12.5,300
30.0,2012-06-07,12.5,12.5,12.5,12.5,1800
31.0,2012-06-08,12.5,12.5,12.5,12.5,11668
32.0,2012-06-11,12.5,12.5,12.5,12.5,11532
33.0,2012-06-12,12.4,12.4,12.25,12.25,400
34.0,2012-06-19,12.02,12.02,11.95,11.95,1400
35.0,2012-06-20,11.95,11.95,11.95,11.95,2900
36.0,2012-06-21,11.95,11.95,11.85,11.85,4500
37.0,2012-06-22,11.95,11.95,11.8,11.85,4490
38.0,2012-06-25,11.88,11.88,11.85,11.85,13000
39.0,2012-06-26,11.5,11.5,11.3,11.3,14500
40.0,2012-06-27,11.25,11.3,11.25,11.3,11500
41.0,2012-06-28,11.25,11.25,11.25,11.25,10710
42.0,2012-06-29,11.0,11.25,11.0,11.25,149800
43.0,2012-07-02,11.15,11.15,11.0,11.1,35624
44.0,2012-07-03,11.05,11.25,11.0,11.25,4600
45.0,2012-07-06,11.37,11.37,11.37,11.37,600
46.0,2012-07-12,11.0,11.3,11.0,11.25,14100
47.0,2012-07-13,11.25,11.25,11.25,11.25,500
48.0,2012-07-16,11.25,13.0,11.19,11.2,160600
49.0,2012-07-17,12.5,12.5,12.5,12.5,300
50.0,2012-07-19,12.0,12.0,12.0,12.0,1800
51.0,2012-07-20,12.5,12.5,12.5,12.5,11500
52.0,2012-07-25,12.0,12.0,12.0,12.0,15400
53.0,2012-07-27,12.5,12.5,12.5,12.5,450000
54.0,2012-07-30,12.75,13.0,12.55,12.98,27795
55.0,2012-07-31,12.95,12.95,12.75,12.75,800
56.0,2012-08-01,12.5,12.5,12.0,12.4,43000
57.0,2012-08-02,12.4,12.4,12.35,12.4,1000
58.0,2012-08-03,12.4,12.65,12.25,12.3,44300
59.0,2012-08-07,13.0,13.0,12.55,12.8,343446
60.0,2012-08-08,13.0,13.0,13.0,13.0,1500
61.0,2012-08-09,13.5,13.5,13.5,13.5,10241
62.0,2012-08-15,13.5,13.5,13.5,13.5,250
63.0,2012-08-20,14.0,14.5,14.0,14.5,6900
64.0,2012-08-21,14.5,14.5,14.0,14.0,8800
65.0,2012-08-23,13.9,13.9,13.9,13.9,250
66.0,2012-08-24,14.25,14.75,14.0,14.5,23350
67.0,2012-08-27,14.5,14.5,14.0,14.0,46950
