Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2011-02-04,7.07,7.07,7.0,7.03,141000
1.0,2011-02-07,7.0,7.05,7.0,7.04,287800
2.0,2011-02-08,7.0,7.0,6.57,6.72,14400
3.0,2011-02-09,6.72,6.79,6.18,6.23,13700
4.0,2011-02-10,6.68,6.77,6.25,6.65,8200
5.0,2011-02-11,7.0,7.01,6.76,6.92,24300
6.0,2011-02-14,6.98,7.0,6.87,7.0,12200
7.0,2011-02-15,7.0,7.04,6.9,6.91,11900
8.0,2011-02-16,7.03,7.03,6.16,6.58,28500
9.0,2011-02-17,6.5,6.99,6.5,6.94,13100
10.0,2011-02-18,6.93,7.0,6.41,6.45,54200
11.0,2011-02-22,6.51,6.96,6.51,6.93,26600
12.0,2011-02-23,6.71,6.96,6.66,6.91,16800
13.0,2011-02-24,6.73,6.96,6.73,6.89,7800
14.0,2011-02-25,6.9,7.15,6.89,7.1,21600
15.0,2011-02-28,7.15,7.15,6.84,6.9,9100
16.0,2011-03-01,7.09,7.09,6.87,6.93,1100
17.0,2011-03-02,7.0,7.05,6.71,6.94,15600
18.0,2011-03-03,7.02,7.05,6.86,7.05,9900
19.0,2011-03-04,7.05,7.07,6.84,6.93,3600
20.0,2011-03-07,6.8,7.09,6.8,6.91,7100
21.0,2011-03-08,6.91,7.03,6.79,6.9,9400
22.0,2011-03-09,6.91,7.1,6.79,6.81,10500
23.0,2011-03-10,6.9,6.91,6.8,6.8,1700
24.0,2011-03-11,6.9,6.9,6.83,6.88,1000
25.0,2011-03-14,7.08,7.09,6.83,6.87,10500
26.0,2011-03-15,6.94,6.95,6.75,6.84,9800
27.0,2011-03-16,6.93,7.05,6.7,6.85,39200
28.0,2011-03-17,7.03,7.1,6.96,7.05,17500
29.0,2011-03-18,7.55,7.6,7.0,7.0,37400
30.0,2011-03-21,7.12,7.2,7.0,7.0,9300
31.0,2011-03-22,7.29,7.3,6.99,7.01,13000
32.0,2011-03-23,7.12,7.12,6.96,7.05,19400
33.0,2011-03-24,7.1,7.15,7.0,7.07,9400
34.0,2011-03-25,7.07,7.14,6.96,7.05,7900
35.0,2011-03-28,7.05,7.12,7.0,7.04,15200
36.0,2011-03-29,7.1,7.15,7.01,7.02,11400
37.0,2011-03-30,7.03,7.37,7.0,7.19,92400
38.0,2011-03-31,7.49,7.59,7.05,7.1,71400
39.0,2011-04-01,7.18,7.4,7.03,7.03,35100
40.0,2011-04-04,7.02,7.2,7.02,7.12,10800
41.0,2011-04-05,7.11,7.21,7.04,7.04,46800
42.0,2011-04-06,7.12,7.16,7.06,7.16,31100
43.0,2011-04-07,7.4,7.4,7.07,7.07,31700
44.0,2011-04-08,7.12,7.14,6.97,7.05,39700
45.0,2011-04-11,7.1,7.14,7.02,7.06,36000
46.0,2011-04-12,7.05,7.1,7.02,7.07,27900
47.0,2011-04-13,7.05,7.06,7.02,7.02,16200
48.0,2011-04-14,7.02,7.07,6.8,6.95,72400
49.0,2011-04-15,6.9,7.15,6.9,7.15,15000
50.0,2011-04-18,7.1,7.25,7.07,7.16,59100
51.0,2011-04-19,7.16,7.4,7.1,7.19,43000
52.0,2011-04-20,7.97,7.97,7.38,7.8,65800
53.0,2011-04-21,7.81,7.9,7.54,7.87,53900
54.0,2011-04-25,7.87,8.65,7.87,8.64,199300
55.0,2011-04-26,8.86,9.39,8.54,9.0,251200
56.0,2011-04-27,9.05,10.39,9.05,10.32,437000
57.0,2011-04-28,10.68,11.36,10.43,10.51,210000
58.0,2011-04-29,10.81,10.84,9.86,10.54,387000
59.0,2011-05-02,10.48,10.57,9.9,10.01,51900
60.0,2011-05-03,10.14,11.3,10.14,11.0,179000
61.0,2011-05-04,10.91,11.17,10.22,10.59,97000
62.0,2011-05-05,10.32,10.59,10.24,10.43,22500
63.0,2011-05-06,10.55,11.37,10.55,10.86,79000
64.0,2011-05-09,10.86,10.95,10.43,10.8,53300
65.0,2011-05-10,10.87,10.9,10.57,10.66,25700
66.0,2011-05-11,10.73,10.74,10.17,10.34,45000
67.0,2011-05-12,10.34,10.83,10.09,10.65,59500
68.0,2011-05-13,10.72,10.72,10.25,10.26,25100
69.0,2011-05-16,10.39,10.59,10.11,10.4,48000
70.0,2011-05-17,10.44,10.58,10.22,10.49,85400
71.0,2011-05-18,10.52,10.7,10.41,10.59,21200
72.0,2011-05-19,10.59,10.95,10.33,10.75,70800
73.0,2011-05-20,10.68,11.17,10.56,10.97,49000
74.0,2011-05-23,10.77,12.18,10.75,11.9,145600
75.0,2011-05-24,12.14,13.86,12.05,13.83,171000
76.0,2011-05-25,13.83,15.26,13.26,15.19,159900
77.0,2011-05-26,15.2,15.34,14.11,14.65,79100
78.0,2011-05-27,14.92,14.92,13.8,14.59,42100
79.0,2011-05-31,14.64,14.75,13.98,14.3,120200
80.0,2011-06-01,14.3,14.3,13.45,13.79,69400
81.0,2011-06-02,13.63,14.33,13.52,13.98,31100
82.0,2011-06-03,13.94,14.25,13.33,13.84,136100
83.0,2011-06-06,13.9,13.91,12.65,12.92,59000
84.0,2011-06-07,12.98,13.45,12.36,13.19,118600
85.0,2011-06-08,13.19,13.19,12.58,13.0,72400
86.0,2011-06-09,13.05,13.2,12.55,12.59,95100
87.0,2011-06-10,12.66,12.89,11.93,12.7,104800
88.0,2011-06-13,12.7,13.48,12.5,13.22,119600
89.0,2011-06-14,11.8,12.23,10.8,11.6,283200
90.0,2011-06-15,11.49,11.7,11.32,11.55,64000
91.0,2011-06-16,11.59,11.59,10.81,11.05,89400
92.0,2011-06-17,11.0,11.0,9.92,10.55,123800
93.0,2011-06-20,10.67,11.34,10.26,11.18,66500
94.0,2011-06-21,11.02,11.84,10.78,11.61,84000
95.0,2011-06-22,11.64,12.75,11.64,12.45,66900
96.0,2011-06-23,11.62,12.56,11.62,12.45,92800
97.0,2011-06-24,12.25,12.89,11.85,12.0,690500
98.0,2011-06-27,12.18,12.69,11.81,12.0,134500
99.0,2011-06-28,12.07,12.12,11.85,11.96,63300
100.0,2011-06-29,12.22,12.22,11.89,11.98,57300
101.0,2011-06-30,12.04,12.1,11.92,12.0,50000
102.0,2011-07-01,11.93,12.14,11.93,12.03,61500
103.0,2011-07-05,12.16,12.16,11.67,11.9,83700
104.0,2011-07-06,11.92,12.09,11.64,11.71,80900
105.0,2011-07-07,11.81,11.91,11.24,11.38,57500
106.0,2011-07-08,11.37,12.0,11.15,11.92,72900
107.0,2011-07-11,11.85,11.85,11.3,11.42,91300
108.0,2011-07-12,11.44,11.65,11.2,11.24,70900
109.0,2011-07-13,11.07,11.89,11.06,11.8,58200
110.0,2011-07-14,11.82,12.0,11.73,11.76,44900
111.0,2011-07-15,11.82,12.41,11.45,11.46,24700
112.0,2011-07-18,11.43,11.54,11.09,11.26,76400
113.0,2011-07-19,11.36,12.0,11.2,11.91,175100
114.0,2011-07-20,11.81,11.81,11.4,11.73,79800
115.0,2011-07-21,11.7,11.96,11.68,11.88,42700
116.0,2011-07-22,11.85,11.9,11.76,11.81,50500
117.0,2011-07-25,11.91,11.91,11.44,11.56,24400
118.0,2011-07-26,11.67,11.67,11.29,11.31,67100
119.0,2011-07-27,11.34,11.34,10.41,10.61,29000
120.0,2011-07-28,10.75,10.75,9.75,9.85,136800
121.0,2011-07-29,9.88,10.84,9.42,10.02,94800
122.0,2011-08-01,10.06,10.45,9.99,10.36,93300
123.0,2011-08-02,10.44,10.79,10.14,10.31,64600
124.0,2011-08-03,10.28,10.5,9.68,10.31,96400
125.0,2011-08-04,10.11,10.37,9.76,9.78,61900
126.0,2011-08-05,9.84,10.45,9.78,10.4,43300
127.0,2011-08-08,10.0,10.16,8.76,8.78,65100
128.0,2011-08-09,8.83,9.61,8.7,9.35,88100
129.0,2011-08-10,9.16,10.25,8.6,8.82,62800
130.0,2011-08-11,8.86,9.27,8.8,9.05,84200
131.0,2011-08-12,9.19,9.35,8.78,8.99,67700
132.0,2011-08-15,8.97,9.23,8.87,9.1,93600
133.0,2011-08-16,9.01,9.13,8.94,9.02,32600
134.0,2011-08-17,9.08,9.26,9.08,9.19,36000
135.0,2011-08-18,9.02,9.03,8.52,8.76,59100
136.0,2011-08-19,8.65,9.33,8.65,9.24,86300
137.0,2011-08-22,9.35,9.35,8.74,9.02,51300
138.0,2011-08-23,9.08,9.13,8.81,8.9,50200
139.0,2011-08-24,8.92,9.04,8.78,8.8,24000
140.0,2011-08-25,8.94,8.94,8.68,8.7,23800
141.0,2011-08-26,8.69,8.78,8.3,8.68,39400
142.0,2011-08-29,8.74,8.8,8.52,8.63,106700
143.0,2011-08-30,8.82,8.9,7.89,8.33,146100
144.0,2011-08-31,8.54,8.54,7.3,7.66,206100
145.0,2011-09-01,7.67,7.7,7.32,7.34,105100
146.0,2011-09-02,7.21,7.6,7.06,7.33,65600
147.0,2011-09-06,7.35,7.96,7.35,7.74,71500
148.0,2011-09-07,7.93,8.44,7.92,8.25,110600
149.0,2011-09-08,8.2,8.85,8.06,8.5,99100
150.0,2011-09-09,8.44,8.71,8.17,8.33,48100
151.0,2011-09-12,8.22,8.63,8.11,8.52,101200
152.0,2011-09-13,8.6,9.62,8.6,9.42,95600
153.0,2011-09-14,9.93,9.93,9.55,9.59,86300
154.0,2011-09-15,9.71,9.71,9.45,9.65,62800
155.0,2011-09-16,9.74,10.64,9.26,10.56,82700
156.0,2011-09-19,10.49,10.8,10.06,10.5,43700
157.0,2011-09-20,10.56,11.07,10.49,10.93,60100
158.0,2011-09-21,10.99,10.99,10.38,10.45,43200
159.0,2011-09-22,10.21,10.21,9.54,9.78,67200
160.0,2011-09-23,9.78,10.51,9.78,10.42,42500
161.0,2011-09-26,10.5,10.66,10.23,10.5,32100
162.0,2011-09-27,10.66,10.98,10.01,10.27,71400
163.0,2011-09-28,10.31,10.31,9.67,9.67,31000
164.0,2011-09-29,9.88,9.99,9.5,9.78,45700
165.0,2011-09-30,9.71,10.09,9.58,9.93,53900
166.0,2011-10-03,9.89,10.0,8.79,8.8,59800
167.0,2011-10-04,8.77,9.98,8.25,9.74,82700
168.0,2011-10-05,9.74,9.92,9.2,9.27,93500
169.0,2011-10-06,9.27,9.89,9.06,9.22,97400
170.0,2011-10-07,9.24,9.86,9.14,9.21,46700
171.0,2011-10-10,9.51,9.64,9.28,9.52,50000
