,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,17.501,17.532,17.219,17.313,2757139
1,2000-01-04,17.027,17.309,15.965,16.262,1677561
2,2000-01-05,15.953,15.969,14.25,15.219,1702788
3,2000-01-06,14.863,15.114,14.457,14.863,935941
4,2000-01-07,15.279,17.627,15.029,17.471,2720772
5,2000-01-10,17.506,20.56,17.506,20.31,3616774
6,2000-01-11,20.0,20.22,19.219,19.75,2158400
7,2000-01-12,19.562,19.734,18.531,19.0,1533600
8,2000-01-13,19.0,20.22,18.688,20.22,2338382
9,2000-01-14,20.64,21.13,19.672,20.64,1535184
10,2000-01-18,20.62,23.49,20.29,23.46,1452492
11,2000-01-19,22.97,23.75,22.06,23.5,1456000
12,2000-01-20,23.52,26.49,23.27,25.92,2705026
13,2000-01-21,25.75,25.91,24.63,25.69,3137557
14,2000-01-24,26.06,26.56,22.88,24.0,1958857
15,2000-01-25,23.81,24.97,22.1,22.1,1498422
16,2000-01-26,22.25,23.94,22.12,23.25,1140800
17,2000-01-27,23.33,24.19,22.09,22.34,1206795
18,2000-01-28,22.42,22.53,19.871,20.12,1038587
19,2000-01-31,19.844,20.75,18.219,20.41,1371601
20,2000-02-01,19.719,20.19,18.58,20.062,1634592
21,2000-02-02,20.02,22.83,19.859,21.92,2305831
22,2000-02-03,22.16,22.84,20.7,22.34,1265598
23,2000-02-04,22.77,25.45,22.6,24.44,2443174
24,2000-02-07,24.66,29.4,24.63,27.32,3962657
25,2000-02-08,28.62,29.97,27.25,29.19,4006080
26,2000-02-09,29.77,35.61,29.26,31.14,4636072
27,2000-02-10,31.64,35.3,31.17,32.03,3770534
28,2000-02-11,33.22,33.84,31.1,31.47,2064764
29,2000-02-14,31.84,31.94,29.81,30.62,842400
30,2000-02-15,31.0,34.38,30.75,33.54,1117878
31,2000-02-16,32.58,51.74,32.34,51.02,5513052
32,2000-02-17,49.44,54.5,46.0,49.22,6978396
33,2000-02-18,49.94,51.53,42.06,46.5,3849200
34,2000-02-22,46.57,48.26,43.67,46.51,3872277
35,2000-02-23,48.85,52.86,47.1,51.84,3036834
36,2000-02-24,52.09,53.28,48.92,52.41,1746960
37,2000-02-25,55.08,65.02,53.78,56.63,5019367
38,2000-02-28,58.45,58.45,48.75,54.5,1892800
39,2000-02-29,52.62,65.59,52.53,62.58,2829702
40,2000-03-01,60.74,65.84,60.49,64.09,2381093
41,2000-03-02,64.45,65.43,58.85,62.86,1743386
42,2000-03-03,62.82,72.4,62.82,70.21,2646775
43,2000-03-06,70.49,82.46,70.24,77.7,3115881
44,2000-03-07,79.75,84.5,75.94,81.81,2562800
45,2000-03-08,80.09,81.25,73.56,76.99,3732184
46,2000-03-09,76.34,77.03,65.02,65.29,3923077
47,2000-03-10,60.69,70.57,59.23,66.76,4589513
48,2000-03-13,64.41,66.41,62.0,64.22,1752000
49,2000-03-14,65.74,66.75,42.5,48.75,14519108
50,2000-03-15,51.92,55.26,44.24,48.06,5060669
51,2000-03-16,49.72,50.46,41.77,47.38,3320505
52,2000-03-17,45.02,48.69,42.21,45.33,2806268
53,2000-03-20,45.29,45.33,33.13,33.52,6056644
54,2000-03-21,24.37,26.29,18.029,24.04,32802333
55,2000-03-22,26.8,29.99,25.74,26.43,13997644
56,2000-03-23,28.1,28.41,24.03,24.25,5820611
57,2000-03-24,24.74,25.74,23.99,24.21,3454710
58,2000-03-27,25.17,25.22,22.87,24.08,2415200
59,2000-03-28,24.14,24.16,21.6,21.6,2446095
60,2000-03-29,21.63,22.25,19.204,20.56,4025544
