,DateTime,Open,High,Low,Close,Volume
0,2005-03-24,9.3,9.95,9.02,9.6,21675
1,2005-03-28,10.0,11.0,10.0,10.25,61459
2,2005-03-29,10.34,10.58,9.52,9.831,16616
3,2005-03-30,9.999,10.18,9.93,10.0,9955
4,2005-03-31,10.25,10.25,9.95,10.03,19250
5,2005-04-01,10.0,10.44,9.81,10.4,25179
6,2005-04-04,10.45,10.45,10.05,10.29,7888
7,2005-04-05,10.25,11.701,10.25,11.0,32566
8,2005-04-06,11.3,13.5,11.25,12.7,74956
9,2005-04-07,13.0,13.48,12.6,12.94,63276
10,2005-04-08,12.0,12.72,12.0,12.2,32302
11,2005-04-11,11.3,11.73,10.9,11.29,31124
12,2005-04-12,11.29,11.36,10.61,10.65,31580
13,2005-04-13,10.09,11.4,10.05,10.28,32495
14,2005-04-14,10.85,11.47,10.11,11.47,22880
15,2005-04-15,10.99,11.15,10.71,10.99,26457
16,2005-04-18,10.699,10.699,10.0,10.01,13027
17,2005-04-19,10.99,10.99,10.11,10.476,8069
18,2005-04-20,10.749,10.749,10.11,10.319,9192
19,2005-04-21,10.1,10.25,9.0,9.08,28913
20,2005-04-22,9.86,9.86,9.05,9.44,45525
21,2005-04-25,9.236,9.35,8.64,8.64,22569
22,2005-04-26,8.06,8.9,7.73,8.62,32898
23,2005-04-27,7.36,8.85,7.36,8.6,24954
24,2005-04-28,8.23,8.65,8.23,8.58,5954
25,2005-04-29,8.06,8.67,8.06,8.67,10412
26,2005-05-02,8.67,8.95,8.67,8.9,12094
27,2005-05-03,9.3,9.3,8.5,8.95,27395
28,2005-05-04,8.959,9.499,8.88,9.49,20808
29,2005-05-05,9.71,9.71,9.102,9.71,14060
30,2005-05-06,9.75,10.0,9.431,9.91,16934
31,2005-05-09,10.0,10.07,9.95,10.0,11770
32,2005-05-10,10.04,10.19,9.87,10.19,30163
33,2005-05-11,10.18,10.18,9.901,10.1,8996
34,2005-05-12,10.31,10.98,9.77,10.5,33678
35,2005-05-13,10.75,10.75,10.12,10.6,21040
36,2005-05-16,10.75,10.98,10.45,10.95,24150
37,2005-05-17,10.95,10.99,10.73,10.74,18180
38,2005-05-18,10.75,10.75,9.77,10.449,11133
39,2005-05-19,10.24,10.24,9.95,9.99,8833
40,2005-05-20,9.95,10.05,9.95,10.0,13678
41,2005-05-23,9.931,10.05,9.88,9.95,5220
42,2005-05-24,9.95,9.95,9.77,9.94,4450
43,2005-05-25,9.77,10.0,9.51,10.0,12484
44,2005-05-26,10.09,10.49,9.55,10.22,20800
45,2005-05-27,10.45,10.69,10.35,10.69,36590
46,2005-05-31,11.0,11.0,10.26,10.8,29219
47,2005-06-01,10.26,10.9,10.26,10.45,20417
48,2005-06-02,10.461,10.9,9.99,10.09,18871
49,2005-06-03,10.0,10.39,9.01,10.39,12626
50,2005-06-06,11.15,11.15,10.39,11.0503,24813
51,2005-06-07,11.25,11.45,10.911,11.25,34887
52,2005-06-08,11.5,11.79,10.65,11.6,32265
53,2005-06-09,11.98,11.99,11.17,11.55,42563
54,2005-06-10,11.97,11.99,11.43,11.83,20584
55,2005-06-13,11.91,11.91,11.0,11.69,26128
56,2005-06-14,11.46,11.5,9.38,11.29,21576
57,2005-06-15,11.99,11.99,10.75,10.76,75754
58,2005-06-16,11.75,11.75,10.75,10.95,48212
59,2005-06-17,11.011,11.1,10.88,11.0,53699
60,2005-06-20,11.74,11.74,9.77,9.9,71307
61,2005-06-21,9.9,9.9,8.25,8.95,157761
62,2005-06-22,9.0,10.1,8.88,9.0,45417
63,2005-06-23,9.0,9.49,8.72,9.47,70158
64,2005-06-24,9.87,10.35,9.33,9.6,291627
65,2005-06-27,10.23,10.23,9.23,9.44,55167
66,2005-06-28,9.06,9.74,9.06,9.3,30363
