,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,30.31,30.37,29.75,29.87,339700
1,2000-01-04,29.62,29.81,29.37,29.44,264100
2,2000-01-05,29.5,30.94,29.44,30.62,747600
3,2000-01-06,30.06,30.44,29.94,30.0,210600
4,2000-01-07,30.0,30.12,29.87,30.06,252500
5,2000-01-10,30.12,30.12,29.69,30.0,226300
6,2000-01-11,29.81,30.25,29.81,30.25,190700
7,2000-01-12,30.19,30.62,30.06,30.31,188000
8,2000-01-13,30.31,30.37,29.87,30.0,144100
9,2000-01-14,30.0,30.19,29.31,29.37,220400
10,2000-01-18,29.31,29.31,28.62,28.87,505900
11,2000-01-19,28.87,29.56,28.87,29.5,286800
12,2000-01-20,29.44,29.94,29.25,29.75,267100
13,2000-01-21,30.12,31.25,29.87,30.5,555400
14,2000-01-24,30.62,37.0,30.62,32.88,1073600
15,2000-01-25,33.63,34.38,31.19,32.44,585300
16,2000-01-26,32.44,32.75,31.5,32.13,281200
17,2000-01-27,32.13,32.88,31.69,32.0,181400
18,2000-01-28,32.0,32.31,31.25,31.69,266100
19,2000-01-31,31.87,32.25,31.69,32.25,195900
20,2000-02-01,32.19,32.81,31.87,32.69,211000
21,2000-02-02,32.94,33.94,32.81,33.13,397800
22,2000-02-03,33.31,34.13,33.25,33.81,227600
23,2000-02-04,33.81,33.81,32.63,33.25,398300
24,2000-02-07,33.25,33.5,33.19,33.19,216100
25,2000-02-08,33.25,33.38,32.81,32.94,197600
26,2000-02-09,32.94,33.13,32.56,32.75,392100
27,2000-02-10,32.81,32.81,32.25,32.44,160000
28,2000-02-11,32.56,32.69,31.69,31.87,109300
29,2000-02-14,31.62,31.75,31.19,31.5,178800
30,2000-02-15,31.25,31.44,31.19,31.44,175000
31,2000-02-16,31.44,31.44,31.12,31.25,140400
32,2000-02-17,31.31,31.31,30.87,30.94,126900
33,2000-02-18,30.5,30.75,30.12,30.19,117800
34,2000-02-22,30.0,30.5,29.81,30.0,226400
35,2000-02-23,29.87,30.0,29.37,29.87,200800
36,2000-02-24,29.87,29.87,28.5,28.94,367600
37,2000-02-25,28.94,28.94,28.25,28.62,297100
38,2000-02-28,28.87,29.31,28.75,29.19,234400
39,2000-02-29,29.44,29.81,28.94,29.75,321400
40,2000-03-01,29.75,29.75,28.87,29.0,192500
41,2000-03-02,28.87,29.25,28.69,29.25,291500
42,2000-03-03,29.5,29.69,29.0,29.19,193300
43,2000-03-06,29.12,29.5,28.81,28.87,569000
44,2000-03-07,28.94,29.0,28.5,28.56,383100
45,2000-03-08,28.62,29.25,28.31,28.87,426000
46,2000-03-09,29.06,29.25,28.56,29.25,204600
