Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2022-06-24,64.92,76.44,62.28,70.92,16433
1.0,2022-06-27,71.88,71.88,57.24,69.24,24867
2.0,2022-06-28,68.28,68.28,60.12,63.84,20642
3.0,2022-06-29,64.44,64.44,48.132,51.72,27133
4.0,2022-06-30,50.28,55.32,44.04,50.16,19092
5.0,2022-07-01,53.16,54.6,48.12,48.36,15333
6.0,2022-07-05,49.08,52.44,45.6,47.64,8225
7.0,2022-07-06,48.6,49.44,42.24,44.04,6867
8.0,2022-07-07,44.16,45.624,40.08,43.248,14792
9.0,2022-07-08,39.84,43.44,39.6,41.16,20750
10.0,2022-07-11,41.52,41.88,39.6,40.68,4275
11.0,2022-07-12,39.96,41.76,37.8,39.72,5558
12.0,2022-07-13,38.04,40.08,36.12,37.56,4750
13.0,2022-07-14,36.48,37.08,32.52,33.96,10542
14.0,2022-07-15,33.144,33.828,32.436,33.12,4433
15.0,2022-07-18,33.12,36.0,29.64,30.36,17558
16.0,2022-07-19,29.04,34.44,29.04,32.4,16142
17.0,2022-07-20,33.0,97.8,33.0,74.4,3196375
18.0,2022-07-21,64.68,70.44,60.96,64.2,331842
19.0,2022-07-22,62.28,170.04,62.28,140.52,5533050
20.0,2022-07-25,121.68,148.2,109.8,116.04,821858
21.0,2022-07-26,136.44,258.72,126.96,200.88,4868017
22.0,2022-07-27,238.2,299.28,216.0,263.64,3574100
23.0,2022-07-28,249.12,250.44,204.0,215.64,606133
24.0,2022-07-29,238.68,330.6,196.92,297.84,1216692
25.0,2022-08-01,279.0,392.4,254.04,352.8,1057725
26.0,2022-08-02,373.44,414.0,306.012,359.4,407008
27.0,2022-08-03,368.88,383.88,314.58,322.8,132175
28.0,2022-08-04,313.08,318.0,200.52,212.28,135908
29.0,2022-08-05,252.6,312.6,241.44,273.12,307783
30.0,2022-08-08,271.92,279.72,232.92,251.28,78383
31.0,2022-08-09,244.2,272.4,234.24,262.92,68100
32.0,2022-08-10,267.6,270.0,235.428,239.76,36967
33.0,2022-08-11,243.12,263.88,237.72,242.04,39292
34.0,2022-08-12,243.72,259.8,238.2,248.88,21800
35.0,2022-08-15,245.76,288.0,240.36,272.16,121950
36.0,2022-08-16,287.76,287.76,247.8,263.88,44675
37.0,2022-08-17,258.12,262.44,234.12,247.8,23800
38.0,2022-08-18,243.0,244.14,216.84,227.88,25975
39.0,2022-08-19,216.0,235.2,211.44,224.16,24150
40.0,2022-08-22,218.28,220.56,192.48,200.04,20408
41.0,2022-08-23,198.0,202.8,183.24,187.92,23433
42.0,2022-08-24,184.44,185.196,168.36,172.32,24592
43.0,2022-08-25,175.44,175.44,162.24,164.76,20242
44.0,2022-08-26,168.0,177.96,162.84,165.84,25400
45.0,2022-08-29,168.36,169.44,144.0,149.28,24717
46.0,2022-08-30,149.4,156.72,149.28,151.32,19858
47.0,2022-08-31,147.24,149.52,135.84,143.16,14175
48.0,2022-09-01,145.8,145.8,130.92,135.84,24875
49.0,2022-09-02,135.84,139.2,130.92,134.04,9283
50.0,2022-09-06,126.84,126.84,112.08,115.08,26017
51.0,2022-09-07,114.0,117.24,111.0,116.4,13017
52.0,2022-09-08,116.52,119.16,105.24,119.16,17725
53.0,2022-09-09,116.4,150.48,111.12,132.0,106733
54.0,2022-09-12,139.2,141.0,129.6,133.8,33683
55.0,2022-09-13,131.16,144.0,127.32,140.88,30550
56.0,2022-09-14,144.6,153.36,138.0,140.64,27250
57.0,2022-09-15,143.88,145.56,130.8,132.36,21617
58.0,2022-09-16,134.04,134.04,93.24,94.44,41833
59.0,2022-09-19,96.0,98.004,82.68,83.88,37983
60.0,2022-09-20,34.44,36.24,27.0,27.48,1709358
61.0,2022-09-21,29.4,30.0,27.36,27.66,566558
62.0,2022-09-22,27.0,27.84,24.0,26.4,260067
63.0,2022-09-23,25.2,26.148,24.0,24.12,173167
64.0,2022-09-26,24.0,24.324,21.12,21.84,225533
65.0,2022-09-27,22.56,24.6,21.36,22.26,186842
66.0,2022-09-28,23.16,24.36,20.88,23.16,162683
67.0,2022-09-29,22.44,22.68,20.76,21.6,139458
68.0,2022-09-30,21.36,23.58,21.24,21.72,127250
69.0,2022-10-03,22.44,22.56,19.56,21.06,247258
70.0,2022-10-04,21.36,23.4,21.24,21.48,211917
71.0,2022-10-05,21.36,21.36,19.5,20.28,235792
72.0,2022-10-06,19.8,20.52,18.24,18.96,238075
73.0,2022-10-07,19.2,19.2,17.64,18.24,161508
74.0,2022-10-10,17.88,18.36,16.5,17.64,135033
75.0,2022-10-11,17.28,18.12,16.32,17.16,103483
76.0,2022-10-12,17.16,17.508,16.32,17.16,61000
77.0,2022-10-13,16.56,19.2,16.32,17.64,238700
78.0,2022-10-14,17.76,17.844,15.96,16.08,151892
79.0,2022-10-17,16.56,16.8,15.96,16.56,81942
80.0,2022-10-18,16.8,18.0,16.8,17.16,110467
81.0,2022-10-19,16.92,17.736,15.36,15.36,129875
82.0,2022-10-20,16.44,16.56,15.48,15.6,87808
83.0,2022-10-21,15.12,16.32,14.172,14.52,174150
84.0,2022-10-24,14.88,14.88,13.8,14.16,96875
85.0,2022-10-25,14.4,16.92,14.28,16.08,158650
86.0,2022-10-26,16.2,17.04,15.72,15.96,95725
87.0,2022-10-27,15.96,16.44,14.58,15.0,70600
88.0,2022-10-28,15.72,16.38,14.76,15.84,55175
89.0,2022-10-31,16.32,17.4,15.6,16.68,65800
90.0,2022-11-01,17.04,17.64,16.2,17.04,40033
91.0,2022-11-02,17.64,17.64,15.48,15.72,65950
92.0,2022-11-03,15.6,15.96,15.12,15.96,45583
93.0,2022-11-04,16.44,16.62,15.12,15.12,64892
94.0,2022-11-07,15.6,16.8,15.0,15.36,92142
95.0,2022-11-08,15.72,16.32,14.88,16.08,50667
96.0,2022-11-09,15.96,16.44,15.24,15.24,73075
97.0,2022-11-10,16.2,17.04,15.72,17.04,137975
98.0,2022-11-11,17.28,18.36,15.96,16.8,238025
99.0,2022-11-14,16.8,16.8,15.0,15.6,241175
100.0,2022-11-15,16.32,16.68,15.0,15.24,130550
101.0,2022-11-16,16.08,16.08,13.92,14.28,182867
102.0,2022-11-17,14.16,14.448,12.84,13.02,154183
103.0,2022-11-18,12.96,13.32,12.0,12.36,132283
104.0,2022-11-21,12.48,12.48,11.76,11.88,128625
105.0,2022-11-22,12.24,12.24,11.52,11.88,95892
106.0,2022-11-23,12.0,12.12,11.64,12.0,66500
107.0,2022-11-25,12.6,13.68,11.88,13.68,69825
108.0,2022-11-28,13.44,13.56,12.36,12.6,43083
109.0,2022-11-29,12.36,12.72,12.24,12.36,37683
110.0,2022-11-30,12.36,12.6,11.88,12.0,76958
111.0,2022-12-01,12.6,13.32,12.12,12.36,100717
112.0,2022-12-02,12.6,12.6,11.64,11.88,74533
113.0,2022-12-05,11.64,12.36,10.56,10.68,132300
114.0,2022-12-06,10.86,10.86,9.6,10.176,134092
115.0,2022-12-07,9.864,10.08,8.64,8.808,321667
116.0,2022-12-08,8.688,9.12,8.688,8.952,108883
117.0,2022-12-09,8.76,9.12,8.64,8.76,93058
118.0,2022-12-12,8.688,14.04,7.56,8.16,1587992
119.0,2022-12-13,8.628,9.12,7.92,8.232,347458
120.0,2022-12-14,8.4,8.64,7.44,7.848,258067
121.0,2022-12-15,8.1,8.4,7.8,8.04,556542
122.0,2022-12-16,8.16,8.16,6.84,7.44,299625
123.0,2022-12-19,7.596,7.68,6.84,6.876,349308
124.0,2022-12-20,6.96,8.988,6.852,7.968,551792
125.0,2022-12-21,8.256,10.8,8.04,8.94,903242
126.0,2022-12-22,9.456,9.96,8.64,9.12,462008
127.0,2022-12-23,9.12,10.2,8.964,10.044,121408
128.0,2022-12-27,10.236,12.84,10.236,12.36,731333
129.0,2022-12-28,12.96,15.96,12.96,14.88,1358050
130.0,2022-12-29,15.84,16.56,13.188,15.96,730733
131.0,2022-12-30,16.08,16.08,13.56,14.88,252725
132.0,2023-01-03,14.88,16.08,12.6,13.2,257367
133.0,2023-01-04,13.32,13.56,10.56,12.12,328308
134.0,2023-01-05,11.856,12.12,11.4,11.52,122133
135.0,2023-01-06,11.52,12.84,11.136,12.36,156367
136.0,2023-01-09,12.12,13.5,11.52,13.2,186533
137.0,2023-01-10,13.68,13.68,12.6,13.32,76475
138.0,2023-01-11,13.2,13.98,12.96,13.92,93200
139.0,2023-01-12,14.88,15.0,13.32,14.88,171608
140.0,2023-01-13,14.16,14.52,13.08,13.2,120658
141.0,2023-01-17,13.2,13.32,10.08,11.4,512192
142.0,2023-01-18,11.244,11.88,10.92,11.628,144133
143.0,2023-01-19,11.4,11.556,10.92,11.04,74383
144.0,2023-01-20,11.256,11.76,10.92,11.76,72242
145.0,2023-01-23,11.52,12.6,11.52,12.6,87842
146.0,2023-01-24,12.6,12.6,11.88,12.12,42067
147.0,2023-01-25,12.24,12.24,11.52,12.0,73733
148.0,2023-01-26,12.36,12.36,11.76,11.772,127100
149.0,2023-01-27,11.928,12.96,11.4,12.84,90750
150.0,2023-01-30,13.2,13.8,12.6,13.08,145675
151.0,2023-01-31,13.2,13.32,12.6,12.84,89375
152.0,2023-02-01,12.96,13.56,12.24,13.56,133275
153.0,2023-02-02,13.68,14.88,13.32,13.8,220250
154.0,2023-02-03,13.68,14.64,13.32,14.04,124792
155.0,2023-02-06,13.8,15.6,13.68,14.88,375100
156.0,2023-02-07,15.12,15.12,12.96,13.62,227300
157.0,2023-02-08,13.56,15.0,13.08,14.4,172967
158.0,2023-02-09,14.64,15.12,13.44,13.44,136133
159.0,2023-02-10,13.92,14.76,13.2,14.76,176183
160.0,2023-02-13,14.76,19.32,14.52,16.32,1015983
161.0,2023-02-14,16.92,17.04,14.76,16.08,281483
162.0,2023-02-15,19.2,19.32,15.0,16.2,1971267
163.0,2023-02-16,16.8,17.28,14.76,15.48,633808
164.0,2023-02-17,15.48,15.72,13.92,14.76,313650
165.0,2023-02-21,14.16,14.58,13.08,13.08,225200
166.0,2023-02-22,13.56,13.68,13.08,13.2,116758
167.0,2023-02-23,13.32,13.38,12.24,12.84,152033
168.0,2023-02-24,12.36,12.78,12.0,12.24,117150
169.0,2023-02-27,12.48,12.6,12.0,12.6,118192
170.0,2023-02-28,12.36,12.6,12.0,12.36,52625
171.0,2023-03-01,12.24,13.68,12.24,13.2,110008
172.0,2023-03-02,12.48,13.38,12.24,12.72,55667
173.0,2023-03-03,12.48,13.92,12.48,13.68,131783
174.0,2023-03-06,13.8,14.268,13.2,13.2,96950
175.0,2023-03-07,13.32,13.44,12.36,12.48,189483
176.0,2023-03-08,12.72,12.84,12.24,12.6,50833
177.0,2023-03-09,12.24,12.6,12.24,12.36,60017
178.0,2023-03-10,12.12,12.6,11.76,11.868,210558
179.0,2023-03-13,11.52,11.724,10.5,11.04,180458
180.0,2023-03-14,11.04,14.28,11.04,13.56,337625
181.0,2023-03-15,13.68,14.88,12.6,12.72,483800
182.0,2023-03-16,12.24,13.308,12.24,12.96,97833
183.0,2023-03-17,12.6,12.6,11.88,11.88,95825
184.0,2023-03-20,11.76,12.48,11.76,12.0,55508
185.0,2023-03-21,12.24,13.14,12.0,12.84,1571517
186.0,2023-03-22,12.72,12.84,11.88,12.12,55175
