,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,15.875,16.125,14.389,15.765,1150090
1,2000-01-04,14.937,15.906,14.625,15.156,823203
2,2000-01-05,15.047,15.047,14.125,14.313,809187
3,2000-01-06,14.375,14.375,13.5,13.75,468800
4,2000-01-07,13.695,14.008,13.382,13.82,1100208
5,2000-01-10,13.86,14.812,13.86,14.624,1387022
6,2000-01-11,14.617,14.649,13.368,13.524,677144
7,2000-01-12,14.137,14.207,13.394,13.472,738153
8,2000-01-13,13.875,14.36,13.782,14.063,1985945
9,2000-01-14,14.219,15.016,14.157,14.938,1884751
10,2000-01-18,15.108,16.37,15.053,16.119,1454488
11,2000-01-19,16.0,16.062,15.5,16.0,1246000
12,2000-01-20,16.031,17.312,15.968,16.984,2498835
13,2000-01-21,17.125,18.125,16.875,17.641,2835965
14,2000-01-24,18.102,18.477,17.477,17.633,2656783
15,2000-01-25,17.5,17.875,16.375,17.531,1439609
16,2000-01-26,17.523,17.835,17.211,17.492,920827
17,2000-01-27,17.852,18.696,16.726,16.742,1867559
18,2000-01-28,17.066,17.097,15.239,15.91,1624397
19,2000-01-31,16.211,16.273,14.837,15.102,1417081
20,2000-02-01,15.805,16.399,15.102,16.196,2184594
21,2000-02-02,16.219,17.313,16.203,16.735,1859838
22,2000-02-03,16.883,17.071,16.727,17.008,1763946
23,2000-02-04,17.0,17.031,16.312,16.406,1471214
24,2000-02-07,16.453,16.563,16.063,16.219,973191
25,2000-02-08,16.274,17.086,16.243,16.399,1167731
26,2000-02-09,16.625,16.781,16.359,16.531,903202
27,2000-02-10,16.501,17.561,16.47,17.53,2685328
28,2000-02-11,17.251,17.313,16.969,17.188,1559566
29,2000-02-14,17.231,17.262,16.965,17.09,716692
30,2000-02-15,17.125,17.657,17.094,17.313,2345141
31,2000-02-16,17.376,17.407,17.266,17.313,2293547
32,2000-02-17,17.528,20.62,17.497,20.23,5458198
33,2000-02-18,20.27,20.27,19.094,19.406,2650023
34,2000-02-22,20.16,20.25,19.219,19.375,657600
35,2000-02-23,19.606,21.87,19.606,21.34,2545264
36,2000-02-24,21.41,22.5,21.41,22.31,2793959
37,2000-02-25,22.62,26.15,22.51,24.93,2835446
38,2000-02-28,24.25,25.06,23.84,24.78,2235612
39,2000-02-29,25.33,30.28,25.15,29.06,3086160
40,2000-03-01,29.64,30.23,24.55,27.36,2396087
41,2000-03-02,27.84,27.87,25.47,25.53,1125603
42,2000-03-03,26.36,33.39,26.11,32.39,3228197
43,2000-03-06,32.97,33.0,29.09,29.56,2097182
44,2000-03-07,30.06,31.22,29.34,29.5,2448800
45,2000-03-08,29.35,29.54,26.67,27.51,1940012
46,2000-03-09,27.53,30.75,27.45,30.62,2821600
47,2000-03-10,30.81,30.86,28.93,29.19,466351
48,2000-03-13,29.27,29.28,27.45,27.58,539891
