,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,2.745,2.7832,2.738,2.7693,3739628
1,2000-01-04,2.7567,2.7567,2.7046,2.715,3130523
2,2000-01-05,2.7155,2.8509,2.7155,2.837,2595434
3,2000-01-06,2.8369,2.9723,2.8195,2.948,5480847
4,2000-01-07,2.9481,3.0315,2.9481,3.028,4076700
5,2000-01-10,3.0264,3.2416,3.0264,3.2277,7902030
6,2000-01-11,3.188,3.2644,3.1567,3.188,3477056
7,2000-01-12,3.1755,3.1755,3.0991,3.1443,2074159
8,2000-01-13,3.1801,3.3155,3.1801,3.194,4158548
9,2000-01-14,3.1979,3.2778,3.184,3.25,2680200
10,2000-01-18,3.2851,3.3163,3.2746,3.292,2354168
11,2000-01-19,3.2792,3.2827,3.1403,3.1472,2661010
12,2000-01-20,3.1545,3.1857,3.0955,3.1267,2202622
13,2000-01-21,3.1004,3.2256,3.0761,3.0865,1852075
14,2000-01-24,3.0715,3.1862,3.0125,3.0403,2408578
15,2000-01-25,3.063,3.0873,3.0352,3.063,885459
16,2000-01-26,3.0678,3.1408,3.047,3.1373,1241275
17,2000-01-27,3.1558,3.1558,3.1002,3.128,2019904
18,2000-01-28,3.1283,3.1283,2.8512,2.9482,3442198
19,2000-01-31,2.9598,2.9598,2.8904,2.9078,1471583
20,2000-02-01,2.9062,2.9409,2.9062,2.934,1692007
21,2000-02-02,2.9423,2.9736,2.9319,2.9493,917574
22,2000-02-03,2.9462,2.9671,2.9393,2.9393,1478720
23,2000-02-04,2.955,2.9654,2.9307,2.955,1367937
24,2000-02-07,2.9305,2.9444,2.9201,2.934,741603
25,2000-02-08,2.9224,2.9606,2.9224,2.9363,771619
26,2000-02-09,2.9233,2.9233,2.8921,2.899,1119717
27,2000-02-10,2.8771,2.8805,2.5404,2.5508,5849260
28,2000-02-11,2.5536,2.6822,2.5536,2.6683,4799467
29,2000-02-14,2.6732,2.7703,2.6732,2.7564,3102293
30,2000-02-15,2.7378,2.7899,2.7274,2.7517,1891193
31,2000-02-16,2.7643,2.7643,2.7296,2.74,1599955
32,2000-02-17,2.7253,2.7739,2.7253,2.767,1420374
33,2000-02-18,2.7569,2.7604,2.6736,2.684,1492211
34,2000-02-22,2.7087,2.7538,2.6566,2.667,2721267
35,2000-02-23,2.6651,2.6859,2.6408,2.6477,1923527
36,2000-02-24,2.6511,2.665,2.5642,2.5642,3041744
37,2000-02-25,2.5591,2.6008,2.5591,2.573,1353564
38,2000-02-28,2.5836,2.6044,2.5766,2.594,1249082
39,2000-02-29,2.6078,2.6321,2.5001,2.514,1456143
40,2000-03-01,2.5279,2.5522,2.5071,2.514,989960
41,2000-03-02,2.5139,2.5208,2.4861,2.5,2343600
42,2000-03-03,2.526,2.526,2.467,2.4947,2474965
43,2000-03-06,2.5038,2.5038,2.4517,2.476,1432630
44,2000-03-07,2.4544,2.4544,2.3642,2.385,5355942
45,2000-03-08,2.3767,2.3836,2.335,2.3663,1444380
46,2000-03-09,2.3539,2.3712,2.3331,2.34,936106
47,2000-03-10,2.3543,2.4064,2.3473,2.389,1373340
48,2000-03-13,2.392,2.4094,2.3573,2.392,2145926
49,2000-03-14,2.3889,2.4098,2.3507,2.3715,2029227
50,2000-03-15,2.3609,2.5692,2.3539,2.531,9242116
51,2000-03-16,2.5569,2.5985,2.5569,2.5673,4886318
52,2000-03-17,2.5542,2.5542,2.457,2.4848,3342622
53,2000-03-20,2.5069,2.5696,2.4999,2.5591,4505546
54,2000-03-21,2.6665,2.7082,2.6526,2.67,4955649
55,2000-03-22,2.7449,2.7832,2.7032,2.7658,6657770
56,2000-03-23,2.7723,2.8071,2.7723,2.7793,10936344
57,2000-03-24,2.7747,2.7921,2.726,2.7295,3869986
58,2000-03-27,2.7513,2.7548,2.6783,2.6887,1092490
59,2000-03-28,2.6749,2.7166,2.6749,2.6923,1484281
60,2000-03-29,2.7088,2.7296,2.6497,2.681,2964110
61,2000-03-30,2.6874,2.7602,2.677,2.7394,2025878
62,2000-03-31,2.7467,2.8266,2.712,2.778,4528450
63,2000-04-03,2.7658,2.7797,2.745,2.7763,1899450
64,2000-04-04,2.7482,2.7864,2.7066,2.7447,3150261
65,2000-04-05,2.7219,2.7705,2.7219,2.767,2032454
66,2000-04-06,2.7606,2.8023,2.7606,2.778,3057965
67,2000-04-07,2.7936,2.8075,2.6824,2.7693,2690965
68,2000-04-10,2.7428,2.7428,2.7047,2.729,3197946
69,2000-04-11,2.7292,2.7953,2.7257,2.7605,3287386
70,2000-04-12,2.7429,2.8019,2.7429,2.788,4158272
71,2000-04-13,2.7918,2.8092,2.7605,2.7605,5970093
72,2000-04-14,2.7534,2.7604,2.7222,2.743,2359836
73,2000-04-17,2.7431,2.7951,2.6841,2.7535,2973756
74,2000-04-18,2.7259,2.8058,2.7085,2.778,4438463
75,2000-04-19,2.7782,2.8338,2.747,2.806,4562277
76,2000-04-20,2.8162,2.8649,2.8127,2.8405,5069323
77,2000-04-24,2.8299,2.8404,2.7813,2.823,1664955
78,2000-04-25,2.8334,2.8855,2.8195,2.882,9509222
79,2000-04-26,2.891,3.0961,2.891,3.0613,17384016
80,2000-04-27,3.0608,3.1094,3.0192,3.0677,6310709
81,2000-04-28,3.0542,3.0542,2.9883,2.9918,5013377
82,2000-05-01,2.9983,3.0156,2.9705,2.9983,1671241
83,2000-05-02,3.0005,3.0943,3.0005,3.063,5390128
84,2000-05-03,3.0604,3.1299,3.0047,3.0708,8399960
85,2000-05-04,3.0767,3.3093,3.0697,3.285,8464689
86,2000-05-05,3.1945,3.316,3.1806,3.191,9005341
87,2000-05-08,3.2049,3.2812,3.1667,3.25,4105800
88,2000-05-09,3.2239,3.2656,3.2065,3.2413,2957656
89,2000-05-10,3.2377,3.2516,3.1612,3.1612,1565242
90,2000-05-11,3.1683,3.2586,3.1578,3.1683,3763689
91,2000-05-12,3.1946,3.2293,3.1668,3.205,2714288
92,2000-05-15,3.2045,3.2462,3.1872,3.208,2606672
93,2000-05-16,3.2018,3.2018,3.0976,3.108,2327138
94,2000-05-17,3.1089,3.1402,3.0707,3.1263,2769078
95,2000-05-18,3.1357,3.1357,3.0941,3.101,847723
96,2000-05-19,3.1021,3.1473,3.0639,3.0813,3042415
