,DateTime,Open,High,Low,Close,Volume
0,2006-06-30,13.89,14.07,13.8,13.98,11871
1,2020-06-19,15.11,15.92,12.65,13.12,3023188
2,2020-06-22,13.89,13.95,11.76,11.97,580111
3,2020-06-23,11.96,12.374,10.6,11.3,556572
4,2020-06-24,11.36,11.786,11.03,11.52,313506
5,2020-06-25,11.5,11.5,10.25,10.5,369697
6,2020-06-26,10.51,10.6,9.54,9.98,209071
7,2020-06-29,9.83,10.18,9.16,9.75,192580
8,2020-06-30,9.6,9.81,8.81,9.0,259100
9,2020-07-01,9.07,9.07,7.63,7.98,827457
10,2020-07-02,8.39,9.0,7.9,8.8,390696
11,2020-07-06,8.75,8.99,8.6101,8.785,253829
12,2020-07-07,8.51,9.79,8.51,9.3,278621
13,2020-07-08,9.63,10.4201,9.18,9.97,227898
14,2020-07-09,10.02,10.02,8.99,9.33,111591
15,2020-07-10,9.19,9.63,8.8401,9.44,46160
16,2020-07-13,9.6,9.61,8.72,8.8,77850
17,2020-07-14,8.5,9.5365,8.07,9.37,89422
18,2020-07-15,9.45,10.5,9.15,10.23,251603
19,2020-07-16,10.18,10.9,9.71,10.79,137354
20,2020-07-17,10.98,10.9999,10.27,10.6,76688
21,2020-07-20,10.61,10.61,10.07,10.33,36732
22,2020-07-21,10.13,10.52,8.86,9.0,181614
23,2020-07-22,9.06,9.48,8.59,9.17,79912
24,2020-07-23,8.81,9.305,8.8,8.9773,118290
25,2020-07-24,9.26,9.28,8.9,9.09,43730
26,2020-07-27,9.02,9.02,8.65,8.74,40388
27,2020-07-28,8.58,8.84,8.3601,8.52,55068
28,2020-07-29,8.46,8.6203,8.16,8.4,52685
29,2020-07-30,8.64,8.8491,8.4006,8.74,23333
30,2020-07-31,8.53,9.08,8.45,9.08,66722
31,2020-08-03,9.23,9.23,8.8,9.06,24741
32,2020-08-04,9.03,9.24,8.93,9.09,27971
33,2020-08-05,9.05,9.09,8.69,8.69,43260
34,2020-08-06,8.62,9.14,8.62,9.07,22692
35,2020-08-07,8.99,9.0975,8.64,9.01,15387
36,2020-08-10,8.89,9.1399,8.89,9.04,36857
37,2020-08-11,9.02,9.07,8.8,8.92,20935
38,2020-08-12,9.0,9.31,8.8301,9.06,29254
39,2020-08-13,9.04,9.375,8.85,8.95,34477
40,2020-08-14,8.31,8.5,7.71,7.71,90012
41,2020-08-17,7.88,9.45,7.85,9.32,115634
42,2020-08-18,9.44,10.27,8.95,9.56,138529
43,2020-08-19,9.56,9.675,8.8,8.81,55585
44,2020-08-20,8.85,9.54,8.52,9.34,35605
45,2020-08-21,9.73,9.75,8.9301,9.15,21222
46,2020-08-24,9.7,9.71,8.67,9.2,24187
47,2020-08-25,9.03,9.195,8.66,8.8865,14886
48,2020-08-26,8.78,9.03,8.78,8.79,13932
49,2020-08-27,8.98,9.24,8.8,8.9,10720
50,2020-08-28,8.79,9.45,8.79,9.09,43686
51,2020-08-31,8.85,9.25,8.82,9.1,28885
52,2020-09-01,9.22,9.22,8.51,8.91,27711
53,2020-09-02,8.755,9.0,8.51,8.89,32813
54,2020-09-03,8.92,8.98,8.11,8.44,67646
55,2020-09-04,8.33,8.98,8.1,8.805,50462
56,2020-09-08,9.28,9.62,8.36,8.77,74735
57,2020-09-09,8.98,9.665,8.98,9.59,54166
58,2020-09-10,9.4,9.4,8.52,8.66,27227
59,2020-09-11,8.68,9.21,8.58,8.92,55746
60,2020-09-14,8.99,9.53,8.41,9.51,199035
61,2020-09-15,9.53,9.75,9.041,9.07,231729
62,2020-09-16,9.3,9.66,9.17,9.24,28322
63,2020-09-17,9.08,9.53,9.01,9.23,60740
64,2020-09-18,9.24,9.4,8.43,8.47,434901
65,2020-09-21,8.45,9.3,8.05,8.26,37954
66,2020-09-22,8.45,8.56,8.22,8.27,20757
67,2020-09-23,8.25,8.97,8.12,8.71,135231
68,2020-09-24,8.92,8.92,8.25,8.56,77319
69,2020-09-25,8.75,8.81,8.5301,8.77,48435
70,2020-09-28,8.82,9.1,8.63,8.87,66922
71,2020-09-29,8.85,9.0,8.6301,8.87,29015
72,2020-09-30,8.91,9.07,8.67,9.07,45849
73,2020-10-01,9.02,9.5,9.02,9.35,54491
74,2020-10-02,9.09,9.3,8.76,9.3,41939
75,2020-10-05,9.37,9.37,8.8242,9.1,22592
76,2020-10-06,9.29,9.29,9.04,9.12,19182
77,2020-10-07,9.1,9.56,9.01,9.21,24536
78,2020-10-08,9.28,9.54,9.28,9.46,23601
79,2020-10-09,9.455,9.51,9.13,9.23,11836
80,2020-10-12,9.26,9.3217,9.0,9.13,17144
81,2020-10-13,9.17,9.17,8.74,9.11,46449
82,2020-10-14,9.33,9.48,8.9,8.98,15915
83,2020-10-15,8.84,9.15,8.84,8.95,10155
84,2020-10-16,8.97,9.41,8.84,8.85,17493
85,2020-10-19,9.14,9.165,8.83,8.91,9672
86,2020-10-20,8.9,9.16,8.16,8.21,65918
