,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,41.14,46.91,40.38,46.37,4057269
1,2000-01-04,45.48,45.48,41.3,41.91,3366774
2,2000-01-05,39.75,40.38,36.38,38.42,6098799
3,2000-01-06,37.41,38.97,35.69,35.69,3483185
4,2000-01-07,33.96,37.86,33.96,36.99,3154640
5,2000-01-10,39.41,41.72,37.78,41.66,2914644
6,2000-01-11,41.18,41.96,36.7,36.76,2532959
7,2000-01-12,38.41,38.42,36.58,37.74,2298361
8,2000-01-13,38.94,40.75,37.91,40.73,1535201
9,2000-01-14,42.1,42.38,40.35,41.48,1657737
10,2000-01-18,42.11,45.23,41.98,43.89,3884210
11,2000-01-19,45.49,45.51,41.04,42.78,3147499
12,2000-01-20,46.22,46.22,43.11,44.81,2983664
13,2000-01-21,45.0,46.0,42.78,44.94,2896796
14,2000-01-24,46.34,46.44,39.72,40.75,2708000
15,2000-01-25,41.98,44.13,40.75,43.5,2905200
16,2000-01-26,43.62,44.99,41.49,41.76,1596670
17,2000-01-27,43.47,43.48,40.75,40.81,2048798
18,2000-01-28,40.62,42.55,37.93,39.09,2034373
19,2000-01-31,39.64,40.77,37.01,38.22,3426653
20,2000-02-01,39.09,39.94,37.32,39.31,2865377
21,2000-02-02,39.88,42.18,39.13,41.37,3286876
22,2000-02-03,41.81,44.47,41.78,44.12,2172800
23,2000-02-04,44.92,45.77,43.76,44.89,2023706
24,2000-02-07,45.8,50.34,44.49,50.15,3939351
25,2000-02-08,50.78,52.39,47.41,48.78,4276714
26,2000-02-09,49.48,50.98,47.86,49.83,2316692
27,2000-02-10,50.3,52.92,49.7,52.36,1890155
28,2000-02-11,53.52,53.57,49.38,50.0,1820485
29,2000-02-14,50.28,52.35,49.09,52.16,1804298
30,2000-02-15,52.81,52.81,48.63,52.47,2130800
31,2000-02-16,52.45,52.58,50.08,50.7,2041791
32,2000-02-17,52.31,53.0,50.38,52.5,1516200
33,2000-02-18,52.28,57.0,52.19,55.5,4013000
34,2000-02-22,57.44,58.5,52.12,57.75,2794200
35,2000-02-23,58.72,67.75,58.25,67.66,3284200
36,2000-02-24,69.47,74.81,66.1,73.03,3645807
37,2000-02-25,74.47,77.44,72.09,72.66,2657923
38,2000-02-28,72.92,73.55,63.43,70.89,2865101
39,2000-02-29,75.25,79.56,72.07,78.18,2274327
40,2000-03-01,79.5,79.69,72.0,74.38,2113600
41,2000-03-02,77.48,77.61,69.74,70.36,1695124
42,2000-03-03,73.25,77.75,72.5,77.72,3166800
43,2000-03-06,81.8,89.58,79.92,87.42,2480627
44,2000-03-07,91.48,101.61,88.99,94.64,3614212
45,2000-03-08,99.36,99.98,86.38,95.36,3691109
46,2000-03-09,95.52,98.3,90.99,93.8,2319164
47,2000-03-10,95.42,96.92,89.42,89.49,1577744
48,2000-03-13,82.34,87.16,80.47,84.84,3600929
49,2000-03-14,85.95,86.45,70.46,74.05,5071768
50,2000-03-15,75.13,76.25,61.59,62.97,5936800
51,2000-03-16,66.11,73.3,58.35,72.92,6068085
52,2000-03-17,72.0,80.5,69.09,77.75,3981000
53,2000-03-20,79.75,82.0,74.5,74.5,3321800
54,2000-03-21,74.69,80.0,67.5,77.97,4656800
55,2000-03-22,78.56,79.0,74.0,76.72,3371600
56,2000-03-23,74.41,75.9,71.41,72.59,2125533
57,2000-03-24,72.45,77.42,72.02,73.45,2506061
58,2000-03-27,74.75,76.74,73.25,74.25,2103624
59,2000-03-28,75.26,76.25,68.78,69.74,3034189
60,2000-03-29,69.77,69.77,60.36,61.05,5297297
61,2000-03-30,58.17,69.97,57.92,62.61,5248801
62,2000-03-31,66.8,68.05,58.82,67.7,5146205
63,2000-04-03,65.72,65.86,49.99,51.55,5661361
64,2000-04-04,54.75,59.0,40.0,55.47,7962600
65,2000-04-05,51.81,60.97,49.25,55.84,5241795
66,2000-04-06,58.83,59.58,50.95,53.82,3367148
67,2000-04-07,54.48,56.48,51.61,53.08,2521703
68,2000-04-10,55.42,57.57,47.68,47.96,3907583
69,2000-04-11,44.12,53.82,43.65,49.32,4188198
70,2000-04-12,49.45,50.64,41.51,42.14,3781726
71,2000-04-13,42.47,45.93,38.72,39.53,4732614
72,2000-04-14,35.81,37.5,29.38,31.25,7847800
73,2000-04-17,26.01,35.02,26.01,34.36,7234248
74,2000-04-18,35.47,37.78,33.56,36.97,3722586
75,2000-04-19,38.48,41.48,36.99,38.77,3234905
76,2000-04-20,39.29,41.17,33.95,37.64,2974129
77,2000-04-24,33.88,37.06,32.0,35.38,2420600
78,2000-04-25,37.88,40.25,36.13,37.81,4262183
79,2000-04-26,39.56,40.75,36.5,36.69,2793595
80,2000-04-27,35.09,48.95,34.68,45.7,5980737
81,2000-04-28,48.33,53.52,47.14,50.14,5031036
82,2000-05-01,52.6,55.01,48.09,51.09,3757159
83,2000-05-02,49.94,52.44,47.0,47.22,2336000
84,2000-05-03,45.46,47.34,42.58,47.29,4549855
85,2000-05-04,47.67,51.48,45.23,45.55,4123998
86,2000-05-05,45.31,50.17,45.19,49.97,2929200
87,2000-05-08,42.81,45.38,37.25,37.38,22325800
88,2000-05-09,37.95,37.98,29.11,30.99,31602456
89,2000-05-10,30.53,32.5,29.53,30.38,15255400
90,2000-05-11,33.06,33.84,31.19,32.22,16149712
91,2000-05-12,33.38,34.0,32.38,32.69,7759730
92,2000-05-15,31.92,32.11,30.08,31.48,5159487
93,2000-05-16,32.75,33.63,30.66,31.44,7123925
94,2000-05-17,30.17,33.33,30.17,32.8,4967505
95,2000-05-18,32.81,33.97,32.19,32.88,5314800
96,2000-05-19,32.19,33.0,30.59,30.69,3349189
97,2000-05-22,30.11,30.36,24.71,27.99,6912851
98,2000-05-23,27.29,28.32,23.55,23.68,4153647
99,2000-05-24,23.77,24.02,19.86,23.83,11874472
100,2000-05-25,24.11,25.95,23.3,23.7,5737221
101,2000-05-26,23.72,24.06,21.44,22.72,5251379
102,2000-05-30,23.5,26.63,23.5,26.47,6653976
103,2000-05-31,25.02,26.83,24.23,24.55,5363107
104,2000-06-01,25.19,27.5,25.19,27.28,4179406
105,2000-06-02,29.44,31.5,29.31,30.91,6002809
106,2000-06-05,30.2,32.61,29.74,31.23,5375500
107,2000-06-06,31.5,32.47,28.47,28.6,3928413
108,2000-06-07,29.41,29.91,27.53,29.34,5257495
109,2000-06-08,29.88,31.0,28.5,29.31,3583585
110,2000-06-09,30.5,30.62,28.5,29.03,3143800
111,2000-06-12,28.98,29.17,26.33,26.67,4312049
112,2000-06-13,25.47,28.19,25.13,28.19,5546743
113,2000-06-14,28.81,28.88,25.78,26.47,4922193
114,2000-06-15,26.53,26.72,24.53,25.69,5920931
115,2000-06-16,26.41,26.59,25.03,25.44,3019340
116,2000-06-19,24.73,24.89,23.64,24.83,5678366
117,2000-06-20,24.19,29.0,23.75,28.44,8021702
118,2000-06-21,27.59,32.76,27.42,31.98,9677054
119,2000-06-22,33.81,36.12,31.62,33.5,14792800
120,2000-06-23,34.39,35.48,32.51,33.77,6498870
121,2000-06-26,34.58,37.64,33.01,37.55,6748791
122,2000-06-27,36.69,39.19,34.5,34.5,8761400
123,2000-06-28,35.05,36.36,34.48,34.73,4680043
124,2000-06-29,34.11,34.66,32.52,33.33,4171275
125,2000-06-30,33.27,34.39,31.08,33.08,4814445
126,2000-07-03,32.7,35.58,32.49,34.83,2367867
127,2000-07-05,34.28,34.37,30.1,30.28,4097158
128,2000-07-06,31.23,35.51,31.13,35.49,6635047
129,2000-07-07,35.05,36.93,34.65,35.48,4599380
130,2000-07-10,35.48,37.52,35.27,36.8,3370110
131,2000-07-11,36.06,38.0,35.5,38.0,4732400
132,2000-07-12,38.86,40.77,38.17,39.64,6595217
133,2000-07-13,40.38,45.0,40.25,44.94,7682165
