,DateTime,Open,High,Low,Close,Volume
0,2013-05-09,15.0,15.16,13.97,14.0,1064819
1,2013-05-10,14.0,14.3,13.95,14.11,357520
2,2013-05-13,14.19,14.68,14.19,14.44,48144
3,2013-05-14,14.49,14.49,14.27,14.45,11442
4,2013-05-15,14.5,14.5,14.25,14.45,23756
5,2013-05-16,14.4,14.4,14.06,14.4,20539
6,2013-05-17,14.5,14.5,14.2,14.29,134981
7,2013-05-20,14.29,14.45,14.19,14.4,38975
8,2013-05-21,14.5,14.5,14.11,14.33,17419
9,2013-05-22,14.4,14.4,14.13,14.4,19246
10,2013-05-23,14.3,14.3,14.0,14.06,13191
11,2013-05-24,14.03,14.03,13.0,13.94,82019
12,2013-05-28,14.17,14.67,14.11,14.36,28207
13,2013-05-29,14.5,14.5,14.15,14.47,3247
14,2013-05-30,14.59,15.235,14.59,14.98,27490
15,2013-05-31,15.74,16.0,15.0,15.8,26186
16,2013-06-03,15.96,19.95,15.96,18.41,60042
17,2013-06-04,18.66,19.81,17.5,18.75,34032
18,2013-06-05,19.43,20.999,18.0001,18.19,30864
19,2013-06-06,18.21,19.649,18.0,18.0,46206
20,2013-06-07,19.11,20.25,18.4,20.08,28825
21,2013-06-10,20.27,21.49,19.01,19.28,82176
22,2013-06-11,19.17,19.91,18.0,18.77,82462
23,2013-06-12,19.11,19.99,18.0,18.65,14392
24,2013-06-13,19.0375,19.04,18.249,19.0,9303
25,2013-06-14,18.81,19.99,17.742,17.94,14782
26,2013-06-17,17.38,20.38,16.11,18.07,114617
27,2013-06-18,18.01,18.3,17.007,18.0,50255
28,2013-06-19,17.95,18.38,17.04,18.03,18469
29,2013-06-20,18.15,18.94,17.8101,18.15,25056
30,2013-06-21,18.0,18.88,17.91,18.53,93444
31,2013-06-24,18.25,19.56,17.151,19.41,27589
32,2013-06-25,19.42,19.83,18.46,19.15,70730
33,2013-06-26,19.0,21.4,18.89,20.29,52908
34,2013-06-27,20.4,20.98,19.01,19.2,58222
35,2013-06-28,19.67,21.05,19.615,19.9,611619
36,2013-07-01,18.99,20.149,18.99,19.42,25902
37,2013-07-02,19.6,20.73,18.0,18.33,80608
38,2013-07-03,18.3,19.14,17.61,17.78,33516
39,2013-07-05,19.28,19.28,18.12,18.42,17234
40,2013-07-08,18.6,18.75,18.5701,18.74,7467
41,2013-07-09,18.87,19.36,18.52,18.56,22325
42,2013-07-10,18.75,19.02,18.33,18.79,13338
43,2013-07-11,19.05,19.1,18.2,18.44,14264
44,2013-07-12,18.568,18.7125,18.4,18.5,4370
45,2013-07-15,18.34,18.78,18.34,18.41,6903
46,2013-07-16,18.75,18.885,18.52,18.53,26297
47,2013-07-17,18.75,19.545,18.6,18.7,7499
48,2013-07-18,18.88,18.9,18.6,18.75,5017
49,2013-07-19,18.71,19.69,18.525,19.545,87487
50,2013-07-22,19.51,20.23,19.45,19.79,27204
51,2013-07-23,19.99,19.99,18.7,19.1,44561
52,2013-07-24,19.09,19.12,18.23,18.38,45880
53,2013-07-25,18.3,18.65,18.23,18.63,51133
54,2013-07-26,18.82,20.27,18.75,19.07,33167
55,2013-07-29,19.09,19.8875,18.9,19.66,22403
56,2013-07-30,19.69,19.7875,19.36,19.73,11154
57,2013-07-31,19.85,20.03,19.71,19.97,8006
58,2013-08-01,20.03,20.39,19.65,19.67,9817
59,2013-08-02,19.61,20.5,19.0,19.18,16055
60,2013-08-05,19.12,20.05,18.7601,19.74,46256
61,2013-08-06,19.73,19.99,18.164,18.45,26625
