,DateTime,Open,High,Low,Close,Volume
0,2017-07-31,22.43,25.11,22.29,24.13,4397900
1,2017-08-01,26.25,28.7,25.3,26.48,3757700
2,2017-08-02,28.45,31.19,27.7,31.06,3666200
3,2017-08-03,33.39,33.49,26.51,27.2,5771200
4,2017-08-04,27.74,27.76,25.51,25.84,1670600
5,2017-08-07,25.72,28.22,24.7,25.27,2618200
6,2017-08-08,25.62,25.9,24.44,25.52,1311400
7,2017-08-09,25.0,26.58,24.72,26.33,982900
8,2017-08-10,26.0,26.4,25.11,25.44,597600
9,2017-08-11,25.03,25.924,24.21,24.85,636500
10,2017-08-14,25.11,25.31,24.5,24.96,554900
11,2017-08-15,24.84,28.85,24.55,28.59,2016300
12,2017-08-16,28.85,30.21,26.643,27.19,2240700
13,2017-08-17,26.91,28.469,26.0,26.58,1332900
14,2017-08-18,26.59,27.245,25.31,26.7,1145700
15,2017-08-21,26.62,28.54,26.45,27.56,1356600
16,2017-08-22,25.64,27.3,25.2,25.27,2021100
17,2017-08-23,25.05,26.18,25.0,25.75,918300
18,2017-08-24,25.74,26.073,25.101,25.79,1579600
19,2017-08-25,25.47,25.8,24.87,24.89,973100
20,2017-08-28,24.8,25.126,24.51,24.83,675700
21,2017-08-29,24.55,24.79,23.6,23.87,923500
22,2017-08-30,23.65,23.87,22.66,23.04,1453100
23,2017-08-31,22.09,23.37,22.07,22.29,955000
24,2017-09-01,22.15,23.68,22.15,23.6,998700
25,2017-09-05,23.59,25.19,23.255,24.99,1499800
26,2017-09-06,24.62,25.93,24.551,25.86,1371200
27,2017-09-07,26.05,26.05,25.21,25.36,1562500
28,2017-09-08,26.4,26.4,24.01,24.1,1668700
29,2017-09-11,24.3,26.04,24.16,25.82,1254600
30,2017-09-12,25.85,26.247,25.01,25.41,647900
31,2017-09-13,25.25,26.95,25.25,26.89,931000
32,2017-09-14,26.69,27.96,26.425,26.72,790700
33,2017-09-15,26.5,27.35,26.05,26.53,2091500
34,2017-09-18,26.69,27.125,25.6,26.92,702100
35,2017-09-19,26.92,27.3,26.36,26.58,464600
36,2017-09-20,26.58,27.29,26.38,27.28,564900
37,2017-09-21,27.04,27.35,26.13,26.25,380500
38,2017-09-22,26.39,28.0,26.2,27.97,989300
39,2017-09-25,27.87,28.695,25.64,26.02,1518500
40,2017-09-26,26.0,26.517,25.04,25.21,1061300
41,2017-09-27,25.32,25.78,25.03,25.24,755000
42,2017-09-28,25.35,25.73,24.89,25.42,414000
43,2017-09-29,25.21,25.54,24.65,25.09,825600
44,2017-10-02,24.97,25.47,24.81,25.05,416200
45,2017-10-03,24.9,25.19,24.808,24.92,543100
46,2017-10-04,24.83,25.27,24.81,24.92,417500
47,2017-10-05,24.81,25.32,24.55,25.0,840300
48,2017-10-06,24.9,25.01,24.05,25.0,771500
49,2017-10-09,25.0,26.59,25.0,26.33,1251600
50,2017-10-10,26.49,26.49,25.01,25.33,643700
51,2017-10-11,25.28,25.92,25.2,25.33,374900
52,2017-10-12,25.28,25.7,25.07,25.65,339700
53,2017-10-13,25.41,26.15,25.236,26.03,434900
54,2017-10-16,25.61,25.987,25.33,25.76,276000
55,2017-10-17,25.56,27.2,25.55,26.99,1253500
56,2017-10-18,26.76,27.67,25.825,26.08,842500
57,2017-10-19,26.15,26.31,25.03,25.68,684500
58,2017-10-20,25.76,26.0,25.18,25.25,573300
59,2017-10-23,25.25,25.708,24.25,24.34,643700
60,2017-10-24,24.25,24.717,23.85,24.09,636300
61,2017-10-25,23.97,24.486,23.12,23.4,617100
62,2017-10-26,23.38,23.5,22.8,23.11,430100
63,2017-10-27,23.06,23.26,22.7,23.01,716400
64,2017-10-30,22.86,23.65,22.72,23.28,725800
65,2017-10-31,23.2,23.81,23.12,23.54,375100
66,2017-11-01,23.74,23.74,23.1,23.28,259100
67,2017-11-02,23.1,24.25,23.05,23.74,373000
68,2017-11-03,23.51,23.6,22.72,22.9,510000
69,2017-11-06,22.8,23.007,22.23,22.54,471400
70,2017-11-07,22.36,23.205,22.25,22.95,515600
71,2017-11-08,22.93,22.95,21.51,21.7,661000
72,2017-11-09,21.76,23.3,21.76,23.2,1137100
73,2017-11-10,21.0,21.7,19.81,20.93,2237100
74,2017-11-13,20.81,21.64,20.73,21.29,684500
75,2017-11-14,21.3,21.33,20.76,21.15,536600
76,2017-11-15,21.19,21.8,20.852,21.76,478200
77,2017-11-16,21.74,21.74,21.03,21.05,406300
78,2017-11-17,21.0,21.35,20.99,21.12,337500
79,2017-11-20,20.94,21.33,20.81,20.85,633400
80,2017-11-21,21.0,21.19,20.76,20.78,419800
81,2017-11-22,20.68,20.723,19.5,19.94,935900
82,2017-11-24,20.11,20.43,19.9,20.08,200900
83,2017-11-27,20.25,21.53,20.06,21.43,918100
84,2017-11-28,23.33,23.48,21.51,22.86,1013000
85,2017-11-29,23.2,23.366,22.77,22.81,844700
86,2017-11-30,23.15,23.15,22.4,22.78,255100
87,2017-12-01,22.3,23.76,22.02,23.44,810800
88,2017-12-04,23.88,24.776,23.67,24.69,783000
89,2017-12-05,24.6,25.85,24.011,24.73,1217400
90,2017-12-06,24.84,25.45,24.523,25.07,283100
91,2017-12-07,24.92,25.3,24.05,24.32,624200
92,2017-12-08,24.45,24.62,24.01,24.11,519500
93,2017-12-11,24.24,25.38,24.1,24.54,810800
94,2017-12-12,24.52,27.57,24.5,26.94,1294000
95,2017-12-13,26.85,26.85,23.75,24.29,910300
96,2017-12-14,24.5,25.88,24.359,25.3,448700
97,2017-12-15,26.13,26.32,25.545,26.01,593700
98,2017-12-18,26.18,26.262,25.78,25.9,334900
99,2017-12-19,25.6,26.705,25.58,26.25,418000
100,2017-12-20,26.9,26.92,26.06,26.48,331900
101,2017-12-21,26.79,28.48,25.82,27.25,763500
102,2017-12-22,27.34,27.449,26.48,27.0,362800
103,2017-12-26,26.79,27.76,26.31,27.32,173500
104,2017-12-27,27.11,28.21,27.01,27.9,285300
105,2017-12-28,28.28,29.65,27.895,29.49,457600
106,2017-12-29,29.3,31.32,29.03,31.32,478700
107,2018-01-02,31.41,31.5,29.76,31.07,522500
108,2018-01-03,30.94,31.07,28.0,28.2,739900
109,2018-01-04,28.39,28.7,26.67,27.34,478400
110,2018-01-05,27.38,28.49,27.31,28.2,303000
111,2018-01-08,27.54,28.2,27.3,27.68,186500
112,2018-01-09,27.73,27.9,26.79,26.93,208400
113,2018-01-10,26.83,27.32,26.12,27.32,251600
114,2018-01-11,27.6,27.6,26.8,26.93,247600
115,2018-01-12,26.9,27.26,26.5,26.59,139700
116,2018-01-16,26.95,26.98,25.96,26.1,203400
117,2018-01-17,26.0,26.29,25.25,26.17,221700
118,2018-01-18,26.06,27.27,26.0,26.95,253000
119,2018-01-19,26.84,27.169,26.05,26.08,555400
120,2018-01-22,25.9,25.9,23.91,23.96,941900
121,2018-01-23,24.05,24.23,22.99,23.17,1134700
122,2018-01-24,22.31,22.49,21.42,22.12,4226500
123,2018-01-25,22.41,22.41,21.9,22.31,2350600
124,2018-01-26,22.5,23.46,22.33,23.01,1422600
125,2018-01-29,23.39,23.4,21.18,21.29,2046800
