Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2021-09-07,12.26,12.49,11.55,11.77,790300
1.0,2021-09-08,11.88,12.016,11.58,11.91,255700
2.0,2021-09-09,11.83,13.34,11.7,12.85,1273300
3.0,2021-09-10,12.5,13.115,11.64,11.64,874900
4.0,2021-09-13,11.68,11.85,11.12,11.31,302900
5.0,2021-09-14,11.3,11.608,10.66,10.67,455500
6.0,2021-09-15,10.85,11.003,10.37,10.56,415000
7.0,2021-09-16,10.66,11.21,10.66,11.07,384300
8.0,2021-09-17,11.07,11.54,10.95,11.36,340900
9.0,2021-09-20,11.13,11.57,11.0,11.36,417500
10.0,2021-09-21,11.57,11.84,11.44,11.45,342000
11.0,2021-09-22,11.46,11.71,11.07,11.29,331400
12.0,2021-09-23,11.25,11.422,10.89,10.89,335100
13.0,2021-09-24,10.7,10.876,10.39,10.48,351400
14.0,2021-09-27,10.5,10.65,9.96,9.99,423000
15.0,2021-09-28,10.1,10.44,9.95,10.05,623200
16.0,2021-09-29,10.09,10.34,9.8,9.85,429200
17.0,2021-09-30,9.86,10.0,9.57,9.63,379200
18.0,2021-10-01,9.73,9.965,9.46,9.48,389200
19.0,2021-10-04,9.41,9.686,8.99,9.03,405900
20.0,2021-10-05,8.83,9.44,8.822,9.11,768200
21.0,2021-10-06,8.92,9.17,8.78,8.8,275300
22.0,2021-10-07,8.97,10.386,8.9,9.77,1647700
23.0,2021-10-08,10.0,10.05,9.33,9.48,431400
24.0,2021-10-11,9.41,9.53,9.03,9.25,476200
25.0,2021-10-12,9.32,10.87,9.26,9.94,2252400
26.0,2021-10-13,10.12,12.84,10.02,12.13,13281100
27.0,2021-10-14,11.65,11.96,10.68,10.9,3761800
28.0,2021-10-15,11.02,11.11,10.06,10.25,1764200
29.0,2021-10-18,10.24,10.93,10.2,10.6,1265200
30.0,2021-10-19,10.85,11.1,10.61,10.67,826400
31.0,2021-10-20,10.84,11.34,10.49,10.9,895600
32.0,2021-10-21,10.95,11.46,10.89,11.24,1207800
33.0,2021-10-22,11.24,12.6,11.012,12.16,2020100
34.0,2021-10-25,12.17,16.98,11.65,13.14,17385700
35.0,2021-10-26,13.14,14.68,12.549,13.19,4403800
36.0,2021-10-27,13.05,13.19,12.15,12.95,2369500
37.0,2021-10-28,12.95,13.217,12.37,12.45,1410600
38.0,2021-10-29,12.35,12.61,11.72,11.88,1211300
39.0,2021-11-01,11.76,12.96,11.26,12.72,1644200
40.0,2021-11-02,12.78,13.1,12.48,12.6,901200
41.0,2021-11-03,12.6,13.45,12.44,13.01,1091500
