,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,70.8125,79.6875,68.375,78.0625,3702700
1,2000-01-04,76.3125,78.5,72.6875,76.0625,1701100
2,2000-01-05,75.625,75.625,69.0,71.25,2017500
3,2000-01-06,70.75,73.4375,67.0,67.0625,1428000
4,2000-01-07,65.6875,70.75,63.875,69.5625,2221300
5,2000-01-10,73.0,74.1875,70.5,74.0,1720400
6,2000-01-11,74.3125,76.625,69.75,71.0,2009500
7,2000-01-12,70.6875,75.125,68.5,74.875,1772200
8,2000-01-13,76.0,77.75,74.875,76.75,2089400
9,2000-01-14,78.5,87.125,77.75,84.0,4014000
10,2000-01-18,86.25,93.9375,85.0,90.0,4295400
11,2000-01-19,82.8125,86.5,82.8125,84.6875,3449300
12,2000-01-20,86.25,86.5,78.375,82.9375,2780000
13,2000-01-21,83.375,89.875,82.3125,89.625,3240600
14,2000-01-24,93.5,95.0,88.5,91.5625,2883300
15,2000-01-25,91.625,91.75,85.0,90.9375,1690100
16,2000-01-26,90.6875,90.75,84.9375,85.0625,1214300
17,2000-01-27,84.875,89.25,80.0,80.25,1818200
18,2000-01-28,80.0,85.25,76.0,77.3125,1786500
19,2000-01-31,76.5,81.0,73.3125,81.0,1781700
20,2000-02-01,82.25,82.5,78.75,81.0,1062300
21,2000-02-02,81.875,87.5,80.625,86.3125,1638700
22,2000-02-03,89.0,93.625,88.0,93.0,2396800
23,2000-02-04,94.875,95.75,91.25,92.25,1480900
24,2000-02-07,94.125,95.5,91.5,95.5,1272300
25,2000-02-08,97.0,103.25,96.75,102.375,2319100
26,2000-02-09,103.125,103.75,96.5,98.9375,1084400
27,2000-02-10,97.375,101.0,95.5625,98.0,1390200
28,2000-02-11,100.75,101.5,97.0,98.3125,1044300
29,2000-02-14,100.0,102.875,99.0,102.0625,1212000
30,2000-02-15,103.125,103.125,95.5625,97.125,1572300
31,2000-02-16,99.0,99.375,96.875,97.25,956000
32,2000-02-17,98.0,99.75,95.5,97.375,1550200
33,2000-02-18,99.875,101.5,92.0,95.0,1468800
34,2000-02-22,98.0,98.25,89.25,96.5,1424900
35,2000-02-23,98.625,99.5,94.5,98.375,1279000
36,2000-02-24,100.4375,102.0,95.625,101.4375,1711500
37,2000-02-25,102.6875,119.375,101.25,114.9375,3071100
38,2000-02-28,129.0,149.25,128.375,139.0,4476100
39,2000-02-29,148.5,149.75,134.0,138.3125,2229200
40,2000-03-01,141.4375,151.4375,137.5,149.0,1342600
41,2000-03-02,152.25,164.0,148.0,150.0,2657900
42,2000-03-03,159.0,175.375,151.0,174.96875,1165400
43,2000-03-06,173.0625,179.28125,162.0,166.625,1837000
44,2000-03-07,177.5,183.75,165.0,172.0,2105500
45,2000-03-08,176.0,177.125,158.9375,163.625,1885200
46,2000-03-09,168.375,170.75,162.0,170.6875,1304900
47,2000-03-10,175.0,177.875,164.0,167.6875,1089000
48,2000-03-13,155.125,169.5,149.9375,158.0,1515200
49,2000-03-14,164.0,167.125,155.4375,157.5625,1489100
50,2000-03-15,160.375,160.375,124.0,132.4375,5870800
51,2000-03-16,138.75,154.0,111.8125,150.9375,5915100
52,2000-03-17,147.0,150.0,141.0,145.0625,2489600
53,2000-03-20,146.375,146.375,131.0,131.9375,1611600
54,2000-03-21,125.0,142.75,121.0,141.75,2282900
55,2000-03-22,145.4375,146.0,137.625,142.25,1571200
56,2000-03-23,139.75,141.1875,132.0,136.8125,1005500
57,2000-03-24,140.375,163.0,140.25,160.21875,2832600
58,2000-03-27,162.5625,162.5625,147.75,151.6875,1597900
59,2000-03-28,146.75,156.0,142.25,142.75,1448900
60,2000-03-29,146.25,147.0,130.125,143.25,2010800
61,2000-03-30,132.25,144.0,120.0,130.0,2803000
62,2000-03-31,135.75,137.75,119.5,134.0625,2745000
63,2000-04-03,127.1875,138.5,114.5,116.0,1813500
64,2000-04-04,116.875,122.0,77.0,115.9375,4191900
65,2000-04-05,100.0,125.0,97.0625,110.375,3421400
66,2000-04-06,116.6875,119.875,108.0,111.125,2312400
67,2000-04-07,119.875,125.0,115.8125,121.625,1943600
68,2000-04-10,129.0,133.0,111.75,112.75,4127400
69,2000-04-11,103.9375,120.5,101.375,116.84375,3383400
70,2000-04-12,116.1875,117.0,98.0,98.25,3162700
71,2000-04-13,102.625,109.125,92.0,97.0,2860700
72,2000-04-14,90.0,95.0,74.0,78.625,4555700
73,2000-04-17,67.25,95.0,67.125,94.125,3624900
74,2000-04-18,97.4375,97.875,88.75,97.5,2529200
75,2000-04-19,99.25,100.0,83.0625,84.0,3039500
76,2000-04-20,90.0625,90.25,81.5625,84.875,1930100
77,2000-04-24,79.875,85.25,73.8125,79.75,3043900
78,2000-04-25,82.25,90.75,78.8125,90.46875,3010200
79,2000-04-26,92.0,94.875,84.5,85.0,2389000
80,2000-04-27,80.0625,95.125,79.25,94.25,2778200
81,2000-04-28,97.25,106.0,97.25,104.0,3137800
82,2000-05-01,110.0625,115.0,104.9375,107.0,2604400
83,2000-05-02,104.5,108.6875,98.9375,99.625,1458600
84,2000-05-03,96.6875,101.625,92.25,99.5625,1916300
85,2000-05-04,101.75,103.5,94.125,98.96875,1277000
86,2000-05-05,96.875,102.0,96.625,100.0,966600
87,2000-05-08,98.5,99.0,90.5,91.0,905700
88,2000-05-09,93.25,94.8125,85.0,87.0,1777300
89,2000-05-10,84.4375,95.375,80.5,90.5,3023600
90,2000-05-11,92.3125,98.25,87.0,97.0,2535600
91,2000-05-12,99.375,102.5,93.25,93.9375,1686800
92,2000-05-15,93.25,106.125,93.25,105.4375,2467100
93,2000-05-16,108.375,115.75,108.375,113.75,2813200
94,2000-05-17,109.25,120.0,107.875,115.0,2550000
95,2000-05-18,116.9375,118.75,109.5,110.625,1912100
96,2000-05-19,106.4375,110.0,101.4375,102.5,1682100
97,2000-05-22,100.0,104.0,89.5,103.21875,2521300
98,2000-05-23,100.5625,105.5,91.25,91.3125,1766200
99,2000-05-24,89.625,97.5,84.375,96.375,3779900
100,2000-05-25,97.6875,102.9375,90.0,91.0,2326800
101,2000-05-26,91.8125,94.9375,86.0625,90.25,1658200
102,2000-05-30,93.75,105.0,93.5625,104.75,2379300
103,2000-05-31,101.125,109.0,100.0,105.0,3561700
104,2000-06-01,108.875,114.46875,108.25,111.4375,2410000
105,2000-06-02,120.9375,133.0,120.0625,127.25,4359100
106,2000-06-05,125.375,136.75,124.125,136.125,2421800
107,2000-06-06,137.75,141.5,120.5,121.0,2914800
