,DateTime,Open,High,Low,Close,Volume
0,2000-01-03,114.25,115.81,105.61,115.63,1468215
1,2000-01-04,114.0,114.5,107.5,107.5,1094800
2,2000-01-05,109.02,128.73,105.78,128.23,4133092
3,2000-01-06,123.21,133.73,112.04,114.12,4399820
4,2000-01-07,117.26,133.45,114.8,132.46,2496159
5,2000-01-10,144.5,147.75,133.0,140.875,2553500
6,2000-01-11,140.0,145.0,125.0625,129.5,1418500
7,2000-01-12,138.0,138.0,120.38,132.0,1253700
8,2000-01-13,139.64,143.4,130.36,130.93,1033134
9,2000-01-14,138.74,139.49,131.258,132.506,734854
10,2000-01-18,123.5,125.0,115.5,116.5,1981000
11,2000-01-19,119.9651,122.80786,117.3118,117.375,1230260
12,2000-01-20,120.44,120.44,110.63,114.81,848400
13,2000-01-21,118.63,120.0,111.0,114.06,815500
14,2000-01-24,117.0,118.0,111.0,111.5,756200
15,2000-01-25,110.06,114.5,109.5,114.22,697700
16,2000-01-26,113.4375,123.6875,111.625,113.375,1913500
17,2000-01-27,115.0625,120.0,112.0,114.0,761400
18,2000-01-28,112.5,114.875,105.0,106.875,728400
19,2000-01-31,103.375,105.0,91.0,95.125,2036300
20,2000-02-01,97.9375,100.0,88.9375,92.5,1295200
21,2000-02-02,91.605,108.898,88.5345,107.8,4615174
22,2000-02-03,105.75,108.0,98.0,98.6875,2868800
23,2000-02-04,95.06,97.63,92.0,92.75,5303094
24,2000-02-07,90.75,92.5,87.63,88.94,2160100
25,2000-02-08,93.5636,94.4392,89.8111,90.3114,2081387
26,2000-02-09,92.0,92.0625,89.0,89.5,891200
27,2000-02-10,89.5,89.75,86.0,87.06,980500
28,2000-02-11,86.0,86.5,81.25,83.375,1613700
29,2000-02-14,83.13,84.0,77.19,78.19,1644700
30,2000-02-15,77.25,77.625,73.0,74.6875,1783800
31,2000-02-16,73.375,74.5,69.125,69.9375,4061000
32,2000-02-17,70.44,79.75,70.0,75.75,6432392
33,2000-02-18,77.9375,78.0625,71.125,71.5625,2021300
34,2000-02-22,73.0,73.875,67.0,71.6875,1909500
35,2000-02-23,71.125,76.25,69.25,72.3125,2024500
36,2000-02-24,74.125,74.25,70.0,70.25,1085900
37,2000-02-25,69.75,71.0,67.25,68.4375,1636600
38,2000-02-28,65.85,66.22,63.09,63.47,1910516
39,2000-02-29,63.94,65.75,60.5,60.75,1924299
40,2000-03-01,60.3125,60.5,55.25,55.5,3468700
41,2000-03-02,54.12,66.31,53.75,63.56,4886400
42,2000-03-03,67.875,71.6875,65.75,70.5625,4229800
43,2000-03-06,69.75,69.75,64.0,65.69,2089100
44,2000-03-07,66.03,67.4668,60.97,61.0325,1370564
45,2000-03-08,63.25,64.0,59.8125,60.5,1659500
46,2000-03-09,63.75,68.75,61.5,68.0,3691200
47,2000-03-10,69.625,75.5,69.5625,70.9375,4113800
48,2000-03-13,65.88,77.94,65.13,75.75,3734700
49,2000-03-14,79.5625,79.5625,68.625,69.25,2201900
50,2000-03-15,69.75,71.5,65.0,65.75,1491500
51,2000-03-16,67.9375,68.125,61.5,65.0,1771700
52,2000-03-17,65.5,66.75,62.625,62.875,1230200
53,2000-03-20,63.6875,63.875,58.375,59.25,2234100
54,2000-03-21,58.75,59.63,56.0,57.13,1383900
55,2000-03-22,57.8751,59.443,55.68,57.812,2592259
56,2000-03-23,57.875,61.1875,56.875,57.5,1960900
57,2000-03-24,59.5,61.125,58.0,60.5,1976300
58,2000-03-27,62.75,64.0625,56.125,56.6875,3634300
59,2000-03-28,55.8421,55.90454,49.4708,50.1579,4392889
60,2000-03-29,50.6875,50.6875,43.625,44.125,6163900
61,2000-03-30,41.75,43.0,39.625,40.25,5564600
62,2000-03-31,42.75,43.25,39.0,42.375,2427700
63,2000-04-03,43.25,46.6875,40.375,42.0,3222000
64,2000-04-04,47.31,47.38,34.0,41.31,4356496
65,2000-04-05,39.63,45.31,38.25,40.94,2413595
66,2000-04-06,41.38,43.0,40.0,40.44,1773300
67,2000-04-07,41.125,41.375,37.25,38.1875,2400200
68,2000-04-10,38.5,38.625,33.6875,34.375,2511300
69,2000-04-11,33.0625,34.0,31.25,31.875,1693300
70,2000-04-12,32.9375,33.4375,26.75,27.125,2461500
71,2000-04-13,28.8125,32.375,26.5625,28.0625,2890900
72,2000-04-14,28.1875,28.5,23.0,23.9375,2913500
73,2000-04-17,23.5,26.125,22.0,24.1875,2887200
74,2000-04-18,24.75,29.625,24.4375,29.5,2442900
75,2000-04-19,31.75,31.75,27.75,28.0,1725700
76,2000-04-20,28.75,28.75,25.25,26.3125,1105800
77,2000-04-24,27.75,29.6875,26.0,26.5625,2772600
78,2000-04-25,29.88,30.0,27.97,28.06,2443983
79,2000-04-26,28.907,28.90712,26.7798,27.3429,1339327
80,2000-04-27,25.75,26.5,25.375,25.875,1506400
81,2000-04-28,27.0,27.0,24.88,25.0,2343285
82,2000-05-01,29.2805,29.343,26.7208,27.907,5901945
83,2000-05-02,28.4375,28.875,27.0,27.375,3005000
84,2000-05-03,26.981,27.2877,24.6509,26.0,1779483
85,2000-05-04,26.69,27.13,24.94,25.13,1713890
86,2000-05-05,24.9375,26.375,24.625,24.8125,1153600
87,2000-05-08,24.78,25.5,23.63,24.25,1130494
88,2000-05-09,24.5,24.5,21.0,21.56,2725181
89,2000-05-10,21.1858,21.31042,19.87727,20.064,2469562
90,2000-05-11,21.56,21.81,20.56,21.31,2039083
91,2000-05-12,21.88,23.88,21.44,21.81,2144580
92,2000-05-15,22.44,22.44,20.5,21.56,949899
93,2000-05-16,22.0625,22.5625,21.0,22.0,1558000
94,2000-05-17,21.125,21.4375,20.75,21.25,1135200
95,2000-05-18,21.125,21.25,20.0,20.1875,1068900
96,2000-05-19,20.0,20.001,18.75,19.376,1454490
97,2000-05-22,19.063,19.251,17.125,18.251,1788389
98,2000-05-23,18.0,18.1875,16.75,16.75,1271200
99,2000-05-24,16.875,17.0,15.0,15.75,2204400
100,2000-05-25,16.625,18.5,16.5625,16.8125,3596400
101,2000-05-26,17.385,17.416,16.038,16.288,1110590
102,2000-05-30,16.875,17.125,15.375,15.875,1812900
103,2000-05-31,16.251,16.876,15.938,16.063,1428190
104,2000-06-01,16.688,18.126,16.375,17.875,2424174
105,2000-06-02,19.876,20.31,19.0,19.188,2743579
106,2000-06-05,19.59061,24.285,19.3402,23.9719,7983531
107,2000-06-06,24.13,24.44,20.81,21.06,4089248
108,2000-06-07,22.47028,24.967,21.9709,24.7797,8982747
109,2000-06-08,24.625,24.75,22.5625,23.25,3855600
110,2000-06-09,23.875,24.0,22.625,22.875,1545600
111,2000-06-12,23.1875,23.5,22.125,22.5625,1660900
112,2000-06-13,22.13,22.19,20.5,21.81,1387495
113,2000-06-14,21.75,24.125,21.0,22.625,2701200
114,2000-06-15,23.7185,23.87459,22.2205,23.4065,2225853
115,2000-06-16,25.5,25.5625,24.0,25.0,6152000
116,2000-06-19,25.125,26.25,24.25,25.375,5006800
117,2000-06-20,26.25,32.44,26.0,30.06,26391476
118,2000-06-21,29.81,34.9459,29.3721,31.8145,24280754
119,2000-06-22,33.91,35.9,32.97,34.28,19666851
120,2000-06-23,35.4375,35.5,30.5625,31.25,8240500
121,2000-06-26,33.06,33.25,28.5,30.0,5955064
122,2000-06-27,29.2196,29.3448,27.2174,27.5929,6956939
123,2000-06-28,27.38,29.75,26.94,27.91,5211654
124,2000-06-29,27.75,27.81,26.25,27.31,3170485
125,2000-06-30,27.38,27.5,25.25,27.06,4158970
126,2000-07-03,26.5,27.0,25.56,25.94,1137697
127,2000-07-05,25.06,25.19,23.94,24.13,2504132
128,2000-07-06,24.06,25.5,22.56,25.06,4110361
129,2000-07-07,25.875,26.0,24.375,24.625,1766000
130,2000-07-10,24.88,26.13,23.56,23.75,3022281
131,2000-07-11,23.31,23.44,22.06,22.19,2818980
132,2000-07-12,22.75,23.69,22.63,23.13,2056788
133,2000-07-13,23.88,24.75,23.56,24.63,3236372
134,2000-07-14,25.1873,25.4367,24.439,25.06266,3134953
135,2000-07-17,25.4044,28.9085,25.2793,28.5956,6631034
136,2000-07-18,27.63,27.91,26.13,26.94,3151983
137,2000-07-19,26.75,27.125,25.25,25.375,1529300
138,2000-07-20,25.625,26.6875,25.375,25.5,1177400
139,2000-07-21,25.75,26.38,25.06,25.31,1033000
140,2000-07-24,25.625,25.9375,23.5,23.6875,1655200
141,2000-07-25,22.9375,22.9375,20.125,21.0,4103200
142,2000-07-26,21.13,21.69,19.875,20.13,2975274
143,2000-07-27,20.0,20.06,18.5,19.001,1759792
144,2000-07-28,19.376,19.563,18.0,18.251,1461495
145,2000-07-31,18.8439,19.0317,18.155,18.7186,1086421
146,2000-08-01,19.875,20.0,19.0,19.125,1340400
147,2000-08-02,19.313,19.751,19.0,19.438,884396
148,2000-08-03,18.5001,18.687,17.939,18.5624,1494511
149,2000-08-04,19.1201,20.14,19.0563,19.375,1355147
150,2000-08-07,19.5,21.25,19.438,20.66,1740688
151,2000-08-08,20.56,20.56,19.5,19.688,1782879
152,2000-08-09,21.0,22.0,19.875,20.06,3939837
153,2000-08-10,20.4375,20.625,19.1875,19.3125,1076200
154,2000-08-11,19.657,20.19,19.25,20.06,1437190
155,2000-08-14,20.97,23.28,20.78,21.84,5937408
156,2000-08-15,24.0,25.1875,23.0625,24.0,10286009
157,2000-08-16,25.56,26.13,24.75,24.94,7347500
158,2000-08-17,24.75,24.81,22.56,22.94,4209650
159,2000-08-18,23.56,23.94,23.13,23.44,1858590
160,2000-08-21,23.22,23.69,22.44,22.88,2189891
161,2000-08-22,22.81,23.0,22.44,22.88,1222814
162,2000-08-23,22.16,22.91,22.09,22.84,1316700
163,2000-08-24,25.625,25.75,24.5625,24.75,4527300
164,2000-08-25,24.81,25.0,23.63,24.25,1642895
165,2000-08-28,24.4375,24.5625,24.1875,24.25,1312100
166,2000-08-29,24.3125,24.5625,23.75,24.125,1011200
167,2000-08-30,24.91,25.53,24.59,25.47,4125827
168,2000-08-31,25.875,27.125,25.0,25.125,3980700
169,2000-09-01,26.03,27.0,25.06,26.56,4002365
170,2000-09-05,26.75,28.0,25.69,27.25,3925268
171,2000-09-06,27.34,27.63,25.25,25.75,2378192
172,2000-09-07,25.69,25.75,24.0,24.5,2075291
173,2000-09-08,25.1875,25.4375,24.0,24.125,2179400
174,2000-09-11,24.06,24.16,22.85,22.97,1697705
175,2000-09-12,23.41,24.38,23.0,23.31,1862995
176,2000-09-13,23.0625,24.25,22.8125,24.125,1364600
177,2000-09-14,24.5625,25.9375,24.375,25.3125,2967700
178,2000-09-15,23.38,23.75,21.0,21.13,5478816
179,2000-09-18,20.78,20.8424,18.97,19.1575,3179963
180,2000-09-19,19.6875,21.25,19.625,20.9375,4308600
181,2000-09-20,21.125,21.1875,19.75,20.1875,1964200
182,2000-09-21,19.96791,20.0614,19.3137,19.438,1001168
183,2000-09-22,18.53125,19.6875,18.3125,19.5,1739100
184,2000-09-25,20.16,20.5,19.125,19.688,1776285
185,2000-09-26,19.75,20.1875,18.25,18.5625,1836000
186,2000-09-27,18.876,19.251,17.75,17.813,1806676
187,2000-09-28,17.625,18.625,17.25,18.0,1989600
188,2000-09-29,18.126,18.251,16.563,17.063,2711961
189,2000-10-02,17.21875,17.625,16.3125,16.625,1078000
190,2000-10-03,16.938,17.376,15.438,15.688,1682976
191,2000-10-04,15.907,15.938,15.0,15.376,2393756
192,2000-10-05,15.25,16.188,15.25,15.751,1436488
193,2000-10-06,15.96875,16.5,14.0,14.5625,1974100
194,2000-10-09,14.719,14.876,13.375,14.313,1560687
195,2000-10-10,14.31288,15.0959,13.9684,13.9684,1149666
196,2000-10-11,13.126,13.626,12.25,12.751,1859070
197,2000-10-12,13.03,13.092,11.222,11.346,2060207
198,2000-10-13,10.75,14.938,10.625,14.626,3500624
199,2000-10-16,14.8125,16.0,14.6875,14.9375,1957300
200,2000-10-17,15.1875,15.375,12.875,13.5,1406200
201,2000-10-18,12.3125,14.0625,12.0,13.625,1411100
202,2000-10-19,14.344,14.718,13.783,14.344,803022
203,2000-10-20,14.313,14.626,13.688,14.063,929392
204,2000-10-23,14.0,14.25,13.4375,13.625,653500
205,2000-10-24,13.625,14.125,12.875,12.9375,978600
206,2000-10-25,12.625,12.75,12.0625,12.09375,880700
207,2000-10-26,12.219,13.126,12.0,12.5,864494
208,2000-10-27,13.0,13.375,12.0,12.5,1301200
209,2000-10-30,12.46875,12.8125,11.6875,11.9375,1144600
210,2000-10-31,12.34375,12.75,11.75,12.5,1737200
211,2000-11-01,12.313,15.501,12.25,15.344,5853847
212,2000-11-02,16.2203,17.9671,15.4717,17.9047,6703340
213,2000-11-03,18.5,18.5,16.4375,16.875,2999600
214,2000-11-06,14.938,16.438,14.5,15.625,4377298
215,2000-11-07,15.0,15.0625,13.875,14.0,4152400
216,2000-11-08,14.1875,15.25,14.0625,14.9375,2120500
217,2000-11-09,14.6875,14.75,12.125,12.5625,3431400
218,2000-11-10,12.18664,12.4048,11.4074,11.5321,3020842
219,2000-11-13,11.5625,11.625,10.75,11.1875,2371100
220,2000-11-14,12.472,12.63,11.872,12.188,1666583
221,2000-11-15,12.46875,12.5,11.375,11.625,1960800
222,2000-11-16,11.438,11.751,10.563,10.938,1733957
223,2000-11-17,11.25,11.25,9.625,9.875,4237539
224,2000-11-20,9.75,9.75,7.937,8.031,4514493
225,2000-11-21,8.688,9.126,7.563,7.813,3563201
226,2000-11-22,7.562,7.562,6.5623,6.781,2637551
227,2000-11-24,7.75,8.126,7.625,7.938,2013291
228,2000-11-27,9.063,9.25,7.875,8.25,2388574
229,2000-11-28,7.983,7.983,6.985,7.048,2276102
230,2000-11-29,7.055,7.147,6.4386,6.531,2557080
231,2000-11-30,6.3125,6.4375,5.96875,6.25,2624500
232,2000-12-01,6.688,7.313,6.3755,6.5317,2926907
233,2000-12-04,6.844,6.9378,6.0315,6.3753,2074057
234,2000-12-05,6.7815,6.8753,6.0002,6.2503,3402105
235,2000-12-06,6.3128,6.3128,5.1252,5.3753,3674471
236,2000-12-07,5.3125,5.34375,5.0,5.0625,2235200
237,2000-12-08,5.8755,6.2193,5.5005,5.938,2649011
238,2000-12-11,6.1254,7.376,6.0629,7.188,4087045
239,2000-12-12,7.625,9.0,7.313,8.438,5669958
240,2000-12-13,9.375,10.625,8.875,9.25,8378500
241,2000-12-14,9.251,9.626,8.0,8.688,3860316
242,2000-12-15,8.875,9.75,8.0,8.625,6825900
243,2000-12-18,9.483,9.545,7.986,8.048,3935729
244,2000-12-19,8.094,8.125,6.7502,6.969,2998536
245,2000-12-20,6.438,6.9332,6.1904,6.438,2561746
246,2000-12-21,6.4378,6.969,5.7502,6.0003,4034878
247,2000-12-22,6.1875,6.5625,5.78125,6.0,4366800
248,2000-12-26,6.063,6.5005,6.063,6.188,2230770
249,2000-12-27,6.1175,6.3672,5.9927,6.2424,2590757
250,2000-12-28,6.125,6.625,5.90625,6.5,4546600
251,2000-12-29,6.1875,6.5,6.0625,6.25,3705700
252,2001-01-02,6.25,6.5625,5.90625,6.0,2176100
253,2001-01-03,5.8125,7.375,5.75,7.15625,3326700
254,2001-01-04,7.368,7.368,6.4392,6.594,1986163
255,2001-01-05,6.5862,6.7394,6.0042,6.188,1857506
256,2001-01-08,6.7503,6.7503,6.1877,6.6253,2071250
257,2001-01-09,6.625,7.1875,6.375,7.03125,2516600
258,2001-01-10,7.125,8.0,6.844,7.813,4137210
259,2001-01-11,7.688,8.469,7.407,7.907,3189838
260,2001-01-12,8.094,8.751,7.813,8.688,3506631
261,2001-01-16,9.031,9.125,8.437,8.781,1782722
262,2001-01-17,8.802,8.924,8.007,8.313,2613237
263,2001-01-18,8.204,8.609,7.923,8.578,1404128
264,2001-01-19,8.938,9.219,8.875,8.938,3200059
265,2001-01-22,9.016,9.016,8.735,8.954,910239
266,2001-01-23,8.813,8.969,8.375,8.563,1923023
267,2001-01-24,8.594,8.968,8.437,8.656,1486012
268,2001-01-25,8.625,8.65625,8.1875,8.375,864600
269,2001-01-26,8.0,8.125,7.5,7.875,1536100
270,2001-01-29,7.969,8.751,7.782,8.688,2287092
271,2001-01-30,8.797,9.078,8.734,9.046,2825322
272,2001-01-31,9.188,10.125,9.031,9.344,7330836
273,2001-02-01,9.392,9.579,8.922,8.922,1953451
274,2001-02-02,8.96875,9.03125,7.75,7.9375,1792600
275,2001-02-05,8.157,8.531,7.597,8.469,3230811
276,2001-02-06,8.375,9.0,8.375,8.53125,1699200
277,2001-02-07,8.251,8.501,8.0,8.094,1280550
278,2001-02-08,8.15625,8.4375,7.9375,8.125,1060200
279,2001-02-09,8.13025,8.22479,7.5,7.5,1736709
280,2001-02-12,7.437,7.75,7.187,7.25,1763737
281,2001-02-13,7.157,7.501,6.6255,6.688,2393160
